term,relative_frequency
fragte,0.001269942058893563
kalt,7.937137868084769e-05
nachdem,0.00039685689340423846
packenden,7.937137868084769e-05
erzählung,7.937137868084769e-05
gelauscht,7.937137868084769e-05
korrekt,7.937137868084769e-05
gleich,0.0004762282720850861
tödlichen,7.937137868084769e-05
fluch,0.00015874275736169538
sprach,0.0007143424081276292
schauspielerisches,7.937137868084769e-05
talent,7.937137868084769e-05
stand,0.0006349710294467815
diskussion,7.937137868084769e-05
sah,0.0019842844670211923
hätte,0.0013493134375744107
obwohl,0.00015874275736169538
mitglied,7.937137868084769e-05
ersten,0.0006349710294467815
ordens,7.937137868084769e-05
gewusst,0.00015874275736169538
verwandt,0.00015874275736169538
kennst,0.00023811413604254305
aberfroth,7.937137868084769e-05
weißt,0.00031748551472339075
bruder,0.005635367886340186
wusste,0.0009524565441701722
achten,7.937137868084769e-05
leugnen,7.937137868084769e-05
ähnlichkeit,7.937137868084769e-05
beiden,0.00103182792285102
wäre,0.0006349710294467815
niemals,0.00023811413604254305
aufgefallen,0.00023811413604254305
werten,7.937137868084769e-05
professor,0.0004762282720850861
ja,0.0011111993015318676
äußerst,0.00015874275736169538
düstere,0.00015874275736169538
vergangenheit,0.00023811413604254305
ganz,0.0008730851654893245
schweigen,0.00031748551472339075
mehr,0.0011111993015318676
zweifelhaften,7.937137868084769e-05
familie,0.0006349710294467815
großer,0.00015874275736169538
anstrengung,7.937137868084769e-05
mantel,7.937137868084769e-05
schweigens,7.937137868084769e-05
breiten,7.937137868084769e-05
frage,0.00039685689340423846
skeeter,7.937137868084769e-05
meint,7.937137868084769e-05
verurteilung,7.937137868084769e-05
zaubergamot,0.00015874275736169538
wegen,0.0004762282720850861
missbrauchs,7.937137868084769e-05
magie,7.937137868084769e-05
fünfzehn,0.00015874275736169538
jahren,0.0004762282720850861
kleinen,0.00023811413604254305
skandal,7.937137868084769e-05
ausgelöst,7.937137868084769e-05
oh,0.00031748551472339075
spitze,7.937137868084769e-05
misthaufens,7.937137868084769e-05
lacht,7.937137868084769e-05
nein,0.00039685689340423846
rede,0.00015874275736169538
schlimmeres,0.00015874275736169538
schwäche,7.937137868084769e-05
dafür,0.0004762282720850861
ziegen,0.00015874275736169538
herumzuspielen,7.937137868084769e-05
sogar,0.00015874275736169538
muggel,0.0006349710294467815
verstümmelnden,7.937137868084769e-05
vater,0.0011111993015318676
konnte,0.0016667989522978013
sowieso,7.937137868084769e-05
mund,0.00023811413604254305
verbieten,7.937137868084769e-05
wurden,0.00023811413604254305
zwei,0.0005555996507659338
angeklagt,7.937137868084769e-05
hingegen,7.937137868084769e-05
verhältnis,0.00023811413604254305
brüder,0.00031748551472339075
viele,0.0005555996507659338
informationen,0.00015874275736169538
tatsächlich,0.00031748551472339075
besaß,7.937137868084769e-05
tod,0.0005555996507659338
gefordert,7.937137868084769e-05
willen,7.937137868084769e-05
nachgekommen,7.937137868084769e-05
solange,0.00015874275736169538
tat,0.0004762282720850861
rache,7.937137868084769e-05
verlustes,7.937137868084769e-05
üben,7.937137868084769e-05
sofort,0.0005555996507659338
feuer,7.937137868084769e-05
flamme,7.937137868084769e-05
schien,0.00031748551472339075
strafpredigt,7.937137868084769e-05
willkommene,7.937137868084769e-05
art,0.00031748551472339075
weise,0.00031748551472339075
warte,7.937137868084769e-05
dank,0.00015874275736169538
MURIEL,7.937137868084769e-05
weiß,0.0007143424081276292
krumme,7.937137868084769e-05
nase,7.937137868084769e-05
verdanken,7.937137868084769e-05
beerdigung,0.00015874275736169538
schuld,0.00031748551472339075
tode,7.937137868084769e-05
schwester,0.00103182792285102
gegeben,0.00015874275736169538
wut,0.00039685689340423846
gesicht,0.0005555996507659338
geschlagen,0.00015874275736169538
sagte,0.00206365584570204
damals,0.00023811413604254305
zeitungen,7.937137868084769e-05
gestanden,7.937137868084769e-05
langer,0.00015874275736169538
zeit,0.0008730851654893245
gehört,0.00023811413604254305
eberkopf,0.0005555996507659338
stellte,0.00031748551472339075
kleine,0.00039685689340423846
fenster,7.937137868084769e-05
drei,0.0005555996507659338
personen,0.00023811413604254305
neben,0.0004762282720850861
kleinere,7.937137868084769e-05
frau,0.00023811413604254305
schürze,7.937137868084769e-05
hochgewachsener,7.937137868084769e-05
zauberer,0.0006349710294467815
dunkler,7.937137868084769e-05
hautfarbe,7.937137868084769e-05
mächtigen,7.937137868084769e-05
fürchtete,7.937137868084769e-05
schön,0.00023811413604254305
besuchst,7.937137868084769e-05
richard,0.00023811413604254305
darum,7.937137868084769e-05
schokofroschkarte,7.937137868084769e-05
besitzen,0.00015874275736169538
gefühl,7.937137868084769e-05
unbedingt,7.937137868084769e-05
wunsch,0.00015874275736169538
erzählen,0.00031748551472339075
natürlich,0.00039685689340423846
ahnung,0.00023811413604254305
genau,0.0006349710294467815
shadowhog,7.937137868084769e-05
lag,0.00015874275736169538
hoffte,7.937137868084769e-05
erst,0.0007937137868084769
abend,0.00039685689340423846
wiederkommen,7.937137868084769e-05
sodass,7.937137868084769e-05
arya,7.937137868084769e-05
gerade,0.0008730851654893245
heute,0.00031748551472339075
grummeligen,7.937137868084769e-05
alten,0.00023811413604254305
bekanntschaft,7.937137868084769e-05
bald,7.937137868084769e-05
erreichten,7.937137868084769e-05
zweiseitige,7.937137868084769e-05
portrait,0.00031748551472339075
eingang,7.937137868084769e-05
sicherte,7.937137868084769e-05
flucht,7.937137868084769e-05
ergreifen,7.937137868084769e-05
sehnsuchtsvoll,7.937137868084769e-05
