term,relative_frequency
co,5.47855147099107e-05
gut,0.0007669972059387498
wohlüberlegt,5.47855147099107e-05
erschien,0.0002191420588396428
endlich,0.0003834986029693749
wirbelwind,5.47855147099107e-05
bitte,0.000547855147099107
schauen,5.47855147099107e-05
weiß,0.0004930696323891963
idee,0.0001643565441297321
weasley,0.0003834986029693749
jones,0.0001095710294198214
heißen,0.0001095710294198214
zeigen,0.0001095710294198214
sorgt,5.47855147099107e-05
dafür,0.0002739275735495535
verkniff,5.47855147099107e-05
schiefen,0.0001095710294198214
mund,0.0001095710294198214
dünnen,0.0001095710294198214
wütenden,5.47855147099107e-05
strich,5.47855147099107e-05
weasleys,0.0002739275735495535
sahen,0.0002739275735495535
total,5.47855147099107e-05
fertig,0.0001643565441297321
augen,0.0003287130882594642
ärgerlich,5.47855147099107e-05
sage,5.47855147099107e-05
damals,0.0002191420588396428
familie,0.0002191420588396428
dursley,5.47855147099107e-05
geeignet,5.47855147099107e-05
ansah,0.0001095710294198214
aufzunehmen,5.47855147099107e-05
ließ,0.0008765682353585712
umstimmten,5.47855147099107e-05
sah,0.0012600668383279461
intensiv,0.0001095710294198214
weniger,0.0001095710294198214
kesses,5.47855147099107e-05
blinzeln,5.47855147099107e-05
schenkte,5.47855147099107e-05
minimal,5.47855147099107e-05
zurückzucken,5.47855147099107e-05
schien,0.0004382841176792856
mittlerweile,0.0001095710294198214
fast,0.0004930696323891963
blickduell,5.47855147099107e-05
gewinnen,5.47855147099107e-05
mehr,0.0014792088971675888
geben,0.0002191420588396428
müssen,0.0002191420588396428
misstrauen,0.0001095710294198214
hintergehen,5.47855147099107e-05
ja,0.0013696378677477675
schon,0.0013696378677477675
genug,0.0002191420588396428
treffen,0.0001643565441297321
schülerin,0.0001095710294198214
verschweigen,5.47855147099107e-05
fragte,0.0004382841176792856
perplex,5.47855147099107e-05
sichtlich,0.0001095710294198214
verwirrt,0.0002739275735495535
absichtlich,5.47855147099107e-05
schwer,0.0001095710294198214
machte,0.0003834986029693749
wüsste,5.47855147099107e-05
sicherheit,0.0001643565441297321
geschworen,5.47855147099107e-05
ruhiger,0.0001095710294198214
schlafen,5.47855147099107e-05
sagen,0.0003834986029693749
spiel,0.0001095710294198214
kinn,0.0001643565441297321
luft,5.47855147099107e-05
reckte,0.0001095710294198214
her,0.0001643565441297321
ärgerte,5.47855147099107e-05
zauber,0.0003834986029693749
gelegt,0.0001643565441297321
wenigstens,5.47855147099107e-05
zeichen,5.47855147099107e-05
oberschenkel,5.47855147099107e-05
dark,5.47855147099107e-05
mark,5.47855147099107e-05
nacken,5.47855147099107e-05
ausmachen,0.0001095710294198214
somit,0.0002739275735495535
nahm,0.0001643565441297321
entdeckung,5.47855147099107e-05
cool,5.47855147099107e-05
glaubte,5.47855147099107e-05
verärgert,5.47855147099107e-05
bestätigte,0.0001643565441297321
neuen,0.0003834986029693749
familienzugehörigkeit,5.47855147099107e-05
wusste,0.0004382841176792856
gesagt,0.0008217827206486605
geahnt,0.0001095710294198214
bestätigt,0.0001643565441297321
bekommen,0.0002739275735495535
mal,0.0014792088971675888
unterdessen,0.0001095710294198214
unbemerkt,5.47855147099107e-05
davonzuziehen,5.47855147099107e-05
konfrontation,5.47855147099107e-05
alten,0.0002191420588396428
suchte,0.0001095710294198214
gerade,0.0004930696323891963
wirklich,0.0007669972059387498
informierte,5.47855147099107e-05
abends,0.0001095710294198214
eile,5.47855147099107e-05
gedrängt,5.47855147099107e-05
erinnerung,0.0002739275735495535
betreffend,5.47855147099107e-05
erfreut,0.0001095710294198214
gezeigt,0.0002739275735495535
bezüglich,0.0001095710294198214
wohlbehaltenem,5.47855147099107e-05
wiedererscheinen,5.47855147099107e-05
woraufhin,0.0002191420588396428
ganz,0.0006574261765189284
unabsichtlich,5.47855147099107e-05
traute,5.47855147099107e-05
ungeplante,5.47855147099107e-05
zusammentreffen,5.47855147099107e-05
direktor,0.0001095710294198214
unterbrochen,5.47855147099107e-05
weshalb,0.0001095710294198214
rasch,0.0001095710294198214
verzogen,5.47855147099107e-05
freitagmorgen,5.47855147099107e-05
erreichte,5.47855147099107e-05
eule,0.0001643565441297321
pergamentrolle,5.47855147099107e-05
nachricht,0.0001643565441297321
gemeinsam,0.0001643565441297321
las,5.47855147099107e-05
sprachlos,5.47855147099107e-05
konsterniert,5.47855147099107e-05
special,5.47855147099107e-05
