term,relative_frequency
zeigte,0.0001523079128440367
zähne,3.5837155963302754e-05
schien,0.0005375573394495413
heute,0.00034045298165137617
nachmittag,0.00010751146788990826
aggressiver,8.959288990825689e-06
stimmung,7.167431192660551e-05
aussage,0.00010751146788990826
lachte,0.00017022649082568808
rollte,4.479644495412844e-05
augen,0.0009944810779816513
sprach,0.00034941227064220185
überraschte,3.5837155963302754e-05
ansturm,8.959288990825689e-06
öffentlichen,8.959288990825689e-06
aufmerksamkeit,0.00010751146788990826
sehe,6.271502293577982e-05
ähnlich,2.6877866972477066e-05
sogar,0.00028669724770642203
passieren,8.959288990825689e-05
aufkreuzen,8.959288990825689e-06
beileid,8.959288990825689e-06
auszusprechen,1.7918577981651377e-05
wäre,0.0009676032110091744
gar,0.00035837155963302754
gut,0.001030318233944954
alte,0.00020606364678899084
ansatz,2.6877866972477066e-05
vermuten,2.6877866972477066e-05
fang,8.959288990825689e-06
erst,0.0004838016055045872
erwiderte,0.00020606364678899084
griff,0.00010751146788990826
entließ,3.5837155963302754e-05
hand,0.0009586439220183486
festen,2.6877866972477066e-05
begann,0.0003852494266055046
monoton,8.959288990825689e-06
angeregt,1.7918577981651377e-05
vorgeschlagen,2.6877866972477066e-05
nachdem,0.00036733084862385323
krankenstation,6.271502293577982e-05
entlassen,2.6877866972477066e-05
wurdest,1.7918577981651377e-05
dark,4.479644495412844e-05
lord,0.0006002723623853211
auferstand,8.959288990825689e-06
gingen,0.00014334862385321102
turm,0.00013438933486238533
gryffindor,0.00013438933486238533
folgten,4.479644495412844e-05
rat,3.5837155963302754e-05
ernst,0.0001612672018348624
blickte,0.00034941227064220185
fest,0.00021502293577981653
konnte,0.001836654243119266
absolutes,1.7918577981651377e-05
unverständnis,1.7918577981651377e-05
darin,7.167431192660551e-05
lesen,9.855217889908257e-05
aufgeregt,6.271502293577982e-05
tuscheln,1.7918577981651377e-05
hören,0.0001612672018348624
ungestört,2.6877866972477066e-05
knie,3.5837155963302754e-05
sank,3.5837155963302754e-05
meinigen,8.959288990825689e-06
geschmeidig,1.7918577981651377e-05
nieder,1.7918577981651377e-05
langes,1.7918577981651377e-05
kleid,3.5837155963302754e-05
bauschte,8.959288990825689e-06
kniende,8.959288990825689e-06
gestalt,7.167431192660551e-05
zog,0.00027773795871559635
bestimmt,0.00017918577981651377
position,5.375573394495413e-05
einnahm,8.959288990825689e-06
angesicht,3.5837155963302754e-05
gegenüberknieten,8.959288990825689e-06
schwur,0.00010751146788990826
verschlungenen,8.959288990825689e-06
hände,0.00026877866972477066
erhoben,8.06336009174312e-05
hörte,0.00025981938073394497
entsetztes,8.959288990825689e-06
luftholen,8.959288990825689e-06
erkennen,0.00014334862385321102
konnten,0.00025981938073394497
tun,0.0005554759174311927
kam,0.0006271502293577982
befahl,5.375573394495413e-05
winkte,3.5837155963302754e-05
freien,4.479644495412844e-05
herrisch,1.7918577981651377e-05
erhob,0.00019710435779816515
wortlos,3.5837155963302754e-05
einfach,0.0007525802752293578
befehl,7.167431192660551e-05
folgte,8.959288990825689e-05
vergangenheit,7.167431192660551e-05
kannte,0.00018814506880733946
dran,4.479644495412844e-05
wusste,0.001379730504587156
mehr,0.0016843463302752295
sicher,0.0006271502293577982
richtigen,7.167431192660551e-05
namen,0.00017022649082568808
lords,0.00012543004587155964
dank,0.00012543004587155964
stellte,0.0002329415137614679
aufgabe,0.0003135751146788991
liste,3.5837155963302754e-05
dingen,2.6877866972477066e-05
erledigen,5.375573394495413e-05
ganz,0.0007077838302752293
weit,0.00017022649082568808
oben,0.00013438933486238533
freute,6.271502293577982e-05
erinnerte,0.00011647075688073395
schöne,2.6877866972477066e-05
ausstrahlung,8.959288990825689e-06
her,0.0001612672018348624
unheimliche,8.959288990825689e-06
medaillon,5.375573394495413e-05
verborgen,6.271502293577982e-05
koffer,8.959288990825689e-06
lag,0.00027773795871559635
unterdrückte,8.959288990825689e-06
kalten,6.271502293577982e-05
ähm,7.167431192660551e-05
kinderbuch,8.959288990825689e-06
beedle,8.959288990825689e-06
barden,8.959288990825689e-06
kennt,3.5837155963302754e-05
inhalt,2.6877866972477066e-05
geschichten,4.479644495412844e-05
bilder,8.06336009174312e-05
regelrecht,3.5837155963302754e-05
brüllen,1.7918577981651377e-05
beiden,0.0006271502293577982
kondolenzen,8.959288990825689e-06
gesamten,4.479644495412844e-05
zaubererwelt,1.7918577981651377e-05
entgegennahmen,8.959288990825689e-06
manor,0.0004121272935779817
mitgefühl,1.7918577981651377e-05
bekunden,8.959288990825689e-06
beileidsbezeugungen,8.959288990825689e-06
könig,8.959288990825689e-06
huldvoll,8.959288990825689e-06
entwicklungen,8.959288990825689e-06
abzeichneten,8.959288990825689e-06
zufrieden,0.00012543004587155964
großes,3.5837155963302754e-05
interesse,5.375573394495413e-05
taten,9.855217889908257e-05
verantwortlich,5.375573394495413e-05
schon,0.0016305905963302752
anstehende,8.959288990825689e-06
feier,1.7918577981651377e-05
paar,0.00026877866972477066
wochen,0.0002329415137614679
offenbarung,1.7918577981651377e-05
endlich,0.0004121272935779817
frei,8.06336009174312e-05
niemand,0.0003135751146788991
gängelt,8.959288990825689e-06
mal,0.0012184633027522936
begründet,8.959288990825689e-06
selbstherrlich,8.959288990825689e-06
dünken,8.959288990825689e-06
handelt,1.7918577981651377e-05
erkannte,0.0001612672018348624
thema,5.375573394495413e-05
richtig,0.0002508600917431193
echauffieren,8.959288990825689e-06
trat,0.00017918577981651377
leicht,0.0003135751146788991
verbitterter,8.959288990825689e-06
zug,4.479644495412844e-05
wussten,0.00017022649082568808
ja,0.0013707712155963303
zwei,0.0004658830275229358
prophezeiung,4.479644495412844e-05
erfahren,0.00027773795871559635
darüber,0.00043004587155963305
obwohl,0.00025981938073394497
immer,0.0020068807339449542
unangenehm,3.5837155963302754e-05
akute,8.959288990825689e-06
schmerz,6.271502293577982e-05
nachgelassen,8.959288990825689e-06
hieß,4.479644495412844e-05
schön,0.00012543004587155964
gewöhnte,8.959288990825689e-06
redeten,3.5837155963302754e-05
lange,0.0002956565366972477
bedeuten,4.479644495412844e-05
kamen,0.00014334862385321102
überein,8.959288990825689e-06
verbunden,2.6877866972477066e-05
einigten,8.959288990825689e-06
safe,8.959288990825689e-06
kamin,0.00017022649082568808
verstecken,2.6877866972477066e-05
legten,5.375573394495413e-05
erdenklichen,8.959288990825689e-06
zauber,0.00019710435779816515
flüche,4.479644495412844e-05
versteck,2.6877866972477066e-05
beweise,2.6877866972477066e-05
bibliothek,0.00011647075688073395
forschte,1.7918577981651377e-05
atmete,7.167431192660551e-05
gleich,0.00026877866972477066
leichter,4.479644495412844e-05
nervosität,1.7918577981651377e-05
verdammte,5.375573394495413e-05
warum,0.00044796444954128443
bescheuerte,8.959288990825689e-06
gewählt,1.7918577981651377e-05
verführte,8.959288990825689e-06
geradezu,5.375573394495413e-05
blöden,8.959288990825689e-06
fransen,8.959288990825689e-06
bisschen,8.06336009174312e-05
unterwegs,6.271502293577982e-05
ort,0.00014334862385321102
angesehen,2.6877866972477066e-05
spektakuläres,8.959288990825689e-06
sah,0.0017112241972477064
sprang,8.06336009174312e-05
unverhohlene,8.959288990825689e-06
skepsis,8.959288990825689e-06
antlitz,1.7918577981651377e-05
verarschen,8.959288990825689e-06
gab,0.0005913130733944954
schnauben,1.7918577981651377e-05
glaubten,3.5837155963302754e-05
wort,0.00019710435779816515
glaubt,4.479644495412844e-05
wies,8.959288990825689e-05
nachdrücklich,1.7918577981651377e-05
geste,4.479644495412844e-05
gespräch,0.00035837155963302754
beendet,4.479644495412844e-05
fuß,1.7918577981651377e-05
sodass,0.00012543004587155964
tür,0.0003852494266055046
beziehungsweise,8.959288990825689e-06
hast,0.0005285980504587156
aufgelesen,8.959288990825689e-06
damals,0.00028669724770642203
friedhof,8.959288990825689e-06
ortes,8.959288990825689e-06
hinappariert,8.959288990825689e-06
nachzudenken,2.6877866972477066e-05
vielleicht,0.0004569237385321101
suchen,6.271502293577982e-05
sagte,0.0020068807339449542
folgen,8.06336009174312e-05
ließen,0.00014334862385321102
gedanken,0.00043900516055045874
versunkenen,8.959288990825689e-06
erstaunte,1.7918577981651377e-05
drei,0.00028669724770642203
männer,4.479644495412844e-05
undurchsichtigste,8.959288990825689e-06
fragte,0.0007077838302752293
zustand,4.479644495412844e-05
unmöglich,7.167431192660551e-05
nein,0.000403168004587156
lief,0.00028669724770642203
brav,1.7918577981651377e-05
dickköpfig,8.959288990825689e-06
meinung,0.00011647075688073395
deut,8.959288990825689e-06
abweichen,1.7918577981651377e-05
böse,8.959288990825689e-05
blicke,0.00025981938073394497
lehrertisch,4.479644495412844e-05
essen,0.00021502293577981653
nannte,3.5837155963302754e-05
faszinierend,1.7918577981651377e-05
wagen,3.5837155963302754e-05
zauberkunst,1.7918577981651377e-05
einzuflechten,8.959288990825689e-06
ministerium,0.00022398222477064221
getan,0.00019710435779816515
verwandlung,3.5837155963302754e-05
einzubeziehen,8.959288990825689e-06
kampf,0.00017918577981651377
nutzen,2.6877866972477066e-05
fast,0.00036733084862385323
berauschend,8.959288990825689e-06
machte,0.0005106794724770642
besonderem,8.959288990825689e-06
zugeben,5.375573394495413e-05
stolz,0.00011647075688073395
halt,4.479644495412844e-05
langsam,0.00026877866972477066
slytherin,0.000403168004587156
spaß,0.00011647075688073395
verstanden,7.167431192660551e-05
mittlerweile,0.00014334862385321102
viele,0.0002956565366972477
interessen,2.6877866972477066e-05
miteinander,5.375573394495413e-05
teilten,1.7918577981651377e-05
hätten,0.0001523079128440367
genauso,0.00019710435779816515
wenig,0.00028669724770642203
zugegeben,2.6877866972477066e-05
inzwischen,0.00011647075688073395
grinste,0.00020606364678899084
breit,4.479644495412844e-05
freude,2.6877866972477066e-05
triumpf,8.959288990825689e-06
funkelte,8.959288990825689e-06
beeindruckend,8.959288990825689e-06
hinbekommen,8.959288990825689e-06
platzen,3.5837155963302754e-05
erzähle,8.959288990825689e-06
wandte,0.0003314936926605505
ab,0.0005196387614678899
strich,5.375573394495413e-05
stirn,0.00014334862385321102
kratzer,8.959288990825689e-06
heilten,8.959288990825689e-06
rot,5.375573394495413e-05
weißen,8.959288990825689e-06
blassen,8.959288990825689e-06
haut,5.375573394495413e-05
krass,8.959288990825689e-06
erwarte,2.6877866972477066e-05
patronus,8.959288990825689e-06
astoria,0.00010751146788990826
passt,3.5837155963302754e-05
bloß,9.855217889908257e-05
arch,8.959288990825689e-06
dummen,3.5837155963302754e-05
idee,0.00021502293577981653
anheimfallen,8.959288990825689e-06
glauben,0.00028669724770642203
nett,4.479644495412844e-05
liebe,0.0001612672018348624
slytherins,0.0002329415137614679
erinnert,7.167431192660551e-05
skrupel,8.959288990825689e-06
danach,0.00019710435779816515
sinnkrise,8.959288990825689e-06
gestürzt,1.7918577981651377e-05
niemanden,3.5837155963302754e-05
sehen,0.0004838016055045872
lassen,0.0005196387614678899
erkenntnis,1.7918577981651377e-05
schwer,0.00021502293577981653
schlucken,2.6877866972477066e-05
brave,8.959288990825689e-06
strebsame,8.959288990825689e-06
mudblood,2.6877866972477066e-05
skrupellos,8.959288990825689e-06
abend,0.0003314936926605505
schaffen,0.00017918577981651377
oh,8.959288990825689e-05
wunder,2.6877866972477066e-05
zuerst,0.00010751146788990826
montag,2.6877866972477066e-05
zeit,0.0007704988532110092
nahm,0.0003225344036697248
debatte,8.959288990825689e-06
gewonnen,8.06336009174312e-05
erste,0.00012543004587155964
auseinander,4.479644495412844e-05
setzen,7.167431192660551e-05
krächzte,1.7918577981651377e-05
schluss,8.959288990825689e-05
bedächtig,2.6877866972477066e-05
schneeweißen,8.959288990825689e-06
bart,6.271502293577982e-05
wirkte,0.0001523079128440367
verschlossen,4.479644495412844e-05
zustimmen,1.7918577981651377e-05
seit,0.00044796444954128443
jahr,0.0003762901376146789
zeigt,2.6877866972477066e-05
könnenmäßig,8.959288990825689e-06
eigentlich,0.00035837155963302754
schülern,4.479644495412844e-05
überlegen,6.271502293577982e-05
kurzen,0.00019710435779816515
mithalten,1.7918577981651377e-05
trifft,8.959288990825689e-06
abfällig,2.6877866972477066e-05
ärgert,8.959288990825689e-06
wütend,9.855217889908257e-05
macht,0.00027773795871559635
ballt,8.959288990825689e-06
greifbar,8.959288990825689e-06
magische,3.5837155963302754e-05
kenne,2.6877866972477066e-05
unsicher,7.167431192660551e-05
verzagt,8.959288990825689e-06
verkniff,8.959288990825689e-06
schmalen,3.5837155963302754e-05
lippen,0.00019710435779816515
faltigen,8.959288990825689e-06
gesicht,0.0004927608944954128
gestand,3.5837155963302754e-05
beobachtungen,8.959288990825689e-06
junge,0.0005554759174311927
frau,0.0001612672018348624
reinblütigen,1.7918577981651377e-05
familie,0.0004927608944954128
gehört,0.00025981938073394497
ziel,4.479644495412844e-05
daher,8.06336009174312e-05
denke,0.0002508600917431193
reinblüterin,8.959288990825689e-06
steht,0.0001612672018348624
seiten,2.6877866972477066e-05
deatheater,4.479644495412844e-05
wem,0.00010751146788990826
offenbaren,1.7918577981651377e-05
wissen,0.0006271502293577982
worauf,5.375573394495413e-05
fortfuhr,5.375573394495413e-05
gesagt,0.000403168004587156
erzählt,0.0002956565366972477
meinte,0.000403168004587156
duell,3.5837155963302754e-05
berühmt,8.959288990825689e-06
gemacht,0.00034045298165137617
