term,relative_frequency
schon,0.0020056157240272766
erblickten,5.0140393100681907e-05
madame,0.005064179703168873
zukamen,5.0140393100681907e-05
worten,0.00010028078620136381
richtete,0.00020056157240272763
blick,0.0009025270758122744
bereits,0.0004512635379061372
eigenen,0.00010028078620136381
füße,5.0140393100681907e-05
gezogen,0.00015042117930204573
leeres,5.0140393100681907e-05
zimmer,0.0002507019655034096
bugsiert,5.0140393100681907e-05
wurde,0.0014540713999197754
hogwarts,0.0006016847172081829
wissen,0.0006518251103088648
madam,0.008223024468511832
vorgeschlagen,0.00010028078620136381
bein,0.00010028078620136381
behandeln,0.00010028078620136381
lassen,0.000551544324107501
nahm,0.00030084235860409147
grundsätzlich,5.0140393100681907e-05
schwachen,0.00010028078620136381
trank,0.0004512635379061372
schmerzen,0.00015042117930204573
ließ,0.0009025270758122744
fluch,0.00010028078620136381
allein,0.00010028078620136381
abklingen,5.0140393100681907e-05
hinterfragen,5.0140393100681907e-05
trat,0.00035098275170477336
legte,0.00035098275170477336
hand,0.0007019655034095467
schulter,0.00015042117930204573
gab,0.00040112314480545525
schließlich,0.000551544324107501
anweisungen,5.0140393100681907e-05
hooch,0.0002507019655034096
professor,0.0006518251103088648
vektor,5.0140393100681907e-05
bitte,0.001103088648215002
mädchen,0.00035098275170477336
krankenflügel,0.002607300441235459
bringen,0.0005014039310068191
angesprochenen,5.0140393100681907e-05
nickten,0.00020056157240272763
hoben,5.0140393100681907e-05
schülerinnen,5.0140393100681907e-05
trugen,5.0140393100681907e-05
richtung,0.00030084235860409147
titus,5.0140393100681907e-05
vorstellen,0.0002507019655034096
schwer,0.00015042117930204573
fuhr,0.00020056157240272763
fort,0.00015042117930204573
wandte,0.0006016847172081829
müssen,0.0005014039310068191
sicherheit,0.00015042117930204573
schüler,0.0010028078620136383
denken,0.0002507019655034096
dennoch,0.00020056157240272763
macht,0.0002507019655034096
cat,5.0140393100681907e-05
erwachsenen,0.00010028078620136381
betraten,0.00020056157240272763
blieb,0.00035098275170477336
erstes,0.00015042117930204573
stehen,0.00040112314480545525
betrachtete,0.00010028078620136381
anblick,0.00015042117930204573
kinder,0.00030084235860409147
konnten,0.00040112314480545525
kaum,0.0002507019655034096
fünfzehn,5.0140393100681907e-05
junge,0.0007019655034095467
sah,0.0014039310068190934
fast,0.0006016847172081829
verängstigt,5.0140393100681907e-05
erschöpft,5.0140393100681907e-05
fieberte,5.0140393100681907e-05
sichtlich,5.0140393100681907e-05
erschrocken,5.0140393100681907e-05
murmelnd,5.0140393100681907e-05
behandelte,5.0140393100681907e-05
wich,5.0140393100681907e-05
wären,0.00015042117930204573
woche,0.0002507019655034096
später,0.0006518251103088648
gekommen,0.00035098275170477336
verhungert,5.0140393100681907e-05
erklärte,0.00035098275170477336
vorbei,0.00030084235860409147
ging,0.0012033694344163659
trage,0.00010028078620136381
herschwebend,5.0140393100681907e-05
stand,0.0008022462896109105
darin,5.0140393100681907e-05
gesicht,0.0005014039310068191
geht,0.00040112314480545525
frage,0.00015042117930204573
gerichtet,0.00010028078620136381
natürlich,0.0007019655034095467
gut,0.0015042117930204573
ausreichend,5.0140393100681907e-05
fürs,0.00010028078620136381
verlassen,0.00035098275170477336
ungern,0.00010028078620136381
ordnung,0.00040112314480545525
gegangen,0.00015042117930204573
versichert,0.00020056157240272763
unternehmen,5.0140393100681907e-05
geheimnissen,5.0140393100681907e-05
spur,5.0140393100681907e-05
kommen,0.0004512635379061372
merkwürdig,5.0140393100681907e-05
unruhig,5.0140393100681907e-05
weiteren,0.00015042117930204573
gryffindor,0.00020056157240272763
möchtest,0.00010028078620136381
welt,0.00020056157240272763
leben,0.0002507019655034096
VOLDEMORT,0.00035098275170477336
beherrscht,5.0140393100681907e-05
zwei,0.0004512635379061372
mitwisser,5.0140393100681907e-05
grummelte,0.00010028078620136381
folgte,5.0140393100681907e-05
großen,0.00015042117930204573
krankensaal,5.0140393100681907e-05
grunzte,5.0140393100681907e-05
antwortete,0.00040112314480545525
ahnung,0.00015042117930204573
erwiderte,0.00040112314480545525
mehr,0.0013036502206177295
sahen,0.00035098275170477336
voller,0.00015042117930204573
begeisterung,5.0140393100681907e-05
lasst,0.00015042117930204573
zeit,0.0008022462896109105
erneut,0.00015042117930204573
fügte,0.00015042117930204573
bereitwillig,5.0140393100681907e-05
schulleiterbüro,0.00010028078620136381
versammelt,0.00010028078620136381
schrie,0.0002507019655034096
deshalb,0.0002507019655034096
warfen,0.00015042117930204573
verständnislose,5.0140393100681907e-05
feindselige,5.0140393100681907e-05
blicke,0.000551544324107501
außer,0.00030084235860409147
nymphadora,5.0140393100681907e-05
anwesend,0.00020056157240272763
weder,0.0002507019655034096
FAWKES,0.0002507019655034096
avada,0.00015042117930204573
aufhalten,5.0140393100681907e-05
beiden,0.001153229041315684
tode,5.0140393100681907e-05
geweiht,5.0140393100681907e-05
neue,0.00020056157240272763
prophezeiung,5.0140393100681907e-05
scheint,5.0140393100681907e-05
erfüllung,5.0140393100681907e-05
gehen,0.0014540713999197754
leg,5.0140393100681907e-05
gute,0.00015042117930204573
nacht,0.000551544324107501
murmelte,0.00030084235860409147
irritiert,5.0140393100681907e-05
getrunken,5.0140393100681907e-05
konnte,0.0015042117930204573
schockte,5.0140393100681907e-05
nachricht,0.00010028078620136381
nächsten,0.0005014039310068191
tages,5.0140393100681907e-05
versteinerung,5.0140393100681907e-05
mal,0.0012535098275170478
betroffen,0.00010028078620136381
wirklich,0.0005014039310068191
änderung,5.0140393100681907e-05
sechs,0.00015042117930204573
uhr,5.0140393100681907e-05
gemeinschaftsräumen,5.0140393100681907e-05
mussten,0.0002507019655034096
bloß,0.00020056157240272763
begleitung,5.0140393100681907e-05
lehrers,5.0140393100681907e-05
unterricht,5.0140393100681907e-05
durften,5.0140393100681907e-05
änderte,5.0140393100681907e-05
alltag,5.0140393100681907e-05
vergingen,5.0140393100681907e-05
ende,0.00015042117930204573
zweiten,5.0140393100681907e-05
schuljahres,5.0140393100681907e-05
abschiedsfeier,5.0140393100681907e-05
vollen,0.00015042117930204573
gedeckten,5.0140393100681907e-05
tischen,5.0140393100681907e-05
saßen,0.00020056157240272763
soweit,0.00015042117930204573
zweites,5.0140393100681907e-05
schuljahr,0.00010028078620136381
genug,0.00035098275170477336
ja,0.0009025270758122744
allemal,5.0140393100681907e-05
mysterien,5.0140393100681907e-05
brille,0.00015042117930204573
nie,0.00035098275170477336
aufgeklärt,0.00010028078620136381
beherrschte,5.0140393100681907e-05
meinte,0.0007019655034095467
bald,0.00020056157240272763
gestalt,0.00015042117930204573
tieres,0.00010028078620136381
ans,0.00015042117930204573
licht,0.00010028078620136381
treten,5.0140393100681907e-05
übung,5.0140393100681907e-05
kontrolle,5.0140393100681907e-05
verwandeln,5.0140393100681907e-05
nächste,0.0002507019655034096
machte,0.00035098275170477336
gedanken,0.000551544324107501
darum,0.00020056157240272763
zeitpunkt,0.00015042117930204573
halle,0.00040112314480545525
bannern,5.0140393100681907e-05
geschmückt,5.0140393100681907e-05
jahr,0.00020056157240272763
grund,0.00020056157240272763
ganzen,0.0002507019655034096
vorfälle,5.0140393100681907e-05
ruhe,0.0005014039310068191
sofort,0.0009025270758122744
erst,0.000551544324107501
möchte,0.0002507019655034096
danken,5.0140393100681907e-05
alraunen,5.0140393100681907e-05
rechtzeitig,0.00010028078620136381
großgezogen,5.0140393100681907e-05
liebevoll,5.0140393100681907e-05
versteinerten,5.0140393100681907e-05
patienten,0.00015042117930204573
gekümmert,0.00010028078620136381
zudem,0.00015042117930204573
verdacht,5.0140393100681907e-05
unterbricht,5.0140393100681907e-05
denke,0.00030084235860409147
gesund,0.00015042117930204573
frühstücken,5.0140393100681907e-05
statt,0.00015042117930204573
vorzufinden,0.00010028078620136381
genau,0.0004512635379061372
genommen,0.00030084235860409147
bisher,0.00015042117930204573
gewagt,5.0140393100681907e-05
meinung,0.00020056157240272763
sagen,0.0009526674689129562
leviten,5.0140393100681907e-05
beeindruckt,5.0140393100681907e-05
hände,0.00035098275170477336
hüften,5.0140393100681907e-05
gestemmt,5.0140393100681907e-05
beinahe,0.0002507019655034096
hätte,0.0010028078620136383
wusste,0.0004512635379061372
recht,0.0005014039310068191
tun,0.0002507019655034096
außerdem,0.00030084235860409147
DOBBY,5.0140393100681907e-05
brief,0.00010028078620136381
mitgeben,5.0140393100681907e-05
herunter,0.00010028078620136381
schickt,5.0140393100681907e-05
untersucht,0.00030084235860409147
punkt,5.0140393100681907e-05
wiedersprechen,5.0140393100681907e-05
einfach,0.0008022462896109105
sicher,0.000551544324107501
baby,5.0140393100681907e-05
keinerlei,0.00020056157240272763
anstalten,5.0140393100681907e-05
machend,5.0140393100681907e-05
augenblick,0.00015042117930204573
wirbelte,0.00010028078620136381
große,0.0002507019655034096
kamin,0.0004512635379061372
langsamer,0.00010028078620136381
kam,0.0019053349378259125
klopfte,0.00020056157240272763
elegant,5.0140393100681907e-05
asche,5.0140393100681907e-05
goldenen,5.0140393100681907e-05
sternen,5.0140393100681907e-05
monden,5.0140393100681907e-05
übersäten,5.0140393100681907e-05
umhang,0.00015042117930204573
stieg,5.0140393100681907e-05
umsichtig,0.00010028078620136381
kaminvorleger,5.0140393100681907e-05
musterte,0.00015042117930204573
paar,0.0002507019655034096
couch,5.0140393100681907e-05
besorgtem,0.00010028078620136381
warum,0.00020056157240272763
braucht,0.00015042117930204573
gesundheitszustand,5.0140393100681907e-05
begeistert,5.0140393100681907e-05
los,0.00015042117930204573
nein,0.000551544324107501
scheuchte,5.0140393100681907e-05
inzwischen,5.0140393100681907e-05
krankenstation,0.00035098275170477336
gebracht,0.0002507019655034096
immer,0.0014540713999197754
blasse,0.00010028078620136381
wintersonne,5.0140393100681907e-05
verbotenen,5.0140393100681907e-05
wald,5.0140393100681907e-05
nachdrücklich,5.0140393100681907e-05
quartiere,5.0140393100681907e-05
schickte,0.0002507019655034096
gezwungen,0.00010028078620136381
gegengiften,5.0140393100681907e-05
verfügung,5.0140393100681907e-05
körper,0.0002507019655034096
verkraftete,5.0140393100681907e-05
