term,relative_frequency
erste,0.00024222850222042794
VOLDEMORT,0.026059749697214373
liebhaber,6.728569506122998e-06
wohl,0.0005248284214775939
schweren,5.3828556048983984e-05
herzens,1.3457139012245996e-05
stoppte,2.0185708518368996e-05
dank,8.074283407347598e-05
wissen,0.0008006997712286368
neue,0.00010092854259184497
dark,1.3457139012245996e-05
lord,0.0017157852240613646
zeit,0.0009150854528327277
hogwarts,0.0013928138877674606
schon,0.0018301709056654555
lehrer,0.0003095141972816579
arbeitete,6.728569506122998e-05
jungen,0.0005113712824653478
mann,0.0005046427129592249
misstraute,6.728569506122998e-06
schüler,0.0003700713228367649
konnte,0.0021867850894899746
stoppen,2.6914278024491992e-05
kampfstil,6.728569506122998e-06
daran,0.0005113712824653478
schuld,0.00018167137666532095
showeinlage,6.728569506122998e-06
ministerium,0.0006930426591306688
immer,0.0019916565738124074
geprägt,1.3457139012245996e-05
unbeugsam,6.728569506122998e-06
zeigen,0.00014129995962858295
hand,0.0005046427129592249
klar,0.0003162427667877809
nachgeben,1.3457139012245996e-05
kampf,0.0005046427129592249
hielt,0.0003566141838245189
schenken,2.6914278024491992e-05
erinnerungen,0.0004306284483918719
ganzen,0.00023549993271430495
bisschen,7.401426456735298e-05
freiheit,3.364284753061499e-05
lassen,0.0006661283811061769
leben,0.0009958282869062037
lebenswert,6.728569506122998e-06
macht,0.0007132283676490378
versuchte,0.00034988561431839593
harschen,6.728569506122998e-06
scharfen,1.3457139012245996e-05
befehlen,6.728569506122998e-06
zwingen,2.6914278024491992e-05
zauber,0.0003902570313551339
zeigte,0.00018839994617144394
beeindruckt,2.6914278024491992e-05
erst,0.0004306284483918719
gab,0.0006593998116000538
schachtel,1.3457139012245996e-05
wertvolle,3.364284753061499e-05
dinge,0.00018167137666532095
sammelte,4.037141703673799e-05
mundharmonika,1.3457139012245996e-05
dergleichen,1.3457139012245996e-05
erpresst,6.728569506122998e-06
gestohlen,5.3828556048983984e-05
widerrechtlich,6.728569506122998e-06
angeeignet,6.728569506122998e-06
rigoros,1.3457139012245996e-05
darauf,0.00043735701789799486
bestand,2.6914278024491992e-05
begleitung,3.364284753061499e-05
diagon,6.728569506122998e-06
alley,6.728569506122998e-06
gehen,0.0003835284618490109
schulsachen,1.3457139012245996e-05
alleine,0.00012784282061633695
erzählte,0.0003162427667877809
gesehene,6.728569506122998e-06
zusammenfasste,6.728569506122998e-06
aspekten,6.728569506122998e-06
bereits,0.0004306284483918719
schule,0.0003633427533306419
angefangen,0.00012784282061633695
magischen,0.00016148566814695197
kräfte,6.728569506122998e-05
bewusst,0.00014802852913470597
gezielt,2.0185708518368996e-05
einzusetzen,2.0185708518368996e-05
trat,0.00014802852913470597
amüsiertes,6.728569506122998e-06
leicht,0.00019512851567756695
spöttisches,6.728569506122998e-06
lächeln,0.00016148566814695197
augen,0.0008208854797470058
meinte,0.0004709998654286099
sei,0.0005786569775265779
misstrauisch,4.037141703673799e-05
damals,0.0005450141299959629
waisenhaus,0.00011438568160409097
passiert,0.00018839994617144394
sympathien,6.728569506122998e-06
geweckt,1.3457139012245996e-05
hätte,0.0012111425111021397
unsinn,2.0185708518368996e-05
getan,0.00034988561431839593
denkt,8.747140357959898e-05
muggelvater,1.3457139012245996e-05
gerächt,6.728569506122998e-06
somit,0.00013457139012245997
vermutung,5.3828556048983984e-05
bestätigt,5.3828556048983984e-05
ersten,0.0004508141569102409
drei,0.00022204279370205895
morde,2.6914278024491992e-05
begangen,6.0557125555106984e-05
kennen,0.00010092854259184497
sagte,0.0015946709729511505
danach,0.00021531422419593594
untergetaucht,6.728569506122998e-06
sichtlich,2.6914278024491992e-05
unangenehm,2.0185708518368996e-05
wusste,0.0012447853586327548
sauer,3.364284753061499e-05
ungehalten,2.6914278024491992e-05
weiterhin,0.00018839994617144394
ansprach,1.3457139012245996e-05
gesagt,0.0006055712555510698
bekam,7.401426456735298e-05
natürlich,0.0004911855739469789
lehrstelle,6.728569506122998e-06
erhalten,0.00012784282061633695
zückte,2.6914278024491992e-05
beim,0.00026241421073879695
zauberstab,0.0004777284349347329
nickte,0.0003767998923428879
nachdenklich,8.747140357959898e-05
jupp,6.728569506122998e-06
geht,0.0002758713497510429
gezogen,8.074283407347598e-05
fluch,0.00024222850222042794
gesprochen,0.00012784282061633695
verteidigungslehrer,2.0185708518368996e-05
länger,4.037141703673799e-05
jahr,0.0003633427533306419
stelle,0.00013457139012245997
halten,0.00020858565468981295
bisher,0.00011438568160409097
alte,0.0002758713497510429
lage,0.00016148566814695197
brechen,4.037141703673799e-05
seit,0.0004911855739469789
versucht,0.0002489570717265509
kompliziert,6.728569506122998e-06
tomihn,6.728569506122998e-06
überrumpelt,6.728569506122998e-06
fabuliert,6.728569506122998e-06
warum,0.0007199569371551608
zweimal,4.037141703673799e-05
posten,6.728569506122998e-05
beworben,1.3457139012245996e-05
zuhause,4.037141703673799e-05
etliche,2.6914278024491992e-05
magische,0.00015475709864082895
geheimnisse,8.074283407347598e-05
birgt,6.728569506122998e-06
gelegenheit,3.364284753061499e-05
suchte,7.401426456735298e-05
lehrtätigkeit,6.728569506122998e-06
anhänger,0.0003027856277755349
schülerschaft,1.3457139012245996e-05
verpflichten,6.728569506122998e-06
letzte,0.00020185708518368994
preisgeben,6.728569506122998e-06
erinnerung,0.0003835284618490109
beschafft,6.728569506122998e-06
erinnerte,0.00019512851567756695
bitte,0.0002489570717265509
unsers,6.728569506122998e-06
zweites,2.6914278024491992e-05
schuljahr,0.00019512851567756695
rausgefunden,2.0185708518368996e-05
marvolo,2.0185708518368996e-05
jahren,0.00034988561431839593
behauptet,9.419997308572197e-05
tod,0.0006728569506122998
MYRTE,3.364284753061499e-05
verantwortlich,6.728569506122998e-05
wäre,0.0010429282734490646
ausschluss,6.728569506122998e-06
geführt,6.728569506122998e-05
wobei,0.00013457139012245997
anschuldigung,6.728569506122998e-06
haaren,2.6914278024491992e-05
herbeigezogen,6.728569506122998e-06
mochte,8.747140357959898e-05
fiel,0.00019512851567756695
spinnenmonster,6.728569506122998e-06
wenngleich,6.728569506122998e-06
gelben,2.0185708518368996e-05
tötenden,6.728569506122998e-06
versteinernden,6.728569506122998e-06
aufzuweisen,6.728569506122998e-06
geist,0.00020185708518368994
bestätigen,3.364284753061499e-05
gefragt,7.401426456735298e-05
übersehen,6.728569506122998e-06
logische,6.728569506122998e-06
schlussfolgerungen,1.3457139012245996e-05
betraf,3.364284753061499e-05
welt,0.0003835284618490109
nie,0.0008006997712286368
besonders,0.00012111425111021397
aufgeschlossen,6.728569506122998e-06
weiterer,4.7099986542860985e-05
grund,0.0003027856277755349
auffiel,1.3457139012245996e-05
genialität,6.728569506122998e-06
frage,0.0003027856277755349
stellen,0.00022877136320818194
großen,0.00029605705826941193
jauchzer,6.728569506122998e-06
kamin,7.401426456735298e-05
geschmissen,6.728569506122998e-06
lautstark,1.3457139012245996e-05
erfreut,3.364284753061499e-05
begrüßt,2.6914278024491992e-05
geschehnisse,3.364284753061499e-05
rasenden,6.728569506122998e-06
geschwindigkeit,6.728569506122998e-06
antwortete,0.0003364284753061499
brieflichen,6.728569506122998e-06
fragen,0.00020858565468981295
kam,0.0006324855335755618
raus,6.0557125555106984e-05
narbe,0.00010092854259184497
öfters,2.6914278024491992e-05
schmerzte,2.6914278024491992e-05
gleichzeitig,0.00010092854259184497
heftiges,1.3457139012245996e-05
gefühl,0.00024222850222042794
vermuten,3.364284753061499e-05
deatheater,6.728569506122998e-06
zwischenzeit,1.3457139012245996e-05
zurück,0.0010496568429551878
aufgebrochen,2.0185708518368996e-05
berichtete,8.074283407347598e-05
ermittlerteam,6.728569506122998e-06
angriff,0.00018167137666532095
wich,5.3828556048983984e-05
jedoch,0.00032297133629390393
sekunde,5.3828556048983984e-05
seite,0.0008208854797470058
medimagier,6.728569506122998e-06
braucht,3.364284753061499e-05
gute,0.00015475709864082895
nachricht,6.728569506122998e-05
verkündete,2.6914278024491992e-05
heilerin,6.728569506122998e-06
kollegen,4.037141703673799e-05
gewandt,2.0185708518368996e-05
mittlerweile,0.00018167137666532095
hell,2.0185708518368996e-05
erleuchtete,6.728569506122998e-06
wohnzimmer,3.364284753061499e-05
wochen,0.00016821423765307495
albträume,1.3457139012245996e-05
träume,6.728569506122998e-05
denen,0.00018839994617144394
zimmer,0.00010765711209796797
