term,relative_frequency
jungen,0.00014590871950507763
wurde,0.0008754523170304658
erklärt,8.754523170304658e-05
zwei,0.0009046340609314813
rote,2.9181743901015526e-05
köpfe,0.0001167269756040621
wippten,2.9181743901015526e-05
kommt,0.00017509046340609315
seid,0.00026263569510913973
eigentlich,0.0004960896463172639
losgeworden,2.9181743901015526e-05
obwohl,0.0003501809268121863
genialität,5.836348780203105e-05
bisschen,0.0003209991829111708
boshaftigkeit,2.9181743901015526e-05
fehlten,5.836348780203105e-05
gut,0.0012548149877436676
konnte,0.0015174506828528073
markus,5.836348780203105e-05
lassen,0.00017509046340609315
beiden,0.0021302673047741334
mädels,2.9181743901015526e-05
alarmiert,2.9181743901015526e-05
ansahen,5.836348780203105e-05
umfasse,2.9181743901015526e-05
arm,0.00026263569510913973
ging,0.00110890626823859
boxte,2.9181743901015526e-05
weniger,0.00029181743901015526
sanft,2.9181743901015526e-05
hör,2.9181743901015526e-05
sofort,0.00040854441461421736
abwertend,2.9181743901015526e-05
reden,0.00017509046340609315
zuckersüß,2.9181743901015526e-05
meinte,0.0004960896463172639
ernsthaft,8.754523170304658e-05
angestrengt,2.9181743901015526e-05
atmete,2.9181743901015526e-05
bar,8.754523170304658e-05
drink,2.9181743901015526e-05
brachte,0.00020427220730710868
nachdem,0.0004377261585152329
eindeutigen,2.9181743901015526e-05
blick,0.0013423602194467142
erlaubnis,5.836348780203105e-05
gebeten,2.9181743901015526e-05
gerne,0.0003501809268121863
lass,8.754523170304658e-05
ärgern,2.9181743901015526e-05
schmiss,2.9181743901015526e-05
genervt,8.754523170304658e-05
raus,0.00014590871950507763
geplänkel,2.9181743901015526e-05
gefühlswelt,2.9181743901015526e-05
nervte,8.754523170304658e-05
enorm,5.836348780203105e-05
raubte,2.9181743901015526e-05
außerdem,0.00020427220730710868
zeit,0.0009338158048324968
sowieso,5.836348780203105e-05
schon,0.0028014474144974905
knapp,5.836348780203105e-05
penibel,2.9181743901015526e-05
verabschiedeten,8.754523170304658e-05
geschwind,2.9181743901015526e-05
männer,5.836348780203105e-05
zurückgebliebenen,2.9181743901015526e-05
verzagten,2.9181743901015526e-05
schenkte,5.836348780203105e-05
blieb,0.00020427220730710868
angewiesen,2.9181743901015526e-05
zurück,0.0008170888292284347
stand,0.0005836348780203105
immer,0.0016341776584568694
konferenztisch,2.9181743901015526e-05
gemütlich,5.836348780203105e-05
saß,0.0008754523170304658
fragte,0.0007587253414264037
tun,0.00037936267071320183
lässt,0.00017509046340609315
weasleyzwillinge,8.754523170304658e-05
ruhe,0.0001167269756040621
kopf,0.000554453134119295
formte,2.9181743901015526e-05
langsam,0.0002334539512081242
sicher,0.0004377261585152329
plan,2.9181743901015526e-05
heute,0.0003209991829111708
nacht,0.00029181743901015526
beginnen,5.836348780203105e-05
wege,5.836348780203105e-05
leiten,2.9181743901015526e-05
seit,0.00029181743901015526
ball,0.0003209991829111708
gab,0.0007003618536243726
großes,8.754523170304658e-05
problem,8.754523170304658e-05
beziehung,0.0001167269756040621
twins,0.0001167269756040621
hieß,5.836348780203105e-05
grüßte,2.9181743901015526e-05
lässig,2.9181743901015526e-05
vorbei,0.00040854441461421736
mehr,0.0013423602194467142
geschockte,5.836348780203105e-05
erschütterte,2.9181743901015526e-05
wohl,0.0003209991829111708
empörte,2.9181743901015526e-05
