term,relative_frequency
befahl,7.38443361394181e-05
alte,0.0001476886722788362
leiterin,0.00022153300841825432
magische,0.0003692216806970905
strafverfolgung,0.0003692216806970905
posten,7.38443361394181e-05
vakant,7.38443361394181e-05
vorschlagen,7.38443361394181e-05
reihen,0.0001476886722788362
besetzen,7.38443361394181e-05
dank,7.38443361394181e-05
minister,7.38443361394181e-05
hörig,7.38443361394181e-05
konnte,0.0015507310589277803
denken,0.0001476886722788362
entwicklung,0.0001476886722788362
zufrieden,0.00022153300841825432
fand,0.0005169103529759268
angemessen,7.38443361394181e-05
abbott,0.0003692216806970905
entwickelte,7.38443361394181e-05
mauerblümchen,7.38443361394181e-05
aufgrund,7.38443361394181e-05
verlustes,7.38443361394181e-05
wurde,0.0008122876975335992
außerdem,0.0001476886722788362
zeigte,0.0002953773445576724
tot,7.38443361394181e-05
tante,0.0001476886722788362
gutmütige,7.38443361394181e-05
naive,7.38443361394181e-05
hufflepuff,0.0002953773445576724
blieb,0.0003692216806970905
letzten,0.00022153300841825432
jahre,0.0016245753950671984
gezeigt,0.0001476886722788362
aggressiv,7.38443361394181e-05
zeigten,7.38443361394181e-05
augen,0.0008122876975335992
harte,7.38443361394181e-05
stärke,7.38443361394181e-05
bezeugte,7.38443361394181e-05
breit,0.0001476886722788362
kämpfen,7.38443361394181e-05
rächen,7.38443361394181e-05
darf,7.38443361394181e-05
madam,0.0001476886722788362
abteilung,0.0003692216806970905
vorstellen,0.0001476886722788362
sagte,0.004430660168365086
half,0.0001476886722788362
aufzusetzen,7.38443361394181e-05
wobei,0.0001476886722788362
rücken,7.38443361394181e-05
magisch,7.38443361394181e-05
vergrößerten,7.38443361394181e-05
kissen,7.38443361394181e-05
abstützte,7.38443361394181e-05
fragte,0.0016245753950671984
ganz,0.000664599025254763
offensichtlich,7.38443361394181e-05
interessiert,0.0001476886722788362
jedweder,7.38443361394181e-05
information,7.38443361394181e-05
erhalten,7.38443361394181e-05
zauberer,0.00022153300841825432
löste,7.38443361394181e-05
verschränkten,7.38443361394181e-05
arme,0.0002953773445576724
klein,0.00022153300841825432
wenig,0.0005169103529759268
vorn,7.38443361394181e-05
schwarzen,0.0001476886722788362
gebilde,7.38443361394181e-05
begannen,7.38443361394181e-05
erscheinen,7.38443361394181e-05
rauch,0.0001476886722788362
verfestigen,7.38443361394181e-05
todesser,0.0003692216806970905
melde,7.38443361394181e-05
später,0.000738443361394181
verhör,7.38443361394181e-05
wirklich,0.001403042386648944
nennen,7.38443361394181e-05
jasper,7.38443361394181e-05
ging,0.0017722640673460345
regelrecht,7.38443361394181e-05
haut,7.38443361394181e-05
madame,0.0001476886722788362
gerade,0.001403042386648944
zimperlich,7.38443361394181e-05
gesamte,0.00022153300841825432
ministerium,0.0001476886722788362
gezwungen,7.38443361394181e-05
erinnerungen,7.38443361394181e-05
natürlich,0.0008861320336730173
anzusehen,7.38443361394181e-05
erst,0.0003692216806970905
recht,0.0003692216806970905
