term,relative_frequency
mitgebracht,0.00017404016847088308
purpurroten,3.4808033694176616e-05
haaren,0.0002436562358592363
armen,0.0004873124717184726
lag,0.0002088482021650597
haar,0.0002088482021650597
spielte,0.0002088482021650597
paar,0.0008005847749660622
minuten,0.00017404016847088308
saßen,0.00031327230324758955
einfach,0.000452504438024296
schweigend,3.4808033694176616e-05
beobachteten,3.4808033694176616e-05
schlief,0.00017404016847088308
winzigen,3.4808033694176616e-05
bewegungen,3.4808033694176616e-05
farbe,0.0002436562358592363
haare,0.000452504438024296
immer,0.0016707856173204777
mal,0.0014619374151554178
bleibt,0.0002784642695534129
beließ,3.4808033694176616e-05
abend,0.000452504438024296
beruhen,6.961606738835323e-05
fragen,0.0002436562358592363
kopf,0.0005917365728010024
verschwinden,0.00010442410108252985
sonntag,0.00013923213477670646
kam,0.0009398169097427686
sowohl,6.961606738835323e-05
gesamte,0.0002436562358592363
weasleyfamilie,3.4808033694176616e-05
thema,0.0002088482021650597
ablenkte,3.4808033694176616e-05
genau,0.000452504438024296
fehlte,3.4808033694176616e-05
fiel,0.00017404016847088308
schlecht,0.00013923213477670646
ging,0.0006961606738835323
lud,6.961606738835323e-05
sofort,0.0006961606738835323
tage,0.000452504438024296
fuchsbau,0.000452504438024296
bleiben,0.0005221205054126493
allein,0.00013923213477670646
verantwortlich,6.961606738835323e-05
zögerlich,0.00010442410108252985
stimmte,0.0002088482021650597
blieb,0.0002784642695534129
nächsten,0.0007657767412718856
erklärt,0.00010442410108252985
bekam,0.0002088482021650597
besten,0.00013923213477670646
weasleys,0.0008702008423544154
wildfeurige,3.4808033694176616e-05
wunderknaller,3.4808033694176616e-05
herstellte,3.4808033694176616e-05
montag,6.961606738835323e-05
schaffte,0.0002088482021650597
hollow,6.961606738835323e-05
angelegenheit,6.961606738835323e-05
grabstein,3.4808033694176616e-05
klären,3.4808033694176616e-05
bezahlen,3.4808033694176616e-05
neben,0.0008702008423544154
robert,0.00010442410108252985
hielt,0.0003828883706359428
erwartet,6.961606738835323e-05
vater,0.00013923213477670646
dädalus,3.4808033694176616e-05
ehemaligen,0.00013923213477670646
jägerinnen,3.4808033694176616e-05
gryffindors,6.961606738835323e-05
damaliger,3.4808033694176616e-05
hüter,3.4808033694176616e-05
viele,0.0004176964043301194
mitglieder,3.4808033694176616e-05
armee,3.4808033694176616e-05
mcmillan,3.4808033694176616e-05
pavati,3.4808033694176616e-05
patil,3.4808033694176616e-05
sogar,0.0004873124717184726
creevy,3.4808033694176616e-05
kleine,0.0007309687075777089
bruder,0.00013923213477670646
garten,0.0005221205054126493
versammelt,6.961606738835323e-05
beglückwünschten,3.4808033694176616e-05
runde,0.00010442410108252985
drehte,0.0002436562358592363
begrüßen,6.961606738835323e-05
daraufhin,3.4808033694176616e-05
verlief,3.4808033694176616e-05
frühstück,0.0002088482021650597
relativ,3.4808033694176616e-05
ruhig,0.00010442410108252985
merkwürdig,6.961606738835323e-05
vorkam,3.4808033694176616e-05
nie,0.000452504438024296
erlebt,6.961606738835323e-05
moment,0.0004873124717184726
dinge,6.961606738835323e-05
misstrauische,3.4808033694176616e-05
blicke,0.0002436562358592363
restlichen,0.00010442410108252985
vormittag,6.961606738835323e-05
frühen,6.961606738835323e-05
nachmittag,0.0002784642695534129
verbrachten,6.961606738835323e-05
größtenteils,3.4808033694176616e-05
fuchsbaus,3.4808033694176616e-05
sonne,6.961606738835323e-05
anspannung,3.4808033694176616e-05
haus,0.0011834731456020048
herrschte,0.0002088482021650597
zwei,0.0008353928086602388
gedanken,0.00034808033694176617
brachte,0.0003828883706359428
aufheiterte,3.4808033694176616e-05
zwanzig,3.4808033694176616e-05
schau,3.4808033694176616e-05
voll,0.0002784642695534129
sorge,0.00010442410108252985
erwiderte,0.0003828883706359428
winkte,0.00013923213477670646
gerade,0.0011138570782136517
leuchtendes,3.4808033694176616e-05
türkis,3.4808033694176616e-05
angenommen,0.00013923213477670646
arm,0.0012182811792961815
seite,0.0002436562358592363
atriums,3.4808033694176616e-05
aufgetaucht,3.4808033694176616e-05
lächelte,0.0005917365728010024
schön,0.0004176964043301194
sagte,0.0022277141564273034
schüttelte,0.0002784642695534129
hand,0.0006961606738835323
beide,0.00034808033694176617
wandten,3.4808033694176616e-05
rechts,3.4808033694176616e-05
sahen,0.0002436562358592363
muggelkleidung,3.4808033694176616e-05
trug,0.00017404016847088308
blaue,3.4808033694176616e-05
mütze,6.961606738835323e-05
haarschopf,3.4808033694176616e-05
änderte,6.961606738835323e-05
kräfte,3.4808033694176616e-05
kontrolle,3.4808033694176616e-05
muggeln,3.4808033694176616e-05
verbarg,3.4808033694176616e-05
umarmte,0.00017404016847088308
kurz,0.0006265446064951791
übergeben,6.961606738835323e-05
nahm,0.0005917365728010024
arme,0.0004873124717184726
patensohn,0.0002784642695534129
tief,0.00013923213477670646
fest,0.0004176964043301194
hervorlugte,3.4808033694176616e-05
hellbraune,3.4808033694176616e-05
färbten,3.4808033694176616e-05
pink,3.4808033694176616e-05
kurzen,0.0002088482021650597
augenblick,6.961606738835323e-05
konnte,0.0016707856173204777
ganz,0.0010442410108252986
zügen,3.4808033694176616e-05
erkennen,0.00010442410108252985
sah,0.0012530892129903582
großen,0.00031327230324758955
augen,0.0006265446064951791
dauerte,0.00013923213477670646
weile,0.00017404016847088308
dämmerte,6.961606738835323e-05
gesprochen,0.00013923213477670646
aufsah,6.961606738835323e-05
bemerkte,0.00017404016847088308
aufmerksam,6.961606738835323e-05
beobachtete,0.00034808033694176617
schien,0.0004176964043301194
mehr,0.0016707856173204777
antwort,0.00010442410108252985
warten,0.00017404016847088308
blick,0.0010094329771311219
vielleicht,0.00034808033694176617
zurück,0.000905008876048592
leise,0.0006613526401893557
gähnte,3.4808033694176616e-05
warmen,3.4808033694176616e-05
körper,6.961606738835323e-05
falls,0.00013923213477670646
hilfe,6.961606738835323e-05
brauche,3.4808033694176616e-05
nickte,0.0004873124717184726
schmunzelte,6.961606738835323e-05
einschläft,3.4808033694176616e-05
später,0.0005569285391068258
unerträglich,3.4808033694176616e-05
warnte,3.4808033694176616e-05
leicht,0.00031327230324758955
her,0.00034808033694176617
schon,0.0021232900553447734
zurecht,3.4808033694176616e-05
kommen,0.0006265446064951791
trat,0.0002436562358592363
durchzulassen,3.4808033694176616e-05
abschied,0.00010442410108252985
durchs,0.00010442410108252985
strich,0.00034808033694176617
kuss,0.00013923213477670646
stirn,6.961606738835323e-05
verließ,0.00013923213477670646
raum,6.961606738835323e-05
nachdem,0.0008005847749660622
verabschiedet,0.00010442410108252985
folgte,0.00010442410108252985
hinaus,0.00010442410108252985
wiederholte,6.961606738835323e-05
sollten,0.0002088482021650597
gleich,0.0005221205054126493
laden,6.961606738835323e-05
wiederkommen,6.961606738835323e-05
letzten,0.0003828883706359428
worten,3.4808033694176616e-05
verdrehte,3.4808033694176616e-05
leichtes,0.00010442410108252985
lächeln,0.000452504438024296
lippen,0.00017404016847088308
besorgnis,3.4808033694176616e-05
verschwand,0.00010442410108252985
wohnzimmer,0.000905008876048592
sofa,0.0002784642695534129
spürte,0.00010442410108252985
augenblicklich,3.4808033694176616e-05
anfing,0.0002088482021650597
boden,0.0002784642695534129
mitte,3.4808033694176616e-05
raumes,3.4808033694176616e-05
übersät,3.4808033694176616e-05
spielsachen,6.961606738835323e-05
liebstes,3.4808033694176616e-05
bilderbuch,6.961606738835323e-05
aufgeschlagen,3.4808033694176616e-05
leisen,6.961606738835323e-05
verdacht,3.4808033694176616e-05
zusammen,0.0007657767412718856
angesehen,3.4808033694176616e-05
bevor,0.0004176964043301194
eingeschlafen,0.00010442410108252985
gefallen,0.0002784642695534129
überrascht,0.0002088482021650597
schlafend,3.4808033694176616e-05
sehen,0.0005221205054126493
meist,0.00010442410108252985
aussah,6.961606738835323e-05
gelegt,0.00010442410108252985
stoffwolf,3.4808033694176616e-05
geburt,0.0002436562358592363
bekommen,0.00034808033694176617
sorgen,0.0002784642695534129
gemacht,0.0004873124717184726
pate,0.00017404016847088308
versagen,3.4808033694176616e-05
selbe,3.4808033694176616e-05
gesicht,0.0005917365728010024
sicherheit,6.961606738835323e-05
gab,0.0005917365728010024
scheint,0.00013923213477670646
froh,0.0005917365728010024
jemand,3.4808033694176616e-05
stunden,0.00034808033694176617
übernehmen,3.4808033694176616e-05
besorgt,6.961606738835323e-05
schief,0.00010442410108252985
gehen,0.0005569285391068258
ziemlich,0.0002784642695534129
super,0.00010442410108252985
lucas,6.961606738835323e-05
fragte,0.0008005847749660622
hinunter,0.0002088482021650597
ginnyin,3.4808033694176616e-05
wochen,0.0004176964043301194
