term,relative_frequency
servierte,3.0680493342332946e-05
sofort,0.0003374854267656624
dabei,0.0006136098668466589
riss,0.0002761244400809965
augen,0.00239307848070197
shit,3.0680493342332946e-05
gibt,0.00012272197336933178
ärger,3.0680493342332946e-05
murrte,0.00018408296005399766
düster,0.00012272197336933178
nickte,0.0010124562802969871
schlicht,6.136098668466589e-05
konnte,0.0019942320672516416
halle,0.00015340246671166472
beobachtung,3.0680493342332946e-05
wenden,3.0680493342332946e-05
ahnte,0.00012272197336933178
mehr,0.0017794686138553107
unschöne,3.0680493342332946e-05
dinge,6.136098668466589e-05
weiß,0.00024544394673866357
resignierte,3.0680493342332946e-05
problem,9.204148002699883e-05
gehört,0.00018408296005399766
erfreuen,3.0680493342332946e-05
gruppe,9.204148002699883e-05
bestehend,3.0680493342332946e-05
ab,0.0007670123335583236
besten,6.136098668466589e-05
freund,0.00018408296005399766
lestranges,3.0680493342332946e-05
begrüßte,3.0680493342332946e-05
neue,9.204148002699883e-05
mitglied,3.0680493342332946e-05
gar,0.0005215683868196601
abgeneigt,6.136098668466589e-05
zurückzog,6.136098668466589e-05
weiterhin,0.00012272197336933178
nische,6.136098668466589e-05
verharrte,0.00030680493342332945
plötzlich,0.0002147634533963306
traf,0.00024544394673866357
oben,6.136098668466589e-05
woraufhin,3.0680493342332946e-05
beine,0.00012272197336933178
erst,0.0002761244400809965
anfingen,3.0680493342332946e-05
langsam,0.0008897343069276554
zittern,6.136098668466589e-05
zappelnd,3.0680493342332946e-05
bewegten,6.136098668466589e-05
sodass,0.00024544394673866357
kontrolle,3.0680493342332946e-05
darüber,0.0004908878934773271
loslassen,6.136098668466589e-05
gerade,0.0008590538135853224
aufgefangen,3.0680493342332946e-05
stockte,6.136098668466589e-05
großen,0.0002147634533963306
helden,6.136098668466589e-05
VOLDEMORT,0.0004295269067926612
dolohov,0.001073817266981653
schlimmsten,6.136098668466589e-05
verbrecher,3.0680493342332946e-05
krieges,6.136098668466589e-05
egal,9.204148002699883e-05
seite,0.0008897343069276554
standen,0.00012272197336933178
angefangen,9.204148002699883e-05
bilder,6.136098668466589e-05
vergessen,0.0002147634533963306
oberfläche,6.136098668466589e-05
drängten,6.136098668466589e-05
drei,0.00024544394673866357
wochen,0.00015340246671166472
späterhermine,3.0680493342332946e-05
ministerium,0.00012272197336933178
verlassen,9.204148002699883e-05
elena,9.204148002699883e-05
entgegen,0.00018408296005399766
verfolgen,6.136098668466589e-05
tat,0.00015340246671166472
leid,0.00012272197336933178
enttäuschen,3.0680493342332946e-05
müssen,0.00012272197336933178
eigentlich,0.0002761244400809965
mochte,0.00015340246671166472
ging,0.0005829293735043259
einfach,0.0007363318402159906
wirklich,0.0005215683868196601
dankbar,0.00012272197336933178
paar,0.0005829293735043259
tage,9.204148002699883e-05
später,0.0002147634533963306
saß,0.0002147634533963306
sichtlich,6.136098668466589e-05
nervöse,3.0680493342332946e-05
kleinen,0.0004295269067926612
café,3.0680493342332946e-05
wartete,0.00018408296005399766
deren,0.00012272197336933178
bruder,0.00018408296005399766
fall,0.0002147634533963306
gehen,0.0003988464134503283
brummte,3.0680493342332946e-05
verließ,0.0003681659201079953
machte,0.0006136098668466589
breit,6.136098668466589e-05
steuerte,6.136098668466589e-05
blick,0.0017181076271706448
finster,3.0680493342332946e-05
murmelte,0.0008590538135853224
unverständliches,3.0680493342332946e-05
vorhandenen,3.0680493342332946e-05
bart,3.0680493342332946e-05
warf,0.0005215683868196601
abfälligen,9.204148002699883e-05
entfernte,3.0680493342332946e-05
tut,0.00018408296005399766
drückte,0.0003374854267656624
kuss,0.00024544394673866357
stirn,0.0002761244400809965
klopfendem,6.136098668466589e-05
herzen,0.00015340246671166472
stand,0.0007976928269006566
haus,0.0005215683868196601
wohnte,6.136098668466589e-05
endlich,0.0002147634533963306
zuhause,3.0680493342332946e-05
angekommen,3.0680493342332946e-05
wichtelkind,3.0680493342332946e-05
heliapairing,3.0680493342332946e-05
x,3.0680493342332946e-05
klingt,3.0680493342332946e-05
erstmal,3.0680493342332946e-05
unmöglich,3.0680493342332946e-05
genau,0.000552248880161993
finde,9.204148002699883e-05
super,3.0680493342332946e-05
kuppler,6.136098668466589e-05
voll,0.00012272197336933178
zeug,6.136098668466589e-05
legen,9.204148002699883e-05
schwester,0.00018408296005399766
wahlweise,3.0680493342332946e-05
zwei,0.0002761244400809965
jahre,6.136098668466589e-05
krieg,3.0680493342332946e-05
winterzeitprompt,3.0680493342332946e-05
angehörige,3.0680493342332946e-05
möchte,0.00015340246671166472
sichergehen,3.0680493342332946e-05
nie,0.0003988464134503283
schiefe,3.0680493342332946e-05
bahn,3.0680493342332946e-05
gerät,9.204148002699883e-05
vorurteile,3.0680493342332946e-05
überwindet,3.0680493342332946e-05
gelehrt,3.0680493342332946e-05
lestrange,0.0002147634533963306
todesser,0.000552248880161993
meisten,9.204148002699883e-05
fürchtete,6.136098668466589e-05
hockte,9.204148002699883e-05
vorfahren,3.0680493342332946e-05
aufeinander,6.136098668466589e-05
schiefgehen,3.0680493342332946e-05
unterricht,0.00012272197336933178
fand,0.0003988464134503283
heraus,0.0002761244400809965
abraxas,0.00012272197336933178
freunden,0.00018408296005399766
orion,0.00015340246671166472
black,6.136098668466589e-05
natürlich,0.00015340246671166472
handelte,0.00018408296005399766
krallte,0.00018408296005399766
hand,0.0018715100938823095
tisch,0.00030680493342332945
hielt,0.0009204148002699883
mund,0.00024544394673866357
genauso,0.00030680493342332945
augenwinkel,9.204148002699883e-05
sehen,0.0003988464134503283
draußen,9.204148002699883e-05
brachen,3.0680493342332946e-05
lautes,3.0680493342332946e-05
gelächter,3.0680493342332946e-05
grinsen,0.0002147634533963306
lgjuli,3.0680493342332946e-05
nächste,6.136098668466589e-05
verwandlung,6.136098668466589e-05
irgendwann,9.204148002699883e-05
zuende,3.0680493342332946e-05
nächsten,0.0003988464134503283
stunde,0.00015340246671166472
geschichte,0.00015340246671166472
zauberei,3.0680493342332946e-05
gegenüber,0.0003988464134503283
prustete,3.0680493342332946e-05
los,0.0002147634533963306
alexander,3.0680493342332946e-05
sah,0.0018408296005399767
schockiert,3.0680493342332946e-05
legte,0.0005829293735043259
theatralisch,3.0680493342332946e-05
herz,0.0003988464134503283
morgen,0.00018408296005399766
grummelte,3.0680493342332946e-05
große,0.00018408296005399766
rief,0.00024544394673866357
schnell,0.00046020740013499417
hintereinander,3.0680493342332946e-05
immer,0.0024237589740443025
ausweichen,3.0680493342332946e-05
