term,relative_frequency
denke,0.00012319063751154913
zeigen,6.159531875577457e-05
zurecht,6.159531875577457e-05
kommt,0.00018478595626732368
glaub,0.00012319063751154913
gute,0.00024638127502309826
wahl,6.159531875577457e-05
ganz,0.0006159531875577456
streng,6.159531875577457e-05
gar,0.00018478595626732368
wandte,0.00024638127502309826
kopf,0.00024638127502309826
bemerkte,6.159531875577457e-05
bekleidungsgeschäft,6.159531875577457e-05
diagon,6.159531875577457e-05
alley,6.159531875577457e-05
familie,0.0004311672312904219
weasley,0.0012319063751154912
stand,0.0007391438250692947
grünhaarigen,6.159531875577457e-05
ergab,6.159531875577457e-05
wohl,0.000554357868801971
dran,6.159531875577457e-05
wobei,0.0003079765937788728
sollten,0.00024638127502309826
ruhig,0.00012319063751154913
nerven,6.159531875577457e-05
jammerte,6.159531875577457e-05
herzergreifend,6.159531875577457e-05
sah,0.001108715737603942
schon,0.0014782876501385895
mund,0.00018478595626732368
verneinend,6.159531875577457e-05
öffnen,0.00012319063751154913
schnell,0.0008623344625808438
hand,0.0008623344625808438
griff,0.00018478595626732368
bestimmt,0.00012319063751154913
drückte,0.00012319063751154913
antworten,6.159531875577457e-05
erstaunte,6.159531875577457e-05
bitte,0.00024638127502309826
nachkam,6.159531875577457e-05
still,0.00018478595626732368
blieb,0.00012319063751154913
düsteren,6.159531875577457e-05
blick,0.0006159531875577456
sagte,0.0020942408376963353
ja,0.0013550970126270402
kleine,0.0003079765937788728
natürlich,0.0006159531875577456
darfst,6.159531875577457e-05
mum,0.00024638127502309826
gehen,0.0004311672312904219
einkaufen,6.159531875577457e-05
maronen,6.159531875577457e-05
hinten,0.00012319063751154913
essen,0.0006159531875577456
treffen,0.00018478595626732368
geschäft,6.159531875577457e-05
brüder,0.00012319063751154913
verstummte,6.159531875577457e-05
scharfen,6.159531875577457e-05
vater,0.0008007391438250693
sofort,0.0004311672312904219
schien,0.00018478595626732368
freute,0.00012319063751154913
mal,0.0008623344625808438
offen,0.00012319063751154913
ehrlich,0.00012319063751154913
meinst,6.159531875577457e-05
unterbrechende,6.159531875577457e-05
schreie,6.159531875577457e-05
sprachlos,6.159531875577457e-05
schschsch,6.159531875577457e-05
laut,6.159531875577457e-05
niemand,0.00018478595626732368
groß,0.00012319063751154913
bemerken,6.159531875577457e-05
schulgelände,6.159531875577457e-05
verlasse,6.159531875577457e-05
vielleicht,0.00012319063751154913
gesprächiger,6.159531875577457e-05
gegenüber,0.00018478595626732368
mr,0.00024638127502309826
mehr,0.0009239297813366184
mitglieder,6.159531875577457e-05
innere,6.159531875577457e-05
kreis,0.00018478595626732368
ordens,0.00012319063751154913
umfasste,6.159531875577457e-05
anwesend,0.00012319063751154913
sprich,0.00018478595626732368
twins,0.00012319063751154913
sowie,0.0007391438250692947
beschwor,6.159531875577457e-05
eindringlich,6.159531875577457e-05
lächelte,0.00018478595626732368
gequält,6.159531875577457e-05
verkündete,0.00012319063751154913
gewohnt,6.159531875577457e-05
charmant,6.159531875577457e-05
überging,6.159531875577457e-05
chaotischen,6.159531875577457e-05
ordenshaufen,6.159531875577457e-05
überheblich,6.159531875577457e-05
beachtete,6.159531875577457e-05
alte,0.0006159531875577456
auffordernd,6.159531875577457e-05
sitz,6.159531875577457e-05
neben,0.0006159531875577456
blickte,0.00018478595626732368
langsam,0.00036957191253464736
ansammlung,0.00012319063751154913
bestehend,0.00012319063751154913
weasleys,0.0007391438250692947
plus,6.159531875577457e-05
mann,0.00036957191253464736
ted,0.0003079765937788728
dädalus,0.00012319063751154913
verwunderung,0.00012319063751154913
letztes,0.00018478595626732368
gut,0.0006775485063135201
ecke,6.159531875577457e-05
verkroch,6.159531875577457e-05
versuchte,0.0004311672312904219
unsichtbar,6.159531875577457e-05
sagten,0.00012319063751154913
perplexen,6.159531875577457e-05
skeptischen,6.159531875577457e-05
blicke,6.159531875577457e-05
zuwarfen,6.159531875577457e-05
dagegen,0.00018478595626732368
red,6.159531875577457e-05
devils,6.159531875577457e-05
eher,0.00018478595626732368
gerührt,0.00012319063751154913
beispiel,0.00012319063751154913
kam,0.0008623344625808438
heiser,6.159531875577457e-05
bevor,0.00036957191253464736
geil,6.159531875577457e-05
werwolf,0.00024638127502309826
verunstalteten,6.159531875577457e-05
armen,0.00018478595626732368
vernarbten,6.159531875577457e-05
georgyboy,6.159531875577457e-05
einohr,6.159531875577457e-05
eltern,0.000985525100092393
geschwistern,0.00012319063751154913
älteste,0.00018478595626732368
arbeit,0.0004927625500461965
gringolds,6.159531875577457e-05
zaubererbank,6.159531875577457e-05
charly,0.0004311672312904219
rumänien,0.00036957191253464736
drachen,6.159531875577457e-05
erforschte,6.159531875577457e-05
antwortete,0.00024638127502309826
heraus,0.00018478595626732368
bat,6.159531875577457e-05
ganze,0.0003079765937788728
anzusehen,6.159531875577457e-05
gefunden,0.00018478595626732368
sahen,0.0004927625500461965
argwöhnisch,6.159531875577457e-05
zugegebener,6.159531875577457e-05
maßen,6.159531875577457e-05
erstaunt,0.00012319063751154913
fanden,6.159531875577457e-05
beiden,0.001108715737603942
einfach,0.0003079765937788728
super,6.159531875577457e-05
nett,0.00018478595626732368
eben,6.159531875577457e-05
genau,0.0006159531875577456
minuten,0.00018478595626732368
später,0.000554357868801971
angereist,6.159531875577457e-05
kinkley,6.159531875577457e-05
moddy,6.159531875577457e-05
caroline,0.00012319063751154913
uhr,0.00036957191253464736
kamen,0.0011703110563597166
hause,0.0003079765937788728
heimweg,6.159531875577457e-05
ordenstreffen,6.159531875577457e-05
schließlich,0.00036957191253464736
sophie,6.159531875577457e-05
richard,0.00012319063751154913
zwillingeharry,6.159531875577457e-05
froh,0.00018478595626732368
viele,0.0003079765937788728
gerade,0.0008007391438250693
beschäftigt,0.00012319063751154913
regale,6.159531875577457e-05
tresen,6.159531875577457e-05
wiederherzustellen,6.159531875577457e-05
fingen,0.00012319063751154913
schallend,6.159531875577457e-05
lachen,0.00024638127502309826
lächeln,0.00024638127502309826
schüttelte,0.00018478595626732368
wissen,0.0006159531875577456
seufzend,6.159531875577457e-05
schob,0.00012319063751154913
brille,6.159531875577457e-05
hoch,0.00024638127502309826
strich,6.159531875577457e-05
augen,0.0006159531875577456
stühle,6.159531875577457e-05
fallen,0.00012319063751154913
dad,0.00036957191253464736
sehen,0.00024638127502309826
isch,6.159531875577457e-05
persönlisch,6.159531875577457e-05
fand,0.00018478595626732368
intéressant,6.159531875577457e-05
erklärte,0.00024638127502309826
ging,0.0006159531875577456
hinüber,6.159531875577457e-05
immer,0.0017246689251616877
verlegen,6.159531875577457e-05
ansah,0.00018478595626732368
schmunzelte,0.00018478595626732368
verdrehte,6.159531875577457e-05
