term,relative_frequency
wirklich,0.0005899500277623543
außergewöhnliches,3.470294280955025e-05
großartiges,3.470294280955025e-05
geschafft,3.470294280955025e-05
wäre,0.0007981676846196558
gekommen,0.00024292059966685175
hätte,0.000555247084952804
position,0.00010410882842865075
wohl,0.0005899500277623543
ende,0.00017351471404775126
schulzeit,3.470294280955025e-05
verteidigen,3.470294280955025e-05
gewusst,3.470294280955025e-05
bitte,0.000416435313714603
wer,0.00017351471404775126
konnte,0.0009022765130483065
mithalten,3.470294280955025e-05
harte,3.470294280955025e-05
tour,3.470294280955025e-05
eltern,0.0014575235980011105
idee,6.94058856191005e-05
kamen,0.000555247084952804
klassenkameradin,3.470294280955025e-05
naricssa,3.470294280955025e-05
letzten,0.0003470294280955025
jahr,0.000277623542476402
verloben,3.470294280955025e-05
kurz,0.0005205441421432537
vorm,3.470294280955025e-05
ausrasten,3.470294280955025e-05
gut,0.0006593559133814547
zeit,0.000694058856191005
schon,0.001110494169905608
lange,0.0007981676846196558
schule,0.000138811771238201
herunter,3.470294280955025e-05
verheiratet,0.0006593559133814547
reinbültigen,3.470294280955025e-05
mädchen,0.00024292059966685175
meist,0.00010410882842865075
innerhalb,3.470294280955025e-05
zwei,0.0006246529705719045
jahren,0.00024292059966685175
hogwarts,0.00038173237090505273
hauchte,0.000138811771238201
leise,0.0003470294280955025
bemerkte,0.00017351471404775126
lauschten,3.470294280955025e-05
doppelt,3.470294280955025e-05
neugierig,0.00010410882842865075
beäugt,3.470294280955025e-05
wurde,0.0013187118267629094
davor,0.00010410882842865075
sah,0.001249305941143809
versuchten,3.470294280955025e-05
abzulenken,3.470294280955025e-05
erinnerung,0.00010410882842865075
gerufen,6.94058856191005e-05
versagte,3.470294280955025e-05
bekam,0.0002082176568573015
zuverlässigsten,3.470294280955025e-05
männer,0.0002082176568573015
mehr,0.0010757912270960577
sagte,0.001249305941143809
gab,0.0005899500277623543
insofern,3.470294280955025e-05
recht,0.000416435313714603
betraf,3.470294280955025e-05
werwölfe,3.470294280955025e-05
anging,3.470294280955025e-05
tierisches,3.470294280955025e-05
wesen,0.0004511382565241532
sahen,0.0002082176568573015
dafür,0.00031232648528595224
konnten,0.000138811771238201
bisschen,0.00017351471404775126
fressen,3.470294280955025e-05
gefressen,3.470294280955025e-05
außerdem,0.0002082176568573015
gerade,0.0005205441421432537
sicher,0.0004511382565241532
oft,0.00017351471404775126
einfach,0.0004511382565241532
frau,0.0012840088839533592
ärgern,3.470294280955025e-05
mächtig,3.470294280955025e-05
nervt,3.470294280955025e-05
bringt,6.94058856191005e-05
rage,3.470294280955025e-05
geliebte,3.470294280955025e-05
schwester,0.0010063853414769572
getötet,0.0006246529705719045
verhassten,3.470294280955025e-05
schwager,0.0005205441421432537
beschützt,3.470294280955025e-05
überfluss,6.94058856191005e-05
geliebter,3.470294280955025e-05
dark,0.000138811771238201
lord,0.0010410882842865074
hand,0.0008675735702387562
gewissem,3.470294280955025e-05
maße,3.470294280955025e-05
schützend,3.470294280955025e-05
gelegt,6.94058856191005e-05
fass,3.470294280955025e-05
überlaufen,3.470294280955025e-05
gebracht,0.00010410882842865075
all,0.00017351471404775126
durchaus,0.0002082176568573015
begehrenswert,3.470294280955025e-05
betrachten,3.470294280955025e-05
verschiedensten,6.94058856191005e-05
gründen,0.00010410882842865075
annahme,3.470294280955025e-05
anheimfallen,3.470294280955025e-05
reihenweise,3.470294280955025e-05
füßen,6.94058856191005e-05
liegen,3.470294280955025e-05
gruppe,0.00017351471404775126
entweder,3.470294280955025e-05
guten,0.00024292059966685175
freund,0.00038173237090505273
sehen,0.0004511382565241532
gar,0.0003470294280955025
eigentlich,0.0004858411993337035
skepsis,3.470294280955025e-05
großer,6.94058856191005e-05
vorsicht,3.470294280955025e-05
blicken,0.00017351471404775126
deutlich,0.000138811771238201
größer,3.470294280955025e-05
wirkten,0.000138811771238201
tiefhängenden,3.470294280955025e-05
mehrarmigen,3.470294280955025e-05
lüster,3.470294280955025e-05
umso,6.94058856191005e-05
gegenüber,0.0006246529705719045
mittig,3.470294280955025e-05
seite,0.000694058856191005
tisches,6.94058856191005e-05
saßen,0.00031232648528595224
drei,0.0004511382565241532
lestranges,0.0003470294280955025
männern,3.470294280955025e-05
rechts,3.470294280955025e-05
flankiert,0.00010410882842865075
mann,0.0013534147695724598
links,6.94058856191005e-05
neben,0.0010757912270960577
familie,0.000555247084952804
platz,0.000416435313714603
gefunden,0.000277623542476402
zeigte,0.0002082176568573015
sitzende,3.470294280955025e-05
maske,3.470294280955025e-05
verborgen,0.000138811771238201
stuhl,0.000138811771238201
rumlungerte,3.470294280955025e-05
ungeduldig,3.470294280955025e-05
zotteligen,3.470294280955025e-05
locken,3.470294280955025e-05
spielte,3.470294280955025e-05
wobei,0.0002082176568573015
schweigsame,3.470294280955025e-05
immer,0.0013534147695724598
taxierenden,3.470294280955025e-05
blick,0.0009022765130483065
unsicheren,3.470294280955025e-05
tafel,3.470294280955025e-05
offizielle,6.94058856191005e-05
teil,0.00017351471404775126
begonnen,3.470294280955025e-05
wichtige,3.470294280955025e-05
protagonisten,3.470294280955025e-05
ließ,0.0007287617990005553
aufmerksamen,6.94058856191005e-05
wartenden,3.470294280955025e-05
anwesenden,0.000138811771238201
schweifen,3.470294280955025e-05
registrierte,6.94058856191005e-05
blicke,0.0002082176568573015
hasserfüllt,0.00017351471404775126
irgendwie,0.00024292059966685175
gierigen,3.470294280955025e-05
ausdruck,3.470294280955025e-05
augen,0.0007981676846196558
gefesselt,3.470294280955025e-05
lagen,0.000138811771238201
direkt,0.00024292059966685175
saß,0.0003470294280955025
donnerte,3.470294280955025e-05
schnell,0.0002082176568573015
arm,0.000416435313714603
hoch,0.000138811771238201
riss,0.0002082176568573015
raum,0.0005205441421432537
schauspiel,3.470294280955025e-05
schweigend,3.470294280955025e-05
gespannt,3.470294280955025e-05
beobachtet,0.00010410882842865075
gezeter,3.470294280955025e-05
leiser,0.000138811771238201
begann,0.0005899500277623543
runde,0.00017351471404775126
aufzulösen,3.470294280955025e-05
beschloss,3.470294280955025e-05
verschwinden,0.00010410882842865075
kind,0.000138811771238201
blutsverräterin,3.470294280955025e-05
galt,6.94058856191005e-05
eher,0.0002082176568573015
schande,3.470294280955025e-05
darüber,0.0004858411993337035
gefreut,6.94058856191005e-05
schienen,0.00024292059966685175
gewillt,6.94058856191005e-05
lage,0.00010410882842865075
erben,0.000138811771238201
welt,0.000138811771238201
setzen,3.470294280955025e-05
giftete,3.470294280955025e-05
düster,3.470294280955025e-05
bruder,0.0011451971127151583
wussten,0.000138811771238201
bi,3.470294280955025e-05
vorwurfsvoll,3.470294280955025e-05
anstierte,3.470294280955025e-05
darauf,0.00031232648528595224
finde,0.00010410882842865075
interessant,3.470294280955025e-05
wechsle,3.470294280955025e-05
offiziell,6.94058856191005e-05
mal,0.0010757912270960577
dagegen,6.94058856191005e-05
murrte,3.470294280955025e-05
schnaubte,3.470294280955025e-05
schön,0.0002082176568573015
niemanden,0.00010410882842865075
geboren,0.000138811771238201
gutes,6.94058856191005e-05
möglichkeit,3.470294280955025e-05
