term,relative_frequency
schmunzelte,0.00010912265386294194
geneigten,5.456132693147097e-05
kopf,0.0009821038847664775
weiber,5.456132693147097e-05
angekeift,5.456132693147097e-05
zurückzogen,5.456132693147097e-05
wirklich,0.0008729812309035355
glücklich,5.456132693147097e-05
verbrachten,5.456132693147097e-05
vergnüglichen,5.456132693147097e-05
abend,0.00021824530772588389
astoria,0.0006547359231776517
kamen,0.0009821038847664775
erzählten,5.456132693147097e-05
geschehen,5.456132693147097e-05
paar,0.0008729812309035355
lustige,5.456132693147097e-05
anekdoten,5.456132693147097e-05
einwarfen,5.456132693147097e-05
unwichtige,0.00010912265386294194
auseinandersetzung,5.456132693147097e-05
ausging,5.456132693147097e-05
dazwischen,0.00010912265386294194
gingen,0.0004910519423832388
schmissen,5.456132693147097e-05
lachen,0.00032736796158882583
stand,0.0008184199039720645
gerade,0.0013640331732867744
bedrohlich,5.456132693147097e-05
gefesselten,5.456132693147097e-05
jungen,0.00032736796158882583
mann,0.00010912265386294194
greg,0.0006001745962461807
magischen,5.456132693147097e-05
fesseln,5.456132693147097e-05
aufrechterhielten,5.456132693147097e-05
daher,0.00010912265386294194
angeschlossen,5.456132693147097e-05
saß,0.0012549105194238324
slytherins,0.0011457878655608904
übergangsweise,5.456132693147097e-05
nahm,0.0004910519423832388
stellung,5.456132693147097e-05
gekonnt,0.00010912265386294194
führte,0.00010912265386294194
haus,0.00038192928852029683
kontrolle,5.456132693147097e-05
immer,0.001909646442601484
hielten,0.00016368398079441291
darauf,0.00043649061545176777
achteten,0.00010912265386294194
dummheiten,5.456132693147097e-05
beging,5.456132693147097e-05
heißen,0.00010912265386294194
cats,5.456132693147097e-05
mutter,0.00032736796158882583
senior,5.456132693147097e-05
sowie,0.0006547359231776517
beschwerte,5.456132693147097e-05
jemand,0.00021824530772588389
rücken,0.00016368398079441291
eindringlings,5.456132693147097e-05
klar,0.00032736796158882583
meinte,0.0007092972501091227
zuckte,0.00021824530772588389
cool,5.456132693147097e-05
grinste,0.0005456132693147098
schwarzhaarige,0.00016368398079441291
ließ,0.0007638585770405937
breiten,5.456132693147097e-05
charmanten,5.456132693147097e-05
grinsen,0.00021824530772588389
gegenüber,0.00038192928852029683
sitzbank,5.456132693147097e-05
erhaschte,5.456132693147097e-05
blick,0.0008729812309035355
abteil,0.0010366652116979484
quetschen,5.456132693147097e-05
blonder,5.456132693147097e-05
junge,0.0005456132693147098
arrogantem,5.456132693147097e-05
mädchen,0.0007638585770405937
schob,0.00010912265386294194
zweite,0.00010912265386294194
schiefen,5.456132693147097e-05
lächeln,0.00021824530772588389
neben,0.0025643823657791357
blonde,0.0002728066346573549
schnaubte,0.00010912265386294194
setzte,0.0008729812309035355
dennoch,5.456132693147097e-05
beiden,0.0009275425578350065
wort,5.456132693147097e-05
sagten,0.00010912265386294194
merkwürdig,5.456132693147097e-05
aussahen,5.456132693147097e-05
ließen,0.0002728066346573549
dunkelhäutigen,5.456132693147097e-05
eben,0.0006001745962461807
reichte,0.00016368398079441291
catherine,5.456132693147097e-05
taylor,5.456132693147097e-05
nennt,0.00010912265386294194
cath,0.00016368398079441291
antwortete,0.00010912265386294194
brachte,0.00016368398079441291
kleines,0.00016368398079441291
bezauberndes,5.456132693147097e-05
hand,0.00043649061545176777
endlich,0.00032736796158882583
losließ,5.456132693147097e-05
zwinkerte,5.456132693147097e-05
hör,5.456132693147097e-05
flirten,5.456132693147097e-05
vielleicht,0.00038192928852029683
verbündest,5.456132693147097e-05
feind,5.456132693147097e-05
sorge,5.456132693147097e-05
geschultes,5.456132693147097e-05
auge,0.00016368398079441291
sagt,0.00010912265386294194
gryffindor,0.00038192928852029683
tun,0.00016368398079441291
übrigens,5.456132693147097e-05
stellte,0.0005456132693147098
gregory,0.0010912265386294195
beim,0.00043649061545176777
aha,5.456132693147097e-05
glorreicher,5.456132693147097e-05
kommentar,5.456132693147097e-05
zog,0.0002728066346573549
augenbraue,0.00021824530772588389
höhe,0.00010912265386294194
woraufhin,0.00032736796158882583
sogleich,0.00010912265386294194
freut,0.00016368398079441291
kennen,0.00010912265386294194
lernen,0.00010912265386294194
ebenso,0.0002728066346573549
seufzte,0.00010912265386294194
urteilen,5.456132693147097e-05
rate,5.456132693147097e-05
mal,0.001745962461807071
angehende,5.456132693147097e-05
seid,0.00016368398079441291
gut,0.0006001745962461807
geraten,5.456132693147097e-05
sieht,5.456132693147097e-05
wohl,0.0008184199039720645
einzige,0.00043649061545176777
kommunizierte,5.456132693147097e-05
störte,0.00010912265386294194
schienen,0.0002728066346573549
nett,0.00010912265386294194
sicher,0.00038192928852029683
schultern,0.0002728066346573549
fragte,0.00032736796158882583
plötzlich,0.00032736796158882583
schaute,0.00021824530772588389
dauert,5.456132693147097e-05
weile,0.00021824530772588389
murmelte,0.0002728066346573549
holten,5.456132693147097e-05
süßigkeiten,0.00016368398079441291
servierwagen,5.456132693147097e-05
haufen,5.456132693147097e-05
elfjähriger,5.456132693147097e-05
kleingeld,5.456132693147097e-05
sehnte,5.456132693147097e-05
wenig,0.00021824530772588389
musik,5.456132693147097e-05
jedoch,0.00043649061545176777
angebracht,5.456132693147097e-05
alten,0.00010912265386294194
tasche,0.00016368398079441291
restliche,0.00010912265386294194
fahrt,5.456132693147097e-05
versuchte,0.00038192928852029683
arm,0.00021824530772588389
loszukriegen,5.456132693147097e-05
wette,5.456132693147097e-05
schnarchten,0.00010912265386294194
schauten,0.0002728066346573549
einfach,0.0012549105194238324
dunkel,5.456132693147097e-05
hogwarts,0.0006547359231776517
bekamen,0.00016368398079441291
umgebung,5.456132693147097e-05
schon,0.0032191182889567873
alleine,0.00021824530772588389
anblick,0.00016368398079441291
beleuchteten,5.456132693147097e-05
schlosses,5.456132693147097e-05
kate,0.00021824530772588389
wusste,0.0005456132693147098
erstklässler,0.00016368398079441291
booten,5.456132693147097e-05
gebäude,5.456132693147097e-05
hinüber,0.00010912265386294194
kommen,0.0004910519423832388
ebenfalls,0.0008184199039720645
bestens,5.456132693147097e-05
darüber,0.00032736796158882583
informiert,5.456132693147097e-05
fall,5.456132693147097e-05
chaoten,5.456132693147097e-05
eins,0.00016368398079441291
boote,5.456132693147097e-05
steigen,5.456132693147097e-05
zwillinge,0.0002728066346573549
kaithlynns,5.456132693147097e-05
jahrgang,0.00032736796158882583
boot,0.00010912265386294194
umkippen,5.456132693147097e-05
gebracht,0.00016368398079441291
schien,0.0007092972501091227
riesig,5.456132693147097e-05
riesiger,5.456132693147097e-05
extrem,5.456132693147097e-05
langem,5.456132693147097e-05
bart,5.456132693147097e-05
gefährten,5.456132693147097e-05
see,0.00016368398079441291
bereit,0.00010912265386294194
hey,0.00021824530772588389
visier,5.456132693147097e-05
grinsend,0.00021824530772588389
winkte,0.00010912265386294194
folgte,0.00032736796158882583
aufforderung,5.456132693147097e-05
sehen,0.0006001745962461807
gleich,0.00038192928852029683
mag,5.456132693147097e-05
wahr,0.00021824530772588389
zweiten,0.00010912265386294194
sitze,5.456132693147097e-05
angeber,5.456132693147097e-05
ravenclaws,0.00043649061545176777
weitere,0.0002728066346573549
gryffindors,0.0005456132693147098
besserwisserin,5.456132693147097e-05
hieß,0.00021824530772588389
tausende,5.456132693147097e-05
namen,0.00032736796158882583
kam,0.0007638585770405937
sagenumwobenen,5.456132693147097e-05
riesiges,5.456132693147097e-05
getöse,5.456132693147097e-05
gemacht,0.00016368398079441291
wurde,0.0007638585770405937
person,5.456132693147097e-05
ja,0.002073330423395897
hufflepuff,0.0002728066346573549
schluckte,5.456132693147097e-05
rande,5.456132693147097e-05
hochgehobenen,5.456132693147097e-05
daumen,5.456132693147097e-05
sprechende,0.00010912265386294194
hut,0.00021824530772588389
hm,0.00010912265386294194
sehe,0.00016368398079441291
intelligenz,5.456132693147097e-05
kluges,5.456132693147097e-05
köpfchen,5.456132693147097e-05
wäre,0.0004910519423832388
ravenclaw,0.00021824530772588389
egal,0.00021824530772588389
schräg,0.00021824530772588389
ansah,5.456132693147097e-05
hassten,5.456132693147097e-05
gefühl,0.00010912265386294194
hause,0.00032736796158882583
gehört,0.0002728066346573549
wenige,0.0002728066346573549
aufgerufene,5.456132693147097e-05
später,0.0005456132693147098
weasley,0.00043649061545176777
denen,0.0004910519423832388
mehrere,0.00010912265386294194
geben,0.00032736796158882583
schwester,0.00010912265386294194
erzählt,0.00016368398079441291
siegessicher,5.456132693147097e-05
tisch,0.0007638585770405937
geschlendert,5.456132693147097e-05
prompt,5.456132693147097e-05
jo,5.456132693147097e-05
wer,0.00032736796158882583
hätte,0.0004910519423832388
gedacht,5.456132693147097e-05
wiedersehen,5.456132693147097e-05
ironisch,5.456132693147097e-05
begann,0.00010912265386294194
merkte,5.456132693147097e-05
jungs,0.0002728066346573549
umgeben,5.456132693147097e-05
aß,5.456132693147097e-05
wanderte,0.00016368398079441291
entlang,0.00010912265386294194
essen,0.00043649061545176777
generell,5.456132693147097e-05
viele,0.00038192928852029683
sagen,0.00032736796158882583
shit,5.456132693147097e-05
hastig,0.00010912265386294194
sprang,0.00010912265386294194
kramte,5.456132693147097e-05
sachen,0.00038192928852029683
zusammen,0.0010366652116979484
hasteten,5.456132693147097e-05
rechtzeitig,5.456132693147097e-05
glück,0.00021824530772588389
reihe,0.00032736796158882583
platz,0.0004910519423832388
lehrer,0.00021824530772588389
ziemlich,0.00016368398079441291
winzig,5.456132693147097e-05
anscheinend,0.00043649061545176777
kobold,5.456132693147097e-05
interessierte,5.456132693147097e-05
sonderlich,5.456132693147097e-05
köstlich,5.456132693147097e-05
amüsierten,0.00010912265386294194
bücherstapel,5.456132693147097e-05
brauchte,0.00010912265386294194
pult,5.456132693147097e-05
erzählte,0.00010912265386294194
dinge,0.00021824530772588389
zauberkunst,0.00010912265386294194
nannte,5.456132693147097e-05
grundlegende,5.456132693147097e-05
einfache,5.456132693147097e-05
sprüche,0.00010912265386294194
demnächst,5.456132693147097e-05
üben,0.00010912265386294194
unterricht,0.0007638585770405937
ganz,0.0011457878655608904
interessant,0.00016368398079441291
erst,0.0005456132693147098
richtig,0.0002728066346573549
anfangen,5.456132693147097e-05
endete,0.00010912265386294194
stunde,0.00021824530772588389
langeweile,5.456132693147097e-05
zogen,5.456132693147097e-05
ging,0.0008184199039720645
ersten,0.00038192928852029683
stunden,0.00010912265386294194
hörte,0.00038192928852029683
hauslehrerin,0.00010912265386294194
streng,5.456132693147097e-05
freute,0.00016368398079441291
saßen,0.0008729812309035355
extra,5.456132693147097e-05
gedrängt,5.456132693147097e-05
augenverdrehen,5.456132693147097e-05
kommentiert,5.456132693147097e-05
definitiv,5.456132693147097e-05
spät,0.00021824530772588389
lehrerin,5.456132693147097e-05
drauf,0.00021824530772588389
vermutlich,0.00032736796158882583
schüler,0.00043649061545176777
gleichbehandelte,5.456132693147097e-05
fach,0.00010912265386294194
beste,0.00016368398079441291
beispiel,5.456132693147097e-05
gekommen,0.00032736796158882583
abschrieben,5.456132693147097e-05
tafel,0.00021824530772588389
gezaubert,0.00010912265386294194
meldete,5.456132693147097e-05
her,0.00038192928852029683
trabten,5.456132693147097e-05
grunzten,5.456132693147097e-05
eh,0.00043649061545176777
nächsten,0.00043649061545176777
flur,5.456132693147097e-05
brachten,5.456132693147097e-05
schweigend,0.00010912265386294194
klassenzimmer,0.00021824530772588389
stammplätze,5.456132693147097e-05
schwöre,5.456132693147097e-05
theorie,5.456132693147097e-05
schlaf,5.456132693147097e-05
ach,0.00010912265386294194
wundern,5.456132693147097e-05
kühl,0.00010912265386294194
lehnte,0.00016368398079441291
lässig,5.456132693147097e-05
erwidern,5.456132693147097e-05
böser,5.456132693147097e-05
drehte,0.00016368398079441291
somit,5.456132693147097e-05
ehrlich,5.456132693147097e-05
geht,0.0005456132693147098
genauso,0.0002728066346573549
flüsterte,5.456132693147097e-05
na,0.00021824530772588389
macht,0.00010912265386294194
spaß,0.0002728066346573549
verdrehte,5.456132693147097e-05
davon,0.00032736796158882583
abhalten,5.456132693147097e-05
hingegen,0.00021824530772588389
gerne,0.00010912265386294194
sekunden,0.0002728066346573549
schaltete,5.456132693147097e-05
ab,0.0006547359231776517
betrat,0.0002728066346573549
professor,0.0004910519423832388
raum,0.0005456132693147098
platzierte,5.456132693147097e-05
sah,0.0016914011348756002
spaßig,5.456132693147097e-05
warum,0.00032736796158882583
kriegt,5.456132693147097e-05
eigentlich,0.00038192928852029683
zauber,0.00010912265386294194
rechts,0.0002728066346573549
links,0.00016368398079441291
seite,0.0006001745962461807
geknufft,5.456132693147097e-05
fing,0.00016368398079441291
starrten,0.00016368398079441291
los,0.00032736796158882583
habt,0.00016368398079441291
weasleys,0.00010912265386294194
zauberstab,0.00021824530772588389
mitbekommen,5.456132693147097e-05
nickten,0.00021824530772588389
zeigte,0.00010912265386294194
klebt,5.456132693147097e-05
idiot,0.00016368398079441291
tatsächlich,0.0002728066346573549
klebeband,5.456132693147097e-05
schnell,0.00043649061545176777
verfeindeten,5.456132693147097e-05
lachten,0.00038192928852029683
komisch,0.00010912265386294194
eule,5.456132693147097e-05
geflogen,5.456132693147097e-05
brief,5.456132693147097e-05
übergab,5.456132693147097e-05
wobei,0.0002728066346573549
vogel,5.456132693147097e-05
richtige,5.456132693147097e-05
eulen,5.456132693147097e-05
leisten,5.456132693147097e-05
trottel,5.456132693147097e-05
gleichzeitig,0.00010912265386294194
käfig,5.456132693147097e-05
unglück,5.456132693147097e-05
flogen,0.00010912265386294194
wild,5.456132693147097e-05
durchs,0.00010912265386294194
verwüsteten,5.456132693147097e-05
wundervollen,5.456132693147097e-05
fackelte,5.456132693147097e-05
lange,0.0002728066346573549
zerrte,5.456132693147097e-05
richtung,0.00038192928852029683
ausgang,5.456132693147097e-05
flüchten,0.00010912265386294194
schnappte,0.00010912265386294194
schlug,0.00010912265386294194
grässlichen,5.456132693147097e-05
kreaturen,5.456132693147097e-05
haar,5.456132693147097e-05
rannten,5.456132693147097e-05
hinaus,0.00016368398079441291
genauestens,5.456132693147097e-05
tür,0.00032736796158882583
verschlossen,5.456132693147097e-05
einziger,5.456132693147097e-05
wichtel,0.00010912265386294194
unserer,0.00016368398079441291
ende,0.00043649061545176777
haut,0.00010912265386294194
stecken,5.456132693147097e-05
dritt,5.456132693147097e-05
einfangen,5.456132693147097e-05
argh,5.456132693147097e-05
diskussion,0.00010912265386294194
glaubt,5.456132693147097e-05
