term,relative_frequency
manor,0.0002580911577969339
bestimmt,0.00010323646311877355
verloren,0.0002580911577969339
gegangene,5.161823155938678e-05
haus,0.00015485469467816032
twins,5.161823155938678e-05
gut,0.0005161823155938678
einzige,5.161823155938678e-05
augenblicklich,0.0002064729262375471
eigene,5.161823155938678e-05
residenz,5.161823155938678e-05
wobei,0.00015485469467816032
sicher,0.0007742734733908016
eltern,0.0008258917049501884
schon,0.00160016517834099
längst,0.0002064729262375471
fuchsbau,5.161823155938678e-05
zugedacht,5.161823155938678e-05
renovierte,5.161823155938678e-05
unterkunft,5.161823155938678e-05
hochzeit,0.0002580911577969339
einzuziehen,5.161823155938678e-05
rumänien,0.00030970938935632065
zurückkommen,5.161823155938678e-05
chance,0.0002064729262375471
tendierte,5.161823155938678e-05
null,5.161823155938678e-05
job,5.161823155938678e-05
england,5.161823155938678e-05
gab,0.0006710370102720281
x,0.00010323646311877355
dracoman,5.161823155938678e-05
krieg,5.161823155938678e-05
wahl,0.0002064729262375471
gestellt,5.161823155938678e-05
zelle,5.161823155938678e-05
askaban,5.161823155938678e-05
arbeit,0.00010323646311877355
drachenreservat,0.00015485469467816032
zweitgeborene,5.161823155938678e-05
zahme,5.161823155938678e-05
drache,0.00015485469467816032
zwinkerte,0.00010323646311877355
vorübergehende,5.161823155938678e-05
anwandlung,5.161823155938678e-05
kurze,0.00015485469467816032
unterhaltung,0.00015485469467816032
hochgeschätzt,5.161823155938678e-05
niedrigen,5.161823155938678e-05
weasley,0.0009291281680689619
mehr,0.0014453104836628296
verachtung,5.161823155938678e-05
gestern,0.00010323646311877355
abend,0.0002580911577969339
getan,0.00010323646311877355
einfach,0.0008258917049501884
anschauen,5.161823155938678e-05
geschafft,5.161823155938678e-05
aufmerksamkeit,0.0003613276209157074
erlangen,0.00010323646311877355
name,0.00030970938935632065
wies,5.161823155938678e-05
darauf,0.0004129458524750942
schicksal,0.00015485469467816032
draconis,5.161823155938678e-05
einfacher,0.00010323646311877355
ausgedrückt,5.161823155938678e-05
legte,0.0004129458524750942
falle,5.161823155938678e-05
jahre,0.00015485469467816032
her,0.0002064729262375471
seit,0.00030970938935632065
dafür,0.00046456408403448097
qualifizierte,5.161823155938678e-05
beobachtete,0.00030970938935632065
amüsiert,0.00010323646311877355
kleine,0.00015485469467816032
einhorn,0.00010323646311877355
eifrig,5.161823155938678e-05
gitterstäbe,5.161823155938678e-05
drückte,0.0003613276209157074
erlaubte,5.161823155938678e-05
nase,0.00010323646311877355
streicheln,5.161823155938678e-05
wusste,0.0008775099365095751
schließlich,0.0006194187787126413
slytherin,0.0005161823155938678
ruf,5.161823155938678e-05
wahrscheinlich,0.00015485469467816032
kleingedruckte,5.161823155938678e-05
natürlich,0.00046456408403448097
mag,0.0002064729262375471
antwortete,0.00030970938935632065
hochmütig,5.161823155938678e-05
erst,0.0005678005471532545
schaute,0.0002064729262375471
augen,0.0021163474939348576
wanderten,0.00010323646311877355
abwärts,5.161823155938678e-05
blieben,0.00010323646311877355
langen,0.0002064729262375471
beinen,0.00010323646311877355
leder,5.161823155938678e-05
bekleidet,5.161823155938678e-05
liegen,0.0003613276209157074
weiteten,0.00010323646311877355
goldene,5.161823155938678e-05
kette,0.0002064729262375471
hals,0.0003613276209157074
sah,0.0010839828627471223
atmete,5.161823155938678e-05
flach,5.161823155938678e-05
verlor,5.161823155938678e-05
interesse,0.00010323646311877355
ganze,0.00030970938935632065
galt,0.00015485469467816032
nahm,0.0004129458524750942
ab,0.0005161823155938678
hielt,0.0004129458524750942
besser,0.0002580911577969339
sehen,0.0005678005471532545
konnte,0.0018582563361379239
fragte,0.0006710370102720281
blauen,0.00030970938935632065
klebten,5.161823155938678e-05
gold,0.0002580911577969339
drachenfeuer,5.161823155938678e-05
immer,0.001393692252103443
geschmolzen,5.161823155938678e-05
wurde,0.0009807463996283486
erzählte,0.00010323646311877355
blick,0.0017034016414597636
wanderte,5.161823155938678e-05
zurück,0.0011872193258658959
geschlossener,5.161823155938678e-05
faust,0.0002580911577969339
steckte,5.161823155938678e-05
atem,5.161823155938678e-05
stockte,5.161823155938678e-05
augenblick,0.0002064729262375471
komme,0.00010323646311877355
wolle,5.161823155938678e-05
blieb,0.0002580911577969339
dabei,0.0003613276209157074
ziel,0.00015485469467816032
gesetzt,0.00010323646311877355
entkommen,5.161823155938678e-05
ordnung,0.0002064729262375471
sagte,0.0010323646311877356
leise,0.0008258917049501884
reagierte,0.00010323646311877355
verzweiflung,0.00010323646311877355
hunger,5.161823155938678e-05
kuss,0.00046456408403448097
beendete,0.00010323646311877355
wenig,0.0005161823155938678
lehnte,0.00015485469467816032
gerötetes,5.161823155938678e-05
gesicht,0.0009807463996283486
geschwollenen,5.161823155938678e-05
lippen,0.0005678005471532545
betrachten,5.161823155938678e-05
machte,0.0005161823155938678
junge,0.00046456408403448097
mann,0.0005678005471532545
keinerlei,5.161823155938678e-05
anstalten,5.161823155938678e-05
arme,0.00046456408403448097
verlassen,0.0002064729262375471
stöhnte,5.161823155938678e-05
fester,0.00015485469467816032
hob,0.00030970938935632065
kopf,0.0006194187787126413
küsste,0.0004129458524750942
zungen,0.00010323646311877355
tanzten,0.00010323646311877355
umeinander,5.161823155938678e-05
bevor,0.0019098745676973106
daran,0.00030970938935632065
erinnern,0.00010323646311877355
nie,0.0004129458524750942
tun,0.0004129458524750942
zog,0.00046456408403448097
stürmisch,5.161823155938678e-05
unten,0.00010323646311877355
mantel,5.161823155938678e-05
bedeckte,5.161823155938678e-05
körper,0.0002580911577969339
unerfahrenheit,5.161823155938678e-05
lag,0.00030970938935632065
klar,0.0002064729262375471
hand,0.0010839828627471223
schnappte,0.00010323646311877355
mal,0.0007226552418314148
luft,0.00030970938935632065
berührt,0.00010323646311877355
errötete,0.00010323646311877355
öfters,5.161823155938678e-05
lernte,5.161823155938678e-05
geben,0.00030970938935632065
schrie,0.00015485469467816032
packte,5.161823155938678e-05
finger,0.0002064729262375471
gruben,5.161823155938678e-05
rücken,0.00010323646311877355
presste,0.0002064729262375471
tränen,0.00015485469467816032
verstecken,0.00010323646311877355
sanft,0.0002064729262375471
streichelte,5.161823155938678e-05
haar,5.161823155938678e-05
gefühl,0.0002064729262375471
gewöhnen,5.161823155938678e-05
glitt,5.161823155938678e-05
drachengold,0.0002580911577969339
starrte,0.00015485469467816032
hing,5.161823155938678e-05
befand,0.00010323646311877355
bewegte,5.161823155938678e-05
stieß,0.00010323646311877355
tiefer,0.00010323646311877355
münze,5.161823155938678e-05
brach,0.00015485469467816032
sofort,0.0009807463996283486
zwei,0.0007742734733908016
teile,5.161823155938678e-05
teil,0.0003613276209157074
brust,0.00010323646311877355
hautkontakt,5.161823155938678e-05
kam,0.0008258917049501884
hätte,0.0005161823155938678
geöffnet,5.161823155938678e-05
blendende,5.161823155938678e-05
licht,5.161823155938678e-05
gesehen,0.0002580911577969339
beiden,0.0018066381045785372
drachengoldstücken,5.161823155938678e-05
neben,0.0008258917049501884
jungen,0.0008258917049501884
stütze,5.161823155938678e-05
ellenbogen,5.161823155938678e-05
blonden,0.00015485469467816032
ganzen,0.0002580911577969339
erholte,5.161823155938678e-05
lange,0.0004129458524750942
brauchte,5.161823155938678e-05
heraus,0.00015485469467816032
finden,0.0002064729262375471
öffnen,0.00010323646311877355
kannst,0.0002064729262375471
gehen,0.00046456408403448097
preis,0.00010323646311877355
freunden,0.00015485469467816032
zufrieden,0.0003613276209157074
idee,0.00015485469467816032
umfasste,0.00010323646311877355
stolz,5.161823155938678e-05
zogen,0.00010323646311877355
still,0.00010323646311877355
stahl,0.00010323646311877355
knöpfe,0.00010323646311877355
schloss,0.0003613276209157074
angezogen,5.161823155938678e-05
setzten,0.00010323646311877355
weile,0.0002580911577969339
duftende,5.161823155938678e-05
heu,5.161823155938678e-05
lauschten,5.161823155938678e-05
bald,0.0002580911577969339
sperrstunde,0.00010323646311877355
seufzte,0.00015485469467816032
kurzer,0.0002064729262375471
zeit,0.0005678005471532545
weiß,0.0005678005471532545
stimmte,0.00010323646311877355
fast,0.00046456408403448097
verlegen,0.00015485469467816032
fragen,0.00015485469467816032
freue,5.161823155938678e-05
erwiderte,0.00046456408403448097
erkannte,0.0002064729262375471
groß,0.00010323646311877355
einfluss,5.161823155938678e-05
vater,0.0002580911577969339
all,0.0002580911577969339
dunklen,0.00015485469467816032
dingen,0.00010323646311877355
herum,0.0003613276209157074
gegensatz,0.00010323646311877355
gleichen,0.00015485469467816032
altersgruppe,5.161823155938678e-05
jahr,5.161823155938678e-05
alt,5.161823155938678e-05
zwillinge,0.00030970938935632065
reaktion,5.161823155938678e-05
ausgelassen,5.161823155938678e-05
zeigt,5.161823155938678e-05
bezeichnet,5.161823155938678e-05
perversion,5.161823155938678e-05
trotz,0.0002064729262375471
reinblut,5.161823155938678e-05
besteck,5.161823155938678e-05
werfen,5.161823155938678e-05
begann,0.0002580911577969339
menge,5.161823155938678e-05
dolche,5.161823155938678e-05
slytherintisch,0.00010323646311877355
sprangen,0.00015485469467816032
lehrer,0.0002064729262375471
erschufen,5.161823155938678e-05
schilde,5.161823155938678e-05
schüler,0.0004129458524750942
wutanfall,5.161823155938678e-05
dauerte,0.00015485469467816032
kurz,0.0008775099365095751
versuchte,0.0002580911577969339
treffen,0.00010323646311877355
zauber,0.0002064729262375471
schlug,0.00010323646311877355
schild,5.161823155938678e-05
druckwelle,5.161823155938678e-05
wirksames,5.161823155938678e-05
feuer,0.00010323646311877355
wirksam,5.161823155938678e-05
punkt,0.00010323646311877355
stand,0.00046456408403448097
zauberstab,0.0002580911577969339
traf,5.161823155938678e-05
starken,5.161823155938678e-05
magischer,0.0002580911577969339
meinst,0.00015485469467816032
drachen,0.0009807463996283486
kapitel,0.00030970938935632065
cedoübersetzt,5.161823155938678e-05
seite,0.00046456408403448097
krankenstation,0.00010323646311877355
betrat,5.161823155938678e-05
bewusstlosen,5.161823155938678e-05
betten,0.00010323646311877355
glänzende,5.161823155938678e-05
stück,0.00010323646311877355
ja,0.0008258917049501884
schien,0.0002580911577969339
ganz,0.0005678005471532545
zwangen,5.161823155938678e-05
akzeptieren,5.161823155938678e-05
empört,5.161823155938678e-05
weiterhin,0.00010323646311877355
blamieren,5.161823155938678e-05
satz,0.00010323646311877355
beenden,0.00015485469467816032
schob,5.161823155938678e-05
nennen,5.161823155938678e-05
geht,0.00046456408403448097
galeonen,5.161823155938678e-05
rief,0.00015485469467816032
voller,0.00015485469467816032
ekel,5.161823155938678e-05
sobald,0.00010323646311877355
verheiratet,0.00015485469467816032
befreit,5.161823155938678e-05
familie,0.0007226552418314148
ausgeliefert,5.161823155938678e-05
aussterben,5.161823155938678e-05
stimme,0.0005161823155938678
doppelnamen,5.161823155938678e-05
räumte,5.161823155938678e-05
vielleicht,0.0002580911577969339
wäre,0.00030970938935632065
begleitet,0.00010323646311877355
ersten,0.0002580911577969339
stunde,0.00010323646311877355
zauberkunst,5.161823155938678e-05
glaube,0.0002580911577969339
professor,0.0002580911577969339
nickte,0.0004129458524750942
drängen,5.161823155938678e-05
verließen,0.0002064729262375471
flackerte,5.161823155938678e-05
lächelte,0.0005678005471532545
schief,0.00010323646311877355
prophezeiung,5.161823155938678e-05
wörtlich,5.161823155938678e-05
fand,0.0002580911577969339
kurios,5.161823155938678e-05
heirat,0.00010323646311877355
feuerspeienden,5.161823155938678e-05
meisten,5.161823155938678e-05
menschen,0.0002064729262375471
seltsam,5.161823155938678e-05
los,0.0002064729262375471
ließ,0.0006194187787126413
weit,0.0002064729262375471
offen,0.00015485469467816032
beobachteten,5.161823155938678e-05
bewegungen,5.161823155938678e-05
genau,0.0003613276209157074
lauschte,5.161823155938678e-05
worten,0.0002580911577969339
blitzten,5.161823155938678e-05
lächeln,0.0007226552418314148
verstand,0.00015485469467816032
zukunft,0.00015485469467816032
endgültige,5.161823155938678e-05
lassen,0.00046456408403448097
abnehmen,5.161823155938678e-05
musst,0.0002064729262375471
danach,0.0003613276209157074
flüsterte,0.0002064729262375471
echo,5.161823155938678e-05
nacht,0.00046456408403448097
zuvor,5.161823155938678e-05
schüchterne,5.161823155938678e-05
süße,5.161823155938678e-05
versicherte,5.161823155938678e-05
dunkle,5.161823155938678e-05
hungrige,5.161823155938678e-05
wolf,5.161823155938678e-05
tür,0.00030970938935632065
verschwinden,0.00010323646311877355
durchfuhr,5.161823155938678e-05
erleichterung,5.161823155938678e-05
berichtete,0.00010323646311877355
frei,0.00010323646311877355
anforderungen,0.00010323646311877355
conscriptus,5.161823155938678e-05
lachte,0.0003613276209157074
mittagszeig,5.161823155938678e-05
tausend,5.161823155938678e-05
verschiedene,5.161823155938678e-05
gerüchte,0.00015485469467816032
schule,0.0003613276209157074
denen,0.0002580911577969339
kommentierte,5.161823155938678e-05
vermutete,0.00010323646311877355
selber,5.161823155938678e-05
gestartet,5.161823155938678e-05
sagten,5.161823155938678e-05
heiratsantrag,5.161823155938678e-05
angenommen,5.161823155938678e-05
verstehen,0.0002064729262375471
flüsternde,5.161823155938678e-05
tratsch,5.161823155938678e-05
moment,0.0006710370102720281
fauchte,5.161823155938678e-05
schweigen,0.00010323646311877355
brachte,0.00015485469467816032
raum,0.0002580911577969339
haftbefehl,0.00010323646311877355
situation,0.00015485469467816032
bedeutet,0.00010323646311877355
heiraten,0.00010323646311877355
liebt,0.00010323646311877355
schlangen,5.161823155938678e-05
schienen,0.00015485469467816032
heute,0.00030970938935632065
morgen,0.0002064729262375471
benehmen,5.161823155938678e-05
mittelpunkt,5.161823155938678e-05
interaktion,5.161823155938678e-05
nachteil,5.161823155938678e-05
erlitten,5.161823155938678e-05
vertraue,5.161823155938678e-05
vorteil,5.161823155938678e-05
fing,0.00015485469467816032
blickwechsel,5.161823155938678e-05
haupttisch,5.161823155938678e-05
saß,0.0004129458524750942
ziemlich,0.00046456408403448097
selbstgefällig,5.161823155938678e-05
letzte,0.0002580911577969339
schwaches,5.161823155938678e-05
unterdrücken,5.161823155938678e-05
wissen,0.0004129458524750942
zeitung,5.161823155938678e-05
zeigte,0.00010323646311877355
tatsächlich,0.0003613276209157074
nachrichten,0.00010323646311877355
gekommen,0.00015485469467816032
titelseite,5.161823155938678e-05
interview,5.161823155938678e-05
unpersönlich,5.161823155938678e-05
umsichtig,5.161823155938678e-05
klang,0.00010323646311877355
schwärmte,5.161823155938678e-05
davon,0.0003613276209157074
liebesbeziehung,5.161823155938678e-05
romeo,5.161823155938678e-05
julia,5.161823155938678e-05
zurückschaut,5.161823155938678e-05
nachseht,5.161823155938678e-05
denkt,0.00010323646311877355
niemand,0.0004129458524750942
jemals,0.00010323646311877355
