term,relative_frequency
erfuhren,0.00013186233572150675
paten,0.00017581644762867566
tanten,4.3954111907168915e-05
MURIEL,0.0002637246714430135
tessie,4.3954111907168915e-05
lucretia,4.3954111907168915e-05
schon,0.0027251549382444726
länger,8.790822381433783e-05
lebende,4.3954111907168915e-05
gehabt,8.790822381433783e-05
sorgte,8.790822381433783e-05
erheiterung,4.3954111907168915e-05
gerade,0.0012307151334007295
schlangen,4.3954111907168915e-05
eigentlich,0.0003516328952573513
darauf,0.000527449342886027
geachtet,4.3954111907168915e-05
wurde,0.0008351281262362094
mädchen,0.00017581644762867566
patentanten,4.3954111907168915e-05
einsatz,4.3954111907168915e-05
kamen,0.0004834952309788581
jungs,0.0002637246714430135
männer,0.00013186233572150675
bekamen,0.00013186233572150675
zeigte,0.0002637246714430135
offene,4.3954111907168915e-05
liberalere,4.3954111907168915e-05
flexiblere,4.3954111907168915e-05
einstellung,4.3954111907168915e-05
familie,0.0003516328952573513
weasley,0.0012307151334007295
genommen,0.00021977055953584457
verfügung,4.3954111907168915e-05
stand,0.0007911740143290405
lieb,8.790822381433783e-05
fanden,0.0003516328952573513
beiden,0.0011428069095863918
einfach,0.0004834952309788581
super,4.3954111907168915e-05
nett,8.790822381433783e-05
eben,0.00021977055953584457
genau,0.0006153575667003648
minuten,0.0003516328952573513
später,0.0006593116786075338
kam,0.0007032657905147026
rumänien,0.0008351281262362094
angereist,4.3954111907168915e-05
kinkley,4.3954111907168915e-05
moddy,4.3954111907168915e-05
caroline,4.3954111907168915e-05
lächelte,0.0003076787833501824
kenne,8.790822381433783e-05
jemand,0.00017581644762867566
sicher,0.000527449342886027
helfen,0.00043954111907168914
freund,0.00021977055953584457
damals,0.00021977055953584457
kennen,4.3954111907168915e-05
gelernt,4.3954111907168915e-05
kanada,4.3954111907168915e-05
besucht,8.790822381433783e-05
wandte,0.0003076787833501824
ab,0.0006593116786075338
sah,0.00202188914772977
eleganten,4.3954111907168915e-05
salto,4.3954111907168915e-05
flog,4.3954111907168915e-05
sanft,0.00013186233572150675
rasen,4.3954111907168915e-05
strahlte,0.00021977055953584457
gesicht,0.0006153575667003648
rot,0.00021977055953584457
flugwind,4.3954111907168915e-05
aufregung,4.3954111907168915e-05
augen,0.0007911740143290405
glänzten,4.3954111907168915e-05
voller,0.00013186233572150675
begeisterung,4.3954111907168915e-05
freude,4.3954111907168915e-05
nie,0.00039558700716452026
beeindruckend,4.3954111907168915e-05
sagte,0.002637246714430135
anerkennend,4.3954111907168915e-05
klopfte,0.00013186233572150675
schulter,0.0003076787833501824
löste,0.00013186233572150675
kleinen,0.0006153575667003648
gruppe,8.790822381433783e-05
bestand,8.790822381433783e-05
diskussion,4.3954111907168915e-05
darüber,0.00017581644762867566
mannschaft,4.3954111907168915e-05
besten,0.0003076787833501824
spielen,0.0002637246714430135
danke,0.0002637246714430135
leise,0.0004834952309788581
