term,relative_frequency
kam,0.001448960370933855
gefangen,7.244801854669275e-05
schien,0.0004346881112801565
nickte,0.00021734405564007825
aufmunternd,7.244801854669275e-05
freute,0.000289792074186771
vergangene,7.244801854669275e-05
bewältigen,7.244801854669275e-05
warum,0.00036224009273346376
hast,0.0010867202782003911
tiefrote,7.244801854669275e-05
fast,0.0004346881112801565
schwarze,7.244801854669275e-05
valentinstag,7.244801854669275e-05
geschenkt,7.244801854669275e-05
handelte,7.244801854669275e-05
missbilligenden,7.244801854669275e-05
blick,0.001448960370933855
schon,0.0023907846120408607
persönlich,0.0001448960370933855
nachdem,0.0005071361298268492
derart,0.0001448960370933855
ungewohnt,7.244801854669275e-05
offen,7.244801854669275e-05
gesprochen,0.00021734405564007825
tja,0.000289792074186771
kommt,0.00021734405564007825
wohl,0.0007244801854669275
immer,0.0021734405564007822
spät,0.0001448960370933855
zweiter,7.244801854669275e-05
stelle,0.0001448960370933855
erst,0.0006520321669202348
zuvor,0.00021734405564007825
ja,0.0021009925378540897
erstaunlich,7.244801854669275e-05
schnippisch,7.244801854669275e-05
bl,7.244801854669275e-05
kollegin,7.244801854669275e-05
schnell,0.0004346881112801565
unterhakte,7.244801854669275e-05
stehen,0.00021734405564007825
brüsk,7.244801854669275e-05
ließ,0.000289792074186771
mädels,0.00021734405564007825
verdattert,7.244801854669275e-05
hinterher,0.00021734405564007825
sah,0.0010142722596536984
wobei,0.0007244801854669275
sieeinige,7.244801854669275e-05
lacher,7.244801854669275e-05
kassierte,7.244801854669275e-05
pav,7.244801854669275e-05
lav,7.244801854669275e-05
amüsierte,7.244801854669275e-05
hübsche,7.244801854669275e-05
chinesin,7.244801854669275e-05
chancen,7.244801854669275e-05
ausrechnete,7.244801854669275e-05
mal,0.0013765123523871623
echte,7.244801854669275e-05
konkurrentin,7.244801854669275e-05
plus,7.244801854669275e-05
baby,0.00021734405564007825
dagegen,7.244801854669275e-05
gab,0.0005071361298268492
gar,0.0005071361298268492
ankommen,7.244801854669275e-05
vorüber,7.244801854669275e-05
überraschung,0.000289792074186771
tauchte,0.0001448960370933855
astoria,7.244801854669275e-05
ganz,0.000869376222560313
plötzlich,0.00036224009273346376
sichtlich,7.244801854669275e-05
irritiert,0.00021734405564007825
schläfen,7.244801854669275e-05
strich,7.244801854669275e-05
seiten,0.0001448960370933855
angegangen,7.244801854669275e-05
wurde,0.0013040643338404696
obgleich,7.244801854669275e-05
jungs,0.00021734405564007825
entspannt,0.0001448960370933855
zurückhielten,7.244801854669275e-05
einfach,0.000869376222560313
schauspiel,7.244801854669275e-05
zickender,7.244801854669275e-05
genossen,0.0001448960370933855
co,7.244801854669275e-05
situation,0.0001448960370933855
mehr,0.0015938564080272405
angenehm,7.244801854669275e-05
obwohl,0.00021734405564007825
eingemischt,7.244801854669275e-05
kommst,7.244801854669275e-05
schönste,7.244801854669275e-05
schneller,0.00021734405564007825
s,0.000579584148373542
