term,relative_frequency
gab,0.0005154550609096064
steilvorlagen,1.7181835363653546e-05
fiel,0.00020618202436384255
offensichtlich,0.00010309101218192128
gar,0.0005841824023642205
raffte,1.7181835363653546e-05
armen,0.00017181835363653546
na,0.00027490936581845674
beauftragt,1.7181835363653546e-05
einzuladen,3.436367072730709e-05
beginn,3.436367072730709e-05
ferien,0.0002577275304548032
hierher,5.154550609096064e-05
gebracht,6.872734145461418e-05
stand,0.0006700915791824883
immer,0.0016838198656380474
sofa,0.0003951822133640315
gartentür,1.7181835363653546e-05
wartete,0.0003092730365457638
astoria,0.0029209120118211026
arm,0.0005498187316369135
lauschte,1.7181835363653546e-05
tut,8.590917681826773e-05
leid,8.590917681826773e-05
ausgerastet,3.436367072730709e-05
temperament,1.7181835363653546e-05
weißt,0.0002577275304548032
fragte,0.0006357279084551812
gerade,0.0012714558169103624
wein,3.436367072730709e-05
einfüllte,1.7181835363653546e-05
ähm,1.7181835363653546e-05
weißwein,1.7181835363653546e-05
denke,8.590917681826773e-05
meinte,0.0007216370852734489
fehlt,1.7181835363653546e-05
glas,0.00017181835363653546
schon,0.00324736688373052
erspäht,1.7181835363653546e-05
sprang,0.00013745468290922837
eilig,6.872734145461418e-05
hole,3.436367072730709e-05
küche,5.154550609096064e-05
umgewandt,1.7181835363653546e-05
sah,0.0022164567619113074
weinglas,1.7181835363653546e-05
höflich,3.436367072730709e-05
hielt,0.00027490936581845674
auffordernd,3.436367072730709e-05
eingießen,1.7181835363653546e-05
konnte,0.001323001323001323
unterbrach,0.00012027284754557482
unwirsch,1.7181835363653546e-05
erhob,0.00012027284754557482
abwehrend,5.154550609096064e-05
hand,0.0008762736035463309
danach,0.000189000189000189
twins,0.0004123640487276851
müssen,0.0003092730365457638
arbeiten,3.436367072730709e-05
kampferprobt,1.7181835363653546e-05
bleibt,3.436367072730709e-05
richtete,6.872734145461418e-05
zauberstab,0.00022336385972749609
sprach,0.00020618202436384255
credere,5.154550609096064e-05
tacientiae,5.154550609096064e-05
fügte,0.0001546365182728819
namen,0.00017181835363653546
letztendlich,3.436367072730709e-05
vorsichtshalber,1.7181835363653546e-05
vater,0.00029209120118211027
erst,0.00042954588409133864
ruhig,0.00017181835363653546
wachsender,1.7181835363653546e-05
überraschung,0.00013745468290922837
schließlich,0.0005841824023642205
wohl,0.0008934554389099843
leicht,0.000378000378000378
geschockt,0.00010309101218192128
aufnahm,1.7181835363653546e-05
sicher,0.0004123640487276851
erfahren,8.590917681826773e-05
warum,0.0003951822133640315
hast,0.0005326368962732599
einbezogen,1.7181835363653546e-05
wirklich,0.0010309101218192128
gut,0.001168364804728441
aussah,0.00013745468290922837
gutaussehend,1.7181835363653546e-05
verschmitzten,1.7181835363653546e-05
lächeln,0.0002577275304548032
lippen,0.0002577275304548032
dank,8.590917681826773e-05
dunklen,5.154550609096064e-05
haut,8.590917681826773e-05
frisch,5.154550609096064e-05
aussehend,3.436367072730709e-05
hübscher,1.7181835363653546e-05
funkelnden,1.7181835363653546e-05
augen,0.0012886376522740159
aufgeweckt,1.7181835363653546e-05
gegend,1.7181835363653546e-05
sahen,0.0006529097438188348
gespannt,8.590917681826773e-05
erkannte,0.00013745468290922837
kannten,8.590917681826773e-05
besten,0.00017181835363653546
besser,0.0003436367072730709
liefen,0.00012027284754557482
puterrot,1.7181835363653546e-05
biss,1.7181835363653546e-05
fest,0.0003436367072730709
schien,0.0004123640487276851
schwer,0.00010309101218192128
tun,0.0004639095548186457
erheitert,1.7181835363653546e-05
wirken,0.00013745468290922837
presste,6.872734145461418e-05
aufeinander,5.154550609096064e-05
mut,5.154550609096064e-05
letzten,0.000189000189000189
schritt,0.00012027284754557482
ach,0.00017181835363653546
zimmer,0.00042954588409133864
stimmungsvoll,1.7181835363653546e-05
gestaltet,1.7181835363653546e-05
schampus,1.7181835363653546e-05
kerzen,1.7181835363653546e-05
musik,6.872734145461418e-05
blablabla,1.7181835363653546e-05
hochgelockt,1.7181835363653546e-05
gesperrt,1.7181835363653546e-05
kicherte,0.0001546365182728819
stöhnte,6.872734145461418e-05
verschämt,1.7181835363653546e-05
durfte,0.00013745468290922837
rächen,1.7181835363653546e-05
keinerlei,1.7181835363653546e-05
rechtliche,1.7181835363653546e-05
konsequenzen,3.436367072730709e-05
