term,relative_frequency
bitte,0.0003902125510719368
darfst,3.443051921222972e-05
böse,0.0001491989165863288
bettelte,1.1476839737409908e-05
leiser,1.1476839737409908e-05
seufzender,1.1476839737409908e-05
tonlage,1.1476839737409908e-05
erlangte,1.1476839737409908e-05
ja,0.0019510627553596842
machte,0.0003902125510719368
gut,0.0011017766147913511
großen,0.000493504108708626
bittenden,1.1476839737409908e-05
kulleraugen,1.1476839737409908e-05
ansah,0.00021805995501078822
konnte,0.0016182344029747968
weich,2.2953679474819815e-05
zumindest,0.00017215259606114861
kleine,0.00034430519212229723
slytherin,0.0005394114676582656
stolz,0.0001377220768489189
spielte,5.738419868704953e-05
rolle,5.738419868704953e-05
gastgebers,1.1476839737409908e-05
perfekt,4.590735894963963e-05
deutete,0.00025249047422301797
nehme,2.2953679474819815e-05
rotwein,1.1476839737409908e-05
meinte,0.0006082725060827251
gelöst,2.2953679474819815e-05
schelte,1.1476839737409908e-05
beendet,3.443051921222972e-05
froh,0.00017215259606114861
sanft,0.00010329155763668916
ausgefallen,1.1476839737409908e-05
saß,0.0007689482624064637
belämmert,1.1476839737409908e-05
umgang,1.1476839737409908e-05
kannte,0.00012624523711150898
fragte,0.0007574714226690538
gerade,0.0015149428453381077
wein,0.00012624523711150898
einfüllte,1.1476839737409908e-05
ähm,4.590735894963963e-05
weißwein,1.1476839737409908e-05
denke,0.00017215259606114861
fehlt,3.443051921222972e-05
glas,0.00012624523711150898
schon,0.0031217004085754944
erspäht,1.1476839737409908e-05
sprang,0.00011476839737409906
eilig,0.00010329155763668916
hole,1.1476839737409908e-05
küche,0.00011476839737409906
umgewandt,1.1476839737409908e-05
sah,0.002329798466694211
weinglas,1.1476839737409908e-05
höflich,2.2953679474819815e-05
hielt,0.0003787357113345269
auffordernd,4.590735894963963e-05
eingießen,1.1476839737409908e-05
unterbrach,0.0001951062755359684
unwirsch,2.2953679474819815e-05
erhob,9.181471789927926e-05
abwehrend,5.738419868704953e-05
hand,0.0010443924161043015
klären,2.2953679474819815e-05
währenddessen,4.590735894963963e-05
ganze,0.00036725887159711704
zeit,0.0008378093008309232
auge,0.00010329155763668916
behalten,4.590735894963963e-05
blick,0.0015838038837625672
geworfen,5.738419868704953e-05
wirklich,0.001113253454528761
unfreundlich,1.1476839737409908e-05
abgekanzelt,1.1476839737409908e-05
typische,2.2953679474819815e-05
art,8.033787816186935e-05
weise,8.033787816186935e-05
halt,0.0001951062755359684
kurz,0.0005853188266079052
davor,4.590735894963963e-05
aufzubrausen,1.1476839737409908e-05
behandelte,3.443051921222972e-05
ging,0.000987008217417252
sicher,0.00043611991002157644
maß,4.590735894963963e-05
oben,0.0001377220768489189
herab,4.590735894963963e-05
überlegte,6.886103842445945e-05
wohl,0.0008951934995179727
darauf,0.00044759674975898637
überhaupt,0.00026396731396042785
mal,0.001491989165863288
antworten,8.033787816186935e-05
schüttelte,0.00025249047422301797
herablassend,2.2953679474819815e-05
kopf,0.0007345177431942341
bevor,0.0005853188266079052
einschreiten,1.1476839737409908e-05
durchringen,1.1476839737409908e-05
recht,0.00040168939080934674
kompliziert,1.1476839737409908e-05
meldete,4.590735894963963e-05
leise,0.00045907358949639625
dürfte,2.2953679474819815e-05
erklären,0.00010329155763668916
wusste,0.0007574714226690538
umgehen,4.590735894963963e-05
twins,0.0001951062755359684
bisher,6.886103842445945e-05
erstaunlich,0.00012624523711150898
gespannt,6.886103842445945e-05
gesehen,0.0003328283523848873
schnell,0.0006082725060827251
umwandte,2.2953679474819815e-05
verwirrter,4.590735894963963e-05
