term,relative_frequency
nein,0.0007065775950668037
gut,0.0013489208633093526
langsam,0.00038540596094552927
eng,6.423432682425488e-05
leicht,0.0008350462487153134
amüsiert,0.00019270298047276464
abwegigen,6.423432682425488e-05
durfte,0.00019270298047276464
vergessen,0.00012846865364850977
nachtrug,6.423432682425488e-05
trimagischen,6.423432682425488e-05
turnier,6.423432682425488e-05
stich,6.423432682425488e-05
gelassen,0.00012846865364850977
vergeben,6.423432682425488e-05
natürlich,0.00038540596094552927
große,0.00038540596094552927
liebe,0.00025693730729701953
freund,0.0005138746145940391
ersetzen,6.423432682425488e-05
eins,0.00019270298047276464
klar,0.00038540596094552927
einziger,0.00012846865364850977
bester,6.423432682425488e-05
zeigte,0.0005781089414182939
nickte,0.0007065775950668037
unsicher,0.00019270298047276464
knackste,6.423432682425488e-05
unruhig,0.00012846865364850977
ja,0.0014773895169578623
darf,6.423432682425488e-05
vorstellen,0.00012846865364850977
freundin,0.00038540596094552927
feste,0.00012846865364850977
schwester,0.00025693730729701953
astoria,0.0022482014388489208
greengrass,0.0003211716341212744
quietschte,6.423432682425488e-05
stimme,0.00019270298047276464
hoch,0.00025693730729701953
sah,0.0024409044193216857
staunend,6.423432682425488e-05
schenkte,0.00012846865364850977
entschuldigenden,6.423432682425488e-05
sorry,6.423432682425488e-05
weiß,0.0007065775950668037
unterbrach,0.0003211716341212744
unfug,6.423432682425488e-05
stellte,0.00012846865364850977
fürsorglich,0.00012846865364850977
tasse,0.00012846865364850977
kaffee,6.423432682425488e-05
ab,0.00038540596094552927
blickte,0.00012846865364850977
jedoch,0.00019270298047276464
recht,0.0005138746145940391
trottelig,6.423432682425488e-05
gaben,0.00012846865364850977
ferngesteuerter,6.423432682425488e-05
wackeldackel,6.423432682425488e-05
habt,0.0003211716341212744
ronnielein,6.423432682425488e-05
untergebracht,6.423432682425488e-05
fand,0.00012846865364850977
schön,0.0003211716341212744
sehen,0.0007708119218910585
anging,6.423432682425488e-05
dankbares,6.423432682425488e-05
lächeln,0.00025693730729701953
hand,0.0014131551901336073
dankbar,0.00019270298047276464
ergriff,0.00019270298047276464
drückte,0.00012846865364850977
erfreutes,6.423432682425488e-05
kichern,6.423432682425488e-05
frage,0.0003211716341212744
laufen,6.423432682425488e-05
tag,0.0004496402877697842
nacht,0.00038540596094552927
wollten,0.0005138746145940391
wecken,6.423432682425488e-05
kichert,6.423432682425488e-05
darüber,0.0003211716341212744
mittlerweile,0.0003211716341212744
rot,0.00038540596094552927
gesicht,0.0005781089414182939
ballte,0.00012846865364850977
stark,0.00019270298047276464
zitternd,6.423432682425488e-05
fäuste,0.00012846865364850977
zusammen,0.0010277492291880781
beklagte,6.423432682425488e-05
entspannt,0.00012846865364850977
schien,0.0008350462487153134
auszumachen,6.423432682425488e-05
eher,0.0003211716341212744
wirkten,6.423432682425488e-05
tischthema,6.423432682425488e-05
wenig,0.0005138746145940391
erfreut,6.423432682425488e-05
verstummt,6.423432682425488e-05
würgen,0.00012846865364850977
hörte,0.0005138746145940391
mitleidig,0.00012846865364850977
rücken,0.00025693730729701953
klopfte,0.00019270298047276464
bösen,6.423432682425488e-05
blick,0.001605858170606372
könnt,6.423432682425488e-05
mal,0.001091983556012333
langsamer,6.423432682425488e-05
wurde,0.0010277492291880781
zurechtgewiesen,6.423432682425488e-05
sahen,0.0004496402877697842
erstaunt,0.00019270298047276464
eindeutig,0.00019270298047276464
revier,6.423432682425488e-05
markierte,6.423432682425488e-05
bestimmt,0.00019270298047276464
nahm,0.00038540596094552927
zischte,6.423432682425488e-05
schmerzhaft,0.00025693730729701953
bitte,0.00038540596094552927
plumpste,0.00012846865364850977
lass,0.00012846865364850977
würgte,6.423432682425488e-05
schwer,0.0003211716341212744
heraus,0.0003211716341212744
wofür,6.423432682425488e-05
wen,0.00012846865364850977
herauspresste,6.423432682425488e-05
meinte,0.0005781089414182939
essen,0.00012846865364850977
servierte,6.423432682425488e-05
geheilt,0.00025693730729701953
halt,0.0005138746145940391
bisschen,0.00019270298047276464
wäre,0.0007708119218910585
wirklichkeit,6.423432682425488e-05
verhältnisse,6.423432682425488e-05
hielt,0.0007065775950668037
erstaunlich,0.0003211716341212744
zeit,0.0006423432682425488
richteten,6.423432682425488e-05
kleine,0.00019270298047276464
büro,0.00012846865364850977
her,0.00012846865364850977
richtig,0.0005781089414182939
mühe,6.423432682425488e-05
wusste,0.0008350462487153134
abendessen,0.00012846865364850977
lange,0.0003211716341212744
wohnzimmer,0.00012846865364850977
zubrachten,6.423432682425488e-05
cholerisches,6.423432682425488e-05
temperament,6.423432682425488e-05
zügeln,6.423432682425488e-05
verstand,0.00025693730729701953
na,0.00019270298047276464
heilen,6.423432682425488e-05
müssen,0.0005781089414182939
verteilt,6.423432682425488e-05
solange,6.423432682425488e-05
verletzte,6.423432682425488e-05
zerstörte,6.423432682425488e-05
richten,6.423432682425488e-05
konnte,0.001605858170606372
schlimm,0.00012846865364850977
setzte,0.0003211716341212744
erst,0.0007065775950668037
gebrochenes,6.423432682425488e-05
bein,0.00012846865364850977
mehr,0.0014131551901336073
weniger,0.0003211716341212744
streichholz,6.423432682425488e-05
nachgab,6.423432682425488e-05
aufkeuchend,6.423432682425488e-05
nieder,0.00019270298047276464
gequält,6.423432682425488e-05
eilte,0.0003211716341212744
abgemacht,6.423432682425488e-05
blutungen,6.423432682425488e-05
gefährliche,6.423432682425488e-05
verletzungen,6.423432682425488e-05
zuerst,0.00012846865364850977
knochen,0.00019270298047276464
zueilte,6.423432682425488e-05
heilerin,6.423432682425488e-05
weitesten,6.423432682425488e-05
befreite,6.423432682425488e-05
luft,0.0003211716341212744
fischte,6.423432682425488e-05
enervate,6.423432682425488e-05
erweckte,6.423432682425488e-05
weit,0.0004496402877697842
lag,0.0003211716341212744
immer,0.0021197327852004112
bewegungslos,6.423432682425488e-05
half,0.00019270298047276464
stützend,6.423432682425488e-05
kommen,0.00019270298047276464
wandte,0.0005138746145940391
erstes,0.00012846865364850977
liebsten,0.00019270298047276464
markerschütternden,6.423432682425488e-05
schmerzenslaut,6.423432682425488e-05
entlockte,6.423432682425488e-05
ferula,0.00012846865364850977
gnadenlos,6.423432682425488e-05
schiente,6.423432682425488e-05
besprenkelnde,6.423432682425488e-05
blut,6.423432682425488e-05
verschwand,0.00025693730729701953
schlamm,6.423432682425488e-05
gesichtern,6.423432682425488e-05
dank,0.00025693730729701953
ratzeputz,6.423432682425488e-05
gereinigt,6.423432682425488e-05
einigermaßen,0.00012846865364850977
zückte,6.423432682425488e-05
salben,6.423432682425488e-05
tränke,6.423432682425488e-05
aufpäppeln,6.423432682425488e-05
sollten,0.00019270298047276464
traten,0.00025693730729701953
tat,0.0004496402877697842
einzig,6.423432682425488e-05
richtige,0.00012846865364850977
stand,0.0005138746145940391
egal,6.423432682425488e-05
wann,0.00012846865364850977
sprang,0.00012846865364850977
schulter,0.0005138746145940391
bestes,6.423432682425488e-05
aufzuheitern,6.423432682425488e-05
zumindest,0.00012846865364850977
versuchte,0.0005138746145940391
schlimmer,6.423432682425488e-05
druck,6.423432682425488e-05
stahlgrauen,6.423432682425488e-05
augen,0.0010277492291880781
einbrach,6.423432682425488e-05
niemanden,6.423432682425488e-05
verwundern,6.423432682425488e-05
gängelten,6.423432682425488e-05
echt,0.00019270298047276464
blöd,0.00019270298047276464
wegen,0.00025693730729701953
blamieren,6.423432682425488e-05
schon,0.0020554984583761563
erwähnt,6.423432682425488e-05
unglaublich,6.423432682425488e-05
talentierte,6.423432682425488e-05
schauspieler,6.423432682425488e-05
schaute,0.0003211716341212744
verächtlich,6.423432682425488e-05
erwachsenen,0.00012846865364850977
