term,relative_frequency
lustig,0.00012535255405828893
tauschte,0.00012535255405828893
großen,0.0005014102162331557
halle,0.0005014102162331557
wer,0.0004387339392040113
hätte,0.000814791601378878
jemals,6.267627702914446e-05
begutachtung,6.267627702914446e-05
beim,0.00031338138514572234
lehrertisch,0.0001880288310874334
ankam,0.00012535255405828893
konnte,0.002130993418990912
dank,0.00025070510811657786
exposés,6.267627702914446e-05
schrecklichen,0.0001880288310874334
rosafarbenen,6.267627702914446e-05
biederen,6.267627702914446e-05
kostüm,6.267627702914446e-05
passenden,6.267627702914446e-05
rosa,0.0001880288310874334
hut,6.267627702914446e-05
kurzen,0.00012535255405828893
grauen,0.00012535255405828893
locken,0.0001880288310874334
bewachsenen,6.267627702914446e-05
hinterkopf,0.00012535255405828893
ausmachen,0.00012535255405828893
meisten,0.00025070510811657786
angeklagt,6.267627702914446e-05
worden,0.0005014102162331557
darunter,0.00012535255405828893
worüber,0.0001880288310874334
besonders,0.00031338138514572234
freute,0.0003760576621748668
gleich,0.0003760576621748668
hypernervös,6.267627702914446e-05
begann,0.0007521153243497336
unruhig,0.0001880288310874334
platz,0.00025070510811657786
herumzurutschen,6.267627702914446e-05
gesehen,0.00031338138514572234
kam,0.0007521153243497336
schließlich,0.000814791601378878
antwort,0.00025070510811657786
letzten,0.00031338138514572234
weihnachtsferien,0.00012535255405828893
salon,6.267627702914446e-05
irgendeinem,0.00025070510811657786
unerfindlichen,6.267627702914446e-05
grund,0.0003760576621748668
sowohl,0.0001880288310874334
me,6.267627702914446e-05
leise,0.0004387339392040113
gesetzt,0.00025070510811657786
steht,0.0001880288310874334
tja,0.0001880288310874334
gibt,0.00025070510811657786
ausbildungserlass,6.267627702914446e-05
gedacht,0.0001880288310874334
ganze,0.0003760576621748668
schule,0.0006267627702914447
sprechen,0.0003760576621748668
verarscht,6.267627702914446e-05
zuerst,6.267627702914446e-05
macht,0.00025070510811657786
hirnamputierte,6.267627702914446e-05
müll,6.267627702914446e-05
kommt,0.00025070510811657786
dumme,0.00012535255405828893
plantschkuh,6.267627702914446e-05
grandiose,6.267627702914446e-05
idee,0.00025070510811657786
unserer,0.0001880288310874334
halben,0.00012535255405828893
mannschaft,0.0001880288310874334
lebenslanges,6.267627702914446e-05
spielverbot,0.00012535255405828893
erteilen,6.267627702914446e-05
emmadie,6.267627702914446e-05
tatsache,0.00025070510811657786
DOBBY,6.267627702914446e-05
geschickt,0.0001880288310874334
armen,6.267627702914446e-05
schleimer,0.00012535255405828893
gefasst,0.00012535255405828893
wurde,0.0015042306486994673
entkommen,0.00012535255405828893
bringt,0.00012535255405828893
nachhinein,6.267627702914446e-05
gut,0.000814791601378878
gar,0.0005014102162331557
leider,0.0004387339392040113
niemand,0.0003760576621748668
vollidioten,6.267627702914446e-05
gekommen,0.00031338138514572234
zettel,0.00012535255405828893
namen,0.00031338138514572234
drauf,0.00012535255405828893
nehmen,0.0001880288310874334
sodass,0.00031338138514572234
neue,0.0001880288310874334
schulleiterin,0.0001880288310874334
höchst,0.0001880288310874334
hände,6.267627702914446e-05
bekommen,0.0003760576621748668
sollten,0.00025070510811657786
wirklich,0.000814791601378878
schnell,0.0007521153243497336
kommen,0.0005014102162331557
bevor,0.0006267627702914447
jemand,0.0005014102162331557
versuche,0.00012535255405828893
sehen,0.0004387339392040113
stirn,0.0001880288310874334
gerunzelt,6.267627702914446e-05
ja,0.0013788780946411784
interessant,0.00012535255405828893
wahr,0.0001880288310874334
mr,0.0005014102162331557
okay,6.267627702914446e-05
heißt,6.267627702914446e-05
zeit,0.0005014102162331557
schinden,6.267627702914446e-05
hoffen,0.0001880288310874334
genug,0.00031338138514572234
bekommt,0.0001880288310874334
erledigen,0.0001880288310874334
büro,0.0012535255405828893
emma,6.267627702914446e-05
sagt,6.267627702914446e-05
warnend,6.267627702914446e-05
unglaublich,6.267627702914446e-05
wütend,0.00025070510811657786
geehrte,0.00012535255405828893
damen,6.267627702914446e-05
herren,0.0001880288310874334
spricht,6.267627702914446e-05
kapitän,6.267627702914446e-05
paar,0.0005014102162331557
schwierigkeiten,6.267627702914446e-05
kämpfen,6.267627702914446e-05
bitte,0.0005014102162331557
bleiben,0.00012535255405828893
ruhig,0.0001880288310874334
plätzen,6.267627702914446e-05
sitzen,6.267627702914446e-05
schnallen,6.267627702914446e-05
sehe,0.00025070510811657786
hoch,0.00025070510811657786
gezogenen,6.267627702914446e-05
augenbrauen,0.00025070510811657786
ansehen,6.267627702914446e-05
lachen,0.00025070510811657786
fast,0.00031338138514572234
hose,0.0001880288310874334
verdammte,0.00012535255405828893
scheiße,0.00012535255405828893
singe,6.267627702914446e-05
nationalhymne,6.267627702914446e-05
lege,0.00012535255405828893
hand,0.0010028204324663114
ziehe,6.267627702914446e-05
zauberstab,0.0005640864932623002
schuh,6.267627702914446e-05
lasse,6.267627702914446e-05
funken,0.0001880288310874334
sprühen,6.267627702914446e-05
herum,0.00025070510811657786
tanze,6.267627702914446e-05
dad,6.267627702914446e-05
irgendwie,0.0001880288310874334
mitteilen,6.267627702914446e-05
tür,0.0005014102162331557
aufhält,0.00012535255405828893
weiche,6.267627702914446e-05
blick,0.001629583202757756
kalt,6.267627702914446e-05
möglich,0.00025070510811657786
aussehen,6.267627702914446e-05
lassen,0.0005014102162331557
manchmal,0.0001880288310874334
rechtfertigen,6.267627702914446e-05
umstände,6.267627702914446e-05
mittel,0.00012535255405828893
sicher,0.0005014102162331557
minister,0.0004387339392040113
verstehen,0.00012535255405828893
wahl,0.00025070510811657786
spüre,0.00012535255405828893
aufsehe,6.267627702914446e-05
böse,0.00025070510811657786
sieht,0.00025070510811657786
sofort,0.0004387339392040113
gerne,0.0003760576621748668
kopf,0.0004387339392040113
wand,0.00031338138514572234
gelegt,6.267627702914446e-05
immer,0.0012535255405828893
funkle,6.267627702914446e-05
geschlossenen,0.0001880288310874334
augen,0.0011281729865246005
fenster,0.0001880288310874334
lehnt,6.267627702914446e-05
augenwinkel,6.267627702914446e-05
richtung,0.00012535255405828893
wald,0.00025070510811657786
gehirn,6.267627702914446e-05
amputiert,6.267627702914446e-05
blicke,0.0003760576621748668
heftet,6.267627702914446e-05
sekunde,6.267627702914446e-05
blutenden,6.267627702914446e-05
handrücken,0.00012535255405828893
ehe,0.00031338138514572234
gehen,0.0005640864932623002
fragt,6.267627702914446e-05
nickt,0.00012535255405828893
verschwindet,0.00025070510811657786
worauf,0.0001880288310874334
warten,0.00012535255405828893
syltherins,6.267627702914446e-05
eigenen,6.267627702914446e-05
wachhunden,0.00012535255405828893
häusern,6.267627702914446e-05
leben,0.0005014102162331557
haus,6.267627702914446e-05
leidet,6.267627702914446e-05
mehr,0.0013788780946411784
hauspunkte,6.267627702914446e-05
verlassen,0.0003760576621748668
vorher,0.00012535255405828893
gefülltes,6.267627702914446e-05
schlüpfe,6.267627702914446e-05
enge,0.00012535255405828893
dunkle,0.00012535255405828893
dürfen,0.0001880288310874334
hogsmead,6.267627702914446e-05
fällen,6.267627702914446e-05
wohl,0.000940144155437167
möchte,0.00025070510811657786
sagen,0.0004387339392040113
ferien,0.0001880288310874334
vorbei,0.00025070510811657786
sitze,6.267627702914446e-05
zug,6.267627702914446e-05
drehe,6.267627702914446e-05
ring,6.267627702914446e-05
grüne,0.00012535255405828893
stein,6.267627702914446e-05
funkelt,6.267627702914446e-05
sonnelicht,6.267627702914446e-05
abteil,6.267627702914446e-05
ertrage,6.267627702914446e-05
länger,0.00025070510811657786
stopft,6.267627702914446e-05
handvoll,6.267627702914446e-05
schokoladenfrösche,6.267627702914446e-05
mund,0.0001880288310874334
isst,6.267627702914446e-05
neckt,6.267627702914446e-05
bruder,0.0001880288310874334
halt,6.267627702914446e-05
klappe,6.267627702914446e-05
teufel,6.267627702914446e-05
tun,0.0005640864932623002
nächste,0.0001880288310874334
woche,0.0004387339392040113
vergeht,6.267627702914446e-05
gerade,0.0007521153243497336
rundgang,6.267627702914446e-05
mister,0.0005640864932623002
brüllt,0.0001880288310874334
halten,0.00031338138514572234
moment,0.0005014102162331557
beide,0.0004387339392040113
rappelt,6.267627702914446e-05
musst,0.0001880288310874334
zischt,0.0001880288310874334
stammle,6.267627702914446e-05
lauf,6.267627702914446e-05
schiebt,6.267627702914446e-05
knurrt,0.00012535255405828893
festgewachsen,6.267627702914446e-05
befehl,6.267627702914446e-05
füßen,0.00012535255405828893
renne,6.267627702914446e-05
los,0.00025070510811657786
läuft,0.00012535255405828893
seite,0.0001880288310874334
hebt,0.00025070510811657786
zeigt,0.0001880288310874334
finger,0.00012535255405828893
richtigen,6.267627702914446e-05
lächle,6.267627702914446e-05
wende,6.267627702914446e-05
zehn,0.00012535255405828893
fragen,0.00025070510811657786
knallen,6.267627702914446e-05
hallt,0.00012535255405828893
saal,0.00012535255405828893
überrascht,0.0001880288310874334
schauen,0.00025070510811657786
zweiten,0.00025070510811657786
knall,0.00012535255405828893
adam,6.267627702914446e-05
dritten,0.0001880288310874334
stolziert,6.267627702914446e-05
raum,0.0005014102162331557
schuhe,6.267627702914446e-05
klackern,6.267627702914446e-05
zieht,0.00012535255405828893
verärgert,0.0001880288310874334
wundwinkel,6.267627702914446e-05
schung,6.267627702914446e-05
öffnet,0.00012535255405828893
leuchtene,6.267627702914446e-05
grille,0.00012535255405828893
tanzt,6.267627702914446e-05
denke,6.267627702914446e-05
verwirrt,0.00012535255405828893
bunt,0.00012535255405828893
feuerwerk,6.267627702914446e-05
silverster,6.267627702914446e-05
köpfen,0.00012535255405828893
vierteilen,6.267627702914446e-05
je,0.00012535255405828893
aktion,0.00025070510811657786
heikel,6.267627702914446e-05
einzubrechen,6.267627702914446e-05
einfacher,0.00012535255405828893
laut,0.0003760576621748668
geht,0.00031338138514572234
zauber,0.00031338138514572234
mauzen,6.267627702914446e-05
katzen,0.00012535255405828893
entgegen,0.0001880288310874334
treten,0.00012535255405828893
folterfeder,6.267627702914446e-05
tisch,0.00031338138514572234
greife,6.267627702914446e-05
landet,6.267627702914446e-05
schneller,6.267627702914446e-05
feuer,0.00012535255405828893
aufhalten,0.00012535255405828893
zucke,0.00012535255405828893
feder,0.00012535255405828893
niemanden,0.00012535255405828893
durchfährt,6.267627702914446e-05
merken,6.267627702914446e-05
bildern,0.00012535255405828893
hängen,6.267627702914446e-05
drin,6.267627702914446e-05
werfe,6.267627702914446e-05
zusammen,0.0005640864932623002
stimme,0.0006267627702914447
erklingt,6.267627702914446e-05
atmet,6.267627702914446e-05
blitzen,6.267627702914446e-05
voller,0.00025070510811657786
betritt,6.267627702914446e-05
zimmer,0.00031338138514572234
treffen,0.0001880288310874334
weiten,6.267627702914446e-05
truppe,6.267627702914446e-05
freunde,0.00031338138514572234
blauen,0.00012535255405828893
auge,0.00025070510811657786
erscheint,6.267627702914446e-05
sichtlich,0.0001880288310874334
genervt,0.00025070510811657786
letzte,0.00031338138514572234
starrt,6.267627702914446e-05
schritt,0.00025070510811657786
zugehen,6.267627702914446e-05
stoppt,6.267627702914446e-05
flucht,0.00012535255405828893
baut,6.267627702914446e-05
klärt,6.267627702914446e-05
gefährlich,0.00012535255405828893
später,0.00031338138514572234
sitzt,6.267627702914446e-05
stuhl,0.0001880288310874334
gedrängt,6.267627702914446e-05
leute,0.00012535255405828893
schach,6.267627702914446e-05
gehalten,0.0001880288310874334
eltern,0.0004387339392040113
daumen,6.267627702914446e-05
rutscht,6.267627702914446e-05
rand,6.267627702914446e-05
pullovers,6.267627702914446e-05
sanft,6.267627702914446e-05
streicht,6.267627702914446e-05
liebsten,6.267627702914446e-05
weinen,0.00012535255405828893
reiße,6.267627702914446e-05
ohrfeigt,6.267627702914446e-05
vortreten,6.267627702914446e-05
herzschlag,6.267627702914446e-05
kühle,6.267627702914446e-05
lässt,0.00012535255405828893
eh,0.00012535255405828893
bröckelt,6.267627702914446e-05
maske,6.267627702914446e-05
crucio,6.267627702914446e-05
fluch,0.0001880288310874334
zunge,6.267627702914446e-05
lockern,6.267627702914446e-05
monster,0.00012535255405828893
brülle,6.267627702914446e-05
legt,6.267627702914446e-05
still,6.267627702914446e-05
merlin,6.267627702914446e-05
alicedie,6.267627702914446e-05
nächsten,0.000814791601378878
zwölf,6.267627702914446e-05
tage,0.00025070510811657786
verbringen,6.267627702914446e-05
ministerium,0.0010028204324663114
außen,6.267627702914446e-05
müssen,0.0004387339392040113
medallion,6.267627702914446e-05
heiß,0.00012535255405828893
dicht,6.267627702914446e-05
plan,0.00025070510811657786
wahnsinn,6.267627702914446e-05
besseren,6.267627702914446e-05
wäre,0.0005014102162331557
pläne,6.267627702914446e-05
einsperren,6.267627702914446e-05
meinung,0.00012535255405828893
theoretische,6.267627702914446e-05
ausbildung,6.267627702914446e-05
vollkommen,6.267627702914446e-05
ausreichend,6.267627702914446e-05
zags,6.267627702914446e-05
erfolgreich,6.267627702914446e-05
lernt,6.267627702914446e-05
fürs,6.267627702914446e-05
flüsterte,0.00012535255405828893
ohr,6.267627702914446e-05
gehört,0.00025070510811657786
arme,0.0001880288310874334
schlangen,0.00012535255405828893
träge,0.00012535255405828893
minuten,6.267627702914446e-05
genossen,6.267627702914446e-05
ruhe,0.0001880288310874334
heute,0.0006267627702914447
sagte,0.0016922594797869007
abwesend,6.267627702914446e-05
haare,6.267627702914446e-05
strich,0.00012535255405828893
gefallen,0.0001880288310874334
seufzte,6.267627702914446e-05
fertigte,6.267627702914446e-05
kopie,6.267627702914446e-05
überreichte,0.00012535255405828893
überflog,6.267627702914446e-05
tasche,0.00012535255405828893
vielen,6.267627702914446e-05
gefolgt,0.00025070510811657786
schmalen,6.267627702914446e-05
lächeln,0.0005014102162331557
schauder,6.267627702914446e-05
rücken,0.00025070510811657786
wandern,6.267627702914446e-05
ließ,0.0005014102162331557
dafür,0.0004387339392040113
sorgte,6.267627702914446e-05
bedroht,6.267627702914446e-05
absolut,0.00012535255405828893
ahnung,0.00012535255405828893
gedanken,0.00025070510811657786
lesen,0.00012535255405828893
wissen,0.0004387339392040113
nachdachte,6.267627702914446e-05
morgen,0.0007521153243497336
übermorgen,6.267627702914446e-05
kümmern,6.267627702914446e-05
uhr,6.267627702914446e-05
beginnen,6.267627702914446e-05
jüngeren,6.267627702914446e-05
bett,6.267627702914446e-05
abendessen,0.00031338138514572234
gelächter,6.267627702914446e-05
ausgelassenem,6.267627702914446e-05
geplauder,6.267627702914446e-05
geprägt,6.267627702914446e-05
ging,0.0006894390473205892
direktem,6.267627702914446e-05
betrat,0.0001880288310874334
botschaft,0.0001880288310874334
ausrichten,6.267627702914446e-05
fiel,0.00025070510811657786
sah,0.001629583202757756
gesicht,0.0008774678784080226
leer,6.267627702914446e-05
wanderten,6.267627702914446e-05
wusstet,6.267627702914446e-05
gestern,6.267627702914446e-05
termin,0.00012535255405828893
augenwinkeln,6.267627702914446e-05
kurz,0.000814791601378878
schmunzelte,6.267627702914446e-05
setzte,0.00025070510811657786
kindliches,6.267627702914446e-05
hörte,0.0006267627702914447
dabei,0.0006894390473205892
traum,6.267627702914446e-05
stellte,0.0003760576621748668
wendete,6.267627702914446e-05
gab,0.0005014102162331557
leises,0.00012535255405828893
chrm,0.00025070510811657786
miss,0.0004387339392040113
dürfte,6.267627702914446e-05
bitten,0.00012535255405828893
vier,0.00012535255405828893
kehle,0.00012535255405828893
schnürte,6.267627702914446e-05
hilfesuchenden,6.267627702914446e-05
werfen,0.00025070510811657786
bedeutete,6.267627702914446e-05
schon,0.0017549357568160452
freien,6.267627702914446e-05
ganz,0.0006267627702914447
hinten,0.0001880288310874334
setzen,0.00025070510811657786
wandte,0.00031338138514572234
gruppe,0.00012535255405828893
fragte,0.0005640864932623002
unterricht,0.000940144155437167
verletzungen,0.00012535255405828893
tumbes,6.267627702914446e-05
machte,0.0006894390473205892
sprang,6.267627702914446e-05
antworten,6.267627702914446e-05
kamen,0.00031338138514572234
klassenzimmer,0.0005640864932623002
zaubertränke,0.00012535255405828893
extra,0.00012535255405828893
verkündete,6.267627702914446e-05
slytherin,0.000814791601378878
stelle,0.00025070510811657786
erlaubnis,0.00012535255405828893
gegeben,0.00012535255405828893
weiterzuspielen,0.00012535255405828893
gefragt,6.267627702914446e-05
bereits,0.0006267627702914447
ecke,0.0001880288310874334
verschwunden,0.0001880288310874334
glück,0.00012535255405828893
betrachtete,6.267627702914446e-05
argwöhnisch,6.267627702914446e-05
hervorquellenden,6.267627702914446e-05
glubschaugen,6.267627702914446e-05
kritisch,6.267627702914446e-05
aufsatz,6.267627702914446e-05
schweifen,6.267627702914446e-05
tag,0.0003760576621748668
minute,0.00025070510811657786
schlimmer,0.00012535255405828893
besser,0.00025070510811657786
klar,0.0003760576621748668
darum,0.0001880288310874334
müsste,0.0001880288310874334
decken,0.00012535255405828893
reden,0.0001880288310874334
heißen,6.267627702914446e-05
brei,6.267627702914446e-05
warum,0.0005640864932623002
ähm,6.267627702914446e-05
bewusst,0.00012535255405828893
unfair,6.267627702914446e-05
gehandelt,0.00012535255405828893
außerhalb,6.267627702914446e-05
klassenzimmers,6.267627702914446e-05
hört,0.00012535255405828893
professor,0.00025070510811657786
derjenige,0.00012535255405828893
bestraft,0.00012535255405828893
frechheit,6.267627702914446e-05
gewalttätig,6.267627702914446e-05
bezeichnet,6.267627702914446e-05
wobei,0.00025070510811657786
nase,0.00031338138514572234
gebrochen,6.267627702914446e-05
stattdessen,0.00025070510811657786
blickte,0.0005014102162331557
aussah,6.267627702914446e-05
fette,6.267627702914446e-05
fliege,0.00012535255405828893
fänge,6.267627702914446e-05
verstehe,6.267627702914446e-05
hinauswollen,6.267627702914446e-05
erwidern,0.00012535255405828893
vielmehr,6.267627702914446e-05
nasenbluten,6.267627702914446e-05
