term,relative_frequency
offenbar,0.0001625047397215752
lenken,2.7084123286929202e-05
richtung,0.00021667298629543362
familie,0.0006229348355993716
reinblütige,2.7084123286929202e-05
reiche,2.7084123286929202e-05
zukunft,0.00010833649314771681
entwickelte,2.7084123286929202e-05
sagte,0.001597963273928823
ja,0.0013271220410595308
plante,2.7084123286929202e-05
dinge,0.00010833649314771681
vorteil,2.7084123286929202e-05
versuchte,0.000270841232869292
lang,0.00018958886300850442
breit,0.000135420616434646
erklärt,0.00010833649314771681
ehemals,8.12523698607876e-05
bedeutenden,2.7084123286929202e-05
stammte,2.7084123286929202e-05
bevor,0.0008125236986078761
frechheit,2.7084123286929202e-05
besessen,2.7084123286929202e-05
mudblood,2.7084123286929202e-05
heiraten,0.000135420616434646
maß,5.4168246573858405e-05
wohl,0.0003250094794431504
zweierlei,2.7084123286929202e-05
gute,0.000135420616434646
weiteren,5.4168246573858405e-05
dank,0.00018958886300850442
nachforschungen,2.7084123286929202e-05
herausgefunden,2.7084123286929202e-05
großvater,0.00018958886300850442
charlus,5.4168246573858405e-05
damals,0.000270841232869292
dorea,5.4168246573858405e-05
black,0.0005958507123124424
geehelicht,2.7084123286929202e-05
gelebt,2.7084123286929202e-05
kurz,0.0008396078218948053
sohn,0.0010562808081902388
gras,2.7084123286929202e-05
gebissen,2.7084123286929202e-05
besten,0.000135420616434646
freund,0.0002979253561562212
nämlich,5.4168246573858405e-05
wählte,5.4168246573858405e-05
erwählt,2.7084123286929202e-05
pate,0.000135420616434646
twins,2.7084123286929202e-05
erziehung,5.4168246573858405e-05
kindes,5.4168246573858405e-05
übernehmen,5.4168246573858405e-05
ständig,5.4168246573858405e-05
leben,0.0007854395753209469
onkels,2.7084123286929202e-05
erstaunte,2.7084123286929202e-05
schon,0.0017604680136503981
astoria,0.00037917772601700885
schied,2.7084123286929202e-05
einflusslose,2.7084123286929202e-05
schwester,0.00010833649314771681
wirkte,0.000135420616434646
geschaffene,2.7084123286929202e-05
vielleicht,0.00048751421916472563
bestimmt,0.0001625047397215752
erkannt,0.000135420616434646
geschützt,2.7084123286929202e-05
wurde,0.001218785547911814
durchaus,5.4168246573858405e-05
ernst,0.000135420616434646
nahmen,5.4168246573858405e-05
somit,0.000135420616434646
geartete,2.7084123286929202e-05
verantwortung,5.4168246573858405e-05
übernahm,5.4168246573858405e-05
nehmen,0.00018958886300850442
junge,0.000135420616434646
vater,0.001218785547911814
gesagt,0.000270841232869292
hätte,0.0006500189588863008
jemanden,5.4168246573858405e-05
angerempelt,2.7084123286929202e-05
wäre,0.0006771030821732301
ziemlicher,2.7084123286929202e-05
sicherheit,0.00021667298629543362
umzug,2.7084123286929202e-05
ging,0.0011646173013379556
schnell,0.00037917772601700885
statten,2.7084123286929202e-05
hauselfen,5.4168246573858405e-05
dunklen,0.00024375710958236281
lords,8.12523698607876e-05
wohnung,0.00018958886300850442
freigeräumt,2.7084123286929202e-05
guten,0.00024375710958236281
ausblick,5.4168246573858405e-05
see,2.7084123286929202e-05
hohen,5.4168246573858405e-05
mauern,8.12523698607876e-05
kniff,5.4168246573858405e-05
augen,0.0010562808081902388
zusammen,0.0008937760684686637
ehrgeiz,2.7084123286929202e-05
setzte,0.00040626184930393804
trieb,2.7084123286929202e-05
besen,0.000135420616434646
kinder,0.00048751421916472563
merkten,2.7084123286929202e-05
große,0.00018958886300850442
gestalt,5.4168246573858405e-05
sah,0.0020583933698066193
beiden,0.0010021125616163805
kindern,0.000135420616434646
ungläubig,5.4168246573858405e-05
schüttelte,0.00021667298629543362
person,0.00024375710958236281
schwarzen,0.000135420616434646
haaren,5.4168246573858405e-05
tochter,0.000135420616434646
konnte,0.0015708791506418938
art,0.000270841232869292
gelegen,2.7084123286929202e-05
haare,0.0001625047397215752
catreen,2.7084123286929202e-05
schwarze,0.00010833649314771681
ärgerte,2.7084123286929202e-05
selber,8.12523698607876e-05
soeben,0.00010833649314771681
endlich,0.000270841232869292
blick,0.0011375331780510264
werfen,5.4168246573858405e-05
neben,0.0007854395753209469
betrachtete,0.0001625047397215752
jungen,0.00043334597259086724
beim,0.0002979253561562212
schlafen,8.12523698607876e-05
zog,0.0006229348355993716
wenig,0.0002979253561562212
zurück,0.0007583554520340177
hand,0.0012458696711987432
verschwand,0.0002979253561562212
spalte,2.7084123286929202e-05
matratze,5.4168246573858405e-05
kopfteil,2.7084123286929202e-05
bettes,2.7084123286929202e-05
kehrte,2.7084123286929202e-05
kleinen,0.00035209360273007965
schachtel,5.4168246573858405e-05
fuhr,0.000135420616434646
fort,0.00010833649314771681
öffnete,0.000270841232869292
abraxas,0.00024375710958236281
einziger,2.7084123286929202e-05
schwarzmagische,2.7084123286929202e-05
wohlhabendes,8.12523698607876e-05
elternhaus,8.12523698607876e-05
einfluss,5.4168246573858405e-05
weltkrieg,2.7084123286929202e-05
verschollen,2.7084123286929202e-05
tot,0.00010833649314771681
heiratet,2.7084123286929202e-05
geb,0.0003250094794431504
liams,5.4168246573858405e-05
wanderte,2.7084123286929202e-05
eigenen,0.0002979253561562212
liste,8.12523698607876e-05
liam,0.00018958886300850442
balthasar,2.7084123286929202e-05
bruder,0.00018958886300850442
alexander,8.12523698607876e-05
eltern,0.000541682465738584
krieg,0.000135420616434646
getötet,5.4168246573858405e-05
heirat,5.4168246573858405e-05
claire,2.7084123286929202e-05
adoptivsohn,2.7084123286929202e-05
enkelkinder,2.7084123286929202e-05
nahm,0.00043334597259086724
feder,2.7084123286929202e-05
tunkte,2.7084123286929202e-05
rote,0.00010833649314771681
tinte,2.7084123286929202e-05
unterstrich,2.7084123286929202e-05
fein,2.7084123286929202e-05
säuberlich,2.7084123286929202e-05
worte,0.000270841232869292
sowie,8.12523698607876e-05
aufzählungen,2.7084123286929202e-05
beide,0.00037917772601700885
leiblichen,2.7084123286929202e-05
inzwischen,0.000135420616434646
alter,5.4168246573858405e-05
heute,0.000270841232869292
wirklich,0.00046043009587779643
getan,0.0001625047397215752
hauchte,8.12523698607876e-05
zauberstab,0.0003250094794431504
fest,0.000541682465738584
scheint,2.7084123286929202e-05
gewissen,8.12523698607876e-05
besitzen,2.7084123286929202e-05
rücken,0.0001625047397215752
fällt,8.12523698607876e-05
wort,0.00021667298629543362
antipathie,2.7084123286929202e-05
gegenüber,0.00024375710958236281
hass,8.12523698607876e-05
gegipfelt,2.7084123286929202e-05
tatsache,0.00010833649314771681
todesser,0.00018958886300850442
rettung,5.4168246573858405e-05
festnahme,2.7084123286929202e-05
ermöglicht,5.4168246573858405e-05
linderung,2.7084123286929202e-05
ablehnung,5.4168246573858405e-05
beigetragen,2.7084123286929202e-05
einzige,0.000135420616434646
verstehen,0.00010833649314771681
viele,0.00040626184930393804
übereinstimmungen,2.7084123286929202e-05
harrison,0.00010833649314771681
gab,0.0008666919451817345
erst,0.0005958507123124424
gedacht,0.00018958886300850442
sei,0.00024375710958236281
irgendetwas,5.4168246573858405e-05
vollkommen,0.000135420616434646
sinnfreies,2.7084123286929202e-05
signum,5.4168246573858405e-05
irgendwas,5.4168246573858405e-05
mysterium,2.7084123286929202e-05
verstärken,2.7084123286929202e-05
begreifen,2.7084123286929202e-05
magie,0.00021667298629543362
ausging,2.7084123286929202e-05
starke,5.4168246573858405e-05
mack,2.7084123286929202e-05
wissen,0.00037917772601700885
bedeutet,8.12523698607876e-05
all,0.00021667298629543362
bücher,0.00010833649314771681
aktiven,2.7084123286929202e-05
belegt,5.4168246573858405e-05
denke,0.00021667298629543362
davon,0.00043334597259086724
ausgehen,5.4168246573858405e-05
gesamten,2.7084123286929202e-05
grundstück,5.4168246573858405e-05
genauso,0.00018958886300850442
gemacht,0.000541682465738584
richtig,0.00021667298629543362
wenigstens,0.000135420616434646
chance,0.00010833649314771681
geben,0.000135420616434646
vernünftig,2.7084123286929202e-05
sache,0.0002979253561562212
heran,8.12523698607876e-05
stieg,8.12523698607876e-05
wagen,5.4168246573858405e-05
schloss,0.0001625047397215752
ab,0.00043334597259086724
straße,5.4168246573858405e-05
eingangstür,2.7084123286929202e-05
drückte,0.000270841232869292
entschlossen,2.7084123286929202e-05
klingelknopf,2.7084123286929202e-05
gesicht,0.00048751421916472563
perfekte,8.12523698607876e-05
emotionslose,2.7084123286929202e-05
maske,5.4168246573858405e-05
venedig,2.7084123286929202e-05
eigentlich,0.00037917772601700885
verhört,5.4168246573858405e-05
mal,0.0012458696711987432
ganz,0.0008666919451817345
sicher,0.0006771030821732301
gehen,0.00040626184930393804
diesmal,0.00010833649314771681
verstanden,0.00018958886300850442
josephine,5.4168246573858405e-05
zumindest,8.12523698607876e-05
leise,0.00040626184930393804
zimmer,0.000270841232869292
verschwunden,0.00010833649314771681
steile,2.7084123286929202e-05
falte,2.7084123286929202e-05
brauen,5.4168246573858405e-05
nachdem,0.0005687665890255132
