term,relative_frequency
nachdem,0.0007156147130385
schweißbrenner,7.156147130385e-05
lippen,0.00021468441391155003
schweißen,7.156147130385e-05
müssen,0.0005724917704308
verärgert,0.0001431229426077
vater,0.00035780735651925
mehr,0.0017174753112924003
bedeckt,7.156147130385e-05
hielt,0.00035780735651925
sah,0.0007156147130385
gute,0.00035780735651925
idee,7.156147130385e-05
aufmerksam,0.00021468441391155003
mochte,7.156147130385e-05
jemandem,0.0001431229426077
überhaupt,0.00021468441391155003
zeigen,0.0001431229426077
stand,0.0007156147130385
außer,0.00042936882782310007
frage,0.0002862458852154
schien,0.00042936882782310007
hätte,0.0011449835408616
gespür,7.156147130385e-05
dinge,0.0001431229426077
fing,0.0002862458852154
schnatz,0.0001431229426077
mal,0.001431229426077
ärgern,0.00021468441391155003
besen,0.00021468441391155003
stieg,7.156147130385e-05
jedenfalls,7.156147130385e-05
erzählte,7.156147130385e-05
feier,7.156147130385e-05
rücken,0.0002862458852154
gekehrt,7.156147130385e-05
beschlossen,7.156147130385e-05
professoren,7.156147130385e-05
wohl,0.0009302991269500501
erwarten,7.156147130385e-05
gryffindor,0.0007156147130385
gewann,7.156147130385e-05
wollten,0.00021468441391155003
großen,0.00021468441391155003
verletzungen,7.156147130385e-05
riskieren,7.156147130385e-05
wegen,0.00021468441391155003
blöden,7.156147130385e-05
spiels,7.156147130385e-05
party,0.0001431229426077
gleichen,7.156147130385e-05
gestiegen,7.156147130385e-05
schließlich,0.0007156147130385
löwen,7.156147130385e-05
ausgiebig,7.156147130385e-05
sieg,7.156147130385e-05
feind,7.156147130385e-05
gefeiert,7.156147130385e-05
wurde,0.0009302991269500501
hochgelobt,7.156147130385e-05
super,7.156147130385e-05
hütterjob,7.156147130385e-05
erledigt,7.156147130385e-05
gut,0.001431229426077
quaffel,0.0001431229426077
gelassen,0.00021468441391155003
feucht,7.156147130385e-05
fröhlich,7.156147130385e-05
bejubelt,7.156147130385e-05
unmögliche,7.156147130385e-05
geschah,7.156147130385e-05
angeheitert,7.156147130385e-05
ebenso,7.156147130385e-05
beschwipsten,7.156147130385e-05
heißen,7.156147130385e-05
kuss,0.0001431229426077
tauschte,7.156147130385e-05
zog,0.0008587376556462001
gerade,0.001431229426077
kapuze,7.156147130385e-05
kopf,0.0010018605982539
heute,0.0006440532417346501
weder,0.0001431229426077
gehen,0.00050093029912695
niemand,0.0002862458852154
wusste,0.00035780735651925
schon,0.0025046514956347504
spät,0.0001431229426077
blickte,0.00042936882782310007
ruhigen,7.156147130385e-05
schlafenden,0.0001431229426077
körper,7.156147130385e-05
hingegen,0.0001431229426077
zeigte,0.00021468441391155003
kingswear,7.156147130385e-05
losließ,7.156147130385e-05
darin,7.156147130385e-05
vorhänge,7.156147130385e-05
beim,0.0002862458852154
schlafen,7.156147130385e-05
zuzog,7.156147130385e-05
morgens,0.0001431229426077
kam,0.0009302991269500501
gesehen,0.0005724917704308
bett,0.00035780735651925
geflüchtet,7.156147130385e-05
pech,7.156147130385e-05
gehabt,0.0001431229426077
blut,7.156147130385e-05
wolfes,7.156147130385e-05
fast,0.00050093029912695
gebadet,7.156147130385e-05
ungehindert,7.156147130385e-05
wunde,7.156147130385e-05
gelaufen,0.0001431229426077
spruch,7.156147130385e-05
magischen,7.156147130385e-05
peitsche,7.156147130385e-05
verfeinerte,7.156147130385e-05
eigenkreation,7.156147130385e-05
hilfe,0.0001431229426077
entwickelt,7.156147130385e-05
beruhigter,7.156147130385e-05
gegenüber,0.00021468441391155003
gewöhnlichen,7.156147130385e-05
flüchen,7.156147130385e-05
resistenten,7.156147130385e-05
werwesen,7.156147130385e-05
ging,0.0010018605982539
grummelte,7.156147130385e-05
gleichgültig,7.156147130385e-05
steckte,0.0001431229426077
hände,0.00035780735651925
hosentasche,7.156147130385e-05
sagte,0.0015027908973808501
gar,0.0002862458852154
lehnte,7.156147130385e-05
steinerne,7.156147130385e-05
säule,7.156147130385e-05
niemandem,0.0001431229426077
sagen,0.0002862458852154
schuldige,7.156147130385e-05
verantwortung,7.156147130385e-05
trug,0.00021468441391155003
bergab,7.156147130385e-05
donnerte,7.156147130385e-05
tür,0.0005724917704308
wucht,7.156147130385e-05
finster,7.156147130385e-05
dreinblickenden,7.156147130385e-05
offenbaren,7.156147130385e-05
