term,relative_frequency
begann,0.0007257203842049093
zauberstab,0.0005549626467449306
her,0.00029882604055496263
fahren,4.268943436499467e-05
leise,0.0005976520811099253
diagnosezauber,8.537886872998933e-05
murmelte,0.0005976520811099253
konnte,0.0016221985058697973
fast,0.000384204909284952
sagen,0.0007257203842049093
abneigung,4.268943436499467e-05
gegenüber,0.00017075773745997867
heiler,0.00021344717182497332
krankenschwestern,4.268943436499467e-05
madam,0.008580576307363927
stoppte,4.268943436499467e-05
perplex,0.000128068303094984
bauch,0.00029882604055496263
schüttelte,0.000256136606189968
kopf,0.001152614727854856
neuem,8.537886872998933e-05
nickte,0.000768409818569904
frei,0.000128068303094984
machte,0.0005549626467449306
abgewandelte,4.268943436499467e-05
form,8.537886872998933e-05
gesprochen,8.537886872998933e-05
niemand,0.000256136606189968
davon,0.000512273212379936
wissen,0.000256136606189968
erfuhr,4.268943436499467e-05
weib,4.268943436499467e-05
interview,4.268943436499467e-05
geben,0.000384204909284952
bedrohliche,4.268943436499467e-05
pause,4.268943436499467e-05
nasenflügel,4.268943436499467e-05
bebten,4.268943436499467e-05
schwöre,4.268943436499467e-05
MORGANA,4.268943436499467e-05
dreiarmigen,4.268943436499467e-05
sohn,8.537886872998933e-05
derartig,4.268943436499467e-05
verfluchen,4.268943436499467e-05
madame,0.008196371398078975
überreste,4.268943436499467e-05
see,4.268943436499467e-05
entsorgen,4.268943436499467e-05
lässt,0.000128068303094984
kichern,0.000128068303094984
unterdrücken,4.268943436499467e-05
stupste,4.268943436499467e-05
besten,0.00017075773745997867
freund,0.00042689434364994664
ellenbogen,8.537886872998933e-05
rippen,8.537886872998933e-05
komm,0.00042689434364994664
schon,0.0023479188900747067
freunde,0.00021344717182497332
seit,0.00042689434364994664
gestern,0.00021344717182497332
irgendwie,0.00017075773745997867
kopfschmerzen,0.000256136606189968
meinte,0.001152614727854856
monoton,4.268943436499467e-05
massierte,4.268943436499467e-05
solltest,0.00017075773745997867
besorgt,0.000384204909284952
