term,relative_frequency
sprach,0.0001214365949178785
eindringlich,3.0359148729469626e-05
ausscheider,3.0359148729469626e-05
VOLDEMORT,0.000485746379671514
VAISEY,3.0359148729469626e-05
tür,9.107744618840887e-05
trat,6.071829745893925e-05
freudig,3.0359148729469626e-05
begrüßt,3.0359148729469626e-05
näherten,3.0359148729469626e-05
taubenschlag,3.0359148729469626e-05
logistisch,3.0359148729469626e-05
handhaben,6.071829745893925e-05
brutal,3.0359148729469626e-05
beobachtete,0.0002125140411062874
mehr,0.0008196970156956799
einmischen,3.0359148729469626e-05
ging,0.0006071829745893925
schlag,9.107744618840887e-05
eintrudelten,3.0359148729469626e-05
mcmillan,3.0359148729469626e-05
jahr,0.00039466893348310514
sieben,3.0359148729469626e-05
gingen,9.107744618840887e-05
hinein,3.0359148729469626e-05
warten,3.0359148729469626e-05
kamen,0.0002732323385652266
anwesend,3.0359148729469626e-05
begann,0.00039466893348310514
sprechen,3.0359148729469626e-05
statt,3.0359148729469626e-05
wochenenden,3.0359148729469626e-05
eberkopfes,3.0359148729469626e-05
dezimieren,3.0359148729469626e-05
fror,3.0359148729469626e-05
zusätzlich,6.071829745893925e-05
angesetzten,3.0359148729469626e-05
trainingsstunden,3.0359148729469626e-05
besen,0.00015179574364734813
zuckersüßes,3.0359148729469626e-05
hinterteil,3.0359148729469626e-05
ab,0.00039466893348310514
beim,0.0003643097847536355
stein,3.0359148729469626e-05
weisen,3.0359148729469626e-05
anhaltende,3.0359148729469626e-05
farce,3.0359148729469626e-05
erzfeind,6.071829745893925e-05
glaube,0.0001214365949178785
fast,0.0002125140411062874
hasst,3.0359148729469626e-05
grinste,0.00018215489237681775
verdrehte,6.071829745893925e-05
na,0.0001214365949178785
ja,0.0010929293542609065
wer,0.0001214365949178785
weiß,0.0002125140411062874
betraten,3.0359148729469626e-05
raum,0.0002732323385652266
gerade,0.0005161055284009837
schlugen,3.0359148729469626e-05
leise,0.00030359148729469627
co,3.0359148729469626e-05
spät,6.071829745893925e-05
hauspunkte,3.0359148729469626e-05
abgezogen,6.071829745893925e-05
warfen,9.107744618840887e-05
böse,9.107744618840887e-05
blicke,0.00018215489237681775
offensichtlicher,3.0359148729469626e-05
bestimmt,3.0359148729469626e-05
nochmal,9.107744618840887e-05
ärger,6.071829745893925e-05
eindeutig,9.107744618840887e-05
durften,6.071829745893925e-05
ersten,0.0002732323385652266
trank,0.0001214365949178785
brauen,6.071829745893925e-05
nachdem,0.00015179574364734813
letztes,0.00018215489237681775
mal,0.0008500561644251496
