term,relative_frequency
erstaunlich,2.7520347857196916e-05
kalt,7.568095660729152e-05
fragte,0.0007568095660729152
vorhin,1.3760173928598458e-05
ernst,0.00013760173928598456
VOLDEMORT,0.022607965764687266
wirklich,0.0006054476528583321
vater,0.0013622572189312472
geschützt,1.3760173928598458e-05
richtig,0.00013072165232168534
beinen,3.440043482149614e-05
helfen,0.00017200217410748072
warf,0.0001926424350003784
besorgte,6.880086964299229e-06
blicke,0.00011008139142878766
immer,0.0019195442630394847
blieb,0.0003164840003577645
klar,0.00024080304375047302
nahm,0.00035088443517926067
füße,3.440043482149614e-05
gefallene,6.880086964299229e-06
corpus,6.880086964299229e-06
delicti,6.880086964299229e-06
entfernte,4.81606087500946e-05
medaillon,2.0640260892897688e-05
desto,4.1280521785795375e-05
ging,0.000722409131251419
besser,0.00025456321767907146
verdammt,4.1280521785795375e-05
leute,0.00013072165232168534
wäre,0.0007086489573228206
verspricht,2.0640260892897688e-05
davon,0.0005228866092867414
image,6.880086964299229e-06
aufzubauen,1.3760173928598458e-05
fassade,2.7520347857196916e-05
bisher,0.00011008139142878766
nie,0.0005848073919654344
nötig,1.3760173928598458e-05
genauso,0.00020640260892897686
antwort,0.00010320130446448843
gehörten,6.192078267869306e-05
VAISEY,2.0640260892897688e-05
greg,2.0640260892897688e-05
astoria,0.00012384156535738612
hochzeit,5.504069571439383e-05
eh,6.192078267869306e-05
wussten,0.00017200217410748072
hoch,8.944113053588997e-05
neugierig,8.256104357159075e-05
wusste,0.0012246554796452628
herrliche,6.880086964299229e-06
offen,5.504069571439383e-05
reden,0.0002614433046433707
konnte,0.0016168204366103188
aufgrund,7.568095660729152e-05
zauber,0.00017888226107177994
banne,6.880086964299229e-06
sicherheit,0.00013072165232168534
gesprochen,7.568095660729152e-05
einzig,6.192078267869306e-05
slytherin,0.00034400434821496144
dabei,0.0004609658266080483
blickte,0.0003577645221435599
irritiert,4.1280521785795375e-05
wissen,0.00046784591357234754
fing,0.0001444818262502838
gezielt,6.880086964299229e-06
anzuwerben,1.3760173928598458e-05
schmunzelte,3.440043482149614e-05
daran,0.0004265653917865522
dachte,0.00043344547875085143
verließen,4.81606087500946e-05
gesammelt,6.880086964299229e-06
irland,1.3760173928598458e-05
gehen,0.0003371242612506622
tatsache,0.00013072165232168534
gewundert,2.0640260892897688e-05
endlich,0.0003646446091078591
quidditchteam,6.880086964299229e-06
kommen,0.00043344547875085143
spielte,7.568095660729152e-05
schließlich,0.0003096039133934653
einladung,4.81606087500946e-05
ebenfalls,0.0002820835655362684
job,2.7520347857196916e-05
contino,6.880086964299229e-06
industries,6.880086964299229e-06
annehmen,2.0640260892897688e-05
bietest,6.880086964299229e-06
sprach,0.0005297666962510406
eindringlich,8.256104357159075e-05
ausscheider,6.880086964299229e-06
tür,0.00048160608750094603
trat,0.0002683233916076699
freudig,2.0640260892897688e-05
begrüßt,3.440043482149614e-05
näherten,6.880086964299229e-06
taubenschlag,6.880086964299229e-06
logistisch,6.880086964299229e-06
handhaben,6.880086964299229e-06
brutal,2.0640260892897688e-05
beobachtete,0.00011008139142878766
mehr,0.0013622572189312472
einmischen,6.880086964299229e-06
schlag,3.440043482149614e-05
eintrudelten,6.880086964299229e-06
mcmillan,6.880086964299229e-06
kam,0.0007361693051800175
gedanke,8.256104357159075e-05
wieso,0.00019952252196467763
abzogen,6.880086964299229e-06
versuchen,0.00010320130446448843
zuhause,0.00010320130446448843
schluß,6.880086964299229e-06
kleine,0.0002889636525005676
umfrage,6.880086964299229e-06
narzizza,6.880086964299229e-06
guten,0.00013072165232168534
holen,0.00012384156535738612
lieber,0.00010320130446448843
lassen,0.0005091264353581429
jahr,0.00024768313071477224
wurde,0.0012796961753596566
stärker,4.1280521785795375e-05
luzius,6.880086964299229e-06
erkannte,0.0001444818262502838
meister,6.192078267869306e-05
tot,0.0003164840003577645
ärgerte,2.7520347857196916e-05
freude,8.256104357159075e-05
wart,2.0640260892897688e-05
währst,6.880086964299229e-06
gutes,6.880086964299228e-05
willkommensgeschenk,6.880086964299229e-06
lord,0.0015824200017888225
höchstwahrscheinlich,2.7520347857196916e-05
milde,2.7520347857196916e-05
gerettet,6.880086964299228e-05
sagte,0.0015204992191101296
gekämpft,4.81606087500946e-05
gesucht,4.81606087500946e-05
weiß,0.00048160608750094603
denke,0.00015824200017888225
richter,6.880086964299229e-06
berücksichtigen,6.880086964299229e-06
gibt,0.00017888226107177994
gewissheit,2.0640260892897688e-05
tatsächlich,0.00025456321767907146
abgeschworen,6.880086964299229e-06
gab,0.00047472600053664676
zumindest,0.00013760173928598456
hinsicht,6.880086964299229e-06
einigermaßen,2.0640260892897688e-05
vertrauenswürdig,6.880086964299229e-06
erscheinen,5.504069571439383e-05
ungnade,3.440043482149614e-05
gefallen,5.504069571439383e-05
trotzdem,0.0001444818262502838
verraten,0.00015824200017888225
augen,0.0010388931316091836
gestellt,7.568095660729152e-05
kampf,0.00024768313071477224
geflohen,2.7520347857196916e-05
freiwillig,6.192078267869306e-05
ausgeliefert,5.504069571439383e-05
wichtigeres,2.0640260892897688e-05
brach,0.00012384156535738612
ab,0.0005435268701796391
sah,0.002146587132861359
fragend,3.440043482149614e-05
gefährlich,8.256104357159075e-05
anhänger,0.0004265653917865522
versprengt,6.880086964299229e-06
manor,0.0012865762623239557
einzige,0.0002614433046433707
platz,0.00030272382642916606
sicher,0.0006673684355370252
prozess,1.3760173928598458e-05
beginnt,2.7520347857196916e-05
behilflich,2.0640260892897688e-05
zweifelte,2.7520347857196916e-05
menschenkenntnis,6.880086964299229e-06
beobachtungsgabe,6.880086964299229e-06
sehen,0.00046784591357234754
mann,0.00037152469607215833
wog,6.880086964299229e-06
genau,0.0004128052178579537
wider,2.7520347857196916e-05
gegeneinander,1.3760173928598458e-05
engsten,4.81606087500946e-05
vertrauten,2.7520347857196916e-05
gehört,0.00019952252196467763
dennoch,0.00013072165232168534
tat,0.0002820835655362684
namen,0.000330244174286363
tyrannen,6.880086964299229e-06
begangen,3.440043482149614e-05
worden,0.0003646446091078591
nachgewiesen,2.0640260892897688e-05
schien,0.0003784047830364576
weder,0.00013072165232168534
unmittelbar,6.880086964299229e-06
beteiligt,6.880086964299229e-06
hätte,0.0009288117401803959
willkür,6.880086964299229e-06
aussetzen,6.880086964299229e-06
töten,0.00044032556571515065
getan,0.00024080304375047302
untergebenen,2.0640260892897688e-05
letzter,6.192078267869306e-05
zeit,0.0006880086964299229
härter,6.880086964299229e-06
umgegangen,6.880086964299229e-06
neulich,1.3760173928598458e-05
sogar,0.00044032556571515065
mister,0.0001651220871431815
übel,4.1280521785795375e-05
zugesetzt,1.3760173928598458e-05
absicht,2.7520347857196916e-05
frage,0.00020640260892897686
lächelte,0.00017888226107177994
vielleicht,0.0004953662614295445
ausschließlich,1.3760173928598458e-05
artes,6.880086964299229e-06
fixiert,1.3760173928598458e-05
gemeinsam,0.00015136191321458303
mächtige,2.0640260892897688e-05
rune,6.880086964299229e-06
ergaben,6.880086964299229e-06
v,6.880086964299229e-06
hinterließen,1.3760173928598458e-05
seufzte,0.0001926424350003784
huschte,2.0640260892897688e-05
geduckt,6.880086964299229e-06
zimmer,0.0003646446091078591
teilte,4.1280521785795375e-05
bereits,0.0004265653917865522
treppe,4.1280521785795375e-05
hinauf,3.440043482149614e-05
gestürmt,6.880086964299229e-06
weile,7.568095660729152e-05
erstaunt,3.440043482149614e-05
stelle,0.00018576234803607916
gestarrt,6.880086964299229e-06
blonde,7.568095660729152e-05
verschwunden,0.00013072165232168534
etwa,7.568095660729152e-05
getreuen,6.880086964299229e-06
gehören,3.440043482149614e-05
nachdem,0.00037152469607215833
irgendwoher,6.880086964299229e-06
erfahren,0.00024768313071477224
nächste,0.00011008139142878766
coup,6.880086964299229e-06
peking,1.3760173928598458e-05
stattfinden,1.3760173928598458e-05
beauftragt,4.1280521785795375e-05
details,1.3760173928598458e-05
klären,6.880086964299229e-06
carrowgeschwister,6.880086964299229e-06
orden,0.00013760173928598456
folgen,6.880086964299228e-05
drachenmedaillon,6.880086964299229e-06
besorgen,1.3760173928598458e-05
konnten,0.0001926424350003784
bevor,0.0005160065223224422
land,2.7520347857196916e-05
gekommen,0.00017888226107177994
hiess,6.880086964299229e-06
lange,0.0004953662614295445
gewusst,8.256104357159075e-05
neun,1.3760173928598458e-05
drachen,2.0640260892897688e-05
visier,2.7520347857196916e-05
gehabt,0.0001651220871431815
je,8.256104357159075e-05
