term,relative_frequency
unschuldig,4.065701740120345e-05
ja,0.0008944543828264759
klar,0.00020328508700601723
schwere,8.13140348024069e-05
knochen,4.065701740120345e-05
schenkte,8.13140348024069e-05
neue,0.00012197105220361035
schultasche,4.065701740120345e-05
alte,0.00012197105220361035
ziemlich,0.00012197105220361035
schäbig,4.065701740120345e-05
fast,0.0001626280696048138
schon,0.0010570824524312897
bekam,0.00020328508700601723
fotoalbum,4.065701740120345e-05
bildern,4.065701740120345e-05
eltern,0.0004878842088144414
ganze,0.00012197105220361035
stunde,4.065701740120345e-05
später,0.00020328508700601723
verließen,4.065701740120345e-05
laden,4.065701740120345e-05
anziehsachen,4.065701740120345e-05
abgesehen,8.13140348024069e-05
denen,0.00012197105220361035
sofort,0.0002439421044072207
anbehalten,4.065701740120345e-05
sachen,0.00012197105220361035
hause,8.13140348024069e-05
feierlich,4.065701740120345e-05
kamin,0.0001626280696048138
verbrennen,4.065701740120345e-05
manor,0.00012197105220361035
schicken,8.13140348024069e-05
lassen,0.00020328508700601723
sah,0.0004878842088144414
hoch,8.13140348024069e-05
aufgebaut,4.065701740120345e-05
stand,0.0001626280696048138
muskeln,4.065701740120345e-05
spielten,0.00012197105220361035
schließlich,0.0002439421044072207
bösen,4.065701740120345e-05
lächeln,8.13140348024069e-05
betrachtete,4.065701740120345e-05
plötzlich,8.13140348024069e-05
hasste,8.13140348024069e-05
magier,4.065701740120345e-05
muggel,0.000365913156610831
blickte,4.065701740120345e-05
gebannt,4.065701740120345e-05
oben,8.13140348024069e-05
verzauberten,4.065701740120345e-05
decke,4.065701740120345e-05
rief,8.13140348024069e-05
wahnsinn,4.065701740120345e-05
kino,8.13140348024069e-05
zufällig,4.065701740120345e-05
kamen,0.0006098552610180518
gerad,4.065701740120345e-05
vorbei,0.00012197105220361035
hörte,8.13140348024069e-05
wort,4.065701740120345e-05
witterte,4.065701740120345e-05
chance,4.065701740120345e-05
gute,0.0001626280696048138
tipps,4.065701740120345e-05
geplantes,4.065701740120345e-05
date,4.065701740120345e-05
graziella,0.00012197105220361035
bekommen,0.0002439421044072207
verblieben,4.065701740120345e-05
kinoprogramm,8.13140348024069e-05
bereits,8.13140348024069e-05
vorab,4.065701740120345e-05
filmen,4.065701740120345e-05
vertraut,4.065701740120345e-05
konnte,0.0004878842088144414
wochen,8.13140348024069e-05
weihnachten,4.065701740120345e-05
laufen,8.13140348024069e-05
erst,0.0004878842088144414
quidditch,8.13140348024069e-05
fliegen,8.13140348024069e-05
unterhalten,4.065701740120345e-05
turm,4.065701740120345e-05
hängen,4.065701740120345e-05
geblieben,8.13140348024069e-05
kam,0.0003252561392096276
herüber,4.065701740120345e-05
fragte,0.00012197105220361035
mutter,0.0001626280696048138
gesprochen,4.065701740120345e-05
hätte,0.00020328508700601723
erzählte,0.00012197105220361035
unterhaltung,4.065701740120345e-05
davon,0.0001626280696048138
tatsächlich,0.00020328508700601723
eingeladen,0.0001626280696048138
mungo,8.13140348024069e-05
klopfte,8.13140348024069e-05
abteiltüre,4.065701740120345e-05
steckte,8.13140348024069e-05
kopf,0.0002439421044072207
herein,0.00012197105220361035
entschuldigt,4.065701740120345e-05
störe,4.065701740120345e-05
kurz,0.0001626280696048138
rein,4.065701740120345e-05
kommen,0.0001626280696048138
fragen,0.00020328508700601723
wurde,0.00040657017401203447
gebeten,8.13140348024069e-05
setzte,0.00012197105220361035
freien,8.13140348024069e-05
platz,0.0001626280696048138
neben,0.0002439421044072207
zog,4.065701740120345e-05
faltblatt,4.065701740120345e-05
umhang,4.065701740120345e-05
möchte,0.0005285412262156448
nächste,4.065701740120345e-05
woche,8.13140348024069e-05
einladen,4.065701740120345e-05
nahm,8.13140348024069e-05
freundin,8.13140348024069e-05
fest,0.0001626280696048138
arm,0.00020328508700601723
griff,8.13140348024069e-05
hand,0.0002439421044072207
bot,4.065701740120345e-05
nehmen,4.065701740120345e-05
angenehmer,4.065701740120345e-05
apparieren,4.065701740120345e-05
außerdem,0.0005285412262156448
favoriten,0.00040657017401203447
danken,0.00040657017401203447
geschichte,0.00040657017401203447
mitverfolgen,0.00040657017401203447
sowie,0.0008131403480240689
besonders,0.0005285412262156448
großes,0.00040657017401203447
danke,0.00040657017401203447
jemals,0.0004472271914132379
review,0.00040657017401203447
geschrieben,0.00040657017401203447
ela,0.00040657017401203447
sevfan,0.00040657017401203447
alkmene,0.00040657017401203447
irinabutterfly,0.00040657017401203447
julius,0.00040657017401203447
faithyone,0.00040657017401203447
rumtreiberin,0.00040657017401203447
atropate,0.00040657017401203447
isissky,0.00040657017401203447
lusekir,0.00040657017401203447
senorita,0.00040657017401203447
coralyn,0.00040657017401203447
midima,0.00040657017401203447
lycana,0.00040657017401203447
northgirl,0.00040657017401203447
saiya,0.00040657017401203447
cabo,0.00040657017401203447
wynssafel,0.00040657017401203447
potterpot,0.00040657017401203447
hexe,0.0004878842088144414
minerverus,0.00040657017401203447
tomcat,0.00040657017401203447
domii,0.00040657017401203447
kandis,0.00040657017401203447
inessnape,0.00040657017401203447
wasp,0.00040657017401203447
iqra,0.00040657017401203447
alli,0.00040657017401203447
uhrwerkorange,0.00040657017401203447
corni,0.00040657017401203447
pureblood,0.00040657017401203447
xdnaddyxd,0.00040657017401203447
cerchi,0.00040657017401203447
anudre,0.00040657017401203447
andrea,0.00040657017401203447
katharina,0.00040657017401203447
froschlein,0.00040657017401203447
dannysahne,0.00040657017401203447
vanessasnake,0.00040657017401203447
vanessaseptember,0.00040657017401203447
demonskiss,0.00040657017401203447
gwendolyn,0.00040657017401203447
magicmerl,0.00040657017401203447
severinasnake,0.00040657017401203447
dark,0.0008131403480240689
ingwill,0.00040657017401203447
juliamalfoy,0.00040657017401203447
beccs,0.00040657017401203447
solevalia,0.0008131403480240689
liselotte,0.00040657017401203447
beka,0.00040657017401203447
miss,0.0005691982436168483
blacksilverstar,0.00040657017401203447
evi,0.00040657017401203447
aurora,0.00040657017401203447
morgenstern,0.00040657017401203447
julicullen,0.00040657017401203447
fierce,0.00040657017401203447
diamondsparkle,0.00040657017401203447
lenobia,0.00040657017401203447
tinie,0.00040657017401203447
moonsun,0.00040657017401203447
mizukawajashi,0.00040657017401203447
alfrey,0.00040657017401203447
cannelle,0.00040657017401203447
all,0.0004472271914132379
thatglitters,0.00040657017401203447
thajin,0.00040657017401203447
m,0.00040657017401203447
c,0.0004878842088144414
aragock,0.00040657017401203447
silberschatten,0.00040657017401203447
ahuntersgrace,0.00040657017401203447
mekka,0.00040657017401203447
lesekatze,0.00040657017401203447
aryaa,0.00040657017401203447
hurls,0.00040657017401203447
mindi,0.00040657017401203447
xxkaddaleinxx,0.00040657017401203447
mellaly,0.00040657017401203447
sandra,0.0004878842088144414
black,0.002845991218084241
sommersommersommer,0.00040657017401203447
diabolisches,0.00040657017401203447
ulo,0.00040657017401203447
eriksnape,0.00040657017401203447
nyx,0.00040657017401203447
herminem,0.00040657017401203447
weissmagiger,0.00040657017401203447
nicacyde,0.00040657017401203447
paki,0.0008131403480240689
taomiu,0.00040657017401203447
alana,0.00040657017401203447
slytherin,0.0008537973654252724
drachentochter,0.00040657017401203447
tinkabellchen,0.00040657017401203447
kellylanson,0.00040657017401203447
limogirl,0.00040657017401203447
kathe,0.00040657017401203447
lestrange,0.0006098552610180518
paranorm,0.00040657017401203447
chloe,0.00040657017401203447
smaragd,0.00040657017401203447
alcminuialwen,0.00040657017401203447
coockiemonster,0.00040657017401203447
kaschmirrot,0.00040657017401203447
betterbeely,0.00040657017401203447
misswongee,0.00040657017401203447
lavenia,0.00040657017401203447
suiseiseki,0.00040657017401203447
fredchen,0.00040657017401203447
dragoni,0.00040657017401203447
abigal,0.0008131403480240689
eviesnape,0.00040657017401203447
katesnape,0.00040657017401203447
rikudosennin,0.00040657017401203447
aoi,0.00040657017401203447
hyuga,0.00040657017401203447
luciablack,0.00040657017401203447
shadowfire,0.00040657017401203447
wichtel,0.00040657017401203447
chemlady,0.00040657017401203447
niawe,0.00040657017401203447
miro,0.00040657017401203447
gwynever,0.00040657017401203447
lmc,0.00040657017401203447
magnoliacrystal,0.00040657017401203447
karneval,0.00040657017401203447
shadows,0.00040657017401203447
of,0.0007724833306228655
night,0.00040657017401203447
franny,0.00040657017401203447
snapesbride,0.00040657017401203447
skyscrapergirl,0.00040657017401203447
suppenkohleintopf,0.00040657017401203447
caligula,0.00040657017401203447
lady,0.0018702228004553586
armitage,0.00040657017401203447
ellcrys,0.00040657017401203447
clodeen,0.00040657017401203447
izzie,0.00040657017401203447
ravenclaw,0.0004878842088144414
mariko,0.00040657017401203447
ichigawa,0.00040657017401203447
yelana,0.00040657017401203447
snowmouse,0.00040657017401203447
alton,0.00040657017401203447
alan,0.00040657017401203447
belladonna,0.00040657017401203447
lunefaye,0.00040657017401203447
quarks,0.00040657017401203447
fjoralba,0.00040657017401203447
silina,0.00040657017401203447
lemennlatrus,0.00040657017401203447
bubbelz,0.00040657017401203447
misslinda,0.00040657017401203447
crowgirl,0.00040657017401203447
wolfshauch,0.0008131403480240689
widderchen,0.00040657017401203447
safeandsound,0.00040657017401203447
delia,0.00040657017401203447
mellark,0.00040657017401203447
coralina,0.00040657017401203447
xyara,0.00040657017401203447
tattoonation,0.00040657017401203447
atsuto,0.00040657017401203447
hirudo,0.00040657017401203447
mortifer,0.00040657017401203447
thegrinch,0.00040657017401203447
padawan,0.00040657017401203447
miriel,0.00040657017401203447
serinamuggel,0.00040657017401203447
