term,relative_frequency
reaktionen,4.30163031789048e-05
genau,0.0004301630317890481
reihenfolge,4.30163031789048e-05
wobei,0.0003441304254312384
erstere,4.30163031789048e-05
beiden,0.0008173097603991913
außer,0.0003441304254312384
wut,0.0001720652127156192
losplärrten,4.30163031789048e-05
wisperte,4.30163031789048e-05
wiegelte,4.30163031789048e-05
sichtlich,0.0001290489095367144
unangenehm,8.60326063578096e-05
berührt,4.30163031789048e-05
ab,0.00047317933496795285
gerührt,8.60326063578096e-05
wegen,0.0001290489095367144
annäherung,4.30163031789048e-05
geräuschvoll,4.30163031789048e-05
nase,8.60326063578096e-05
putzte,0.0001290489095367144
tante,0.008732309545317675
meinte,0.00038714672861014324
diesbezüglich,4.30163031789048e-05
mal,0.0012904890953671442
besonderer,4.30163031789048e-05
tag,0.0007742934572202865
halloween,4.30163031789048e-05
sei,0.0001720652127156192
ach,0.0001290489095367144
dad,8.60326063578096e-05
weiß,0.0004301630317890481
anfangen,0.0001290489095367144
lebte,0.0002580978190734288
mann,0.0008173097603991913
jahre,0.0005161956381468576
verheimlicht,4.30163031789048e-05
zauberer,0.00030111412225233364
schrank,0.0005592119413257625
treppe,0.0004301630317890481
leben,0.0005161956381468576
lassen,0.0007312771540413817
haushalt,8.60326063578096e-05
zuständig,4.30163031789048e-05
nebenher,4.30163031789048e-05
gehen,0.0002580978190734288
besseres,4.30163031789048e-05
tun,0.00038714672861014324
verprügeln,4.30163031789048e-05
hänseln,4.30163031789048e-05
schluckte,4.30163031789048e-05
bevor,0.0005161956381468576
wort,0.0001720652127156192
sagen,0.0004301630317890481
konnte,0.001333505398546049
kam,0.00107540757947262
runter,0.0001720652127156192
wohl,0.0007742934572202865
zimmer,0.00047317933496795285
pc,4.30163031789048e-05
gespielte,4.30163031789048e-05
gesagt,0.00030111412225233364
drehte,0.0001290489095367144
sagte,0.0014195380049038585
lasst,4.30163031789048e-05
alleine,0.0003441304254312384
onkel,0.0037854346797436228
wiederum,8.60326063578096e-05
starrten,0.0002580978190734288
sohn,0.0018497010366929066
jedoch,0.00038714672861014324
lag,0.00021508151589452404
blicken,8.60326063578096e-05
eher,0.0001720652127156192
überraschung,8.60326063578096e-05
entsetzen,0.00021508151589452404
darüber,0.00030111412225233364
darin,8.60326063578096e-05
hexe,0.0001290489095367144
oh,0.0001720652127156192
machte,0.0006452445476835721
aussah,0.00021508151589452404
wäre,0.0006022282445046673
lieber,0.0004301630317890481
ganz,0.0008603260635780961
überrascht,0.0001290489095367144
hob,0.00021508151589452404
hand,0.0004301630317890481
schüttelte,0.00047317933496795285
lächelte,0.0001720652127156192
gezwungen,0.0001290489095367144
petunie,4.30163031789048e-05
neffe,0.0001720652127156192
nachdem,0.0002580978190734288
eltern,0.0007312771540413817
gestorben,4.30163031789048e-05
baby,0.0001290489095367144
obwohl,0.0003441304254312384
kaum,0.00030111412225233364
treffendere,4.30163031789048e-05
bezeichnung,4.30163031789048e-05
normalerweise,8.60326063578096e-05
führte,0.0001720652127156192
erzählt,0.00030111412225233364
bestimmt,0.00021508151589452404
verboten,0.0001290489095367144
eins,8.60326063578096e-05
mochte,4.30163031789048e-05
boshaft,4.30163031789048e-05
gemein,8.60326063578096e-05
kochen,0.0001290489095367144
solange,0.0001290489095367144
teilte,8.60326063578096e-05
essen,0.0008603260635780961
eigentlich,0.00047317933496795285
immer,0.002365896674839764
durfte,0.0004301630317890481
sogar,0.0005161956381468576
tisch,0.0004301630317890481
sitzen,4.30163031789048e-05
bekam,0.00030111412225233364
läuft,8.60326063578096e-05
ja,0.0015916032176194778
kannte,0.0002580978190734288
briefen,4.30163031789048e-05
heimlich,0.00021508151589452404
schicken,4.30163031789048e-05
einkaufen,0.00021508151589452404
briefkasten,8.60326063578096e-05
vorbei,4.30163031789048e-05
marken,4.30163031789048e-05
mitgebracht,8.60326063578096e-05
besuch,0.00021508151589452404
zurück,0.0006452445476835721
thema,0.0001290489095367144
versuchten,4.30163031789048e-05
schnell,0.0004301630317890481
möglich,4.30163031789048e-05
bringen,0.0003441304254312384
fall,8.60326063578096e-05
ignorieren,0.0001290489095367144
offen,4.30163031789048e-05
einfach,0.0007312771540413817
ununterbrochen,4.30163031789048e-05
angegeben,4.30163031789048e-05
stark,8.60326063578096e-05
freunde,0.0002580978190734288
vorhatten,4.30163031789048e-05
natürlich,0.0006882608508624768
mutter,0.0006882608508624768
klug,4.30163031789048e-05
kleiner,0.0001720652127156192
duddykins,4.30163031789048e-05
wurde,0.001118423882651525
übel,4.30163031789048e-05
sah,0.0011614401858304297
bemerkung,4.30163031789048e-05
verniedlichung,4.30163031789048e-05
namen,0.0005592119413257625
cousins,4.30163031789048e-05
lachen,0.0003441304254312384
verkneifen,4.30163031789048e-05
schon,0.002193831462124145
tränen,0.00030111412225233364
augen,0.0010323912762937152
ende,0.00021508151589452404
jen,8.60326063578096e-05
sicht,4.30163031789048e-05
beide,0.00030111412225233364
endlich,0.0005161956381468576
erlöst,4.30163031789048e-05
gingen,0.00021508151589452404
gab,0.0001720652127156192
möchtest,4.30163031789048e-05
wissen,0.00030111412225233364
saison,4.30163031789048e-05
herbst,8.60326063578096e-05
anfing,0.0001290489095367144
kamen,0.0004301630317890481
meist,8.60326063578096e-05
völlig,0.0001720652127156192
durchnässt,4.30163031789048e-05
verwildert,4.30163031789048e-05
schlammverspritzt,4.30163031789048e-05
saß,0.0005161956381468576
schwester,0.0007742934572202865
deren,0.00030111412225233364
freund,0.00021508151589452404
beim,0.0003441304254312384
abendessen,0.00021508151589452404
arbeiten,8.60326063578096e-05
gleichen,0.0001290489095367144
firma,4.30163031789048e-05
erzählte,0.00047317933496795285
neben,0.0004301630317890481
gegensatz,8.60326063578096e-05
nie,0.0006882608508624768
ausgemacht,4.30163031789048e-05
endlosen,4.30163031789048e-05
flure,4.30163031789048e-05
victoria,4.30163031789048e-05
museum,8.60326063578096e-05
national,4.30163031789048e-05
portrait,8.60326063578096e-05
gallery,4.30163031789048e-05
gescheucht,4.30163031789048e-05
ernste,4.30163031789048e-05
gedanken,0.0002580978190734288
blutdruck,4.30163031789048e-05
liebsten,4.30163031789048e-05
hätte,0.0006882608508624768
männer,4.30163031789048e-05
grünzeug,4.30163031789048e-05
lautstark,8.60326063578096e-05
beschwert,8.60326063578096e-05
neuerdings,8.60326063578096e-05
gesundheitstrip,4.30163031789048e-05
langsam,0.0001290489095367144
verhungern,4.30163031789048e-05
müsste,0.0001290489095367144
stand,0.0009033423667570009
wohnen,4.30163031789048e-05
sträucher,4.30163031789048e-05
trugen,0.0001720652127156192
erneut,0.0003441304254312384
heulte,0.0001290489095367144
laut,0.00047317933496795285
steigern,4.30163031789048e-05
wohnzimmer,0.0008603260635780961
betrat,4.30163031789048e-05
ließ,0.0006452445476835721
roten,8.60326063578096e-05
wagen,0.00030111412225233364
zusausen,4.30163031789048e-05
fasziniert,8.60326063578096e-05
zusah,0.0001290489095367144
loswand,4.30163031789048e-05
zugriff,4.30163031789048e-05
auto,0.0001290489095367144
erreicht,4.30163031789048e-05
nimm,4.30163031789048e-05
entschied,8.60326063578096e-05
übergab,4.30163031789048e-05
seit,0.00038714672861014324
erschienen,4.30163031789048e-05
ängstlich,0.0001720652127156192
geklammert,4.30163031789048e-05
galt,4.30163031789048e-05
muggeln,4.30163031789048e-05
ebenso,0.0002580978190734288
vermisst,4.30163031789048e-05
