term,relative_frequency
wohl,0.000304576258280667
rücksicht,7.614406457016675e-05
zukünftige,7.614406457016675e-05
aufgabe,0.0001522881291403335
verzichtet,7.614406457016675e-05
mal,0.0007614406457016675
mehr,0.001218305033122668
ungewöhnlich,7.614406457016675e-05
faszinierend,0.0001522881291403335
eiskalt,7.614406457016675e-05
zusah,7.614406457016675e-05
lord,0.0001522881291403335
crutiatus,7.614406457016675e-05
anwandte,7.614406457016675e-05
kaltschnäuzig,7.614406457016675e-05
genug,0.00022843219371050026
devoten,7.614406457016675e-05
haltung,7.614406457016675e-05
verharren,7.614406457016675e-05
wimper,7.614406457016675e-05
zucken,7.614406457016675e-05
gekonnt,7.614406457016675e-05
umging,7.614406457016675e-05
darauf,0.0001522881291403335
achten,7.614406457016675e-05
müssen,0.000304576258280667
hass,0.0001522881291403335
gegenüber,0.0001522881291403335
wölfen,0.0001522881291403335
nerven,7.614406457016675e-05
durchgingen,7.614406457016675e-05
vergleichbar,7.614406457016675e-05
situation,7.614406457016675e-05
höhle,7.614406457016675e-05
gestellt,7.614406457016675e-05
nachdem,0.0005330084519911673
zusammen,0.0005330084519911673
überrascht,0.00022843219371050026
blickduell,7.614406457016675e-05
zurechtgewiesen,7.614406457016675e-05
mittlerweile,0.00022843219371050026
biest,0.000304576258280667
unterwarf,7.614406457016675e-05
irgendwie,0.00022843219371050026
weckte,7.614406457016675e-05
gewissen,7.614406457016675e-05
stolz,0.0001522881291403335
zeichnete,0.0001522881291403335
starkes,7.614406457016675e-05
mitglied,7.614406457016675e-05
familie,0.00022843219371050026
erklärte,0.0005330084519911673
bereitwillig,7.614406457016675e-05
kam,0.0013705931622630017
bohrend,7.614406457016675e-05
kalt,0.0001522881291403335
dabei,0.0007614406457016675
ging,0.0012944490976928348
gar,0.0004568643874210005
vorwurf,7.614406457016675e-05
verheimlichen,7.614406457016675e-05
zeigte,0.0001522881291403335
verärgerung,7.614406457016675e-05
namen,0.0004568643874210005
bösen,7.614406457016675e-05
werwolfs,7.614406457016675e-05
aussprach,7.614406457016675e-05
damals,0.00022843219371050026
kind,0.00022843219371050026
schicksal,7.614406457016675e-05
verdammt,7.614406457016675e-05
werwesen,7.614406457016675e-05
leben,0.0005330084519911673
keuchte,7.614406457016675e-05
ungläubig,7.614406457016675e-05
hauchte,7.614406457016675e-05
entsetzt,0.0001522881291403335
punkto,7.614406457016675e-05
tierische,7.614406457016675e-05
seite,0.0004568643874210005
murmelte,0.0005330084519911673
leise,0.0004568643874210005
überhörte,7.614406457016675e-05
verteidigungsworte,7.614406457016675e-05
wolfes,7.614406457016675e-05
versank,7.614406457016675e-05
schweigen,7.614406457016675e-05
überlegte,0.00038072032285083377
passiert,0.0001522881291403335
anstellen,7.614406457016675e-05
maske,0.0001522881291403335
ab,0.0004568643874210005
sofort,0.0010660169039823347
lag,0.0004568643874210005
aufmerksamkeit,7.614406457016675e-05
gesicht,0.0010660169039823347
geschützt,7.614406457016675e-05
erzählte,0.0001522881291403335
unaufgefordert,7.614406457016675e-05
bevor,0.00038072032285083377
abbrach,7.614406457016675e-05
anscheinend,0.00022843219371050026
courage,7.614406457016675e-05
verließ,0.00038072032285083377
augen,0.0012944490976928348
rollte,7.614406457016675e-05
gesprochen,0.0001522881291403335
schien,0.00022843219371050026
maßlos,7.614406457016675e-05
hör,7.614406457016675e-05
streit,7.614406457016675e-05
suchen,7.614406457016675e-05
dummheiten,7.614406457016675e-05
bewahren,7.614406457016675e-05
werwolf,0.0012944490976928348
sichtlich,7.614406457016675e-05
beherrscht,7.614406457016675e-05
rang,0.0001522881291403335
fast,0.0005330084519911673
respekt,7.614406457016675e-05
entschied,7.614406457016675e-05
schnell,0.0005330084519911673
warf,0.0004568643874210005
zauberstab,0.0007614406457016675
favoriten,7.614406457016675e-05
fiel,0.00038072032285083377
wahl,0.0001522881291403335
bedeutend,7.614406457016675e-05
schwerer,7.614406457016675e-05
starrte,0.0001522881291403335
langen,0.00022843219371050026
blick,0.0010660169039823347
stab,0.00038072032285083377
SCABIOR,0.0006852965811315008
urplötzlich,7.614406457016675e-05
herumzuwirbeln,7.614406457016675e-05
langem,7.614406457016675e-05
unleserlichem,7.614406457016675e-05
fragte,0.0007614406457016675
bezweckte,7.614406457016675e-05
abwog,7.614406457016675e-05
gespannt,7.614406457016675e-05
wen,0.0001522881291403335
fallen,0.0004568643874210005
hätte,0.0009898728394121677
frage,0.0001522881291403335
weißt,0.00038072032285083377
neues,7.614406457016675e-05
weasley,0.0007614406457016675
flüstern,7.614406457016675e-05
weiß,0.0004568643874210005
ebenso,0.0001522881291403335
leider,0.00022843219371050026
recht,0.00038072032285083377
erwarten,7.614406457016675e-05
NAGINI,0.0001522881291403335
wichtige,7.614406457016675e-05
figur,0.0001522881291403335
wären,0.00022843219371050026
zaubermäßig,7.614406457016675e-05
arsch,7.614406457016675e-05
confringo,0.00022843219371050026
