term,relative_frequency
VOLDEMORT,0.023151786254004714
versprochen,6.044852807834129e-05
wünsche,0.00018134558423502388
erfüllt,6.044852807834129e-05
grinste,0.00030224264039170644
regelrecht,0.00012089705615668258
teuflisch,6.044852807834129e-05
blickte,0.0009067279211751193
anscheinend,0.00018134558423502388
gemeingefährlich,6.044852807834129e-05
schulter,0.00012089705615668258
wirkte,0.00042313969654838907
wäre,0.0006649338088617542
lauer,6.044852807834129e-05
daran,0.00024179411231336516
wunsch,0.00030224264039170644
dicht,0.00012089705615668258
gefolgt,6.044852807834129e-05
todessern,0.0004835882246267303
titel,0.00024179411231336516
probleme,6.044852807834129e-05
problemewörter,6.044852807834129e-05
mylord,6.044852807834129e-05
kaut,6.044852807834129e-05
schon,0.0013903161458018497
fernbedienung,6.044852807834129e-05
herr,0.00018134558423502388
ganze,0.00024179411231336516
shampoo,6.044852807834129e-05
meister,0.00012089705615668258
folterkammer,6.044852807834129e-05
blut,0.00030224264039170644
ahh,6.044852807834129e-05
mädchen,0.00024179411231336516
immer,0.0015716617300368736
rumläuft,6.044852807834129e-05
versucht,0.00024179411231336516
warf,0.00030224264039170644
hände,0.0008462793930967781
verdammt,6.044852807834129e-05
haltet,6.044852807834129e-05
einfach,0.0009067279211751193
mal,0.0021156984827419454
klappe,6.044852807834129e-05
ersten,0.00036269116847004775
trafen,0.00012089705615668258
erstmal,0.00012089705615668258
beschnuppern,6.044852807834129e-05
konnten,0.00036269116847004775
ließen,6.044852807834129e-05
beiden,0.0007858308650184368
traten,0.00018134558423502388
näher,0.00024179411231336516
aneinander,6.044852807834129e-05
heran,0.00012089705615668258
stampfte,0.00012089705615668258
mörderischem,6.044852807834129e-05
gesichtsausdruck,6.044852807834129e-05
zimmer,0.00036269116847004775
trat,0.0007253823369400955
bauwerk,6.044852807834129e-05
tür,0.0004835882246267303
weinende,6.044852807834129e-05
coralie,6.044852807834129e-05
beruhigte,6.044852807834129e-05
böser,6.044852807834129e-05
wauwau,6.044852807834129e-05
schimpfte,6.044852807834129e-05
schlenderte,6.044852807834129e-05
herbei,0.00012089705615668258
verblüfft,6.044852807834129e-05
ansprach,6.044852807834129e-05
sag,6.044852807834129e-05
weißt,0.00012089705615668258
heute,0.0004835882246267303
los,0.00042313969654838907
nickte,0.0006649338088617542
wissend,6.044852807834129e-05
nö,6.044852807834129e-05
hide,6.044852807834129e-05
and,6.044852807834129e-05
seek,6.044852807834129e-05
wörter,6.044852807834129e-05
stürmte,6.044852807834129e-05
panisch,6.044852807834129e-05
salon,0.00012089705615668258
aufschreckend,6.044852807834129e-05
beobachteten,6.044852807834129e-05
lord,0.001450764673880191
sofa,0.00012089705615668258
saßen,0.00018134558423502388
sprang,6.044852807834129e-05
küche,0.00012089705615668258
davoneilte,6.044852807834129e-05
packung,6.044852807834129e-05
scheibensalami,6.044852807834129e-05
medikamente,6.044852807834129e-05
steckten,6.044852807834129e-05
fressen,0.00012089705615668258
zurückkam,6.044852807834129e-05
schnell,0.0005440367527050716
aufpassen,0.00012089705615668258
finger,6.044852807834129e-05
biss,0.00030224264039170644
salami,6.044852807834129e-05
schnappte,0.00012089705615668258
gleichgültig,6.044852807834129e-05
sekunde,0.00012089705615668258
später,0.0005440367527050716
spät,6.044852807834129e-05
betrat,0.00012089705615668258
fuchsteufelswild,6.044852807834129e-05
raum,0.00018134558423502388
baute,6.044852807834129e-05
weiß,0.00030224264039170644
wovon,6.044852807834129e-05
stell,6.044852807834129e-05
dümmer,6.044852807834129e-05
dachte,0.00042313969654838907
hätte,0.00036269116847004775
erreicht,6.044852807834129e-05
kam,0.0009067279211751193
neusten,6.044852807834129e-05
nachrichten,6.044852807834129e-05
unberechenbar,6.044852807834129e-05
seit,0.00042313969654838907
zeit,0.0007858308650184368
lungerte,6.044852807834129e-05
ständig,6.044852807834129e-05
ländereien,6.044852807834129e-05
manors,6.044852807834129e-05
herum,6.044852807834129e-05
konnte,0.0016925587861935563
schranken,6.044852807834129e-05
weisen,6.044852807834129e-05
gerade,0.0005440367527050716
anwesend,0.00024179411231336516
nie,0.00024179411231336516
abschlagen,6.044852807834129e-05
zeigte,0.00042313969654838907
dabei,0.001027624977331802
reihe,0.00012089705615668258
furchtbar,6.044852807834129e-05
gelber,6.044852807834129e-05
sagte,0.00042313969654838907
basierend,6.044852807834129e-05
informationen,0.00018134558423502388
letzten,0.0005440367527050716
zwei,0.00042313969654838907
monaten,6.044852807834129e-05
stärke,0.00012089705615668258
mondzyklus,6.044852807834129e-05
gegeben,0.00024179411231336516
bösesten,6.044852807834129e-05
werwolf,0.0013903161458018497
gab,0.0007858308650184368
schicken,0.00012089705615668258
versuchen,0.00012089705615668258
bekehren,6.044852807834129e-05
einmarsch,6.044852807834129e-05
vielen,0.00018134558423502388
avadas,6.044852807834129e-05
kleinen,0.0005440367527050716
erstklässler,6.044852807834129e-05
vorgeknöpft,6.044852807834129e-05
ultimatum,6.044852807834129e-05
geständnis,6.044852807834129e-05
gibt,0.00018134558423502388
gerüchte,6.044852807834129e-05
anschließen,0.00024179411231336516
