term,relative_frequency
konnte,0.0008034145116746171
wenig,0.00040170725583730854
beißenden,5.021340697966357e-05
spott,5.021340697966357e-05
verkneifen,5.021340697966357e-05
worauf,5.021340697966357e-05
gesicht,0.000351493848857645
zudrehte,5.021340697966357e-05
ernst,0.00010042681395932714
dachte,0.00040170725583730854
verständigt,5.021340697966357e-05
mum,0.0006025608837559629
dad,0.0006527742907356264
weiß,0.00025106703489831785
wären,0.00025106703489831785
außen,5.021340697966357e-05
dafür,0.0004519206628169721
pig,5.021340697966357e-05
ausgeliehen,5.021340697966357e-05
berichtete,0.00015064022093899072
jupp,5.021340697966357e-05
schönes,5.021340697966357e-05
gefühl,0.00010042681395932714
erzählt,0.0004519206628169721
freuen,0.00015064022093899072
ferien,0.00020085362791865427
schrecklich,5.021340697966357e-05
leise,0.00020085362791865427
wäre,0.00025106703489831785
häufig,5.021340697966357e-05
sei,0.00015064022093899072
beiden,0.001154908360532262
beruflich,5.021340697966357e-05
orden,0.00015064022093899072
bau,5.021340697966357e-05
zukünftigen,5.021340697966357e-05
hauses,5.021340697966357e-05
beschäftigt,0.00010042681395932714
wagte,5.021340697966357e-05
kalkulierend,5.021340697966357e-05
fragen,0.00025106703489831785
sowohl,5.021340697966357e-05
deuteten,5.021340697966357e-05
kommentarlosen,5.021340697966357e-05
geste,5.021340697966357e-05
spielten,0.00025106703489831785
äh,5.021340697966357e-05
nö,5.021340697966357e-05
fanden,5.021340697966357e-05
einfach,0.00030128044187798143
super,5.021340697966357e-05
nett,0.00015064022093899072
eben,0.00020085362791865427
genau,0.00025106703489831785
minuten,0.000351493848857645
später,0.00025106703489831785
kam,0.0007532011046949536
rumänien,0.00025106703489831785
angereist,5.021340697966357e-05
kinkley,5.021340697966357e-05
moddy,5.021340697966357e-05
caroline,5.021340697966357e-05
darauf,0.00040170725583730854
sah,0.00070298769771529
schüttelte,0.00030128044187798143
kopf,0.0005523474767762992
nein,0.00025106703489831785
mehr,0.0014561888024102435
harmonie,5.021340697966357e-05
süchtig,5.021340697966357e-05
tolerant,5.021340697966357e-05
gebildet,5.021340697966357e-05
überraschten,5.021340697966357e-05
blick,0.0006025608837559629
erklärte,0.00025106703489831785
verdient,5.021340697966357e-05
hätten,0.00025106703489831785
fing,0.00010042681395932714
erzählen,0.00015064022093899072
betrunken,5.021340697966357e-05
versucht,0.00020085362791865427
eltern,0.0008536279186542807
fern,5.021340697966357e-05
halten,0.00010042681395932714
merkten,0.00010042681395932714
fragte,0.0008536279186542807
zögerte,5.021340697966357e-05
zählte,0.00015064022093899072
monotoner,5.021340697966357e-05
stimme,0.000351493848857645
heißt,0.00010042681395932714
klartext,5.021340697966357e-05
arther,5.021340697966357e-05
usw,0.00010042681395932714
d,5.021340697966357e-05
paarty,5.021340697966357e-05
standen,0.0006025608837559629
ende,0.00040170725583730854
raumes,0.00010042681395932714
eng,5.021340697966357e-05
zusammengedrückt,5.021340697966357e-05
mr,0.000351493848857645
mrs,0.0005021340697966357
weasley,0.001506402209389907
übel,5.021340697966357e-05
vergrößern,5.021340697966357e-05
moment,0.0005021340697966357
schweigens,5.021340697966357e-05
sagte,0.0015566156163695707
dachten,5.021340697966357e-05
zuerst,0.00015064022093899072
nachwuchs,5.021340697966357e-05
bescheren,0.00010042681395932714
neben,0.0006025608837559629
stand,0.0005523474767762992
ersten,0.00030128044187798143
reihe,0.00010042681395932714
saßen,0.0004519206628169721
arm,0.000351493848857645
tagsüber,5.021340697966357e-05
ministerium,0.0005523474767762992
schaute,0.00010042681395932714
feierabend,5.021340697966357e-05
vorbei,0.00020085362791865427
kamen,0.0008034145116746171
ebenfalls,0.00020085362791865427
arbeit,0.00010042681395932714
stippvisite,5.021340697966357e-05
ständig,5.021340697966357e-05
werwolfreservat,5.021340697966357e-05
grimmauldplace,5.021340697966357e-05
her,0.00030128044187798143
pendelte,0.00010042681395932714
erwischt,0.00010042681395932714
ertränken,5.021340697966357e-05
feuerwiskey,5.021340697966357e-05
abend,0.00010042681395932714
charley,0.00025106703489831785
jenny,0.00010042681395932714
s,0.0006527742907356264
mission,5.021340697966357e-05
erzählte,0.00025106703489831785
schon,0.0018076826512678885
weitem,5.021340697966357e-05
gelächter,5.021340697966357e-05
fuchsbau,0.0004519206628169721
hören,0.000351493848857645
lauter,0.00010042681395932714
wurde,0.0005523474767762992
augenzeugen,5.021340697966357e-05
bericht,5.021340697966357e-05
besten,0.00025106703489831785
gab,0.0007532011046949536
wollten,0.0004519206628169721
new,5.021340697966357e-05
york,5.021340697966357e-05
kommen,0.0005021340697966357
genauso,0.00010042681395932714
fragten,5.021340697966357e-05
rezeption,5.021340697966357e-05
umarmten,0.00010042681395932714
stürmisch,0.00015064022093899072
charly,0.00015064022093899072
verabschiedeten,5.021340697966357e-05
bald,0.00020085362791865427
danach,0.00020085362791865427
weniger,0.00020085362791865427
deck,5.021340697966357e-05
schmollten,5.021340697966357e-05
matrosen,5.021340697966357e-05
löcher,5.021340697966357e-05
bauch,5.021340697966357e-05
zukunft,0.00015064022093899072
nachdachte,0.00010042681395932714
versuchten,5.021340697966357e-05
gut,0.0006025608837559629
ging,0.0006527742907356264
leben,0.0005021340697966357
bord,5.021340697966357e-05
anzupassen,5.021340697966357e-05
verwunderung,5.021340697966357e-05
fragt,5.021340697966357e-05
entfernten,5.021340697966357e-05
ausdruck,5.021340697966357e-05
augen,0.00040170725583730854
sieht,0.00020085362791865427
schüttelt,5.021340697966357e-05
meist,0.00010042681395932714
greift,5.021340697966357e-05
vorsichtig,5.021340697966357e-05
hand,0.0006025608837559629
lächelt,5.021340697966357e-05
ganz,0.00030128044187798143
klein,0.00015064022093899072
sagt,0.00030128044187798143
ans,0.00020085362791865427
denkt,5.021340697966357e-05
darüber,0.00015064022093899072
welt,0.00025106703489831785
schwimmen,5.021340697966357e-05
mitte,5.021340697966357e-05
ozeans,5.021340697966357e-05
wasser,0.00015064022093899072
tiefer,5.021340697966357e-05
irgendjemand,5.021340697966357e-05
kennt,5.021340697966357e-05
tod,0.00025106703489831785
