term,relative_frequency
kam,0.0009469136533112387
schrecklich,0.00011836420666390484
hochtrabend,2.959105166597621e-05
recht,0.00044386577498964315
haus,0.0003550926199917145
zugang,2.959105166597621e-05
bösen,0.00023672841332780968
gasse,2.959105166597621e-05
woraufhin,5.918210333195242e-05
fies,8.877315499792862e-05
lächelte,0.00023672841332780968
mochte,5.918210333195242e-05
familie,0.00047345682665561937
besser,0.0004142747233236669
gesagt,0.00023672841332780968
fing,0.0002663194649937859
heute,0.00044386577498964315
abend,0.00014795525832988105
twins,0.00023672841332780968
bisher,8.877315499792862e-05
erstaunlich,0.00014795525832988105
gespannt,0.00014795525832988105
gesehen,0.0003550926199917145
kopf,0.0011836420666390484
schnell,0.0005030478783215955
umwandte,2.959105166597621e-05
verwirrter,2.959105166597621e-05
bevor,0.0006805941883174529
fragen,0.00020713736166183346
konnte,0.0011540510149730722
sprach,0.0002959105166597621
musst,8.877315499792862e-05
einfach,0.001420370479966858
verstehen,0.00011836420666390484
führt,2.959105166597621e-05
slytherins,0.00020713736166183346
tut,0.00020713736166183346
gut,0.0007397762916494052
daher,0.00017754630999585724
achtung,2.959105166597621e-05
bestrafen,2.959105166597621e-05
gehorchen,2.959105166597621e-05
oft,8.877315499792862e-05
bewiesen,5.918210333195242e-05
verdient,5.918210333195242e-05
folgen,0.00014795525832988105
echt,0.0003846836716576907
lustig,8.877315499792862e-05
zusammen,0.0008285494466473338
schon,0.0015387346866307628
letzte,0.00017754630999585724
weihnachtsfest,2.959105166597621e-05
verbracht,8.877315499792862e-05
erklärte,0.0003550926199917145
ungewohnt,5.918210333195242e-05
eindringlich,5.918210333195242e-05
mann,0.00023672841332780968
schade,5.918210333195242e-05
damals,8.877315499792862e-05
hammergeil,2.959105166597621e-05
fauchte,8.877315499792862e-05
ließ,0.0006214120849855004
überrumpelten,2.959105166597621e-05
zurück,0.000710185239983429
folgten,5.918210333195242e-05
brav,5.918210333195242e-05
küche,8.877315499792862e-05
bereits,0.0003255015683257383
hergerichtet,2.959105166597621e-05
aufgescheucht,2.959105166597621e-05
stand,0.0007693673433153814
böse,0.00020713736166183346
wart,2.959105166597621e-05
aufgeregt,5.918210333195242e-05
huldvoll,2.959105166597621e-05
nicken,0.00014795525832988105
gehobenen,2.959105166597621e-05
mundwinkel,2.959105166597621e-05
zeigen,8.877315499792862e-05
gerade,0.0013611883766349057
fragte,0.0010356868083091673
erzählen,0.00011836420666390484
schön,0.00020713736166183346
warten,0.00017754630999585724
echote,2.959105166597621e-05
entsetzt,0.00011836420666390484
sah,0.0018938273066224775
bewundernde,2.959105166597621e-05
funkeln,8.877315499792862e-05
augen,0.0014795525832988104
aufleuchten,5.918210333195242e-05
sinn,5.918210333195242e-05
dramatische,2.959105166597621e-05
ging,0.0005326389299875718
gerücht,2.959105166597621e-05
sei,0.0002663194649937859
wusste,0.0005030478783215955
genaues,2.959105166597621e-05
größte,5.918210333195242e-05
thema,5.918210333195242e-05
blutige,2.959105166597621e-05
schlacht,8.877315499792862e-05
knockturn,2.959105166597621e-05
alley,2.959105166597621e-05
sahen,0.0003255015683257383
auroren,8.877315499792862e-05
glücklich,0.00011836420666390484
begann,0.00014795525832988105
hand,0.0008877315499792863
schmerzhaft,2.959105166597621e-05
stirn,2.959105166597621e-05
schlug,0.00023672841332780968
aufstöhne,2.959105166597621e-05
schüttelte,0.00023672841332780968
beiden,0.0009765047049772148
schwestern,8.877315499792862e-05
ungläubig,0.00020713736166183346
groß,8.877315499792862e-05
wurden,0.0003550926199917145
