term,relative_frequency
twins,0.00010410702201863516
bisher,6.24642132111811e-05
erstaunlich,5.205351100931758e-05
gespannt,7.287491541304461e-05
gesehen,0.00016657123522981625
kopf,0.0004997137056894488
schnell,0.0003956066836708136
umwandte,1.0410702201863515e-05
verwirrter,1.0410702201863515e-05
bevor,0.0005101244078913122
fragen,0.0002498568528447244
konnte,0.0012284628598198948
sprach,0.00022903544844099735
musst,0.00014574983082608922
einfach,0.0007808026651397637
verstehen,0.00011451772422049868
führt,1.0410702201863515e-05
slytherins,0.00021862474623913383
tut,0.00018739263963354327
gut,0.001072302326791942
daher,0.00014574983082608922
achtung,2.082140440372703e-05
bestrafen,2.082140440372703e-05
gehorchen,1.0410702201863515e-05
oft,0.00011451772422049868
bewiesen,2.082140440372703e-05
verdient,5.205351100931758e-05
folgen,6.24642132111811e-05
echt,0.00018739263963354327
lustig,8.328561761490812e-05
zusammen,0.0009473739003695799
schon,0.00227994378220811
letzte,0.00011451772422049868
weihnachtsfest,2.082140440372703e-05
verbracht,9.369631981677164e-05
erklärte,0.0004893030034875853
ungewohnt,1.0410702201863515e-05
eindringlich,2.082140440372703e-05
mann,0.0002498568528447244
schade,3.123210660559055e-05
damals,0.00020821404403727033
hammergeil,1.0410702201863515e-05
fauchte,3.123210660559055e-05
ließ,0.0005309458122950393
überrumpelten,1.0410702201863515e-05
zurück,0.0006142314299099474
folgten,7.287491541304461e-05
brav,2.082140440372703e-05
küche,0.0002706782572484514
bereits,0.0003956066836708136
hergerichtet,1.0410702201863515e-05
aufgescheucht,1.0410702201863515e-05
stand,0.0004997137056894488
böse,8.328561761490812e-05
wart,3.123210660559055e-05
mund,0.0003123210660559055
dünnen,2.082140440372703e-05
strich,8.328561761490812e-05
verkniffen,1.0410702201863515e-05
schien,0.00041642808807454065
überlegen,9.369631981677164e-05
trat,0.00016657123522981625
hogwarts,0.000666284940919265
versprochen,3.123210660559055e-05
überlegte,6.24642132111811e-05
zuerst,0.0001249284264223622
nahm,0.0004893030034875853
stark,7.287491541304461e-05
versuchte,0.00041642808807454065
nachzudenken,3.123210660559055e-05
erst,0.0005309458122950393
reagieren,9.369631981677164e-05
wissen,0.00038519598146895007
warum,0.0003956066836708136
wohnt,1.0410702201863515e-05
rief,0.00032273176825776896
aufgedreht,2.082140440372703e-05
klatschte,4.164280880745406e-05
enthusiastisch,2.082140440372703e-05
hände,0.00030191036385404196
schulter,0.0002498568528447244
kuschelte,1.0410702201863515e-05
knallrotes,1.0410702201863515e-05
gesicht,0.00043724949247826765
halsbeuge,1.0410702201863515e-05
legte,0.0002498568528447244
schützend,2.082140440372703e-05
arm,0.00043724949247826765
ganz,0.0006766956431211286
ruhig,7.287491541304461e-05
hielt,0.00032273176825776896
dabei,0.0005101244078913122
hand,0.0008016240695434907
sah,0.0018635156941335692
ebenfalls,0.0003956066836708136
ernst,8.328561761490812e-05
nickte,0.0005413565144969028
begann,0.00032273176825776896
schmerzhaft,3.123210660559055e-05
stirn,8.328561761490812e-05
schlug,0.00020821404403727033
aufstöhne,1.0410702201863515e-05
schüttelte,0.00014574983082608922
augen,0.0008016240695434907
beiden,0.001374212690645984
schwestern,4.164280880745406e-05
ungläubig,3.123210660559055e-05
groß,0.00015616053302795274
wurden,0.00041642808807454065
tiefen,1.0410702201863515e-05
seufzer,1.0410702201863515e-05
hören,0.00020821404403727033
sollten,0.0002810889594503149
geschlossene,1.0410702201863515e-05
station,1.0410702201863515e-05
bringen,0.00014574983082608922
zeichen,7.287491541304461e-05
hätten,0.00029149966165217844
mal,0.0015407839258758003
schmuck,1.0410702201863515e-05
glauben,0.00010410702201863516
wollten,0.00038519598146895007
haltet,2.082140440372703e-05
davon,0.00023944615064286085
verstrubbelte,1.0410702201863515e-05
haar,0.0001353391286242257
händen,0.00011451772422049868
vergraben,1.0410702201863515e-05
leise,0.0004580708968819947
toll,5.205351100931758e-05
wirklich,0.0007703919629379001
gerne,0.00023944615064286085
glaub,8.328561761490812e-05
sogar,0.000343553172661496
eingebildet,1.0410702201863515e-05
denkt,9.369631981677164e-05
bestimmt,0.00011451772422049868
frau,0.00017698193743167977
knie,4.164280880745406e-05
gehen,0.0004997137056894488
sobald,0.00010410702201863516
sieht,0.00017698193743167977
wusste,0.0005309458122950393
ordenssitzung,2.082140440372703e-05
gewollt,4.164280880745406e-05
putz,1.0410702201863515e-05
gehauen,1.0410702201863515e-05
dilettanten,1.0410702201863515e-05
langsam,0.00032273176825776896
wirbel,1.0410702201863515e-05
suche,0.00014574983082608922
machten,0.00020821404403727033
offensichtlich,7.287491541304461e-05
wiesel,1.0410702201863515e-05
mitgebracht,5.205351100931758e-05
einwurf,1.0410702201863515e-05
klar,0.00022903544844099735
black,0.0001978033418354068
sprache,2.082140440372703e-05
gekommen,0.0001249284264223622
hob,0.00015616053302795274
zauberstab,0.00020821404403727033
enervate,2.082140440372703e-05
woraufhin,4.164280880745406e-05
trottel,1.0410702201863515e-05
sogleich,5.205351100931758e-05
sackte,2.082140440372703e-05
verzweifelt,6.24642132111811e-05
wandte,0.00021862474623913383
fordernd,2.082140440372703e-05
währenddessen,5.205351100931758e-05
mach,9.369631981677164e-05
versprechen,2.082140440372703e-05
wahr,8.328561761490812e-05
sorge,9.369631981677164e-05
dafür,0.00029149966165217844
nervt,1.0410702201863515e-05
schallte,1.0410702201863515e-05
gutgelaunt,1.0410702201863515e-05
seit,0.0003956066836708136
neustem,1.0410702201863515e-05
zurückhielt,1.0410702201863515e-05
twin,3.123210660559055e-05
liebe,0.0002602675550465879
zeigen,6.24642132111811e-05
thema,6.24642132111811e-05
angesprochen,3.123210660559055e-05
sache,6.24642132111811e-05
red,3.123210660559055e-05
