term,relative_frequency
verzog,0.0001107951397865347
gesicht,0.0005170439856704952
angeekelten,3.693171326217823e-05
fratze,3.693171326217823e-05
löste,7.386342652435646e-05
lachen,0.0002585219928352476
soo,3.693171326217823e-05
unglaublich,7.386342652435646e-05
schlecht,7.386342652435646e-05
tanz,3.693171326217823e-05
gar,0.00048011227240831703
vielleicht,0.00040624884588396054
steif,0.00014772685304871293
ja,0.0014772685304871294
wohl,0.0006278391254570299
wort,0.00014772685304871293
passt,3.693171326217823e-05
stell,0.0001107951397865347
gerade,0.0011818148243897034
überall,0.0002585219928352476
frauen,7.386342652435646e-05
glücklich,0.0001107951397865347
schätzen,3.693171326217823e-05
steile,3.693171326217823e-05
karriere,7.386342652435646e-05
ministerium,0.0005170439856704952
zauberei,3.693171326217823e-05
zwillinge,0.0009232928315544559
seit,0.0007017025519813864
jahr,0.0004431805591461388
dank,7.386342652435646e-05
eigenen,0.0002215902795730694
laden,0.00014772685304871293
scherzartikel,0.0001107951397865347
aufgemacht,3.693171326217823e-05
gleichzeitig,0.0002215902795730694
krank,7.386342652435646e-05
gleichen,7.386342652435646e-05
humor,3.693171326217823e-05
mochten,7.386342652435646e-05
beide,0.00040624884588396054
wahnsinn,7.386342652435646e-05
treiben,0.00014772685304871293
sogar,0.0006278391254570299
gleiche,3.693171326217823e-05
mädchen,0.0005170439856704952
natürlich,0.0009232928315544559
weihnachtsball,3.693171326217823e-05
gegangen,0.00029545370609742585
hast,0.00048011227240831703
leben,0.0003323854193596041
gerettet,0.00018465856631089117
erzählt,0.0003323854193596041
getan,0.0002215902795730694
wahrscheinlich,0.0002585219928352476
hätte,0.0008124976917679211
sicherheit,0.0001107951397865347
verziehen,7.386342652435646e-05
möglichkeit,3.693171326217823e-05
ausgelassen,7.386342652435646e-05
weißglut,3.693171326217823e-05
fragte,0.001107951397865347
zögerte,3.693171326217823e-05
zählte,7.386342652435646e-05
standen,0.00048011227240831703
ende,0.00040624884588396054
raumes,3.693171326217823e-05
eng,7.386342652435646e-05
zusammengedrückt,3.693171326217823e-05
mr,0.0003323854193596041
mrs,0.00048011227240831703
weasley,0.0010710196846031687
übel,3.693171326217823e-05
vergrößern,3.693171326217823e-05
neben,0.0006647708387192082
stand,0.0006278391254570299
ersten,0.0005909074121948517
reihe,0.0001107951397865347
saßen,0.00036931713262178235
arm,0.00036931713262178235
schrie,7.386342652435646e-05
kate,0.00018465856631089117
kniete,3.693171326217823e-05
überrascht,0.00018465856631089117
verletzt,0.0001107951397865347
verzweifelt,3.693171326217823e-05
betrachtete,3.693171326217823e-05
kaithlynn,3.693171326217823e-05
kopfwunde,3.693171326217823e-05
catherine,7.386342652435646e-05
bewusstlos,7.386342652435646e-05
seite,0.0002215902795730694
lag,0.0003323854193596041
beine,0.00018465856631089117
angewinkelt,7.386342652435646e-05
hand,0.0008863611182922776
überraschung,0.00014772685304871293
entwaffnet,3.693171326217823e-05
wurde,0.0010710196846031687
bild,0.0001107951397865347
grauens,3.693171326217823e-05
besorgte,7.386342652435646e-05
schwester,0.00036931713262178235
offenbaren,3.693171326217823e-05
durfte,7.386342652435646e-05
wer,0.00029545370609742585
wirklich,0.0009232928315544559
bruder,0.0012556782509140598
besten,0.0002215902795730694
freunde,0.0002215902795730694
meinten,3.693171326217823e-05
legten,3.693171326217823e-05
jeweils,0.0001107951397865347
krankenflügel,0.0001107951397865347
betreten,7.386342652435646e-05
blickten,3.693171326217823e-05
blöder,3.693171326217823e-05
weiß,0.0003323854193596041
schuldgefühle,7.386342652435646e-05
verhindern,7.386342652435646e-05
drehte,0.0002215902795730694
anzuschreien,3.693171326217823e-05
schon,0.002363629648779407
nehm,3.693171326217823e-05
meinte,0.0005539756989326735
ernst,0.00029545370609742585
nahm,0.0006278391254570299
arme,0.00018465856631089117
hoch,0.0003323854193596041
sichtwechsel,3.693171326217823e-05
schrillen,3.693171326217823e-05
versuchte,0.0002585219928352476
hufflepuff,0.0001107951397865347
ganz,0.0006278391254570299
süß,3.693171326217823e-05
einfach,0.0008494294050300994
enden,7.386342652435646e-05
hogwarts,0.0009971562580788124
lieben,7.386342652435646e-05
fast,0.0003323854193596041
verzweiflung,3.693171326217823e-05
flirten,3.693171326217823e-05
ließ,0.0005909074121948517
konnte,0.001107951397865347
mehr,0.001588063670273664
bekam,0.00029545370609742585
endlich,0.0002215902795730694
leuten,3.693171326217823e-05
liebe,0.0001107951397865347
erbleichte,3.693171326217823e-05
oh,0.00014772685304871293
gott,7.386342652435646e-05
rannte,0.0001107951397865347
tarantel,3.693171326217823e-05
