term,relative_frequency
einwurf,5.990893841361131e-05
twins,0.00011981787682722263
sah,0.0014378145219266715
donner,5.990893841361131e-05
gerührt,5.990893841361131e-05
umstand,5.990893841361131e-05
nie,0.0003594536304816679
sagen,0.0004792715073088905
konnte,0.0011981787682722263
schien,0.0003594536304816679
erst,0.0004193625688952792
bewusst,0.00011981787682722263
schmeckte,5.990893841361131e-05
gar,0.0005990893841361131
lässig,5.990893841361131e-05
abwinkte,5.990893841361131e-05
gunst,5.990893841361131e-05
stunde,0.00023963575365444525
nützte,5.990893841361131e-05
neu,5.990893841361131e-05
glaube,0.00023963575365444525
meinte,0.000778816199376947
eher,0.0005391804457225018
aufbaust,5.990893841361131e-05
nachwuchsschwund,5.990893841361131e-05
ministerium,0.00011981787682722263
deatheatern,5.990893841361131e-05
sowie,0.00023963575365444525
orden,5.990893841361131e-05
verantwortlich,5.990893841361131e-05
abgehauen,5.990893841361131e-05
tropfenden,5.990893841361131e-05
kessel,0.00011981787682722263
getroffen,0.00023963575365444525
oh,0.00029954469206805657
ja,0.0024562664749580637
murmelte,0.0004193625688952792
annice,5.990893841361131e-05
schlafzimmer,0.00011981787682722263
überlassen,5.990893841361131e-05
sagte,0.001917086029235562
lucas,5.990893841361131e-05
schlurfte,5.990893841361131e-05
hinüber,0.00011981787682722263
küche,0.0003594536304816679
schreit,5.990893841361131e-05
ne,0.00017972681524083394
spaßnachricht,0.00023963575365444525
professor,0.00029954469206805657
ganz,0.000778816199376947
interessant,0.00029954469206805657
montaque,0.00029954469206805657
stehen,0.0004792715073088905
lassen,0.0004792715073088905
autsch,0.00029954469206805657
klatscher,0.0017972681524083393
abgekriegt,0.00023963575365444525
fängt,0.0006589983225497244
quaffel,0.0013179966450994488
fliegt,0.0004792715073088905
zurück,0.0010184519530313924
übers,0.00023963575365444525
feld,0.0004792715073088905
hübscher,0.0003594536304816679
kopf,0.0007189072609633358
lässt,0.0007189072609633358
fallen,0.0005990893841361131
gryffindor,0.0008387251377905584
gibt,0.00029954469206805657
rückpass,0.00023963575365444525
davon,0.0008387251377905584
saust,0.00023963575365444525
vorbei,0.000778816199376947
weicht,0.0004193625688952792
knapp,0.00023963575365444525
leute,0.0004792715073088905
lieben,0.00023963575365444525
hören,0.0005391804457225018
einfach,0.0008986340762041696
mal,0.0017972681524083393
singen,0.0004792715073088905
ab,0.0006589983225497244
mach,0.00029954469206805657
schon,0.0018571770908219507
packst,0.00011981787682722263
ach,0.00017972681524083394
s,0.00023963575365444525
beiden,0.0016774502755811168
fall,0.00023963575365444525
ball,0.00023963575365444525
ähm,0.00011981787682722263
hoch,0.00017972681524083394
los,0.00023963575365444525
lasst,0.00011981787682722263
auflaufen,0.00011981787682722263
genauso,5.990893841361131e-05
zwei,0.0005990893841361131
ringe,5.990893841361131e-05
zwängte,5.990893841361131e-05
rannte,0.00011981787682722263
rest,5.990893841361131e-05
weges,5.990893841361131e-05
verging,0.00017972681524083394
gerade,0.0005391804457225018
training,5.990893841361131e-05
abbrechen,5.990893841361131e-05
wurde,0.0005391804457225018
stark,0.00011981787682722263
nase,0.00023963575365444525
blutete,5.990893841361131e-05
krankenflügel,0.00017972681524083394
gebracht,0.00017972681524083394
hinten,0.00017972681524083394
gesang,5.990893841361131e-05
syltherins,5.990893841361131e-05
schwoll,5.990893841361131e-05
deutlich,5.990893841361131e-05
sangen,5.990893841361131e-05
weasley,0.0005990893841361131
ding,0.00017972681524083394
schützt,0.00017972681524083394
einzigen,0.00011981787682722263
ring,0.00029954469206805657
slytherin,0.0004792715073088905
dumm,0.00011981787682722263
plumpudding,5.990893841361131e-05
sorgt,0.00011981787682722263
unsern,0.00011981787682722263
gewinn,0.00011981787682722263
king,0.00011981787682722263
kämpfte,5.990893841361131e-05
hielten,0.00017972681524083394
all,0.00029954469206805657
kraft,0.00011981787682722263
hielt,0.0004193625688952792
blutende,5.990893841361131e-05
zulief,0.00011981787682722263
entsetzt,0.00011981787682722263
fragte,0.0006589983225497244
tut,0.00017972681524083394
weh,5.990893841361131e-05
denkst,5.990893841361131e-05
insgeheim,5.990893841361131e-05
verfluchte,5.990893841361131e-05
großen,0.0005990893841361131
klappen,5.990893841361131e-05
marienkäfer,5.990893841361131e-05
geschickt,0.00023963575365444525
stephen,5.990893841361131e-05
cornfoot,5.990893841361131e-05
niffler,5.990893841361131e-05
emaillierten,5.990893841361131e-05
streeler,5.990893841361131e-05
schickten,5.990893841361131e-05
gnom,5.990893841361131e-05
wichtel,5.990893841361131e-05
diricawl,5.990893841361131e-05
