term,relative_frequency
fanden,5.383580080753701e-05
beiden,0.0013997308209959623
einfach,0.0004845222072678331
super,0.00010767160161507402
nett,5.383580080753701e-05
eben,5.383580080753701e-05
genau,0.0004306864064602961
minuten,0.0003230148048452221
später,0.0008613728129205922
kam,0.0005921938088829071
rumänien,0.00016150740242261105
angereist,5.383580080753701e-05
kinkley,5.383580080753701e-05
moddy,5.383580080753701e-05
caroline,0.00010767160161507402
unterhielten,0.00021534320323014804
angeregt,0.00016150740242261105
sophie,5.383580080753701e-05
richard,0.00016150740242261105
erzählten,0.00010767160161507402
all,0.00026917900403768504
jahren,0.00010767160161507402
durchgemacht,5.383580080753701e-05
charly,0.00016150740242261105
gespräch,0.00026917900403768504
quiddich,5.383580080753701e-05
vertieft,0.00010767160161507402
sahen,0.0007537012113055182
überrascht,0.00026917900403768504
küche,0.0005383580080753701
saßen,0.0007537012113055182
aufsahen,5.383580080753701e-05
reaktion,0.00010767160161507402
erwartet,0.00016150740242261105
darauf,0.0003230148048452221
wartete,5.383580080753701e-05
beendeten,5.383580080753701e-05
umgingen,5.383580080753701e-05
drei,0.0005921938088829071
geschickt,5.383580080753701e-05
thema,0.00010767160161507402
mehr,0.0011843876177658143
reinlassen,5.383580080753701e-05
hockt,5.383580080753701e-05
ganze,0.0003230148048452221
schar,5.383580080753701e-05
draußen,0.0003768506056527591
hof,5.383580080753701e-05
vielleicht,0.00026917900403768504
fliegen,0.00010767160161507402
ja,0.0011843876177658143
allein,0.00021534320323014804
murmelte,0.00026917900403768504
tut,0.00026917900403768504
leid,0.0003230148048452221
wegen,0.00021534320323014804
vielen,0.00010767160161507402
eulen,5.383580080753701e-05
sagte,0.0026379542395693137
sah,0.0013458950201884253
ach,0.00021534320323014804
unsinn,5.383580080753701e-05
entgegnete,5.383580080753701e-05
ernst,0.0003230148048452221
bevor,0.0004845222072678331
möglichkeit,0.00016150740242261105
vergangenen,5.383580080753701e-05
jahr,0.00026917900403768504
oft,0.00016150740242261105
unten,0.00016150740242261105
gefunden,0.00010767160161507402
immer,0.0016689098250336474
schlafen,0.00010767160161507402
konnte,0.0012920592193808884
sorgen,5.383580080753701e-05
machte,0.0003230148048452221
hogwarts,0.0007537012113055182
erging,0.00010767160161507402
