term,relative_frequency
twins,8.533879501621438e-05
ließen,0.0002560163850486431
davon,0.0002560163850486431
jedoch,0.0002560163850486431
beirren,4.266939750810719e-05
übergingen,4.266939750810719e-05
fuhren,4.266939750810719e-05
einfach,0.00046936337258917906
fort,8.533879501621438e-05
jupp,4.266939750810719e-05
wohl,0.00042669397508107184
wahr,8.533879501621438e-05
nochmal,0.00012800819252432156
wandte,0.0003413551800648575
besonnenere,4.266939750810719e-05
beiden,0.0014507595152756442
entschieden,8.533879501621438e-05
hintergehst,4.266939750810719e-05
begehrte,4.266939750810719e-05
weinerlich,4.266939750810719e-05
worauf,8.533879501621438e-05
twin,8.533879501621438e-05
traurig,4.266939750810719e-05
veränderte,4.266939750810719e-05
haupt,8.533879501621438e-05
denkt,4.266939750810719e-05
tun,0.00012800819252432156
privatsphäre,4.266939750810719e-05
betrifft,4.266939750810719e-05
fanden,8.533879501621438e-05
super,0.00012800819252432156
nett,0.00012800819252432156
eben,8.533879501621438e-05
genau,0.0002986857825567503
minuten,0.00017067759003242875
später,0.00038402457757296467
kam,0.0008107185526540366
rumänien,0.0008533879501621437
angereist,4.266939750810719e-05
kinkley,4.266939750810719e-05
moddy,4.266939750810719e-05
caroline,4.266939750810719e-05
weasley,0.001152073732718894
helfen,0.0002986857825567503
zimmer,0.0008960573476702509
erklärte,0.00038402457757296467
weasleys,0.0005120327700972862
neue,0.00017067759003242875
umhanggarnitur,4.266939750810719e-05
fürs,4.266939750810719e-05
ministerium,0.00038402457757296467
schutzhandschuhe,4.266939750810719e-05
drachenleder,4.266939750810719e-05
weiteres,0.00012800819252432156
buch,0.00017067759003242875
flüche,4.266939750810719e-05
gegenflüche,4.266939750810719e-05
verhexen,8.533879501621438e-05
freunde,0.0005547021676053934
treiben,4.266939750810719e-05
gummibeinen,4.266939750810719e-05
haarausfall,4.266939750810719e-05
wahnsinn,8.533879501621438e-05
tisch,0.0005973715651135006
brachte,0.00021334698754053592
wohnzimmer,0.0002986857825567503
nickte,0.00021334698754053592
küchentisch,8.533879501621438e-05
setzte,0.0005120327700972862
berg,4.266939750810719e-05
geschenken,4.266939750810719e-05
klar,0.00012800819252432156
sagte,0.0016641065028161802
hand,0.0008107185526540366
ersten,0.0002986857825567503
geschenk,0.00012800819252432156
füllte,4.266939750810719e-05
küche,0.0005120327700972862
robert,8.533879501621438e-05
beglückwünschten,4.266939750810719e-05
umarmten,4.266939750810719e-05
bevor,0.0005547021676053934
setzten,0.0002560163850486431
sahen,0.00038402457757296467
amüsierten,4.266939750810719e-05
gesichtern,4.266939750810719e-05
eltern,0.0009813961426864653
her,0.0002986857825567503
erst,0.0002560163850486431
ging,0.0007680491551459293
vermutlich,0.0002986857825567503
einzige,0.00012800819252432156
plötzliches,4.266939750810719e-05
verschwinden,4.266939750810719e-05
wirklich,0.00046936337258917906
gut,0.0007253797576378221
aufsah,8.533879501621438e-05
konnte,0.0009387267451783581
sehen,0.00046936337258917906
geradezu,4.266939750810719e-05
halb,4.266939750810719e-05
geöffnete,4.266939750810719e-05
tür,0.0003413551800648575
zustürzte,4.266939750810719e-05
führte,0.00021334698754053592
dicht,8.533879501621438e-05
gefolgt,0.00021334698754053592
vergeblich,4.266939750810719e-05
versuchte,0.0002560163850486431
beruhigte,0.00012800819252432156
starrte,0.00012800819252432156
wütend,0.00021334698754053592
machte,0.0005973715651135006
ebenfalls,0.0005973715651135006
eindruck,4.266939750810719e-05
losgehen,4.266939750810719e-05
lasst,4.266939750810719e-05
wenigstens,0.00017067759003242875
hören,0.0002560163850486431
vollpfosten,8.533879501621438e-05
sagen,0.0005120327700972862
tauchten,8.533879501621438e-05
spottete,4.266939750810719e-05
worte,0.00017067759003242875
ungläubigen,4.266939750810719e-05
grunzen,4.266939750810719e-05
begleitet,4.266939750810719e-05
ja,0.0017494452978323947
geredet,8.533879501621438e-05
wiederholte,8.533879501621438e-05
fester,8.533879501621438e-05
stimme,0.00038402457757296467
kommst,4.266939750810719e-05
darauf,0.00021334698754053592
lächelte,0.0002986857825567503
wenig,0.0005547021676053934
breiter,8.533879501621438e-05
immer,0.00243215565796211
schön,0.00038402457757296467
ähnlichen,4.266939750810719e-05
tonfall,4.266939750810719e-05
wurde,0.0010667349377026796
rot,0.00021334698754053592
schwieg,4.266939750810719e-05
verlegen,4.266939750810719e-05
blick,0.0008107185526540366
mutter,0.00021334698754053592
ignorieren,4.266939750810719e-05
ältesten,0.00012800819252432156
söhnen,4.266939750810719e-05
fünkchen,4.266939750810719e-05
spaß,0.00021334698754053592
leben,0.0002986857825567503
hattest,0.00012800819252432156
gelten,4.266939750810719e-05
ganz,0.0002986857825567503
grinsend,0.00017067759003242875
wanderte,4.266939750810719e-05
zurück,0.0005547021676053934
nacken,0.00012800819252432156
schnell,0.00038402457757296467
kopf,0.0005547021676053934
kleine,0.00042669397508107184
schwester,0.0002560163850486431
murmelte,0.00038402457757296467
letzte,0.00012800819252432156
habt,0.00021334698754053592
pflicht,4.266939750810719e-05
überfürsorgliche,4.266939750810719e-05
brüder,0.00042669397508107184
mehr,0.00136542072025943
erfüllt,4.266939750810719e-05
sah,0.0014507595152756442
pfanne,4.266939750810719e-05
herd,4.266939750810719e-05
stellte,0.0002560163850486431
überfürsorglich,4.266939750810719e-05
gerade,0.0008107185526540366
laut,0.0002986857825567503
genug,0.00017067759003242875
nächsten,0.0002986857825567503
standen,0.00038402457757296467
konnten,0.00012800819252432156
warf,0.0003413551800648575
unsicheren,4.266939750810719e-05
skeptischen,4.266939750810719e-05
runde,8.533879501621438e-05
außer,0.00021334698754053592
lächelnd,8.533879501621438e-05
äh,4.266939750810719e-05
ungefährlich,8.533879501621438e-05
rein,4.266939750810719e-05
kommen,0.0006400409626216078
daraufhin,4.266939750810719e-05
verlief,4.266939750810719e-05
frühstück,0.00017067759003242875
relativ,8.533879501621438e-05
ruhig,0.00021334698754053592
merkwürdig,4.266939750810719e-05
vorkam,4.266939750810719e-05
nie,0.0005547021676053934
erlebt,4.266939750810719e-05
moment,0.0005547021676053934
dinge,0.00012800819252432156
misstrauische,4.266939750810719e-05
blicke,0.0002560163850486431
restlichen,0.00012800819252432156
vormittag,4.266939750810719e-05
frühen,4.266939750810719e-05
nachmittag,8.533879501621438e-05
verbrachten,0.00012800819252432156
größtenteils,4.266939750810719e-05
garten,0.00017067759003242875
fuchsbaus,0.00012800819252432156
sonne,8.533879501621438e-05
anspannung,4.266939750810719e-05
haus,0.0003413551800648575
herrschte,8.533879501621438e-05
zwei,0.0008533879501621437
gedanken,0.00038402457757296467
aufheiterte,4.266939750810719e-05
ließ,0.00042669397508107184
körper,8.533879501621438e-05
wandern,4.266939750810719e-05
vollends,4.266939750810719e-05
mürrischen,4.266939750810719e-05
bewusst,8.533879501621438e-05
gerichtet,4.266939750810719e-05
gesicht,0.0008533879501621437
schärfer,4.266939750810719e-05
beabsichtigt,4.266939750810719e-05
panik,4.266939750810719e-05
beschwichtigend,4.266939750810719e-05
legte,0.00038402457757296467
tipp,4.266939750810719e-05
kommt,0.0007680491551459293
spät,8.533879501621438e-05
flüsterte,0.00021334698754053592
kleinen,0.000682710360129715
raum,0.0002986857825567503
verstehen,8.533879501621438e-05
fragte,0.0007253797576378221
denke,0.00017067759003242875
solltet,4.266939750810719e-05
schon,0.0021761392729134667
mal,0.0017921146953405018
draußen,0.0002560163850486431
gehen,0.0003413551800648575
bestimmt,0.00021334698754053592
gleichzeitig,0.00017067759003242875
mund,8.533879501621438e-05
öffneten,8.533879501621438e-05
erwidern,4.266939750810719e-05
überraschten,4.266939750810719e-05
verdient,8.533879501621438e-05
hätten,0.0002986857825567503
fing,0.00021334698754053592
erzählen,0.0002560163850486431
betrunken,4.266939750810719e-05
versucht,0.00017067759003242875
fern,4.266939750810719e-05
halten,0.00012800819252432156
merkten,4.266939750810719e-05
erhoben,0.00017067759003242875
aufgehört,4.266939750810719e-05
lachen,0.00046936337258917906
gerettet,8.533879501621438e-05
sarkastischen,4.266939750810719e-05
grinsen,0.00046936337258917906
begann,0.00017067759003242875
auffällig,4.266939750810719e-05
husten,4.266939750810719e-05
traf,4.266939750810719e-05
ziemlich,0.0002560163850486431
stur,4.266939750810719e-05
nachgeben,8.533879501621438e-05
sicher,0.0002560163850486431
reden,0.00012800819252432156
entgegnete,4.266939750810719e-05
zehn,0.00012800819252432156
galleonen,0.0008533879501621437
zuerst,0.00012800819252432156
schlug,8.533879501621438e-05
leute,0.00017067759003242875
wisst,4.266939750810719e-05
stehe,4.266939750810719e-05
gespielt,0.0002560163850486431
beleidigter,4.266939750810719e-05
betraten,4.266939750810719e-05
tue,4.266939750810719e-05
antwortete,0.0002986857825567503
ernst,0.00012800819252432156
zog,0.00021334698754053592
augenbrauen,0.00017067759003242875
hoch,0.00017067759003242875
gesagt,0.00046936337258917906
egal,0.00012800819252432156
viele,0.0002986857825567503
VOLDEMORT,0.00046936337258917906
besiegt,8.533879501621438e-05
wehtun,4.266939750810719e-05
bla,0.00012800819252432156
schien,0.00046936337258917906
gerissen,0.00017067759003242875
wütenden,4.266939750810719e-05
fuchtelte,8.533879501621438e-05
aufmerksamkeit,4.266939750810719e-05
bekommen,0.0002560163850486431
darf,0.00017067759003242875
verabschiedeten,8.533879501621438e-05
unterhielten,0.00017067759003242875
leise,0.00038402457757296467
couch,0.0003413551800648575
spielte,8.533879501621438e-05
schach,8.533879501621438e-05
sprach,0.00017067759003242875
tag,0.00012800819252432156
zurückkehren,4.266939750810719e-05
fielen,4.266939750810719e-05
paar,0.00042669397508107184
packen,0.00012800819252432156
verschwand,0.00012800819252432156
oben,0.00017067759003242875
samstagabend,4.266939750810719e-05
abendessen,0.00021334698754053592
brennendem,4.266939750810719e-05
kaminfeuer,8.533879501621438e-05
versammelt,4.266939750810719e-05
saßen,0.0005120327700972862
herum,0.00017067759003242875
spielten,0.00021334698754053592
zauberschnippschnapp,4.266939750810719e-05
kamin,0.00012800819252432156
grün,4.266939750810719e-05
aufflammte,4.266939750810719e-05
reisetasche,4.266939750810719e-05
schulter,0.0002560163850486431
feuer,0.00012800819252432156
kannst,8.533879501621438e-05
willst,4.266939750810719e-05
wissen,0.0002986857825567503
bleibe,4.266939750810719e-05
liebling,4.266939750810719e-05
lachend,0.00012800819252432156
klopfte,0.00012800819252432156
grinste,0.00042669397508107184
triumphierend,4.266939750810719e-05
sag,0.00012800819252432156
hast,0.00046936337258917906
ansichtssache,4.266939750810719e-05
erwiderte,0.00021334698754053592
eher,0.0002560163850486431
tatsache,4.266939750810719e-05
abend,0.0002986857825567503
kartenspielen,4.266939750810719e-05
gesprächen,4.266939750810719e-05
aufstand,0.00012800819252432156
bett,0.0003413551800648575
schickte,4.266939750810719e-05
nachdem,0.0002560163850486431
neben,0.001152073732718894
beinahe,0.00012800819252432156
eingeschlafen,0.00012800819252432156
aufwachte,4.266939750810719e-05
dunkel,4.266939750810719e-05
zahlen,0.00017067759003242875
wecker,4.266939750810719e-05
verschlafenen,4.266939750810719e-05
augen,0.000682710360129715
dunkelheit,8.533879501621438e-05
kaum,0.0002560163850486431
erkennen,0.00012800819252432156
weniger,0.00021334698754053592
