term,relative_frequency
wiegelte,3.32723340542339e-05
ebenfalls,0.00043254034270504075
bestimmt,6.65446681084678e-05
ab,0.00033272334054233906
nützte,3.32723340542339e-05
chance,3.32723340542339e-05
bot,0.0001330893362169356
familie,0.000731991349193146
ließ,0.0006654466810846781
sprachlose,3.32723340542339e-05
wütende,3.32723340542339e-05
zurück,0.000731991349193146
offenem,6.65446681084678e-05
mund,0.00039926800865080684
dastand,3.32723340542339e-05
derart,6.65446681084678e-05
grob,3.32723340542339e-05
abserviert,3.32723340542339e-05
worden,0.0001330893362169356
wirkten,3.32723340542339e-05
überfahren,6.65446681084678e-05
gekonnt,9.981700216270171e-05
komm,9.981700216270171e-05
schönste,9.981700216270171e-05
kannst,0.0002661786724338712
kamin,0.00019963400432540342
arbeitszimmer,3.32723340542339e-05
benützen,3.32723340542339e-05
tschüss,6.65446681084678e-05
lieben,6.65446681084678e-05
verdrehte,0.0001330893362169356
augen,0.0006321743470304442
sah,0.0013641656962235901
summend,3.32723340542339e-05
pfanne,9.981700216270171e-05
speck,3.32723340542339e-05
eier,3.32723340542339e-05
vermischte,3.32723340542339e-05
mal,0.0011312593578439527
gesagt,0.000365995674596573
hätte,0.000698719015138912
scharf,6.65446681084678e-05
geglaubt,6.65446681084678e-05
erwiderte,0.00023290633837963733
musst,6.65446681084678e-05
immer,0.0015637997005489934
darauf,0.0005323573448677424
rumreiten,3.32723340542339e-05
warf,0.00019963400432540342
geschäftig,3.32723340542339e-05
machte,0.0006321743470304442
schon,0.002395608051904841
ganz,0.000998170021627017
glucke,3.32723340542339e-05
ja,0.001463982698386292
schmunzelten,3.32723340542339e-05
sorge,0.00023290633837963733
apsis,3.32723340542339e-05
mitnehmen,6.65446681084678e-05
tat,0.00016636167027116953
zögern,9.981700216270171e-05
einverständnis,3.32723340542339e-05
nochmal,9.981700216270171e-05
zeigen,6.65446681084678e-05
wirklich,0.000731991349193146
schlimmes,6.65446681084678e-05
unterdessen,3.32723340542339e-05
beobachtete,9.981700216270171e-05
rest,0.0001330893362169356
vorgehen,3.32723340542339e-05
sprachlos,6.65446681084678e-05
schluckte,6.65446681084678e-05
schwer,6.65446681084678e-05
verkniff,3.32723340542339e-05
wacker,3.32723340542339e-05
bemerkung,3.32723340542339e-05
mehr,0.0013641656962235901
konnte,0.0012310763600066545
anstrengend,3.32723340542339e-05
neugier,3.32723340542339e-05
siehst,6.65446681084678e-05
werte,3.32723340542339e-05
professor,0.00019963400432540342
erkenn,3.32723340542339e-05
verkündete,3.32723340542339e-05
dramatisch,3.32723340542339e-05
feixte,6.65446681084678e-05
dämlich,3.32723340542339e-05
aufstöhnte,3.32723340542339e-05
betroffen,3.32723340542339e-05
bösartigkeit,3.32723340542339e-05
kopf,0.0006321743470304442
schüttelten,3.32723340542339e-05
fast,0.00043254034270504075
lachen,0.0005656296789219764
geht,0.0004990850108135085
ganze,0.0002661786724338712
zeit,0.0006654466810846781
traf,3.32723340542339e-05
schlag,6.65446681084678e-05
ted,0.0001330893362169356
reinkam,3.32723340542339e-05
rief,0.000365995674596573
böse,0.00016636167027116953
funkelte,3.32723340542339e-05
sohn,0.0008318083513558476
aufgebracht,3.32723340542339e-05
liebevoll,6.65446681084678e-05
arm,0.00043254034270504075
tätschelte,3.32723340542339e-05
fanden,0.0001330893362169356
beiden,0.0011978040259524206
einfach,0.0007985360173016137
super,6.65446681084678e-05
nett,9.981700216270171e-05
eben,6.65446681084678e-05
genau,0.00029945100648810514
minuten,0.00023290633837963733
später,0.000698719015138912
kam,0.0009648976875727833
rumänien,6.65446681084678e-05
angereist,3.32723340542339e-05
kinkley,3.32723340542339e-05
moddy,3.32723340542339e-05
caroline,6.65446681084678e-05
unterhielten,0.00016636167027116953
angeregt,6.65446681084678e-05
sophie,3.32723340542339e-05
richard,9.981700216270171e-05
erzählten,9.981700216270171e-05
all,0.0002661786724338712
jahren,0.00019963400432540342
durchgemacht,3.32723340542339e-05
charly,0.0001330893362169356
gespräch,0.00033272334054233906
quiddich,3.32723340542339e-05
vertieft,6.65446681084678e-05
lächelte,0.00023290633837963733
sagte,0.002761603726501414
fall,9.981700216270171e-05
nächsten,0.00046581267675927467
schuljahr,9.981700216270171e-05
hogwarts,0.0005656296789219764
gehen,0.0006321743470304442
heute,0.00039926800865080684
abend,0.00046581267675927467
rausholen,6.65446681084678e-05
weiterhin,0.00019963400432540342
bleiben,9.981700216270171e-05
blödes,3.32723340542339e-05
gefühl,6.65446681084678e-05
wegen,0.00019963400432540342
kamen,0.0004990850108135085
abschluss,6.65446681084678e-05
jahr,0.0005323573448677424
nickte,0.00019963400432540342
müssen,0.00019963400432540342
sowieso,0.0001330893362169356
ordenstreffen,3.32723340542339e-05
einberufen,3.32723340542339e-05
neuigkeiten,3.32723340542339e-05
münze,3.32723340542339e-05
orden,0.00023290633837963733
kinder,0.0008983530194643154
bett,0.00023290633837963733
sprach,6.65446681084678e-05
sahen,0.0005656296789219764
überrascht,9.981700216270171e-05
küche,0.0007985360173016137
saßen,0.0005656296789219764
aufsahen,3.32723340542339e-05
reaktion,3.32723340542339e-05
erwartet,0.00016636167027116953
wartete,9.981700216270171e-05
beendeten,3.32723340542339e-05
umgingen,3.32723340542339e-05
drei,0.00043254034270504075
geschickt,0.0001330893362169356
thema,0.0001330893362169356
mungo,6.65446681084678e-05
verabredet,3.32723340542339e-05
wisst,6.65446681084678e-05
tatsächlich,0.00023290633837963733
vorherigen,6.65446681084678e-05
überredet,9.981700216270171e-05
winkelgasse,0.00033272334054233906
laden,0.0005323573448677424
kommen,0.00023290633837963733
besorgten,3.32723340542339e-05
blick,0.0008650806854100815
gemustert,3.32723340542339e-05
schließlich,0.000365995674596573
zustimmte,3.32723340542339e-05
erwähnt,6.65446681084678e-05
seid,0.00016636167027116953
wenigen,9.981700216270171e-05
wochen,0.00023290633837963733
reinlassen,3.32723340542339e-05
hockt,3.32723340542339e-05
schar,3.32723340542339e-05
draußen,0.00023290633837963733
hof,3.32723340542339e-05
vielleicht,0.0002661786724338712
fliegen,6.65446681084678e-05
allein,0.00019963400432540342
murmelte,0.000365995674596573
tut,0.00023290633837963733
leid,0.00023290633837963733
vielen,9.981700216270171e-05
eulen,3.32723340542339e-05
ach,0.00033272334054233906
unsinn,3.32723340542339e-05
entgegnete,3.32723340542339e-05
ernst,0.00019963400432540342
bevor,0.0007652636832473798
möglichkeit,6.65446681084678e-05
schneider,6.65446681084678e-05
niemand,0.0001330893362169356
vorhalten,3.32723340542339e-05
hast,0.0005989020129762103
achtete,3.32723340542339e-05
oh,0.0005656296789219764
warte,6.65446681084678e-05
besseres,3.32723340542339e-05
vergangenen,6.65446681084678e-05
oft,0.00016636167027116953
unten,0.00019963400432540342
gefunden,0.00016636167027116953
schlafen,0.0001330893362169356
sorgen,6.65446681084678e-05
erging,6.65446681084678e-05
taten,9.981700216270171e-05
gerade,0.0008983530194643154
zusammen,0.0005989020129762103
sicheres,3.32723340542339e-05
versteck,3.32723340542339e-05
radiosender,3.32723340542339e-05
ordensmitgliedern,3.32723340542339e-05
gut,0.0006321743470304442
ging,0.0006321743470304442
leben,0.00016636167027116953
verwunderung,9.981700216270171e-05
darüber,0.00043254034270504075
welt,0.0001330893362169356
hierher,9.981700216270171e-05
gekommen,0.00039926800865080684
augenblicklich,6.65446681084678e-05
entsetzlichen,6.65446681084678e-05
befürchtung,6.65446681084678e-05
platz,0.0002661786724338712
kleine,0.00043254034270504075
wohnzimmer,0.00039926800865080684
marschierte,6.65446681084678e-05
unwillkürlich,6.65446681084678e-05
tag,0.00029945100648810514
zurückdenken,6.65446681084678e-05
dursleys,0.00019963400432540342
gerettet,6.65446681084678e-05
fuchsbau,0.0005989020129762103
geflogen,6.65446681084678e-05
fehlten,6.65446681084678e-05
hühner,6.65446681084678e-05
angst,0.00016636167027116953
gackernd,6.65446681084678e-05
auseinander,0.0001330893362169356
stoben,6.65446681084678e-05
erst,0.0005323573448677424
vermutlich,0.00019963400432540342
einzige,0.00016636167027116953
weasleys,0.0005323573448677424
plötzliches,3.32723340542339e-05
verschwinden,6.65446681084678e-05
aufsah,6.65446681084678e-05
sehen,0.0005323573448677424
geradezu,3.32723340542339e-05
halb,6.65446681084678e-05
geöffnete,3.32723340542339e-05
tür,0.0005323573448677424
zustürzte,3.32723340542339e-05
führte,0.00019963400432540342
dicht,6.65446681084678e-05
gefolgt,0.0001330893362169356
vergeblich,3.32723340542339e-05
versuchte,0.00033272334054233906
beruhigte,9.981700216270171e-05
starrte,0.0001330893362169356
wütend,9.981700216270171e-05
eindruck,3.32723340542339e-05
losgehen,3.32723340542339e-05
lasst,6.65446681084678e-05
wenigstens,0.00016636167027116953
hören,0.00023290633837963733
vollpfosten,6.65446681084678e-05
sagen,0.0002661786724338712
tauchten,6.65446681084678e-05
wanderte,6.65446681084678e-05
nacken,6.65446681084678e-05
rot,6.65446681084678e-05
wurde,0.0007652636832473798
schnell,0.00046581267675927467
schwester,0.00043254034270504075
letzte,0.0001330893362169356
habt,0.00039926800865080684
pflicht,3.32723340542339e-05
überfürsorgliche,3.32723340542339e-05
brüder,0.00019963400432540342
erfüllt,3.32723340542339e-05
