term,relative_frequency
zerreißen,2.9667428130655354e-05
dagegen,8.900228439196606e-05
kleine,0.00041534399382917497
drama,2.9667428130655354e-05
teilt,2.9667428130655354e-05
zimmer,0.000919690272050316
ja,0.0017800456878393212
steile,2.9667428130655354e-05
karriere,2.9667428130655354e-05
ministerium,0.00035600913756786423
zauberei,2.9667428130655354e-05
zwillinge,0.0008900228439196606
seit,0.00047467885009048566
jahr,0.00041534399382917497
dank,8.900228439196606e-05
eigenen,0.00023733942504524283
laden,0.00029667428130655354
scherzartikel,8.900228439196606e-05
aufgemacht,2.9667428130655354e-05
mr,0.0002670068531758982
weasley,0.0012163645533568696
starrten,5.933485626131071e-05
ungläubig,5.933485626131071e-05
ach,0.00035600913756786423
leute,0.00011866971252262141
sagte,0.0020767199691458745
witz,0.00011866971252262141
familie,0.0006230159907437624
starrte,0.00011866971252262141
weiterhin,0.00014833714065327677
wort,0.00017800456878393212
machst,8.900228439196606e-05
nie,0.00047467885009048566
witze,5.933485626131071e-05
wenig,0.00047467885009048566
neustem,2.9667428130655354e-05
schon,0.0021360548254071854
fing,0.00029667428130655354
leise,0.00029667428130655354
lachen,0.0003263417094372089
sahen,0.0006230159907437624
überrascht,0.00014833714065327677
helfen,0.00014833714065327677
nickte,0.00023733942504524283
küchentisch,8.900228439196606e-05
setzte,0.0004450114219598303
berg,2.9667428130655354e-05
geschenken,2.9667428130655354e-05
klar,0.00011866971252262141
hand,0.0009790251283116266
ersten,0.00047467885009048566
geschenk,5.933485626131071e-05
füllte,2.9667428130655354e-05
küche,0.0003263417094372089
robert,5.933485626131071e-05
beglückwünschten,5.933485626131071e-05
umarmten,5.933485626131071e-05
bevor,0.0003856765656985196
tisch,0.0008010205595276945
setzten,0.00014833714065327677
fragte,0.0008900228439196606
arbeiten,8.900228439196606e-05
knapp,0.00011866971252262141
teil,5.933485626131071e-05
tagespropheten,8.900228439196606e-05
aufzusehen,2.9667428130655354e-05
witzig,8.900228439196606e-05
lachend,8.900228439196606e-05
schlug,0.00017800456878393212
rücken,0.00017800456878393212
beinahe,0.00029667428130655354
rührei,5.933485626131071e-05
verschluckte,2.9667428130655354e-05
erst,0.00047467885009048566
ging,0.0005636811344824517
vermutlich,0.00041534399382917497
einzige,0.00017800456878393212
weasleys,0.00047467885009048566
plötzliches,2.9667428130655354e-05
verschwinden,2.9667428130655354e-05
wirklich,0.0006823508470050731
gut,0.0008010205595276945
aufsah,2.9667428130655354e-05
konnte,0.0013350342658794909
sehen,0.00041534399382917497
geradezu,5.933485626131071e-05
halb,0.00011866971252262141
geöffnete,2.9667428130655354e-05
tür,0.0003263417094372089
zustürzte,2.9667428130655354e-05
wohnzimmer,0.00020767199691458749
führte,5.933485626131071e-05
dicht,0.00011866971252262141
gefolgt,0.00014833714065327677
vergeblich,2.9667428130655354e-05
versuchte,0.00041534399382917497
beruhigte,0.00014833714065327677
wütend,0.00011866971252262141
machte,0.0002670068531758982
ebenfalls,0.00047467885009048566
eindruck,2.9667428130655354e-05
losgehen,5.933485626131071e-05
lasst,8.900228439196606e-05
wenigstens,0.00017800456878393212
hören,0.00020767199691458749
vollpfosten,5.933485626131071e-05
sagen,0.00047467885009048566
tauchten,5.933485626131071e-05
kommst,5.933485626131071e-05
darauf,0.0002670068531758982
lächelte,0.00035600913756786423
breiter,5.933485626131071e-05
immer,0.0021657222535378406
schön,0.00020767199691458749
ähnlichen,2.9667428130655354e-05
tonfall,5.933485626131071e-05
warf,0.0002670068531758982
unsicheren,2.9667428130655354e-05
skeptischen,5.933485626131071e-05
blick,0.0011570296970955588
runde,8.900228439196606e-05
außer,0.00023733942504524283
lächelnd,2.9667428130655354e-05
äh,5.933485626131071e-05
ungefährlich,2.9667428130655354e-05
rein,2.9667428130655354e-05
kommen,0.0004450114219598303
daraufhin,0.00011866971252262141
verlief,2.9667428130655354e-05
frühstück,0.00011866971252262141
relativ,0.00011866971252262141
ruhig,5.933485626131071e-05
merkwürdig,2.9667428130655354e-05
vorkam,2.9667428130655354e-05
erlebt,2.9667428130655354e-05
moment,0.0005340137063517963
dinge,8.900228439196606e-05
kopf,0.00047467885009048566
misstrauische,2.9667428130655354e-05
blicke,0.00020767199691458749
restlichen,0.00014833714065327677
vormittag,2.9667428130655354e-05
frühen,2.9667428130655354e-05
nachmittag,5.933485626131071e-05
verbrachten,8.900228439196606e-05
größtenteils,2.9667428130655354e-05
garten,0.00014833714065327677
fuchsbaus,5.933485626131071e-05
sonne,2.9667428130655354e-05
anspannung,2.9667428130655354e-05
haus,0.00023733942504524283
herrschte,8.900228439196606e-05
zwei,0.0006230159907437624
kam,0.0005340137063517963
gedanken,0.00023733942504524283
brachte,0.00017800456878393212
aufheiterte,2.9667428130655354e-05
ließ,0.0005933485626131071
körper,0.00011866971252262141
wandern,2.9667428130655354e-05
vollends,2.9667428130655354e-05
mürrischen,2.9667428130655354e-05
bewusst,0.00011866971252262141
gerichtet,8.900228439196606e-05
sah,0.0014537039784021123
gesicht,0.00035600913756786423
vielleicht,0.0003856765656985196
erhoben,5.933485626131071e-05
entschuldigend,2.9667428130655354e-05
leicht,0.00023733942504524283
beschämt,5.933485626131071e-05
ähnlich,2.9667428130655354e-05
aussah,0.00011866971252262141
verkneifen,5.933485626131071e-05
schnecke,2.9667428130655354e-05
gemacht,0.00041534399382917497
grinste,0.00041534399382917497
scharfen,2.9667428130655354e-05
allerdings,0.00029667428130655354
ziemlich,0.00020767199691458749
kalt,2.9667428130655354e-05
lassen,0.0002670068531758982
erklärte,0.00029667428130655354
wandte,0.0002670068531758982
stand,0.000504346278221141
tut,0.00014833714065327677
leid,0.00017800456878393212
aufgehört,2.9667428130655354e-05
gehen,0.00029667428130655354
gespielt,0.00011866971252262141
beleidigter,5.933485626131071e-05
stimme,0.00029667428130655354
betraten,8.900228439196606e-05
tue,5.933485626131071e-05
antwortete,0.00035600913756786423
ernst,0.00017800456878393212
eltern,0.0008900228439196606
verabschiedeten,0.00017800456878393212
unterhielten,8.900228439196606e-05
couch,0.00014833714065327677
spielte,0.00011866971252262141
schach,8.900228439196606e-05
sprach,8.900228439196606e-05
nächsten,0.00035600913756786423
tag,0.00035600913756786423
rumänien,0.00029667428130655354
zurückkehren,2.9667428130655354e-05
fielen,5.933485626131071e-05
paar,0.00047467885009048566
packen,5.933485626131071e-05
verschwand,0.00014833714065327677
oben,0.0002670068531758982
augenbrauen,0.00011866971252262141
hob,0.00011866971252262141
aufmerksamkeit,2.9667428130655354e-05
buch,0.00020767199691458749
widmete,5.933485626131071e-05
saßen,0.0004450114219598303
bereits,0.0003263417094372089
warteten,0.00020767199691458749
mehr,0.001750378259708666
weniger,0.00023733942504524283
ungeduldig,5.933485626131071e-05
sollten,0.00011866971252262141
gleich,0.0003856765656985196
wiederkommen,2.9667428130655354e-05
letzten,0.00029667428130655354
worten,0.00014833714065327677
augen,0.0006823508470050731
verdrehte,8.900228439196606e-05
leichtes,2.9667428130655354e-05
lächeln,0.00014833714065327677
lippen,8.900228439196606e-05
zurück,0.0005933485626131071
wohnung,0.00014833714065327677
gezogen,0.00020767199691458749
oft,0.00011866971252262141
wohnt,8.900228439196606e-05
hoffe,0.00023733942504524283
wochenende,2.9667428130655354e-05
voll,0.00014833714065327677
arbeit,0.00017800456878393212
lernen,5.933485626131071e-05
hast,0.000504346278221141
bisschen,0.00023733942504524283
nächste,0.00014833714065327677
woche,0.0002670068531758982
samstagabend,2.9667428130655354e-05
spät,5.933485626131071e-05
abendessen,0.00014833714065327677
brennendem,2.9667428130655354e-05
kaminfeuer,2.9667428130655354e-05
versammelt,2.9667428130655354e-05
kleinen,0.00047467885009048566
herum,0.00017800456878393212
spielten,0.00011866971252262141
zauberschnippschnapp,2.9667428130655354e-05
kamin,2.9667428130655354e-05
grün,2.9667428130655354e-05
aufflammte,2.9667428130655354e-05
grinsen,0.00029667428130655354
reisetasche,2.9667428130655354e-05
schulter,0.00023733942504524283
feuer,5.933485626131071e-05
kannst,0.00011866971252262141
erzählen,0.00011866971252262141
willst,5.933485626131071e-05
wissen,0.00035600913756786423
bleibe,2.9667428130655354e-05
liebling,2.9667428130655354e-05
klopfte,0.00011866971252262141
triumphierend,2.9667428130655354e-05
sag,0.00011866971252262141
ansichtssache,2.9667428130655354e-05
erwiderte,0.00011866971252262141
wohl,0.00041534399382917497
eher,0.00029667428130655354
tatsache,2.9667428130655354e-05
murmelte,0.0003263417094372089
abend,0.00014833714065327677
kartenspielen,2.9667428130655354e-05
gesprächen,2.9667428130655354e-05
aufstand,0.00011866971252262141
bett,0.0003263417094372089
schickte,8.900228439196606e-05
nachdem,0.0003263417094372089
neben,0.0006823508470050731
eingeschlafen,5.933485626131071e-05
aufwachte,5.933485626131071e-05
dunkel,2.9667428130655354e-05
zahlen,2.9667428130655354e-05
wecker,2.9667428130655354e-05
verschlafenen,2.9667428130655354e-05
dunkelheit,2.9667428130655354e-05
kaum,0.00017800456878393212
erkennen,5.933485626131071e-05
meinung,8.900228439196606e-05
ungefähr,5.933485626131071e-05
drei,0.0005636811344824517
uhr,0.00017800456878393212
morgens,2.9667428130655354e-05
fertig,0.00014833714065327677
danach,0.00017800456878393212
folgen,5.933485626131071e-05
später,0.00047467885009048566
betrat,0.00011866971252262141
abzulenken,5.933485626131071e-05
sags,2.9667428130655354e-05
mal,0.0016317085471860445
dämlichen,2.9667428130655354e-05
streichen,5.933485626131071e-05
tun,0.00014833714065327677
streich,8.900228439196606e-05
wurde,0.0009493577001809713
deutete,0.00017800456878393212
ganze,0.00014833714065327677
zeit,0.0006526834188744178
hattet,5.933485626131071e-05
bessere,2.9667428130655354e-05
möglichkeiten,2.9667428130655354e-05
streiche,0.00011866971252262141
planen,2.9667428130655354e-05
schneider,2.9667428130655354e-05
beschuldigten,2.9667428130655354e-05
frühstücks,5.933485626131071e-05
durchgehend,2.9667428130655354e-05
gegenseitig,0.00017800456878393212
wobei,0.0002670068531758982
seite,0.00029667428130655354
wechselte,5.933485626131071e-05
gerade,0.001008692556442282
besten,0.00014833714065327677
passte,5.933485626131071e-05
hut,0.00014833714065327677
auffing,2.9667428130655354e-05
grinsend,0.00011866971252262141
aufsetzte,5.933485626131071e-05
stieg,0.00017800456878393212
treppe,0.00017800456878393212
hoch,0.00011866971252262141
pass,2.9667428130655354e-05
schreibfeder,2.9667428130655354e-05
knarrte,2.9667428130655354e-05
schnarchte,2.9667428130655354e-05
feldbett,5.933485626131071e-05
fenster,8.900228439196606e-05
aufgestellt,5.933485626131071e-05
vergrub,2.9667428130655354e-05
kissen,0.00011866971252262141
kurz,0.00041534399382917497
gleichen,5.933485626131071e-05
misch,2.9667428130655354e-05
musstest,5.933485626131071e-05
ausch,2.9667428130655354e-05
gleisch,2.9667428130655354e-05
aufwecken,2.9667428130655354e-05
müde,8.900228439196606e-05
verschlafen,2.9667428130655354e-05
glaube,0.0003263417094372089
möchte,0.00011866971252262141
gar,0.0003856765656985196
geht,0.00041534399382917497
unglaublich,5.933485626131071e-05
gerne,0.0002670068531758982
hoffnung,0.00011866971252262141
bald,8.900228439196606e-05
herunterkommen,2.9667428130655354e-05
freien,5.933485626131071e-05
stuhl,5.933485626131071e-05
fallen,0.00017800456878393212
eigenes,5.933485626131071e-05
verschandeln,2.9667428130655354e-05
getan,8.900228439196606e-05
deswegen,2.9667428130655354e-05
gefragt,2.9667428130655354e-05
genau,0.00041534399382917497
gabel,5.933485626131071e-05
macht,0.00014833714065327677
perfekten,2.9667428130655354e-05
kandidaten,2.9667428130655354e-05
verzog,0.00014833714065327677
weiterspinnen,2.9667428130655354e-05
werdet,8.900228439196606e-05
morgen,0.000504346278221141
rausfinden,2.9667428130655354e-05
wer,0.0003263417094372089
dran,0.00011866971252262141
vorbei,0.00017800456878393212
gestehen,2.9667428130655354e-05
jungs,0.0002670068531758982
tschuldigung,2.9667428130655354e-05
murmelten,2.9667428130655354e-05
ließen,0.00017800456878393212
aufhorchen,2.9667428130655354e-05
erschien,5.933485626131071e-05
fröhlichen,2.9667428130655354e-05
guten,0.00017800456878393212
gelaunt,8.900228439196606e-05
erwartungsvollen,2.9667428130655354e-05
wurden,0.00047467885009048566
enttäuscht,2.9667428130655354e-05
danke,0.00020767199691458749
gestern,5.933485626131071e-05
verstanden,8.900228439196606e-05
dad,0.0007416857032663839
ungläubigen,2.9667428130655354e-05
stolzem,2.9667428130655354e-05
aaaaaahhhhhhhhh,2.9667428130655354e-05
schrei,2.9667428130655354e-05
verstummen,5.933485626131071e-05
wandten,2.9667428130655354e-05
hinüber,5.933485626131071e-05
seufzte,8.900228439196606e-05
fast,0.0003856765656985196
besser,0.00011866971252262141
hüte,0.00011866971252262141
lachte,0.00029667428130655354
drehte,0.00020767199691458749
mörderischem,2.9667428130655354e-05
gesichtsausdruck,8.900228439196606e-05
apropos,2.9667428130655354e-05
wischte,5.933485626131071e-05
träne,5.933485626131071e-05
auge,0.00011866971252262141
grimmigen,2.9667428130655354e-05
jedoch,0.00020767199691458749
entging,2.9667428130655354e-05
laut,0.00020767199691458749
lachten,0.00020767199691458749
ungeniert,5.933485626131071e-05
verbergen,2.9667428130655354e-05
schlagen,2.9667428130655354e-05
zauberstab,0.00020767199691458749
durchs,2.9667428130655354e-05
gerannt,8.900228439196606e-05
verhext,5.933485626131071e-05
türklinke,2.9667428130655354e-05
badezimmer,2.9667428130655354e-05
gebissen,2.9667428130655354e-05
versucht,0.00017800456878393212
öffnen,0.00011866971252262141
vollen,5.933485626131071e-05
stunde,8.900228439196606e-05
geschlagen,2.9667428130655354e-05
minute,0.00011866971252262141
mum,0.0008603554157890053
wahnsinn,5.933485626131071e-05
getrieben,8.900228439196606e-05
ganz,0.0003263417094372089
tolle,5.933485626131071e-05
ausrede,2.9667428130655354e-05
weshalb,0.00014833714065327677
wiederhole,2.9667428130655354e-05
arme,0.00017800456878393212
auflachen,2.9667428130655354e-05
oh,0.00023733942504524283
leerte,2.9667428130655354e-05
glas,0.00014833714065327677
strich,0.00014833714065327677
liebevoll,5.933485626131071e-05
klingt,5.933485626131071e-05
harmloser,2.9667428130655354e-05
brennende,2.9667428130655354e-05
sofas,2.9667428130655354e-05
schuld,0.00014833714065327677
trick,2.9667428130655354e-05
könntest,5.933485626131071e-05
beibringen,5.933485626131071e-05
hing,5.933485626131071e-05
sessel,0.00017800456878393212
trank,8.900228439196606e-05
eierpunsch,2.9667428130655354e-05
gewandt,2.9667428130655354e-05
schüttelte,8.900228439196606e-05
rot,0.00011866971252262141
goldenen,5.933485626131071e-05
knallbonbon,5.933485626131071e-05
genug,0.00023733942504524283
verrückte,2.9667428130655354e-05
griff,5.933485626131071e-05
ende,0.0003856765656985196
knallbonbons,2.9667428130655354e-05
zog,0.00035600913756786423
zögerte,2.9667428130655354e-05
zählte,8.900228439196606e-05
diskutierte,5.933485626131071e-05
zusammen,0.0007416857032663839
älteren,0.00014833714065327677
brüdern,0.00014833714065327677
irgendeinen,2.9667428130655354e-05
erlass,2.9667428130655354e-05
jünger,0.00011866971252262141
verkrümelt,2.9667428130655354e-05
