term,relative_frequency
wissen,0.00033870749220972767
machte,0.0004064489906516732
große,0.0004064489906516732
gesagt,0.0004741904890936187
seit,0.00013548299688389108
sommerferien,6.774149844194554e-05
versucht,0.00013548299688389108
platz,0.0002032244953258366
rudel,6.774149844194554e-05
erringen,6.774149844194554e-05
sagst,6.774149844194554e-05
wölfen,6.774149844194554e-05
endlich,0.00013548299688389108
geschafft,0.00013548299688389108
brachte,6.774149844194554e-05
struktur,6.774149844194554e-05
gedanken,0.00033870749220972767
schließlich,0.0004064489906516732
schon,0.0014903129657228018
überlegt,6.774149844194554e-05
wirklich,0.0006096734859775098
eiskalt,6.774149844194554e-05
aoh,6.774149844194554e-05
hast,0.0004064489906516732
recht,0.0005419319875355643
bevorzugt,0.00013548299688389108
kurz,0.00033870749220972767
mond,6.774149844194554e-05
komme,6.774149844194554e-05
unterdessen,6.774149844194554e-05
schwieg,6.774149844194554e-05
schien,0.00027096599376778217
berührt,6.774149844194554e-05
wohl,0.0004741904890936187
zeigte,0.00013548299688389108
aussagen,6.774149844194554e-05
herzen,6.774149844194554e-05
jupp,6.774149844194554e-05
mum,0.00027096599376778217
vater,0.0006096734859775098
gekehrt,6.774149844194554e-05
ansprach,6.774149844194554e-05
angefahren,6.774149844194554e-05
gemeint,0.00013548299688389108
kam,0.0007451564828614009
spärlich,6.774149844194554e-05
schwierige,6.774149844194554e-05
woche,0.0002032244953258366
alleine,0.0002032244953258366
lucien,6.774149844194554e-05
DOBBY,0.0002032244953258366
zurechtkommen,6.774149844194554e-05
müssen,0.00027096599376778217
hogwarts,0.0006096734859775098
hinkt,6.774149844194554e-05
weniger,0.0002032244953258366
immer,0.0012870884703969651
schmerzen,6.774149844194554e-05
besser,0.00033870749220972767
schritt,6.774149844194554e-05
stimme,0.0004741904890936187
scharf,6.774149844194554e-05
blickte,0.0004064489906516732
aufgebracht,6.774149844194554e-05
twins,6.774149844194554e-05
bevor,0.0005419319875355643
frau,0.00033870749220972767
neben,0.00033870749220972767
heißt,0.00013548299688389108
danke,0.00027096599376778217
fanden,0.00013548299688389108
beiden,0.0007451564828614009
einfach,0.0004741904890936187
super,6.774149844194554e-05
nett,6.774149844194554e-05
eben,0.0002032244953258366
genau,0.0004064489906516732
minuten,0.00033870749220972767
später,0.000880639479745292
rumänien,6.774149844194554e-05
angereist,6.774149844194554e-05
kinkley,6.774149844194554e-05
moddy,6.774149844194554e-05
caroline,6.774149844194554e-05
weißt,6.774149844194554e-05
sendungen,6.774149844194554e-05
berichtet,6.774149844194554e-05
lächelte,0.0004064489906516732
lehnte,6.774149844194554e-05
kuss,6.774149844194554e-05
wofür,6.774149844194554e-05
versprochen,0.00013548299688389108
hoffe,0.00027096599376778217
hattet,6.774149844194554e-05
spaß,6.774149844194554e-05
beim,0.0005419319875355643
lesen,0.0004064489906516732
mal,0.001625795962606693
passagen,6.774149844194554e-05
ganz,0.0005419319875355643
zufrieden,6.774149844194554e-05
satz,0.00027096599376778217
perfekt,6.774149844194554e-05
vorkommt,6.774149844194554e-05
wären,0.0002032244953258366
vermutlich,0.00027096599376778217
paar,0.0008128979813033464
monate,0.00013548299688389108
zwei,0.0008128979813033464
vier,0.00013548299688389108
rumtreiber,0.00027096599376778217
male,6.774149844194554e-05
angeboten,6.774149844194554e-05
jungen,0.00013548299688389108
adoptieren,6.774149844194554e-05
klartext,6.774149844194554e-05
arther,6.774149844194554e-05
usw,6.774149844194554e-05
d,6.774149844194554e-05
paarty,6.774149844194554e-05
standen,0.00027096599376778217
ende,0.00027096599376778217
raumes,6.774149844194554e-05
eng,6.774149844194554e-05
zusammengedrückt,6.774149844194554e-05
mr,0.00033870749220972767
mrs,0.00013548299688389108
weasley,0.0021677279501422573
übel,6.774149844194554e-05
vergrößern,6.774149844194554e-05
stand,0.0004064489906516732
ersten,0.0005419319875355643
reihe,6.774149844194554e-05
saßen,0.0004741904890936187
arm,0.00013548299688389108
tagsüber,6.774149844194554e-05
ministerium,0.0002032244953258366
schaute,0.00013548299688389108
feierabend,6.774149844194554e-05
vorbei,0.0002032244953258366
kamen,0.0006774149844194553
ebenfalls,0.00013548299688389108
arbeit,0.0002032244953258366
stippvisite,6.774149844194554e-05
ständig,6.774149844194554e-05
werwolfreservat,6.774149844194554e-05
grimmauldplace,6.774149844194554e-05
her,0.00033870749220972767
pendelte,6.774149844194554e-05
seid,0.00013548299688389108
namen,0.0006096734859775098
aufgeteilt,6.774149844194554e-05
canio,6.774149844194554e-05
patentante,0.00013548299688389108
patenonkel,0.00013548299688389108
mailo,6.774149844194554e-05
benannt,6.774149844194554e-05
nachdem,0.00013548299688389108
sowohl,0.00013548299688389108
gepäck,6.774149844194554e-05
aufgetaucht,0.0002032244953258366
zug,0.00013548299688389108
warnpfiff,6.774149844194554e-05
ertönen,6.774149844194554e-05
lässt,6.774149844194554e-05
verabschieden,6.774149844194554e-05
betreten,6.774149844194554e-05
scharlachroten,6.774149844194554e-05
gelegenheit,6.774149844194554e-05
konnte,0.0008128979813033464
gleich,6.774149844194554e-05
tiere,6.774149844194554e-05
