term,relative_frequency
schaute,0.00012080942313500453
verloren,0.00012080942313500453
peinlich,0.00012080942313500453
berührt,6.040471156750227e-05
gegend,6.040471156750227e-05
standen,0.0003624282694050136
leicht,0.00048323769254001814
überflüssig,6.040471156750227e-05
daneben,0.00012080942313500453
blickten,6.040471156750227e-05
interessiert,0.00012080942313500453
schaufenster,6.040471156750227e-05
streit,6.040471156750227e-05
hinein,0.00012080942313500453
gezogen,0.0001812141347025068
wohl,0.00024161884627000907
gezänk,6.040471156750227e-05
entkommen,6.040471156750227e-05
offenen,6.040471156750227e-05
mund,0.00024161884627000907
entsetzt,6.040471156750227e-05
empört,6.040471156750227e-05
luft,0.00024161884627000907
schnappten,6.040471156750227e-05
bestätigte,6.040471156750227e-05
ausgerechnet,6.040471156750227e-05
angestauten,6.040471156750227e-05
situation,0.00024161884627000907
ließ,0.0003020235578375113
sagte,0.003443068559347629
weißt,6.040471156750227e-05
schon,0.0021141649048625794
neueste,0.00012080942313500453
heiraten,0.00012080942313500453
verlobt,0.0001812141347025068
verabschiedete,0.00012080942313500453
vielversprechenden,6.040471156750227e-05
lächeln,0.0003624282694050136
schöne,0.00012080942313500453
stunden,0.0001812141347025068
riesige,6.040471156750227e-05
gruppe,0.0001812141347025068
bildeten,6.040471156750227e-05
bestehend,6.040471156750227e-05
twins,6.040471156750227e-05
setzte,0.0003020235578375113
bewegung,6.040471156750227e-05
resümierte,6.040471156750227e-05
astoria,0.0001812141347025068
verärgert,6.040471156750227e-05
stimmte,0.0001812141347025068
tarnung,6.040471156750227e-05
wirklich,0.0006040471156750226
verletzte,6.040471156750227e-05
mal,0.0014497130776200543
ganz,0.0010268800966475385
abbott,6.040471156750227e-05
verlass,6.040471156750227e-05
ging,0.0010268800966475385
haus,0.00048323769254001814
sag,0.00012080942313500453
los,0.00024161884627000907
warum,0.0001812141347025068
alleine,0.00024161884627000907
weiß,0.0001812141347025068
wundere,6.040471156750227e-05
sowieso,0.00012080942313500453
still,0.00012080942313500453
kommt,0.00012080942313500453
raus,0.00012080942313500453
zusammen,0.000906070673512534
london,0.00012080942313500453
appariert,6.040471156750227e-05
kleid,0.00024161884627000907
