term,relative_frequency
rauschte,3.869669530222119e-05
schlepptau,3.869669530222119e-05
mann,0.00030957356241776953
überraschung,0.00011609008590666357
wunderschönen,0.00011609008590666357
blonden,3.869669530222119e-05
offenen,7.739339060444238e-05
mund,0.00015478678120888476
entsetzt,3.869669530222119e-05
empört,3.869669530222119e-05
luft,0.00019348347651110595
schnappten,3.869669530222119e-05
bestätigte,7.739339060444238e-05
ausgerechnet,3.869669530222119e-05
angestauten,3.869669530222119e-05
situation,7.739339060444238e-05
ließ,0.0003869669530222119
sagte,0.0027474653664577046
weißt,7.739339060444238e-05
schon,0.0027087686711554835
neueste,7.739339060444238e-05
heiraten,0.00019348347651110595
verlobt,0.00011609008590666357
freute,0.00019348347651110595
ärgerte,3.869669530222119e-05
schrecklich,7.739339060444238e-05
aufführten,3.869669530222119e-05
mal,0.0015091711167866265
neue,0.00019348347651110595
sachen,3.869669530222119e-05
wusste,0.0003869669530222119
verhalten,0.00011609008590666357
anzufangen,3.869669530222119e-05
fand,7.739339060444238e-05
hätte,0.0005030570389288754
vergangenen,3.869669530222119e-05
jahren,0.00027087686711554834
schauen,3.869669530222119e-05
ging,0.0009287206872533086
kam,0.0010448107731599722
herrisch,3.869669530222119e-05
astoria,7.739339060444238e-05
feder,7.739339060444238e-05
papier,7.739339060444238e-05
besorgt,3.869669530222119e-05
schrieb,3.869669530222119e-05
fragte,0.0007739339060444238
ähm,3.869669530222119e-05
rätst,3.869669530222119e-05
erstes,0.00011609008590666357
danke,0.00019348347651110595
vertrauen,3.869669530222119e-05
brief,0.00023218017181332715
zauber,0.00023218017181332715
mehr,0.0010061140778577509
liegt,0.00011609008590666357
aufspürzauber,3.869669530222119e-05
sommer,0.00023218017181332715
scheint,7.739339060444238e-05
echt,7.739339060444238e-05
dazuzulernen,3.869669530222119e-05
rate,3.869669530222119e-05
wachender,3.869669530222119e-05
großer,3.869669530222119e-05
bruder,0.0005804504295333178
denke,0.00011609008590666357
zeigen,0.00015478678120888476
zurecht,3.869669530222119e-05
kommt,0.0004256636483244331
glaub,7.739339060444238e-05
gute,0.00023218017181332715
wahl,3.869669530222119e-05
ganz,0.000812630601346645
streng,3.869669530222119e-05
gar,0.0004256636483244331
lamentierte,3.869669530222119e-05
wandte,0.00011609008590666357
stirn,0.00011609008590666357
mum,0.0006578438201377602
okay,0.00019348347651110595
benefizspiel,3.869669530222119e-05
puddlemere,3.869669530222119e-05
united,3.869669530222119e-05
nettes,3.869669530222119e-05
liebes,3.869669530222119e-05
mädel,7.739339060444238e-05
immer,0.0016639578979955113
total,3.869669530222119e-05
quiddich,3.869669530222119e-05
verrückt,0.00011609008590666357
kleine,0.0005417537342310967
schwester,0.0004256636483244331
kannte,7.739339060444238e-05
kopf,0.0005804504295333178
bemerkte,0.00011609008590666357
bekleidungsgeschäft,3.869669530222119e-05
diagon,3.869669530222119e-05
alley,3.869669530222119e-05
familie,0.0007352372107422026
weasley,0.0018574413745066172
stand,0.000812630601346645
grünhaarigen,3.869669530222119e-05
ergab,0.00011609008590666357
wohl,0.0005804504295333178
dran,7.739339060444238e-05
wobei,0.00015478678120888476
sollten,0.00023218017181332715
ruhig,7.739339060444238e-05
nerven,3.869669530222119e-05
erfuhren,0.00011609008590666357
paten,0.00015478678120888476
tanten,3.869669530222119e-05
MURIEL,0.00027087686711554834
tessie,3.869669530222119e-05
lucretia,3.869669530222119e-05
länger,7.739339060444238e-05
lebende,3.869669530222119e-05
gehabt,0.00011609008590666357
sorgte,0.00011609008590666357
erheiterung,3.869669530222119e-05
gerade,0.0009674173825555297
schlangen,3.869669530222119e-05
eigentlich,0.0004256636483244331
darauf,0.0004256636483244331
geachtet,3.869669530222119e-05
wurde,0.0012769909449732992
mädchen,0.00019348347651110595
patentanten,3.869669530222119e-05
einsatz,3.869669530222119e-05
kamen,0.0005030570389288754
jungs,0.00019348347651110595
männer,7.739339060444238e-05
bekamen,0.00011609008590666357
zeigte,0.00011609008590666357
offene,3.869669530222119e-05
liberalere,3.869669530222119e-05
flexiblere,3.869669530222119e-05
einstellung,3.869669530222119e-05
genommen,0.00019348347651110595
verfügung,3.869669530222119e-05
lieb,3.869669530222119e-05
berichtete,0.00011609008590666357
jupp,3.869669530222119e-05
schönes,0.00015478678120888476
gefühl,0.00011609008590666357
erzählt,0.00030957356241776953
freuen,0.00015478678120888476
ferien,0.0004643603436266543
leise,0.0005804504295333178
wäre,0.0005804504295333178
häufig,3.869669530222119e-05
sei,0.00015478678120888476
beiden,0.0011222041637644145
beruflich,3.869669530222119e-05
orden,0.00023218017181332715
bau,3.869669530222119e-05
zukünftigen,3.869669530222119e-05
hauses,3.869669530222119e-05
beschäftigt,0.00015478678120888476
wären,0.00023218017181332715
madame,0.00019348347651110595
wuselte,3.869669530222119e-05
aufgeregt,7.739339060444238e-05
herum,0.00015478678120888476
verletzten,7.739339060444238e-05
versorgen,3.869669530222119e-05
erstaunen,3.869669530222119e-05
einzige,0.0003869669530222119
schülerin,7.739339060444238e-05
rum,7.739339060444238e-05
unverletzte,3.869669530222119e-05
umsorgend,3.869669530222119e-05
neben,0.0007352372107422026
bett,0.0003869669530222119
einzig,7.739339060444238e-05
verletzter,3.869669530222119e-05
schüler,0.00027087686711554834
krankenbett,3.869669530222119e-05
wimmerte,3.869669530222119e-05
ansonsten,7.739339060444238e-05
recht,0.0004643603436266543
heil,3.869669530222119e-05
eher,0.00027087686711554834
ministeriumsgang,3.869669530222119e-05
zusammen,0.000812630601346645
drei,0.0005417537342310967
trio,0.00011609008590666357
naja,0.00011609008590666357
gabriele,3.869669530222119e-05
gebracht,0.00015478678120888476
neuen,0.0003482702577199907
haus,0.0006191471248355391
hochzeit,0.0005417537342310967
verbringen,0.00011609008590666357
danach,0.00019348347651110595
kurz,0.0005030570389288754
fuchsbau,0.0005030570389288754
hing,3.869669530222119e-05
twins,3.869669530222119e-05
irland,3.869669530222119e-05
selten,3.869669530222119e-05
sah,0.0013543843355777417
beäugte,3.869669530222119e-05
seit,0.0006965405154399814
kurzem,3.869669530222119e-05
lieber,0.00015478678120888476
hals,0.00015478678120888476
umdrehen,3.869669530222119e-05
wollten,0.0003482702577199907
selbigen,3.869669530222119e-05
tisch,0.0005030570389288754
konnte,0.000812630601346645
frechen,3.869669530222119e-05
jungen,0.00023218017181332715
ausmachen,3.869669530222119e-05
lange,0.00019348347651110595
gesehen,0.00019348347651110595
vierten,3.869669530222119e-05
schuljahr,0.00011609008590666357
genau,0.0007739339060444238
woraufhin,0.00015478678120888476
vorbei,0.00027087686711554834
schoss,0.00011609008590666357
stürmisch,3.869669530222119e-05
lächelten,0.00011609008590666357
sagten,0.00023218017181332715
mach,0.00019348347651110595
sorgen,0.00019348347651110595
paar,0.0005030570389288754
stunden,0.00027087686711554834
ordnung,7.739339060444238e-05
saß,0.0004256636483244331
beobachteten,7.739339060444238e-05
zauberstab,0.0003869669530222119
erhob,0.00011609008590666357
unverständliche,3.869669530222119e-05
worte,0.00011609008590666357
sprach,0.00023218017181332715
herunter,3.869669530222119e-05
saßen,0.0005417537342310967
aschfahlen,3.869669530222119e-05
gesichtern,3.869669530222119e-05
küchentisch,3.869669530222119e-05
fanden,7.739339060444238e-05
einfach,0.0004256636483244331
super,3.869669530222119e-05
nett,0.00011609008590666357
eben,0.0003869669530222119
minuten,0.00019348347651110595
später,0.0005417537342310967
rumänien,0.00030957356241776953
angereist,3.869669530222119e-05
kinkley,3.869669530222119e-05
moddy,3.869669530222119e-05
caroline,3.869669530222119e-05
schüttelte,0.00027087686711554834
nein,0.00027087686711554834
dad,0.0006191471248355391
harmonie,3.869669530222119e-05
süchtig,3.869669530222119e-05
tolerant,3.869669530222119e-05
gebildet,3.869669530222119e-05
brauchen,7.739339060444238e-05
hilfe,0.00011609008590666357
pass,0.00011609008590666357
setzt,7.739339060444238e-05
restaurant,3.869669530222119e-05
esst,3.869669530222119e-05
appariere,3.869669530222119e-05
schnell,0.0005030570389288754
hole,7.739339060444238e-05
ab,0.00027087686711554834
heraus,0.00011609008590666357
ortungszauber,3.869669530222119e-05
lag,0.00019348347651110595
wissen,0.00027087686711554834
magieblocker,3.869669530222119e-05
magie,7.739339060444238e-05
bündelte,3.869669530222119e-05
somit,0.00015478678120888476
ganze,0.00023218017181332715
kraft,3.869669530222119e-05
konnten,0.00019348347651110595
davon,0.00023218017181332715
befreien,7.739339060444238e-05
professorin,3.869669530222119e-05
tauchte,7.739339060444238e-05
erinnerung,3.869669530222119e-05
warteten,0.00023218017181332715
auftauchte,3.869669530222119e-05
schatz,3.869669530222119e-05
beschlossen,0.00015478678120888476
s,0.00019348347651110595
hollow,7.739339060444238e-05
feiern,0.00011609008590666357
fleure,3.869669530222119e-05
endgültig,7.739339060444238e-05
ostern,3.869669530222119e-05
regale,3.869669530222119e-05
tresen,3.869669530222119e-05
wiederherzustellen,3.869669530222119e-05
fingen,3.869669530222119e-05
schallend,3.869669530222119e-05
lachen,0.00019348347651110595
lächeln,0.0003869669530222119
na,0.0003869669530222119
ja,0.0011222041637644145
weiß,0.00015478678120888476
zählt,3.869669530222119e-05
erklärte,0.0004643603436266543
runzelte,7.739339060444238e-05
erst,0.0005417537342310967
vermutlich,0.00027087686711554834
weasleys,0.0005804504295333178
plötzliches,3.869669530222119e-05
verschwinden,7.739339060444238e-05
wirklich,0.0006578438201377602
gut,0.0010448107731599722
aufsah,3.869669530222119e-05
sehen,0.0005030570389288754
geradezu,3.869669530222119e-05
halb,3.869669530222119e-05
geöffnete,3.869669530222119e-05
tür,0.0003869669530222119
zustürzte,3.869669530222119e-05
wohnzimmer,0.00019348347651110595
küche,0.0005030570389288754
führte,0.00027087686711554834
dicht,7.739339060444238e-05
gefolgt,0.00019348347651110595
vergeblich,3.869669530222119e-05
versuchte,0.00023218017181332715
beruhigte,0.00011609008590666357
starrte,7.739339060444238e-05
wütend,7.739339060444238e-05
machte,0.0005417537342310967
ebenfalls,0.0004256636483244331
eindruck,3.869669530222119e-05
losgehen,3.869669530222119e-05
lasst,3.869669530222119e-05
wenigstens,0.00011609008590666357
hören,0.00027087686711554834
vollpfosten,7.739339060444238e-05
sagen,0.0004643603436266543
tauchten,3.869669530222119e-05
blick,0.0006965405154399814
wanderte,3.869669530222119e-05
zurück,0.0007352372107422026
nacken,3.869669530222119e-05
rot,7.739339060444238e-05
murmelte,0.00023218017181332715
letzte,0.0004643603436266543
habt,0.00019348347651110595
pflicht,3.869669530222119e-05
überfürsorgliche,3.869669530222119e-05
brüder,0.0003482702577199907
erfüllt,3.869669530222119e-05
pfanne,3.869669530222119e-05
herd,3.869669530222119e-05
stellte,7.739339060444238e-05
wenig,0.0003869669530222119
überfürsorglich,3.869669530222119e-05
laut,0.00023218017181332715
genug,0.00015478678120888476
nächsten,0.0004643603436266543
standen,0.00015478678120888476
sagt,0.00019348347651110595
schmunzelten,3.869669530222119e-05
verdrehte,0.00015478678120888476
vierzehn,3.869669530222119e-05
könnt,0.00015478678120888476
fing,0.00027087686711554834
leicht,0.00023218017181332715
verstummen,7.739339060444238e-05
bleiben,7.739339060444238e-05
ordensverleihung,3.869669530222119e-05
meinung,0.00011609008590666357
verdient,0.00011609008590666357
sieht,0.00011609008590666357
heute,0.00030957356241776953
nachmittag,0.00015478678120888476
besuchen,0.00015478678120888476
vielleicht,0.0003869669530222119
lassen,0.00019348347651110595
gehen,0.0004643603436266543
verleihung,3.869669530222119e-05
heitert,3.869669530222119e-05
sicherlich,0.00011609008590666357
bereute,3.869669530222119e-05
sofort,0.00023218017181332715
gereizte,3.869669530222119e-05
blicke,0.00019348347651110595
zuwarfen,3.869669530222119e-05
daraufhin,0.00011609008590666357
verlief,3.869669530222119e-05
frühstück,0.00019348347651110595
