term,relative_frequency
blickten,7.272215445247255e-05
immer,0.0017899033499108566
schienen,8.210565825279159e-05
unterhaltung,4.69175190015952e-05
blackhaus,4.691751900159519e-06
übermäßig,7.037627850239279e-06
spannend,9.383503800319039e-06
ach,0.0002158205874073379
weißt,0.00017124894435582247
hasse,1.4075255700478559e-05
haus,0.00024397109880829501
fragte,0.0015365487473022427
niemand,0.0001454443089049451
bestimmten,2.1112883550717836e-05
schien,0.00044102467861499486
mitbekommen,6.803040255231303e-05
hüpfte,1.8767007600638077e-05
rief,0.00031669325326076755
komm,0.0001571736886553439
zeig,1.17293797503988e-05
s,0.0002744674861593319
mum,0.000117293797503988
relativ,3.51881392511964e-05
ruhig,0.00015482781270526416
halt,6.568452660223327e-05
neugierig,0.000117293797503988
wissen,0.00033546026086140565
raum,0.00032842263301116636
dank,8.679741015295112e-05
späten,2.34587595007976e-05
stunde,0.00022051233930749743
leer,3.987989115135592e-05
ja,0.0015834662663038379
voll,9.148916205311063e-05
heftig,3.987989115135592e-05
hätte,0.0006028901191704983
nie,0.00038706953176316034
gedacht,9.852678990334991e-05
verträgst,2.3458759500797597e-06
gerade,0.001142441587688843
scharf,3.7534015201276154e-05
unverschämtheit,4.691751900159519e-06
zurechtzuweisen,2.3458759500797597e-06
unmöglichen,4.691751900159519e-06
vorwürfe,2.5804635450877358e-05
antworten,9.148916205311063e-05
hand,0.0009711926433330206
begütend,2.3458759500797597e-06
arm,0.0004832504457164305
legte,0.00042929529886459605
kurz,0.0007037627850239279
beruhigend,5.1609270901754717e-05
ansah,9.148916205311063e-05
wusste,0.0008257483344280755
wohl,0.0005020174533170686
brodelte,7.037627850239279e-06
wandte,0.0002768133621094117
führ,2.3458759500797597e-06
mal,0.0014614807168996902
beziehung,0.00011025616965374871
führen,4.4571643051515436e-05
geht,0.0003917612836633199
absolut,6.568452660223327e-05
natürlich,0.0005395514685183448
gab,0.0006005442432204185
einfach,0.0009547715116824622
klar,0.0002908886178098902
zeterte,4.691751900159519e-06
egal,0.00010556441775358919
betrügt,4.691751900159519e-06
stand,0.0006943792812236089
verehrte,2.3458759500797597e-06
ehrerbietung,2.3458759500797597e-06
hast,0.0006028901191704983
dolch,2.3458759500797597e-06
gesehen,0.0002557004785586938
blieb,0.00024162522285821526
ganz,0.000722529792624566
hagere,2.3458759500797597e-06
alte,8.679741015295112e-05
dame,4.9263394951674954e-05
luft,0.00022520409120765694
schnappen,7.037627850239279e-06
ließ,0.0007295674204748053
einmischte,4.691751900159519e-06
bisher,7.506803040255231e-05
bösartig,4.691751900159519e-06
gerunzelter,1.8767007600638077e-05
stirn,0.00015013606080510462
angesehen,4.4571643051515436e-05
bemerkt,9.148916205311063e-05
stählernen,2.3458759500797597e-06
blick,0.0012057802383409965
leicht,0.0003776860279628413
eingesunken,2.3458759500797597e-06
spitzfindigkeiten,2.3458759500797597e-06
sache,0.00014779018485502486
tun,0.0002861968659097307
zeigen,7.272215445247255e-05
geschenk,4.9263394951674954e-05
meinte,0.0008280942103781552
darüber,0.00035891902036220327
bestimmen,1.17293797503988e-05
müssen,0.00030027212161020924
sofort,0.0005700478558693816
trennen,2.34587595007976e-05
sollst,9.383503800319039e-06
hör,4.4571643051515436e-05
recht,0.0003823777798630008
gut,0.0010486065496856526
unglücklich,1.4075255700478559e-05
karte,3.51881392511964e-05
gelesen,4.222576710143567e-05
hey,0.0002040912076569391
mag,4.69175190015952e-05
liebes,1.8767007600638077e-05
mädel,4.691751900159519e-06
warum,0.0003659566482124425
liebst,2.1112883550717836e-05
glücklich,0.000185324200056301
unterstützen,2.1112883550717836e-05
echt,0.00016655719245566294
sicher,0.00041522004316411746
liebt,4.69175190015952e-05
müsst,1.4075255700478559e-05
wollt,4.222576710143567e-05
finde,7.506803040255231e-05
alleine,0.0002955803697100497
lasst,5.1609270901754717e-05
sagte,0.002608614056488693
streng,1.6421131650558318e-05
aufatmenden,2.3458759500797597e-06
lassen,0.0003800319039129211
kenne,2.5804635450877358e-05
weiß,0.0004597916862156329
schönen,3.987989115135592e-05
abend,0.0004738669419161115
vergnügen,1.6421131650558318e-05
geheimen,1.17293797503988e-05
sitzung,2.3458759500797597e-06
zwinkerte,7.975978230271183e-05
süffisant,1.4075255700478559e-05
warte,7.975978230271183e-05
kommen,0.00041052829126395795
schon,0.0024936661349347846
fersen,1.17293797503988e-05
kam,0.0009711926433330206
pav,4.691751900159519e-06
gleichzeitig,0.00012667730130430703
interessierte,1.8767007600638077e-05
ansprechende,2.3458759500797597e-06
dessous,2.3458759500797597e-06
tragen,3.2842263301116636e-05
farbige,2.3458759500797597e-06
seide,7.037627850239279e-06
spitzte,9.383503800319039e-06
bevorzugen,2.3458759500797597e-06
blockte,2.3458759500797597e-06
ab,0.0005301679647180257
erstaunte,7.037627850239279e-06
dicht,5.6301022801914235e-05
hielt,0.00043633292671483535
schließlich,0.00042460354696443654
monate,3.2842263301116636e-05
engstem,2.3458759500797597e-06
gewohnt,2.34587595007976e-05
viele,0.0001923618279065403
konnte,0.001571736886553439
gute,0.00019470770385662006
okay,0.00016655719245566294
na,0.00022520409120765694
hogsmeade,9.38350380031904e-05
neue,0.00016655719245566294
unterwäsche,3.7534015201276154e-05
kaufen,4.69175190015952e-05
kommt,0.00020878295955709862
ernst,0.00012433142535422728
los,0.0004621375621657127
wegen,0.0001923618279065403
geburtstag,7.03762785023928e-05
l,4.691751900159519e-06
bekommen,0.00024631697475837477
ahnung,7.272215445247255e-05
wer,0.0002392793469081355
fuhr,0.0001454443089049451
verletzend,2.3458759500797597e-06
gemein,9.383503800319039e-06
gar,0.0003683025241625223
fein,4.691751900159519e-06
renn,2.3458759500797597e-06
vergaß,1.4075255700478559e-05
lieber,0.0001337149291545463
flittchen,2.3458759500797597e-06
sah,0.002237965656376091
währenddessen,5.1609270901754717e-05
bedeutsamen,7.037627850239279e-06
schickte,5.1609270901754717e-05
wütend,0.00017594069625598199
davon,0.0003683025241625223
rauschte,1.4075255700478559e-05
tränen,0.0002392793469081355
brach,0.00010556441775358919
entschuldigend,4.222576710143567e-05
löste,8.210565825279159e-05
ging,0.0011307122079384443
antwortet,2.34587595007976e-05
mehr,0.001280848268743549
regelmäßig,2.1112883550717836e-05
beantwortet,7.037627850239279e-06
fragen,0.0002815051140095712
sporadisch,2.3458759500797597e-06
bett,0.0006638828938725721
besonderes,1.6421131650558318e-05
eigentlich,0.0004738669419161115
unsinn,2.3458759500797597e-06
überraschung,7.272215445247255e-05
entschuldigung,2.5804635450877358e-05
letzten,0.00033546026086140565
tage,0.00022051233930749743
wenig,0.0005137468330674674
zeit,0.0008820493572299897
öffnete,0.00018297832410622125
dabei,0.0006451158862719339
schrank,5.6301022801914235e-05
holte,0.00014309843295486535
drei,0.0004738669419161115
unpräparierte,2.3458759500797597e-06
flaschen,1.6421131650558318e-05
butterbier,8.445153420287135e-05
anständig,4.691751900159519e-06
stachelte,2.3458759500797597e-06
guten,0.00019470770385662006
erst,0.0005770854837196209
wobei,0.00021347471145725813
eher,0.00018297832410622125
unabsichtlich,7.037627850239279e-06
tat,0.000234587595007976
aufgeregt,0.00013606080510462606
sprach,0.0003096556254105283
verarbeite,2.3458759500797597e-06
fand,0.00024631697475837477
vollem,1.8767007600638077e-05
namen,0.00012433142535422728
damen,1.4075255700478559e-05
erfreut,2.5804635450877358e-05
erstaunlich,1.8767007600638077e-05
schnippisch,9.383503800319039e-06
bl,2.3458759500797597e-06
kollegin,2.3458759500797597e-06
schnell,0.0005114009571173876
unterhakte,4.691751900159519e-06
stehen,0.0002815051140095712
brüsk,2.3458759500797597e-06
mädels,2.34587595007976e-05
verdattert,1.8767007600638077e-05
hinterher,0.00011494792155390823
sieeinige,2.3458759500797597e-06
lacher,9.383503800319039e-06
kassierte,1.17293797503988e-05
lav,4.691751900159519e-06
amüsierte,1.6421131650558318e-05
hübsche,1.17293797503988e-05
chinesin,2.3458759500797597e-06
chancen,2.3458759500797597e-06
ausrechnete,2.3458759500797597e-06
echte,1.6421131650558318e-05
konkurrentin,4.691751900159519e-06
plus,7.037627850239279e-06
baby,6.803040255231303e-05
dagegen,7.741390635263208e-05
ankommen,4.691751900159519e-06
vorüber,9.383503800319039e-06
tauchte,3.7534015201276154e-05
astoria,7.03762785023928e-05
plötzlich,0.00041287416721403773
sichtlich,6.0992774702073753e-05
irritiert,5.395514685183447e-05
schläfen,4.691751900159519e-06
strich,0.00012667730130430703
derart,1.17293797503988e-05
seiten,2.5804635450877358e-05
angegangen,4.691751900159519e-06
wurde,0.0010955240686872478
obgleich,7.037627850239279e-06
jungs,0.00021347471145725813
entspannt,3.987989115135592e-05
zurückhielten,4.691751900159519e-06
schauspiel,3.0496387351036877e-05
zickender,2.3458759500797597e-06
genossen,4.9263394951674954e-05
co,2.3458759500797597e-06
situation,0.00010087266585342968
angenehm,2.8150511400957118e-05
obwohl,0.0001454443089049451
eingemischt,2.3458759500797597e-06
tja,3.0496387351036877e-05
kommst,3.2842263301116636e-05
spät,0.00010321854180350943
schönste,4.691751900159519e-06
schneller,5.395514685183447e-05
geschafft,7.741390635263208e-05
halten,0.00012433142535422728
hattest,2.34587595007976e-05
zuvor,0.00010087266585342968
flötete,1.17293797503988e-05
erstes,6.0992774702073753e-05
bzw,3.0496387351036877e-05
hände,0.00022989584310781645
provokant,2.3458759500797597e-06
hüften,9.383503800319039e-06
stützte,2.5804635450877358e-05
böse,0.00013606080510462606
kaum,0.0002580463545087736
rechenschaft,2.3458759500797597e-06
ablegen,7.037627850239279e-06
schö,2.3458759500797597e-06
sehen,0.0005254762128178662
wünscht,4.691751900159519e-06
mittlerweile,0.00016421131650558318
kapitel,0.000234587595007976
unfassbare,4.691751900159519e-06
