term,relative_frequency
kam,0.001348292964799923
aufgeregt,9.630664034285164e-05
schenkte,9.630664034285164e-05
anzügliches,4.815332017142582e-05
gar,0.0006259931622285357
sagen,0.0006259931622285357
schaffte,9.630664034285164e-05
dankbares,4.815332017142582e-05
lächeln,0.0004333798815428324
reden,0.00038522656137140657
kinder,0.00014445996051427746
fragen,0.00014445996051427746
aufregenden,4.815332017142582e-05
aufreibenden,4.815332017142582e-05
abend,0.0004333798815428324
uhr,0.0002407666008571291
gemeinschaftsraum,0.0004815332017142582
betraten,0.00014445996051427746
registrierten,4.815332017142582e-05
viele,0.00033707324119998074
rasch,0.00014445996051427746
informiert,0.0002407666008571291
worden,0.000529686521885684
bruder,9.630664034285164e-05
zugestoßen,4.815332017142582e-05
mehr,0.0012038330042856455
kommen,0.0005778398420571098
dürfen,9.630664034285164e-05
komatösen,4.815332017142582e-05
zustand,4.815332017142582e-05
somit,0.00019261328068570328
saß,0.0004815332017142582
häuflein,4.815332017142582e-05
elend,4.815332017142582e-05
sessel,0.00019261328068570328
blass,0.00014445996051427746
tränenumflorten,4.815332017142582e-05
augen,0.0008667597630856648
vielleicht,0.0004815332017142582
KRUMMBEIN,4.815332017142582e-05
wald,4.815332017142582e-05
locken,4.815332017142582e-05
tierische,4.815332017142582e-05
hals,9.630664034285164e-05
unerwünschte,4.815332017142582e-05
kurz,0.0007704531227428131
ungewohnt,4.815332017142582e-05
hibbeligen,4.815332017142582e-05
schließlich,0.0005778398420571098
sprachlosen,4.815332017142582e-05
besorgten,0.00014445996051427746
raum,0.0004815332017142582
wünsche,0.00019261328068570328
folgte,0.00033707324119998074
später,0.0004815332017142582
anklagen,4.815332017142582e-05
tatsächlich,0.00019261328068570328
schneller,4.815332017142582e-05
krankenbett,4.815332017142582e-05
standen,0.00014445996051427746
eben,4.815332017142582e-05
bleiche,4.815332017142582e-05
mädchen,0.00033707324119998074
sorgenvoll,4.815332017142582e-05
hinabsahen,4.815332017142582e-05
schmerzen,4.815332017142582e-05
winden,4.815332017142582e-05
schien,0.0002889199210285549
wies,4.815332017142582e-05
neben,0.000529686521885684
trat,0.00033707324119998074
jungs,0.00033707324119998074
zauber,4.815332017142582e-05
hey,0.00014445996051427746
gerade,0.0009630664034285164
memo,4.815332017142582e-05
geschickt,0.0002889199210285549
nein,0.0002889199210285549
tante,9.630664034285164e-05
prüfung,9.630664034285164e-05
apparieren,4.815332017142582e-05
schon,0.002359512688399865
abgelegt,4.815332017142582e-05
dachte,0.00033707324119998074
angela,4.815332017142582e-05
nahm,0.0007222998025713873
größte,4.815332017142582e-05
angst,9.630664034285164e-05
zeigte,0.00014445996051427746
außer,0.00038522656137140657
jemanden,4.815332017142582e-05
gab,0.0006259931622285357
dafür,0.00038522656137140657
verurteilte,4.815332017142582e-05
menschen,0.00019261328068570328
liebte,9.630664034285164e-05
halbe,9.630664034285164e-05
zaubererschaft,4.815332017142582e-05
geglaubt,4.815332017142582e-05
sogar,0.00038522656137140657
immer,0.0022632060480570135
tat,0.0002407666008571291
sei,0.0004815332017142582
verräter,4.815332017142582e-05
lass,9.630664034285164e-05
bloß,0.00014445996051427746
unterkriegen,4.815332017142582e-05
setzte,0.00019261328068570328
hinzu,0.00019261328068570328
bevor,0.0005778398420571098
umwandte,4.815332017142582e-05
dunkelheit,4.815332017142582e-05
alleine,9.630664034285164e-05
ließ,0.0007704531227428131
kaum,0.0004333798815428324
wahr,0.00014445996051427746
herum,0.0002407666008571291
geschah,4.815332017142582e-05
gesagt,0.00033707324119998074
überlegen,0.00014445996051427746
trauerfeier,9.630664034285164e-05
ja,0.0012519863244570713
antwortete,0.0002889199210285549
knapp,9.630664034285164e-05
blick,0.0015409062454856263
fügte,0.0002407666008571291
allgemeine,4.815332017142582e-05
beerdigung,9.630664034285164e-05
samstag,0.00014445996051427746
schreiben,9.630664034285164e-05
nächste,0.00019261328068570328
woche,0.0002407666008571291
PIDWIDGEON,4.815332017142582e-05
brief,0.00019261328068570328
mitnehmen,4.815332017142582e-05
wegen,0.00033707324119998074
drang,4.815332017142582e-05
paar,0.0005778398420571098
antworten,4.815332017142582e-05
ganze,0.00038522656137140657
weile,9.630664034285164e-05
apparierte,4.815332017142582e-05
hogsmeade,0.0002407666008571291
lief,0.00014445996051427746
hinauf,0.00014445996051427746
schlossgründen,4.815332017142582e-05
deren,0.00014445996051427746
toren,4.815332017142582e-05
empfing,4.815332017142582e-05
schoss,9.630664034285164e-05
sicher,0.0002889199210285549
tun,0.0004815332017142582
sah,0.0019742861270284585
augenwinkeln,4.815332017142582e-05
lächelte,0.00038522656137140657
schüttelte,0.0004333798815428324
kopf,0.0006259931622285357
grinsen,0.00014445996051427746
glaube,0.0004333798815428324
denkt,4.815332017142582e-05
hättest,4.815332017142582e-05
zurück,0.0009630664034285164
tor,0.00014445996051427746
gebracht,4.815332017142582e-05
eingangshalle,9.630664034285164e-05
getroffen,9.630664034285164e-05
raus,9.630664034285164e-05
gegangen,4.815332017142582e-05
flüsterte,4.815332017142582e-05
büro,0.0010112197235999422
verbesserte,4.815332017142582e-05
verlassen,9.630664034285164e-05
wartete,0.00014445996051427746
fuß,4.815332017142582e-05
treppe,0.00019261328068570328
breiten,4.815332017142582e-05
gesicht,0.000818606442914239
nachdem,0.0004333798815428324
erzählte,0.0002407666008571291
letztes,0.00014445996051427746
jahr,0.0004333798815428324
keinerlei,4.815332017142582e-05
unterricht,0.0004333798815428324
sagte,0.002985505850628401
fragendem,4.815332017142582e-05
wandte,0.00038522656137140657
meinte,0.000529686521885684
fertig,0.00033707324119998074
gegessen,4.815332017142582e-05
hielt,0.000529686521885684
ansprache,4.815332017142582e-05
erstes,4.815332017142582e-05
begrüßen,4.815332017142582e-05
neuen,0.0006741464823999615
erstklässler,0.00014445996051427746
neue,0.0004333798815428324
siebtklässlerin,4.815332017142582e-05
halliwall,4.815332017142582e-05
zuvor,4.815332017142582e-05
deutschland,4.815332017142582e-05
schule,0.00019261328068570328
ging,0.0010112197235999422
massen,9.630664034285164e-05
stattliche,4.815332017142582e-05
m,9.630664034285164e-05
gross,9.630664034285164e-05
kleidung,9.630664034285164e-05
umhang,9.630664034285164e-05
hervorblitzten,4.815332017142582e-05
betonten,4.815332017142582e-05
haare,0.00014445996051427746
schön,0.0002889199210285549
vereinzelten,4.815332017142582e-05
strähnchen,9.630664034285164e-05
rot,9.630664034285164e-05
gold,0.00014445996051427746
grün,4.815332017142582e-05
dunkel,9.630664034285164e-05
hüftlanges,4.815332017142582e-05
haar,0.00014445996051427746
vereinzelte,4.815332017142582e-05
dunkelblaue,4.815332017142582e-05
elena,4.815332017142582e-05
golden,4.815332017142582e-05
hellblaue,4.815332017142582e-05
seraya,4.815332017142582e-05
freunde,0.0004333798815428324
setzten,0.0002407666008571291
erschien,0.00014445996051427746
erstklässlern,4.815332017142582e-05
ahnte,4.815332017142582e-05
gespräch,0.0002889199210285549
erzählen,0.00033707324119998074
heute,0.000529686521885684
morgen,0.0006741464823999615
begann,0.0005778398420571098
bestätigte,9.630664034285164e-05
annahme,4.815332017142582e-05
blieb,0.00033707324119998074
verborgen,4.815332017142582e-05
sandte,4.815332017142582e-05
dankgebet,4.815332017142582e-05
himmel,4.815332017142582e-05
zittrige,4.815332017142582e-05
dennoch,9.630664034285164e-05
bekannt,9.630664034285164e-05
autoritäre,4.815332017142582e-05
stimme,0.000529686521885684
erklingen,4.815332017142582e-05
hörte,0.00019261328068570328
hob,0.0002889199210285549
schaute,0.0002889199210285549
flankiert,9.630664034285164e-05
zauberstab,0.00033707324119998074
erhoben,4.815332017142582e-05
mittagessen,0.00019261328068570328
reichen,4.815332017142582e-05
verwandlung,0.0002407666008571291
nickte,0.0004333798815428324
seufzte,0.0002889199210285549
starrte,0.00019261328068570328
tafel,4.815332017142582e-05
handbewegung,9.630664034285164e-05
besonders,0.00019261328068570328
komplizierten,4.815332017142582e-05
verwandlungszauber,9.630664034285164e-05
aufgemalt,4.815332017142582e-05
richtete,9.630664034285164e-05
wenig,0.0006741464823999615
blicken,0.00014445996051427746
madam,0.0004815332017142582
sagst,9.630664034285164e-05
miss,0.0007704531227428131
weasley,0.0013001396446284971
gegeben,0.00019261328068570328
hast,0.0002889199210285549
suchen,0.00019261328068570328
musst,9.630664034285164e-05
zögerte,4.815332017142582e-05
moment,0.0005778398420571098
ehe,0.00038522656137140657
worte,0.0002407666008571291
aussprach,4.815332017142582e-05
hand,0.0004333798815428324
verstummte,4.815332017142582e-05
ruhte,0.00014445996051427746
schwer,4.815332017142582e-05
konnte,0.0016853662059999038
liegen,0.00014445996051427746
daran,0.00033707324119998074
wohin,9.630664034285164e-05
koffer,0.00014445996051427746
genau,0.00019261328068570328
tür,0.000529686521885684
jenny,0.0004333798815428324
zugefallen,4.815332017142582e-05
stand,0.000818606442914239
rekordgeschwindigkeit,4.815332017142582e-05
nackt,4.815332017142582e-05
hemmungslos,9.630664034285164e-05
leib,4.815332017142582e-05
reißen,4.815332017142582e-05
rolle,4.815332017142582e-05
trauzeugin,4.815332017142582e-05
gewinnen,4.815332017142582e-05
nächsten,0.0006259931622285357
tag,0.00038522656137140657
großen,0.0006741464823999615
halle,0.0006741464823999615
generalprobe,4.815332017142582e-05
hochzeit,9.630664034285164e-05
dezember,4.815332017142582e-05
hogwarts,0.0011075263639427938
geladen,9.630664034285164e-05
paare,4.815332017142582e-05
trauzeugen,9.630664034285164e-05
danger,4.815332017142582e-05
minister,4.815332017142582e-05
madame,0.00038522656137140657
maxim,4.815332017142582e-05
brautjungfern,4.815332017142582e-05
ringträger,4.815332017142582e-05
braun,4.815332017142582e-05
josefine,4.815332017142582e-05
moore,4.815332017142582e-05
creeve,4.815332017142582e-05
mia,4.815332017142582e-05
stclair,4.815332017142582e-05
caroll,4.815332017142582e-05
mclaine,4.815332017142582e-05
hielten,9.630664034285164e-05
professor,0.0010112197235999422
wache,4.815332017142582e-05
probe,4.815332017142582e-05
gestört,4.815332017142582e-05
wurde,0.0008667597630856648
endlich,0.0004815332017142582
reihe,0.0002889199210285549
traten,0.00014445996051427746
tisch,0.0007222998025713873
gefolgt,0.0002407666008571291
unterzeichneten,4.815332017142582e-05
urkunde,4.815332017142582e-05
danach,0.00019261328068570328
taten,9.630664034285164e-05
alte,0.0002889199210285549
zauberer,0.0002407666008571291
ebenfalls,0.0005778398420571098
herzlichen,9.630664034285164e-05
glückwunsch,4.815332017142582e-05
mrs,0.0002889199210285549
erste,0.00014445996051427746
warf,0.0004333798815428324
gefangen,9.630664034285164e-05
strauß,9.630664034285164e-05
geringeren,4.815332017142582e-05
hochroten,4.815332017142582e-05
wangen,9.630664034285164e-05
blickte,0.00033707324119998074
verschmitzt,4.815332017142582e-05
angrinste,4.815332017142582e-05
zwinkerte,0.00014445996051427746
verschämt,4.815332017142582e-05
boden,0.00033707324119998074
schauen,9.630664034285164e-05
lies,4.815332017142582e-05
werfen,0.00014445996051427746
fing,0.00014445996051427746
ganzen,0.0002407666008571291
angeschmachtet,4.815332017142582e-05
durchaus,9.630664034285164e-05
wohlwollend,4.815332017142582e-05
kenntnis,0.00014445996051427746
genommen,9.630664034285164e-05
keineswegs,4.815332017142582e-05
abgeneigt,9.630664034285164e-05
feier,0.00019261328068570328
dauerte,0.00014445996051427746
weit,0.00014445996051427746
mitternacht,4.815332017142582e-05
gryffindorturm,9.630664034285164e-05
wollten,0.00014445996051427746
wurden,0.0004333798815428324
aufgehalten,4.815332017142582e-05
worten,0.00033707324119998074
verdattert,4.815332017142582e-05
ähm,4.815332017142582e-05
natürlich,0.0004815332017142582
lächelnd,0.00019261328068570328
sahen,0.00038522656137140657
grinsten,4.815332017142582e-05
beeilten,4.815332017142582e-05
folgen,0.0002889199210285549
erdgeschoss,4.815332017142582e-05
flügel,4.815332017142582e-05
führte,0.00033707324119998074
beide,0.0006741464823999615
nie,0.0002889199210285549
betreten,9.630664034285164e-05
machte,0.0005778398420571098
saures,4.815332017142582e-05
darum,4.815332017142582e-05
gebeten,0.00019261328068570328
fernseher,9.630664034285164e-05
wohnung,9.630664034285164e-05
bekamen,4.815332017142582e-05
zugestimmt,4.815332017142582e-05
hilfe,0.00033707324119998074
professoren,0.00038522656137140657
erst,0.000529686521885684
umfangreich,4.815332017142582e-05
verzaubern,4.815332017142582e-05
funktionieren,9.630664034285164e-05
wusste,0.0007222998025713873
wovon,4.815332017142582e-05
sprach,0.0002407666008571291
tennisspiel,4.815332017142582e-05
fernsehen,4.815332017142582e-05
gesehen,0.0002407666008571291
gesellt,4.815332017142582e-05
begeistert,0.00014445996051427746
reibt,4.815332017142582e-05
hände,0.0004815332017142582
freut,4.815332017142582e-05
diebisch,4.815332017142582e-05
theater,4.815332017142582e-05
empfehlen,4.815332017142582e-05
entdecke,4.815332017142582e-05
nicke,4.815332017142582e-05
bekannte,9.630664034285164e-05
gesichter,4.815332017142582e-05
sehen,0.0006259931622285357
benommen,4.815332017142582e-05
lag,0.0002407666008571291
kämpften,9.630664034285164e-05
sowie,0.000529686521885684
niemals,0.00014445996051427746
erklärung,4.815332017142582e-05
warum,0.00014445996051427746
dutzend,4.815332017142582e-05
lediglich,4.815332017142582e-05
zwei,0.000529686521885684
erhielt,4.815332017142582e-05
vier,0.0002407666008571291
bekam,0.00019261328068570328
davon,0.00033707324119998074
eskortierten,4.815332017142582e-05
beiden,0.001059373043771368
jungen,0.0004815332017142582
krankenflügel,0.00014445996051427746
todunglücklichen,4.815332017142582e-05
kümmerten,4.815332017142582e-05
wanderten,0.00014445996051427746
düsterer,4.815332017142582e-05
stimmung,4.815332017142582e-05
bibliothek,0.00019261328068570328
warten,0.00033707324119998074
beim,9.630664034285164e-05
frühstück,0.00038522656137140657
übel,9.630664034285164e-05
gelaunt,9.630664034285164e-05
eskortiert,4.815332017142582e-05
erklärt,9.630664034285164e-05
brachte,0.00014445996051427746
grimmig,9.630664034285164e-05
zusammenhang,4.815332017142582e-05
wobei,0.00019261328068570328
anschein,4.815332017142582e-05
gefühl,9.630664034285164e-05
ganz,0.0006741464823999615
schuld,4.815332017142582e-05
obwohl,9.630664034285164e-05
geistesgegenwart,4.815332017142582e-05
hinsichtlich,4.815332017142582e-05
bezoars,4.815332017142582e-05
leben,0.00019261328068570328
gerettet,4.815332017142582e-05
sprechende,9.630664034285164e-05
hut,0.0002407666008571291
sang,4.815332017142582e-05
lied,0.00019261328068570328
häusern,9.630664034285164e-05
gryffindor,0.0004333798815428324
geschwister,4.815332017142582e-05
lautstark,4.815332017142582e-05
begrüßten,0.00014445996051427746
pergament,0.00019261328068570328
namen,0.00019261328068570328
zusammenrollte,4.815332017142582e-05
sprechenden,0.00014445996051427746
draußen,0.0002407666008571291
trug,9.630664034285164e-05
erkannte,0.0002889199210285549
vater,9.630664034285164e-05
echten,4.815332017142582e-05
siebte,9.630664034285164e-05
klasse,0.00014445996051427746
absolvieren,4.815332017142582e-05
gesorgt,9.630664034285164e-05
mischte,9.630664034285164e-05
drehte,0.00033707324119998074
gruppe,0.0002889199210285549
fall,9.630664034285164e-05
recht,0.0004333798815428324
sollten,0.00033707324119998074
wirklich,0.00033707324119998074
trotzdem,0.00019261328068570328
diejenigen,4.815332017142582e-05
appariert,4.815332017142582e-05
zurückgekommen,4.815332017142582e-05
schaue,4.815332017142582e-05
scheinen,4.815332017142582e-05
sichtbaren,9.630664034285164e-05
wunden,9.630664034285164e-05
körper,9.630664034285164e-05
schmerz,4.815332017142582e-05
verzogen,4.815332017142582e-05
tut,9.630664034285164e-05
fast,0.00038522656137140657
weh,4.815332017142582e-05
bring,9.630664034285164e-05
decken,4.815332017142582e-05
geh,4.815332017142582e-05
nimmt,9.630664034285164e-05
arme,0.0002889199210285549
rast,4.815332017142582e-05
richtung,0.0007222998025713873
ausgang,4.815332017142582e-05
perfekt,9.630664034285164e-05
immerhin,0.00019261328068570328
personen,0.00014445996051427746
weiteren,0.00014445996051427746
sorgen,0.00019261328068570328
gehen,0.0007222998025713873
sagt,0.00019261328068570328
