term,relative_frequency
erfuhren,8.869179600886918e-05
paten,0.00017738359201773836
tanten,4.434589800443459e-05
MURIEL,0.00022172949002217295
tessie,4.434589800443459e-05
lucretia,4.434589800443459e-05
schon,0.0024390243902439024
länger,8.869179600886918e-05
lebende,4.434589800443459e-05
gehabt,0.00013303769401330377
sorgte,8.869179600886918e-05
erheiterung,4.434589800443459e-05
gerade,0.001197339246119734
schlangen,4.434589800443459e-05
eigentlich,0.0005321507760532151
darauf,0.00031042128603104213
geachtet,4.434589800443459e-05
wurde,0.0005321507760532151
mädchen,0.0003547671840354767
patentanten,4.434589800443459e-05
einsatz,4.434589800443459e-05
kamen,0.0004878048780487805
jungs,0.00026607538802660754
männer,8.869179600886918e-05
bekamen,8.869179600886918e-05
zeigte,0.00031042128603104213
offene,4.434589800443459e-05
liberalere,4.434589800443459e-05
flexiblere,4.434589800443459e-05
einstellung,4.434589800443459e-05
familie,0.0007982261640798226
weasley,0.0016851441241685144
genommen,0.00017738359201773836
verfügung,8.869179600886918e-05
stand,0.0006208425720620843
lieb,0.00013303769401330377
längst,4.434589800443459e-05
ausgezogen,4.434589800443459e-05
wirkte,0.00022172949002217295
läge,4.434589800443459e-05
fuchsbau,0.0005764966740576497
twins,0.00022172949002217295
draußen,0.00022172949002217295
zurückgehen,4.434589800443459e-05
tages,8.869179600886918e-05
heiraten,0.00013303769401330377
weggehen,4.434589800443459e-05
blieb,0.00017738359201773836
wusste,0.0003991130820399113
genauso,0.00022172949002217295
eltern,0.0011086474501108647
zeit,0.0006208425720620843
geliebt,4.434589800443459e-05
wäre,0.0004878048780487805
gesorgt,4.434589800443459e-05
logische,4.434589800443459e-05
überlegung,4.434589800443459e-05
schieden,4.434589800443459e-05
zukünftiges,4.434589800443459e-05
zuhause,0.00022172949002217295
hätten,0.00026607538802660754
ehrlich,4.434589800443459e-05
konnte,0.0013303769401330377
cottage,4.434589800443459e-05
lange,0.00017738359201773836
mehr,0.0014634146341463415
beiden,0.000975609756097561
vorstellen,0.00013303769401330377
beachtet,4.434589800443459e-05
kümmert,4.434589800443459e-05
nein,0.00017738359201773836
befahl,4.434589800443459e-05
endgültig,4.434589800443459e-05
unwillen,4.434589800443459e-05
unglauben,4.434589800443459e-05
erkennen,0.00013303769401330377
ab,0.0003547671840354767
gesicht,0.0003547671840354767
plötzliche,8.869179600886918e-05
erkenntnis,0.00013303769401330377
unbelehrbaren,4.434589800443459e-05
brüder,0.0005764966740576497
sowohl,8.869179600886918e-05
hörten,8.869179600886918e-05
böse,8.869179600886918e-05
grinsenden,4.434589800443459e-05
astoria,0.00017738359201773836
mitgezogen,4.434589800443459e-05
wurden,0.0004434589800443459
wunderschönes,8.869179600886918e-05
lindgrünes,4.434589800443459e-05
luftiges,4.434589800443459e-05
abendgewand,4.434589800443459e-05
gehüllt,4.434589800443459e-05
sorgten,8.869179600886918e-05
dafür,0.0004434589800443459
kopf,0.0010199556541019956
schüttelte,0.00017738359201773836
bienen,4.434589800443459e-05
eben,0.00022172949002217295
surrend,4.434589800443459e-05
winkte,0.00013303769401330377
entfernung,4.434589800443459e-05
freundlich,8.869179600886918e-05
neben,0.0008425720620842572
gutaussehenden,4.434589800443459e-05
hielt,0.00031042128603104213
sanft,0.00013303769401330377
zärtlich,8.869179600886918e-05
zurück,0.000753880266075388
unschönen,4.434589800443459e-05
familienzusammenkunft,4.434589800443459e-05
stoßen,4.434589800443459e-05
gut,0.0009312638580931264
sehen,0.0005321507760532151
dermaßen,4.434589800443459e-05
fürsorglich,4.434589800443459e-05
kümmerte,8.869179600886918e-05
runterholte,4.434589800443459e-05
temperament,4.434589800443459e-05
anscheinend,8.869179600886918e-05
tatsächlich,0.00022172949002217295
entgegenzusetzen,4.434589800443459e-05
früher,4.434589800443459e-05
leicht,0.00026607538802660754
cholerisch,4.434589800443459e-05
kennengelernt,4.434589800443459e-05
spiel,0.00013303769401330377
ging,0.0006651884700665188
halt,8.869179600886918e-05
unweigerlich,4.434589800443459e-05
erwachsen,4.434589800443459e-05
geworden,0.00022172949002217295
vorausschauend,4.434589800443459e-05
erkannt,4.434589800443459e-05
sicherheit,8.869179600886918e-05
gar,0.0005764966740576497
geholfen,4.434589800443459e-05
entschwanden,4.434589800443459e-05
zurückgeblieben,4.434589800443459e-05
immer,0.0016851441241685144
hitzig,4.434589800443459e-05
geht,0.00031042128603104213
dabei,0.0008425720620842572
darüber,0.00031042128603104213
vergaß,4.434589800443459e-05
sogar,0.000753880266075388
pochende,4.434589800443459e-05
wange,4.434589800443459e-05
gäste,8.869179600886918e-05
zogen,0.00017738359201773836
brautpaar,0.00013303769401330377
hochzeitsnacht,4.434589800443459e-05
gesellschaft,4.434589800443459e-05
flackernden,4.434589800443459e-05
fackeln,4.434589800443459e-05
beleuchteten,4.434589800443459e-05
innenhof,0.00013303769401330377
prostete,4.434589800443459e-05
teil,0.00013303769401330377
verabschiedend,4.434589800443459e-05
moment,0.0004878048780487805
ebenfalls,0.000753880266075388
beispiel,0.00017738359201773836
höfliche,4.434589800443459e-05
wohlerzogene,4.434589800443459e-05
abschiedsrunde,4.434589800443459e-05
drehte,0.00017738359201773836
audrey,0.0011529933481152993
heimzubringen,4.434589800443459e-05
gingen,0.00026607538802660754
anwesenden,8.869179600886918e-05
mitglieder,4.434589800443459e-05
kurz,0.0005764966740576497
angestellte,0.00013303769401330377
clearwater,4.434589800443459e-05
summerby,4.434589800443459e-05
blieben,0.00017738359201773836
connection,4.434589800443459e-05
paar,0.0004878048780487805
große,0.00013303769401330377
leere,4.434589800443459e-05
halle,0.00017738359201773836
begaben,4.434589800443459e-05
teufelszeug,4.434589800443459e-05
versorgten,4.434589800443459e-05
bemerkte,8.869179600886918e-05
tuschelten,4.434589800443459e-05
anschließend,0.00017738359201773836
schließlich,0.0004878048780487805
nachdem,0.0006208425720620843
sowie,0.00026607538802660754
greg,4.434589800443459e-05
eingesammelt,4.434589800443459e-05
geflüstert,4.434589800443459e-05
näherten,4.434589800443459e-05
ja,0.0014634146341463415
steile,4.434589800443459e-05
karriere,4.434589800443459e-05
ministerium,0.0003547671840354767
zauberei,4.434589800443459e-05
zwillinge,0.0016407982261640798
seit,0.0005764966740576497
jahr,0.00026607538802660754
dank,8.869179600886918e-05
eigenen,0.00026607538802660754
laden,0.00022172949002217295
scherzartikel,4.434589800443459e-05
aufgemacht,4.434589800443459e-05
glucksten,4.434589800443459e-05
überging,4.434589800443459e-05
kommentar,4.434589800443459e-05
vision,4.434589800443459e-05
weißen,0.00013303769401330377
kleid,0.00013303769401330377
auftauchte,4.434589800443459e-05
nickte,0.00031042128603104213
küchentisch,0.00013303769401330377
setzte,0.0003991130820399113
berg,4.434589800443459e-05
geschenken,4.434589800443459e-05
klar,0.00022172949002217295
sagte,0.0018181818181818182
hand,0.0008425720620842572
ersten,0.00017738359201773836
geschenk,4.434589800443459e-05
füllte,4.434589800443459e-05
küche,0.0005764966740576497
robert,4.434589800443459e-05
beglückwünschten,4.434589800443459e-05
umarmten,4.434589800443459e-05
bevor,0.0006208425720620843
tisch,0.000975609756097561
setzten,0.00017738359201773836
schien,0.0005321507760532151
unwohlsein,4.434589800443459e-05
spüren,4.434589800443459e-05
vielleicht,0.0004434589800443459
fand,0.00013303769401330377
vorschlag,4.434589800443459e-05
ebenso,8.869179600886918e-05
fehl,4.434589800443459e-05
platze,4.434589800443459e-05
kam,0.0008425720620842572
denke,4.434589800443459e-05
nötig,4.434589800443459e-05
lächeln,0.00017738359201773836
genau,0.0006208425720620843
ausstrahlte,4.434589800443459e-05
tun,0.00022172949002217295
sollen,0.00017738359201773836
erst,0.0005321507760532151
vermutlich,0.00022172949002217295
einzige,0.00013303769401330377
weasleys,0.0005764966740576497
