term,relative_frequency
schaute,0.0003612426748013165
verloren,0.00024082844986754435
peinlich,4.013807497792406e-05
berührt,4.013807497792406e-05
gegend,4.013807497792406e-05
standen,0.0003612426748013165
leicht,0.0004013807497792406
überflüssig,8.027614995584812e-05
daneben,8.027614995584812e-05
blickten,0.00012041422493377217
interessiert,8.027614995584812e-05
schaufenster,4.013807497792406e-05
streit,8.027614995584812e-05
hinein,0.00012041422493377217
gezogen,8.027614995584812e-05
wohl,0.00024082844986754435
gezänk,4.013807497792406e-05
entkommen,4.013807497792406e-05
freute,0.0002809665248454684
ärgerte,4.013807497792406e-05
schrecklich,4.013807497792406e-05
aufführten,4.013807497792406e-05
mal,0.001444970699205266
neue,0.00012041422493377217
sachen,0.00016055229991169623
wusste,0.0006020711246688609
verhalten,0.0002809665248454684
anzufangen,4.013807497792406e-05
fand,0.00012041422493377217
hätte,0.0009231757244922533
vergangenen,4.013807497792406e-05
jahren,0.00024082844986754435
schauen,8.027614995584812e-05
ging,0.0006020711246688609
setzte,0.00032110459982339246
neben,0.0008027614995584812
schräg,4.013807497792406e-05
gegenüber,8.027614995584812e-05
wandte,0.0002809665248454684
kopf,0.0005217949747130128
bemerkte,4.013807497792406e-05
bekleidungsgeschäft,4.013807497792406e-05
diagon,4.013807497792406e-05
alley,4.013807497792406e-05
familie,0.0005217949747130128
weasley,0.0015252468491611143
stand,0.0004013807497792406
grünhaarigen,4.013807497792406e-05
ergab,8.027614995584812e-05
dran,4.013807497792406e-05
wobei,0.00024082844986754435
sollten,0.00012041422493377217
ruhig,8.027614995584812e-05
nerven,0.00016055229991169623
reaktion,4.013807497792406e-05
verängstig,4.013807497792406e-05
aufgeschrien,4.013807497792406e-05
sah,0.0016857991490728105
entsetzt,8.027614995584812e-05
großen,0.00032110459982339246
augen,0.0008027614995584812
männer,0.00012041422493377217
fast,0.0003612426748013165
aufgesprungen,4.013807497792406e-05
schien,0.0002809665248454684
sekunde,4.013807497792406e-05
raum,0.00032110459982339246
erstarrt,8.027614995584812e-05
händen,0.00012041422493377217
vorsichtig,0.00012041422493377217
rührte,4.013807497792406e-05
knurrte,8.027614995584812e-05
wütend,0.00024082844986754435
verdammt,4.013807497792406e-05
hasse,4.013807497792406e-05
wolf,8.027614995584812e-05
hinten,8.027614995584812e-05
leise,0.0005217949747130128
nährt,4.013807497792406e-05
zukunft,0.00012041422493377217
schwarz,8.027614995584812e-05
devils,4.013807497792406e-05
erheitern,4.013807497792406e-05
fällt,8.027614995584812e-05
brief,0.0002809665248454684
geschickt,4.013807497792406e-05
wisst,4.013807497792406e-05
zusammenstoß,4.013807497792406e-05
orden,0.0003612426748013165
fragte,0.0009633137994701774
laut,0.00016055229991169623
nachforschen,4.013807497792406e-05
sicher,0.0006020711246688609
empfangskomitee,4.013807497792406e-05
wussten,0.00016055229991169623
gleich,0.0006422091996467849
ärger,0.00012041422493377217
misstrauen,4.013807497792406e-05
seite,0.000682347274624709
zweifel,4.013807497792406e-05
wachsen,4.013807497792406e-05
deshalb,0.00012041422493377217
connection,4.013807497792406e-05
schönen,8.027614995584812e-05
erklärenden,4.013807497792406e-05
geschrieben,0.00012041422493377217
bevor,0.0002809665248454684
kingswear,4.013807497792406e-05
aufgebrochen,4.013807497792406e-05
nochmal,0.00012041422493377217
klar,0.0002006903748896203
interessant,4.013807497792406e-05
verabschiedete,0.00012041422493377217
vielversprechenden,4.013807497792406e-05
lächeln,0.0002006903748896203
schöne,0.00012041422493377217
stunden,0.0002006903748896203
riesige,8.027614995584812e-05
gruppe,0.00032110459982339246
bildeten,4.013807497792406e-05
bestehend,4.013807497792406e-05
twins,4.013807497792406e-05
bewegung,0.00016055229991169623
resümierte,4.013807497792406e-05
astoria,0.00012041422493377217
verärgert,4.013807497792406e-05
stimmte,4.013807497792406e-05
tarnung,4.013807497792406e-05
wirklich,0.0006422091996467849
verletzte,4.013807497792406e-05
ganz,0.000722485349602633
abbott,4.013807497792406e-05
verlass,4.013807497792406e-05
angekommen,8.027614995584812e-05
versuchte,0.0002809665248454684
gar,0.00024082844986754435
fragen,0.00024082844986754435
besorgten,4.013807497792406e-05
blicke,0.00016055229991169623
einzugehen,4.013807497792406e-05
schritt,0.00012041422493377217
einfach,0.0005619330496909368
immer,0.0009633137994701774
hand,0.0006020711246688609
richtung,0.00024082844986754435
absperrung,4.013807497792406e-05
gleis,4.013807497792406e-05
neun,8.027614995584812e-05
zehn,4.013807497792406e-05
frage,0.00012041422493377217
kennst,8.027614995584812e-05
alte,0.0002809665248454684
magie,4.013807497792406e-05
liebe,0.0002006903748896203
herzen,4.013807497792406e-05
zusammenführt,4.013807497792406e-05
fragend,8.027614995584812e-05
ja,0.0016055229991169624
heute,0.0004013807497792406
näher,0.00016055229991169623
gekommen,0.00024082844986754435
na,0.00016055229991169623
geküsst,4.013807497792406e-05
geschehen,0.00012041422493377217
erzählten,8.027614995584812e-05
geschichte,0.0005217949747130128
ende,0.0004013807497792406
warteten,4.013807497792406e-05
antwort,8.027614995584812e-05
grinste,0.00024082844986754435
liebevoll,4.013807497792406e-05
gerade,0.0012844183992935698
anfing,4.013807497792406e-05
flirten,4.013807497792406e-05
wurde,0.0011238660993818737
unterbrochen,4.013807497792406e-05
fühlst,4.013807497792406e-05
fanden,0.00012041422493377217
beiden,0.0012844183992935698
super,4.013807497792406e-05
nett,8.027614995584812e-05
eben,0.00032110459982339246
genau,0.0006422091996467849
minuten,0.00016055229991169623
später,0.000682347274624709
kam,0.0008428995745364052
rumänien,4.013807497792406e-05
angereist,4.013807497792406e-05
kinkley,4.013807497792406e-05
moddy,4.013807497792406e-05
caroline,0.00012041422493377217
bitte,0.0003612426748013165
herausgefunden,4.013807497792406e-05
vielleicht,0.0002809665248454684
helfen,0.0003612426748013165
danke,0.00024082844986754435
sagte,0.0025286987236092157
denk,4.013807497792406e-05
daran,0.0002809665248454684
einlädst,4.013807497792406e-05
musst,8.027614995584812e-05
einladen,0.00012041422493377217
trauzeuge,4.013807497792406e-05
dabei,0.0004816568997350887
wurden,0.00032110459982339246
stühle,4.013807497792406e-05
rein,0.00012041422493377217
gebracht,0.00012041422493377217
saß,0.0006422091996467849
standesbeamte,4.013807497792406e-05
begann,0.00032110459982339246
sprechen,0.00024082844986754435
stirnseite,4.013807497792406e-05
tisches,4.013807497792406e-05
saßen,0.000722485349602633
ted,0.00024082844986754435
teds,4.013807497792406e-05
tischseite,4.013807497792406e-05
ganze,0.00032110459982339246
zeit,0.000722485349602633
verliebt,4.013807497792406e-05
ansahen,4.013807497792406e-05
gegenseitig,8.027614995584812e-05
fütterten,4.013807497792406e-05
beide,0.0006020711246688609
schienen,0.00012041422493377217
eigenen,8.027614995584812e-05
welt,0.0002006903748896203
gefangen,4.013807497792406e-05
stehen,0.0002006903748896203
gerührt,8.027614995584812e-05
beobachtet,4.013807497792406e-05
wort,0.0002006903748896203
herrlichen,4.013807497792406e-05
essen,0.0002809665248454684
spaziergang,4.013807497792406e-05
gingen,0.0005217949747130128
gemeinsam,0.0002809665248454684
richard,8.027614995584812e-05
sophie,4.013807497792406e-05
zimmer,0.00044151882475716465
erst,0.0008027614995584812
gesehen,0.0002809665248454684
damals,0.0002809665248454684
verändert,8.027614995584812e-05
wände,4.013807497792406e-05
pfirsichton,4.013807497792406e-05
gehalten,8.027614995584812e-05
kleider,8.027614995584812e-05
kleiderschrank,4.013807497792406e-05
kartons,4.013807497792406e-05
gepackt,4.013807497792406e-05
keller,4.013807497792406e-05
gestellt,0.00016055229991169623
weasleys,0.0005619330496909368
großeltern,8.027614995584812e-05
kamen,0.000682347274624709
natürlich,0.0003612426748013165
zwillinge,0.00016055229991169623
begrüßt,4.013807497792406e-05
mutter,0.0004816568997350887
fing,0.00016055229991169623
vielen,0.00012041422493377217
lieben,0.0002006903748896203
dank,0.00012041422493377217
seit,0.0004013807497792406
möchte,8.027614995584812e-05
erfahren,8.027614995584812e-05
zauberwelt,8.027614995584812e-05
zuträgt,4.013807497792406e-05
trat,0.00032110459982339246
tür,0.0003612426748013165
kleine,0.0003612426748013165
emma,8.027614995584812e-05
