term,relative_frequency
immer,0.001998897160187483
großer,6.892748828232699e-05
entfernung,6.892748828232699e-05
hielt,0.00027570995312930797
linste,6.892748828232699e-05
neugierig,0.00013785497656465398
rollte,6.892748828232699e-05
entnervt,6.892748828232699e-05
mal,0.0017231872070581748
ehrlich,0.00013785497656465398
leute,0.00027570995312930797
sah,0.0013096222773642128
gerade,0.0013785497656465398
versuchte,0.00041356492969396195
behaupten,6.892748828232699e-05
ließ,0.00048249241797628894
moment,0.00020678246484698098
gefürchteten,6.892748828232699e-05
flederwicht,6.892748828232699e-05
los,0.00041356492969396195
fledermausartigen,6.892748828232699e-05
geflügelten,6.892748828232699e-05
tiere,6.892748828232699e-05
stürzten,6.892748828232699e-05
schrill,6.892748828232699e-05
kreischend,6.892748828232699e-05
jungs,0.00034463744141163496
wirbelte,0.00020678246484698098
herum,0.00048249241797628894
quälten,6.892748828232699e-05
hohen,6.892748828232699e-05
ton,0.00027570995312930797
gaben,6.892748828232699e-05
krallen,6.892748828232699e-05
spitzen,6.892748828232699e-05
sahen,0.00027570995312930797
plötzlich,0.00041356492969396195
gruppe,0.00041356492969396195
zueilte,6.892748828232699e-05
vertrauen,6.892748828232699e-05
gemeinsamen,6.892748828232699e-05
kampf,6.892748828232699e-05
deatheater,6.892748828232699e-05
ministerium,6.892748828232699e-05
verbindung,0.00013785497656465398
schlossen,0.00013785497656465398
mädchen,0.0008271298593879239
wirklich,0.0011028398125172319
zusammen,0.0015853322304935208
kämpften,6.892748828232699e-05
nächstes,0.00020678246484698098
traf,0.00020678246484698098
impedimenta,6.892748828232699e-05
lähmte,6.892748828232699e-05
gingen,0.0005514199062586159
bewegungen,6.892748828232699e-05
zeitlupe,6.892748828232699e-05
vonstatten,6.892748828232699e-05
amüsant,6.892748828232699e-05
beobachten,6.892748828232699e-05
jack,6.892748828232699e-05
hätten,6.892748828232699e-05
saureres,6.892748828232699e-05
gebissen,6.892748828232699e-05
wirkten,0.00027570995312930797
glücklich,0.00027570995312930797
assistenten,6.892748828232699e-05
bott,6.892748828232699e-05
später,0.00034463744141163496
bestimmte,0.00013785497656465398
bevor,0.00027570995312930797
liste,6.892748828232699e-05
team,0.00020678246484698098
hufflepuff,0.00027570995312930797
führung,0.00013785497656465398
bleiben,0.00020678246484698098
ravenclaw,6.892748828232699e-05
gryffindor,0.0007582023711055969
ausgetauscht,6.892748828232699e-05
weasely,6.892748828232699e-05
geht,0.00048249241797628894
slytherin,0.00020678246484698098
ungläubigen,6.892748828232699e-05
gesichter,0.00013785497656465398
lav,0.00013785497656465398
pav,0.00013785497656465398
entsetzt,0.00013785497656465398
maßen,6.892748828232699e-05
total,6.892748828232699e-05
verblüfft,6.892748828232699e-05
erscheinen,6.892748828232699e-05
schloss,0.00027570995312930797
verlassen,0.00020678246484698098
erklären,0.00020678246484698098
ausgelaugt,6.892748828232699e-05
wirkte,0.00013785497656465398
leicht,0.00027570995312930797
aufgelöst,6.892748828232699e-05
besorgt,0.00013785497656465398
wohl,0.0006892748828232699
niemand,0.00020678246484698098
genaueres,6.892748828232699e-05
gesagt,0.00048249241797628894
wurde,0.0008271298593879239
aufopferungsvoll,6.892748828232699e-05
umsorgt,6.892748828232699e-05
sichtlich,6.892748828232699e-05
aufgelöste,6.892748828232699e-05
sowie,0.0006892748828232699
ängstliche,6.892748828232699e-05
beruhigten,6.892748828232699e-05
wobei,0.00020678246484698098
verhältnisse,6.892748828232699e-05
augen,0.0006203473945409429
erstaunlich,6.892748828232699e-05
gefasst,6.892748828232699e-05
tränen,6.892748828232699e-05
tapfer,6.892748828232699e-05
kaute,6.892748828232699e-05
nervös,0.00013785497656465398
lippe,6.892748828232699e-05
strangulierte,6.892748828232699e-05
taschentuch,6.892748828232699e-05
händen,0.00027570995312930797
kam,0.0010339123242349049
leben,0.00013785497656465398
junge,0.00020678246484698098
rothaarige,0.00020678246484698098
übernahm,6.892748828232699e-05
planung,6.892748828232699e-05
fiel,0.00027570995312930797
glück,0.00027570995312930797
widersprach,6.892748828232699e-05
puh,6.892748828232699e-05
kommen,0.00048249241797628894
greg,6.892748828232699e-05
tun,0.00020678246484698098
aylin,6.892748828232699e-05
warfen,6.892748828232699e-05
flüchtigen,6.892748828232699e-05
blick,0.0007582023711055969
ehe,6.892748828232699e-05
beiden,0.0008960573476702509
handeln,6.892748828232699e-05
konnte,0.0018610421836228288
