term,relative_frequency
immer,0.0017767463785194988
lustig,1.8130065086933663e-05
sehen,0.0005620320176949436
respekt,7.252026034773465e-05
zwei,0.0005257718875210762
gezeigt,9.065032543466832e-05
durchaus,0.00012691045560853564
twins,5.439019526080098e-05
hielt,0.0003082111064778723
hätte,0.0007433326685642802
nie,0.0004169914969994742
freiwillig,5.439019526080098e-05
zusätzlich,1.8130065086933663e-05
freizeit,1.8130065086933663e-05
saßen,0.0001994307159562703
weasleys,0.0002900810413909386
eltern,0.00045325162717334153
verwundert,7.252026034773465e-05
stirn,9.065032543466832e-05
runzeln,1.8130065086933663e-05
ließ,0.0008339829939989484
kam,0.0007977228638250812
gesamte,5.439019526080098e-05
erbengemeinschaft,1.8130065086933663e-05
versammelt,3.6260130173867327e-05
bemerkte,0.0001994307159562703
rangok,1.8130065086933663e-05
bedeutete,3.6260130173867327e-05
neben,0.0004895117573472089
rechte,5.439019526080098e-05
seite,0.0003444712366517396
setzen,5.439019526080098e-05
tat,0.0002900810413909386
gefordert,1.8130065086933663e-05
je,9.065032543466832e-05
hand,0.001069673840129086
packten,1.8130065086933663e-05
sah,0.002139347680258172
leicht,0.0003988614319125406
überrascht,0.0002356908461301376
hob,0.00016317058578240297
geprägt,1.8130065086933663e-05
neuen,0.00021756078104320393
familie,0.00027195097630400495
indigniert,1.8130065086933663e-05
augenbraue,0.0001450405206954693
wissenden,1.8130065086933663e-05
blicke,0.0002538209112170713
endlich,0.0005076418224341426
beschied,1.8130065086933663e-05
kalt,9.065032543466832e-05
löste,9.065032543466832e-05
bestimmt,0.00016317058578240297
entschuldigend,3.6260130173867327e-05
ging,0.0008521130590858821
ecke,9.065032543466832e-05
wohlsten,1.8130065086933663e-05
fühlen,7.252026034773465e-05
sank,3.6260130173867327e-05
gegenüber,0.00027195097630400495
stuhl,0.00012691045560853564
platz,0.0001994307159562703
unbesetzt,1.8130065086933663e-05
blieb,0.00032634117156480594
setzt,1.8130065086933663e-05
meinte,0.0007977228638250812
vorwurfsvoll,1.8130065086933663e-05
danach,0.00018130065086933663
arbeitete,1.8130065086933663e-05
bisschen,0.00016317058578240297
abzulenken,7.252026034773465e-05
quidditchfeld,1.8130065086933663e-05
machte,0.0008521130590858821
sowie,0.0003082111064778723
abzuholen,1.8130065086933663e-05
wollten,0.00016317058578240297
heute,0.00045325162717334153
einziges,5.439019526080098e-05
ergebnis,5.439019526080098e-05
all,0.0002538209112170713
überlegungen,1.8130065086933663e-05
erreicht,9.065032543466832e-05
bereit,5.439019526080098e-05
eins,3.6260130173867327e-05
zuzugeben,1.8130065086933663e-05
entnervend,1.8130065086933663e-05
machten,0.00021756078104320393
leben,0.00043512156208640786
gerade,0.0008702431241728157
forderungen,1.8130065086933663e-05
ansprüchen,1.8130065086933663e-05
echt,0.00010878039052160197
sauer,0.00010878039052160197
bitte,0.00045325162717334153
zunge,0.00010878039052160197
brannte,7.252026034773465e-05
wegen,0.00043512156208640786
fragen,0.0001994307159562703
schwarzen,9.065032543466832e-05
kämpfte,3.6260130173867327e-05
tapfer,3.6260130173867327e-05
neugierde,5.439019526080098e-05
zaum,1.8130065086933663e-05
halten,9.065032543466832e-05
sachten,1.8130065086933663e-05
kopf,0.0007252026034773465
schüttelte,0.00032634117156480594
woraufhin,5.439019526080098e-05
verstehe,9.065032543466832e-05
schon,0.002139347680258172
willst,9.065032543466832e-05
