term,relative_frequency
links,2.9686804215526198e-05
saß,0.0004898322695561823
wiederum,1.4843402107763099e-05
flankiert,1.4843402107763099e-05
wurde,0.001321062787590916
unterhaltung,7.421701053881549e-05
schnaubend,1.4843402107763099e-05
ungläubig,0.0001335906189698679
verfolgt,1.4843402107763099e-05
zügen,5.9373608431052396e-05
verkniffener,1.4843402107763099e-05
ausdruck,1.4843402107763099e-05
entstanden,1.4843402107763099e-05
deutlich,8.90604126465786e-05
zeigte,0.00019296422740092028
missfiel,1.4843402107763099e-05
wirkte,0.0002078076295086834
gefasst,1.4843402107763099e-05
tür,0.0007867003117114443
aufspringen,1.4843402107763099e-05
sahen,0.0002226510316164465
erhobenem,4.45302063232893e-05
stab,5.9373608431052396e-05
dastehen,1.4843402107763099e-05
überrascht,0.00023749443372420958
anfunkeln,1.4843402107763099e-05
passiert,0.00023749443372420958
schimpfte,2.9686804215526198e-05
tour,1.4843402107763099e-05
blöden,2.9686804215526198e-05
rücken,0.00019296422740092028
räusperte,7.421701053881549e-05
fragte,0.0012765325812676266
chrmm,1.4843402107763099e-05
warum,0.0003413982484785513
überhaupt,0.0002078076295086834
ach,0.00014843402107763098
turm,1.4843402107763099e-05
gehen,0.0008609173222502598
heil,1.4843402107763099e-05
kerker,2.9686804215526198e-05
schon,0.001929642274009203
getrennt,2.9686804215526198e-05
treppe,0.0002671812379397358
zweiten,0.00019296422740092028
stockwerk,1.4843402107763099e-05
erdgeschoss,5.9373608431052396e-05
wurden,0.0003265548463707882
hektisch,2.9686804215526198e-05
wechselndem,1.4843402107763099e-05
farbenspiel,1.4843402107763099e-05
haare,0.00046014546534065606
treppenhaus,1.4843402107763099e-05
gehetzt,1.4843402107763099e-05
sichtlich,5.9373608431052396e-05
erregt,1.4843402107763099e-05
laufen,7.421701053881549e-05
neben,0.0008015437138192073
sodass,0.0001335906189698679
hektik,1.4843402107763099e-05
trickstufen,1.4843402107763099e-05
stieg,7.421701053881549e-05
fast,0.0004156152590173668
gleichgewicht,2.9686804215526198e-05
verlor,5.9373608431052396e-05
worauf,0.0001632774231853941
