term,relative_frequency
wäre,0.0008489938275854157
ersten,0.0006654275945939744
minute,6.883733737179046e-05
toten,0.00034418668685895227
aufgetaucht,0.00013767467474358092
kleinen,0.00027534934948716185
grauen,4.5891558247860304e-05
zellen,2.2945779123930152e-05
angesprungen,2.2945779123930152e-05
traurig,9.178311649572061e-05
erschüttert,4.5891558247860304e-05
geschehene,4.5891558247860304e-05
nahm,0.0005277529198503935
zeit,0.0007342649319657649
trauern,2.2945779123930152e-05
wehklagen,2.2945779123930152e-05
ausstießen,2.2945779123930152e-05
auszuhalten,2.2945779123930152e-05
briefen,4.5891558247860304e-05
versuchte,0.0004818613616025332
horror,2.2945779123930152e-05
tod,0.001216126293568298
live,4.5891558247860304e-05
miterlebt,2.2945779123930152e-05
trösten,6.883733737179046e-05
vorhin,9.178311649572061e-05
sehen,0.0009178311649572061
müssen,0.00041302402423074275
näherte,2.2945779123930152e-05
schoß,2.2945779123930152e-05
machte,0.0004818613616025332
gerade,0.0010096142814529268
ruhiger,2.2945779123930152e-05
gesprochen,0.00016062045386751108
stachelten,2.2945779123930152e-05
besitzinstinkt,2.2945779123930152e-05
deutlich,0.00018356623299144121
zumal,2.2945779123930152e-05
einfach,0.0007801564902136252
unterbrach,0.00016062045386751108
her,0.00016062045386751108
gerenne,2.2945779123930152e-05
sowieso,4.5891558247860304e-05
nervte,2.2945779123930152e-05
gesagt,0.0008031022693375554
zwei,0.0006195360363461141
daten,2.2945779123930152e-05
konnte,0.001376746747435809
zuordnen,4.5891558247860304e-05
tag,0.0004359698033546729
somit,0.00016062045386751108
sicher,0.0007342649319657649
unsterblichkeit,2.2945779123930152e-05
auseinandersetzen,2.2945779123930152e-05
dürfen,9.178311649572061e-05
suchte,6.883733737179046e-05
bücher,0.00011472889561965077
thema,0.00011472889561965077
relevant,2.2945779123930152e-05
bücherei,2.2945779123930152e-05
blacks,2.2945779123930152e-05
zusammen,0.0009407769440811362
schrumpfte,2.2945779123930152e-05
warf,0.0004818613616025332
zaghaft,2.2945779123930152e-05
ganze,0.000298295128611092
zärtlich,4.5891558247860304e-05
hand,0.001193180514444368
strich,0.00020651201211537137
immer,0.0015832587595511806
arm,0.0004818613616025332
mitte,0.00013767467474358092
gelegt,6.883733737179046e-05
sowie,0.00013767467474358092
stimmt,0.00011472889561965077
todestag,2.2945779123930152e-05
getan,0.00016062045386751108
zauderte,2.2945779123930152e-05
zögerte,9.178311649572061e-05
entscheiden,6.883733737179046e-05
tot,0.0004818613616025332
sofort,0.00034418668685895227
heil,4.5891558247860304e-05
armen,0.00011472889561965077
gesucht,4.5891558247860304e-05
ließ,0.0006424818154700443
skeptisch,4.5891558247860304e-05
dabei,0.00036713246598288243
dachte,0.0007113191528418348
wüsste,4.5891558247860304e-05
wirklich,0.000596590257222184
mehr,0.0011472889561965076
erstaunt,4.5891558247860304e-05
schsch,2.2945779123930152e-05
sag,0.00013767467474358092
bedachte,2.2945779123930152e-05
harmlos,2.2945779123930152e-05
vergleich,2.2945779123930152e-05
wussten,9.178311649572061e-05
ja,0.001193180514444368
beide,0.0005277529198503935
wobei,0.00016062045386751108
damals,0.00027534934948716185
persönlich,9.178311649572061e-05
offenbart,2.2945779123930152e-05
aufgabe,0.0006883733737179045
gehabt,0.00018356623299144121
einzuweihen,2.2945779123930152e-05
schienen,9.178311649572061e-05
vertrauensvoll,2.2945779123930152e-05
oh,0.00016062045386751108
deshalb,6.883733737179046e-05
seit,0.00036713246598288243
dritten,0.000298295128611092
jahr,0.0006654275945939744
vertrauensschülerbad,6.883733737179046e-05
verschwunden,0.00022945779123930153
stotterte,2.2945779123930152e-05
mal,0.001193180514444368
heute,0.00032124090773502217
rum,4.5891558247860304e-05
ungeduldig,6.883733737179046e-05
einwarf,2.2945779123930152e-05
ministerium,0.00027534934948716185
zeitumkehrer,4.5891558247860304e-05
ab,0.0005506986989743237
älter,6.883733737179046e-05
wusste,0.0009407769440811362
handelte,2.2945779123930152e-05
missbilligenden,4.5891558247860304e-05
blick,0.000894885385833276
schon,0.0020421743420297837
nachdem,0.00036713246598288243
derart,6.883733737179046e-05
ungewohnt,2.2945779123930152e-05
offen,2.2945779123930152e-05
tja,0.00011472889561965077
kommt,0.00022945779123930153
wohl,0.0004818613616025332
spät,0.00011472889561965077
zweiter,4.5891558247860304e-05
stelle,9.178311649572061e-05
erst,0.000596590257222184
kam,0.0013308551891879489
zuvor,0.0002524035703632317
erstaunlich,6.883733737179046e-05
schnippisch,2.2945779123930152e-05
bl,2.2945779123930152e-05
kollegin,2.2945779123930152e-05
schnell,0.0008489938275854157
unterhakte,2.2945779123930152e-05
stehen,0.00034418668685895227
brüsk,2.2945779123930152e-05
mädels,4.5891558247860304e-05
verdattert,2.2945779123930152e-05
hinterher,0.00022945779123930153
sah,0.0022486863541451548
sieeinige,2.2945779123930152e-05
lacher,2.2945779123930152e-05
kassierte,2.2945779123930152e-05
pav,2.2945779123930152e-05
lav,2.2945779123930152e-05
amüsierte,4.5891558247860304e-05
hübsche,2.2945779123930152e-05
chinesin,2.2945779123930152e-05
chancen,2.2945779123930152e-05
ausrechnete,2.2945779123930152e-05
echte,2.2945779123930152e-05
konkurrentin,2.2945779123930152e-05
plus,4.5891558247860304e-05
baby,2.2945779123930152e-05
