term,relative_frequency
fragte,0.0009753956448584457
ups,2.4384891121461143e-05
echt,7.315467336438343e-05
ned,2.4384891121461143e-05
mum,0.000341388475700456
veto,2.4384891121461143e-05
eingelegt,2.4384891121461143e-05
ja,0.0018288668341095856
dabei,0.0005852373869150674
volljährig,4.8769782242922286e-05
wünschen,4.8769782242922286e-05
gesicht,0.0006096222780365286
twins,4.8769782242922286e-05
beschrieb,4.8769782242922286e-05
leuchtenden,2.4384891121461143e-05
farben,2.4384891121461143e-05
erkannten,2.4384891121461143e-05
stolzes,2.4384891121461143e-05
großes,9.753956448584457e-05
beeindruckendes,2.4384891121461143e-05
tier,9.753956448584457e-05
leguan,2.4384891121461143e-05
wolf,2.4384891121461143e-05
eule,0.00014630934672876686
halt,4.8769782242922286e-05
eichhörnchen,2.4384891121461143e-05
heiratete,4.8769782242922286e-05
damals,0.000341388475700456
jungen,0.00021946402009315029
wiederum,2.4384891121461143e-05
schwester,0.0003901582579433783
evanna,2.4384891121461143e-05
caroline,4.8769782242922286e-05
jahr,0.00041454314906483943
später,0.0007559316247652954
gewissen,4.8769782242922286e-05
huffelpuff,2.4384891121461143e-05
fanden,0.00014630934672876686
beiden,0.0010729352093442903
einfach,0.0005852373869150674
super,9.753956448584457e-05
nett,9.753956448584457e-05
eben,0.00012192445560730571
genau,0.00048769782242922286
minuten,0.000341388475700456
kam,0.0006340071691579897
rumänien,0.000512082713550684
angereist,2.4384891121461143e-05
kinkley,2.4384891121461143e-05
moddy,2.4384891121461143e-05
recht,0.00043892804018630057
verschnupft,2.4384891121461143e-05
schonungslos,2.4384891121461143e-05
offenbarte,4.8769782242922286e-05
mehr,0.0013167841205589017
rücken,0.00014630934672876686
geredet,4.8769782242922286e-05
wurde,0.0008290862981296789
manchmal,2.4384891121461143e-05
wahrhaben,2.4384891121461143e-05
orden,0.00019507912897168914
verkündet,7.315467336438343e-05
treffen,0.00021946402009315029
beim,0.00048769782242922286
vampirclan,2.4384891121461143e-05
sabotiert,2.4384891121461143e-05
hast,0.0007559316247652954
erzählte,0.00024384891121461143
schüttelte,0.00036577336682191714
betrübt,2.4384891121461143e-05
aufgrund,7.315467336438343e-05
dummheit,2.4384891121461143e-05
nahm,0.0005608524957936063
erst,0.0005608524957936063
auffiel,2.4384891121461143e-05
dahin,9.753956448584457e-05
knapp,2.4384891121461143e-05
zwei,0.0007559316247652954
wochen,0.00014630934672876686
vertiefte,4.8769782242922286e-05
dankbar,4.8769782242922286e-05
diskussion,7.315467336438343e-05
drachenzucht,2.4384891121461143e-05
großbritannien,0.00014630934672876686
thema,0.00019507912897168914
abzulenken,7.315467336438343e-05
wandte,0.00021946402009315029
ab,0.00048769782242922286
sah,0.0014387085761662073
gerade,0.0007559316247652954
eleganten,2.4384891121461143e-05
salto,2.4384891121461143e-05
flog,4.8769782242922286e-05
sanft,0.00012192445560730571
rasen,2.4384891121461143e-05
strahlte,7.315467336438343e-05
rot,0.000170694237850228
flugwind,2.4384891121461143e-05
aufregung,4.8769782242922286e-05
augen,0.0007803165158867566
glänzten,2.4384891121461143e-05
voller,9.753956448584457e-05
begeisterung,7.315467336438343e-05
freude,4.8769782242922286e-05
nie,0.00043892804018630057
beeindruckend,2.4384891121461143e-05
sagte,0.0021946402009315026
anerkennend,4.8769782242922286e-05
klopfte,0.000170694237850228
schulter,0.00043892804018630057
löste,0.00012192445560730571
kleinen,0.0005852373869150674
gruppe,0.00014630934672876686
bestand,2.4384891121461143e-05
darüber,0.00031700358457899486
mannschaft,4.8769782242922286e-05
besten,0.00019507912897168914
spielen,0.00014630934672876686
danke,0.00026823380233607257
leise,0.00043892804018630057
lächeln,0.00031700358457899486
vergessen,0.00014630934672876686
ließ,0.00043892804018630057
atmen,2.4384891121461143e-05
beschäftigt,9.753956448584457e-05
regale,4.8769782242922286e-05
tresen,2.4384891121461143e-05
wiederherzustellen,2.4384891121461143e-05
fingen,2.4384891121461143e-05
schallend,2.4384891121461143e-05
lachen,0.00036577336682191714
nickte,0.000512082713550684
küchentisch,7.315467336438343e-05
setzte,0.00021946402009315029
berg,2.4384891121461143e-05
geschenken,2.4384891121461143e-05
klar,0.000170694237850228
hand,0.0010973201004657513
ersten,0.0003901582579433783
geschenk,0.00012192445560730571
füllte,4.8769782242922286e-05
küche,0.00024384891121461143
robert,4.8769782242922286e-05
beglückwünschten,2.4384891121461143e-05
umarmten,4.8769782242922286e-05
bevor,0.0008778560803726011
tisch,0.0006583920602794509
setzten,0.00014630934672876686
ging,0.0007559316247652954
vermutlich,0.00026823380233607257
einzige,0.000170694237850228
weasleys,0.00036577336682191714
plötzliches,4.8769782242922286e-05
verschwinden,9.753956448584457e-05
wirklich,0.0006096222780365286
gut,0.001024165427101368
aufsah,4.8769782242922286e-05
konnte,0.0014143236850447463
sehen,0.0004633129313077617
geradezu,4.8769782242922286e-05
halb,0.000170694237850228
geöffnete,2.4384891121461143e-05
tür,0.0005364676046721451
zustürzte,2.4384891121461143e-05
wohnzimmer,0.00019507912897168914
führte,0.00012192445560730571
dicht,2.4384891121461143e-05
gefolgt,7.315467336438343e-05
vergeblich,2.4384891121461143e-05
versuchte,0.00024384891121461143
beruhigte,9.753956448584457e-05
starrte,0.00024384891121461143
wütend,0.00014630934672876686
machte,0.0003901582579433783
ebenfalls,0.00043892804018630057
eindruck,4.8769782242922286e-05
losgehen,2.4384891121461143e-05
lasst,7.315467336438343e-05
wenigstens,9.753956448584457e-05
hören,0.000170694237850228
