term,relative_frequency
beständig,2.9353058588704944e-05
liebt,5.870611717740989e-05
wohl,0.0007925325818950334
versuch,5.870611717740989e-05
mal,0.0017905365739110015
gespräch,0.0004402958788305741
anzufangen,8.805917576611483e-05
wort,0.0002054714101209346
astoria,0.0002054714101209346
liebes,0.0002054714101209346
mädchen,0.001027357050604673
aufgeweckt,2.9353058588704944e-05
keck,2.9353058588704944e-05
sehe,5.870611717740989e-05
schlange,2.9353058588704944e-05
schon,0.00249500998003992
mehr,0.0017024773981448866
züge,2.9353058588704944e-05
mochte,0.00014676529294352473
raben,2.9353058588704944e-05
siehst,5.870611717740989e-05
vorurteile,2.9353058588704944e-05
fand,0.00029353058588704945
erstaunlich,0.00023482446870963955
seit,0.00038158976165316425
langem,8.805917576611483e-05
schaffte,8.805917576611483e-05
fassade,2.9353058588704944e-05
aufrecht,8.805917576611483e-05
erhalten,0.00017611835153222966
tat,0.0004402958788305741
schwer,0.0002054714101209346
slytherin,8.805917576611483e-05
wesentlich,2.9353058588704944e-05
einfacheren,2.9353058588704944e-05
part,2.9353058588704944e-05
murrend,2.9353058588704944e-05
mittagessen,0.00011741223435481978
machten,0.00026417752729834446
wenig,0.00038158976165316425
draußen,8.805917576611483e-05
spazieren,0.00011741223435481978
gingen,0.0004109428202418692
besprechen,8.805917576611483e-05
raum,0.000557708113185394
wünsche,0.00023482446870963955
organisieren,2.9353058588704944e-05
wollten,0.00017611835153222966
ufer,2.9353058588704944e-05
sees,5.870611717740989e-05
ausmachten,2.9353058588704944e-05
reagierte,5.870611717740989e-05
gelassen,2.9353058588704944e-05
nahm,0.00038158976165316425
kaum,0.0003228836444757544
überhaupt,0.00014676529294352473
blick,0.0014089468122578373
ganz,0.0010567101091933778
andres,2.9353058588704944e-05
immer,0.0016731243395561818
schien,0.0007631795233063285
gewollt,5.870611717740989e-05
gefühle,0.00038158976165316425
sicher,0.0006164142303628038
hingegen,0.00011741223435481978
haupt,2.9353058588704944e-05
erheben,8.805917576611483e-05
nötig,0.00014676529294352473
sogar,0.00038158976165316425
boxen,2.9353058588704944e-05
eigene,2.9353058588704944e-05
sanfte,2.9353058588704944e-05
art,0.00017611835153222966
stark,0.00011741223435481978
nickte,0.0004402958788305741
meinte,0.000557708113185394
zück,2.9353058588704944e-05
trag,2.9353058588704944e-05
termin,2.9353058588704944e-05
sehen,0.0010567101091933778
wer,0.00029353058588704945
kommt,0.00029353058588704945
begrüßungsmahl,2.9353058588704944e-05
erhoben,5.870611717740989e-05
zogen,5.870611717740989e-05
ersten,0.0004402958788305741
plan,5.870611717740989e-05
zusammen,0.0013502406950804274
agierten,2.9353058588704944e-05
effizient,2.9353058588704944e-05
ähnlich,8.805917576611483e-05
übungen,5.870611717740989e-05
zeigte,0.00029353058588704945
umsonst,2.9353058588704944e-05
selbständig,2.9353058588704944e-05
team,5.870611717740989e-05
agieren,2.9353058588704944e-05
trennten,5.870611717740989e-05
besprochen,5.870611717740989e-05
verteilten,2.9353058588704944e-05
geschickt,0.00017611835153222966
strom,5.870611717740989e-05
wobei,0.0003522367030644593
sah,0.0015850651637900669
schnell,0.0007044734061289186
nische,2.9353058588704944e-05
verschwand,0.00014676529294352473
tarnumhang,2.9353058588704944e-05
vereinbart,2.9353058588704944e-05
überwarf,2.9353058588704944e-05
ungesehen,2.9353058588704944e-05
folgte,0.0003522367030644593
augenließ,2.9353058588704944e-05
bemerkte,0.0005283550545966889
slytherins,0.00023482446870963955
gerade,0.0012328284607256077
halle,0.00029353058588704945
letzte,8.805917576611483e-05
verließen,0.00014676529294352473
schritt,8.805917576611483e-05
einholte,2.9353058588704944e-05
bestimmt,0.0003228836444757544
aufhielt,2.9353058588704944e-05
forsch,2.9353058588704944e-05
stellte,0.00026417752729834446
warf,0.000499001996007984
schulter,0.00029353058588704945
sandte,2.9353058588704944e-05
eindeutigen,5.870611717740989e-05
richtigkeit,2.9353058588704944e-05
zaghaft,2.9353058588704944e-05
schüler,0.0003522367030644593
trat,0.0002054714101209346
stock,5.870611717740989e-05
stehen,0.00038158976165316425
bleiben,0.00011741223435481978
erwartet,0.00011741223435481978
klebte,2.9353058588704944e-05
freundin,0.001115416226370788
kaugummi,8.805917576611483e-05
hauchte,2.9353058588704944e-05
ehrfürchtig,2.9353058588704944e-05
zauberstab,0.00011741223435481978
richtete,8.805917576611483e-05
geist,0.00014676529294352473
eingab,2.9353058588704944e-05
kurz,0.0007044734061289186
zeit,0.0007631795233063285
geben,0.0004109428202418692
worte,0.00026417752729834446
nachzudenken,5.870611717740989e-05
erweckte,2.9353058588704944e-05
enervarte,2.9353058588704944e-05
worauf,8.805917576611483e-05
toilette,5.870611717740989e-05
entließen,2.9353058588704944e-05
rumgesprochen,2.9353058588704944e-05
unterhalten,5.870611717740989e-05
schmunzelnden,2.9353058588704944e-05
sagte,0.0018785957496771164
sprach,0.0002054714101209346
klassenkameradin,2.9353058588704944e-05
hast,0.0007338264647176236
eigentlich,0.0003522367030644593
alten,0.00011741223435481978
gesagt,0.00038158976165316425
grinste,0.0002054714101209346
schelmisch,2.9353058588704944e-05
lachen,0.00011741223435481978
ließ,0.000499001996007984
dabei,0.0006751203475402137
wurden,0.0007044734061289186
gryffindors,0.00017611835153222966
genau,0.0006751203475402137
beobachtet,0.00011741223435481978
dachten,8.805917576611483e-05
paar,0.0005870611717740989
wussten,0.00011741223435481978
gesprochen,8.805917576611483e-05
wäre,0.0006164142303628038
vielleicht,0.0004109428202418692
negatives,2.9353058588704944e-05
vorgefallen,5.870611717740989e-05
ferien,0.00011741223435481978
fragte,0.0007631795233063285
na,0.0002054714101209346
wissen,0.0004109428202418692
fluch,5.870611717740989e-05
aufgehalst,2.9353058588704944e-05
sowas,5.870611717740989e-05
beiden,0.001115416226370788
warum,0.0007925325818950334
denkst,2.9353058588704944e-05
angesprochen,2.9353058588704944e-05
somit,0.00026417752729834446
weggelockt,2.9353058588704944e-05
wirklich,0.0009392978748385582
gut,0.0011741223435481978
gemacht,0.0003228836444757544
kräftig,2.9353058588704944e-05
hellblauen,2.9353058588704944e-05
augen,0.0009099448162498533
durchbohren,2.9353058588704944e-05
blicke,0.00023482446870963955
trafen,0.00029353058588704945
dachte,0.00026417752729834446
mauer,2.9353058588704944e-05
undurchdringlich,2.9353058588704944e-05
wacker,5.870611717740989e-05
angriff,0.00011741223435481978
standhielt,2.9353058588704944e-05
verkniff,2.9353058588704944e-05
zynisches,2.9353058588704944e-05
schnauben,2.9353058588704944e-05
taxierenden,2.9353058588704944e-05
brille,5.870611717740989e-05
sowie,0.00029353058588704945
bohrenden,2.9353058588704944e-05
augenkontakt,2.9353058588704944e-05
versuchte,0.0003228836444757544
vorsichtig,0.00011741223435481978
wurde,0.0013208876364917224
bösartigen,5.870611717740989e-05
blicks,2.9353058588704944e-05
ansichtig,2.9353058588704944e-05
ebenso,8.805917576611483e-05
unsicher,0.00011741223435481978
ja,0.001555712105201362
häusern,5.870611717740989e-05
umgehört,2.9353058588704944e-05
gebeten,2.9353058588704944e-05
leid,0.0002054714101209346
tut,0.00023482446870963955
