term,relative_frequency
cousin,0.0014814415773312503
genauso,0.0002828206647632387
runden,2.6935301406022735e-05
kopf,0.0004848354253084092
vater,0.0003770942196843183
dünnem,1.3467650703011367e-05
blondbrünettem,1.3467650703011367e-05
haar,4.04029521090341e-05
wenig,0.0002828206647632387
schmeichelhaft,1.3467650703011367e-05
klebte,1.3467650703011367e-05
forschte,2.6935301406022735e-05
ungeduldig,4.04029521090341e-05
magisches,4.04029521090341e-05
auge,6.733825351505683e-05
kreiste,1.3467650703011367e-05
irre,1.3467650703011367e-05
höhle,1.3467650703011367e-05
schien,0.000404029521090341
dursleys,0.0006464472337445456
puren,1.3467650703011367e-05
horror,1.3467650703011367e-05
erden,1.3467650703011367e-05
stotterte,2.6935301406022735e-05
panisch,2.6935301406022735e-05
blickte,0.0003501589182782955
rasch,2.6935301406022735e-05
boden,0.0003770942196843183
seit,0.0002020147605451705
dementoren,0.0002020147605451705
einstellung,1.3467650703011367e-05
gegenüber,0.00017507945913914776
gewonnen,2.6935301406022735e-05
augenscheinlich,1.3467650703011367e-05
hören,0.0002020147605451705
stelle,6.733825351505683e-05
familie,0.0004444324731993751
einzuschüchtern,1.3467650703011367e-05
brummte,4.04029521090341e-05
düstere,1.3467650703011367e-05
absolut,5.387060281204547e-05
menschen,6.733825351505683e-05
anfangen,6.733825351505683e-05
konnte,0.001804665194203523
langsamen,1.3467650703011367e-05
verständnis,2.6935301406022735e-05
ernst,9.427355492107957e-05
flüsterte,9.427355492107957e-05
leise,0.00033669126757528416
dabei,0.00033669126757528416
sah,0.0015218445294402844
entschlossen,6.733825351505683e-05
erstaunen,4.04029521090341e-05
fest,0.00022895006195119323
fuhren,0.0001212088563271023
köpfe,2.6935301406022735e-05
sichtbar,1.3467650703011367e-05
sprachlosen,1.3467650703011367e-05
mutter,0.0003770942196843183
stumm,2.6935301406022735e-05
gehexten,1.3467650703011367e-05
ebenso,0.00014814415773312505
wortlosen,1.3467650703011367e-05
vaters,6.733825351505683e-05
fast,0.00043096482249636376
wehmütiges,1.3467650703011367e-05
lächeln,0.0001212088563271023
gute,0.0001212088563271023
idee,0.00013467650703011366
big,5.387060281204547e-05
d,0.00021548241124818188
schließlich,0.000659914884447557
schüttelte,0.00022895006195119323
sachten,1.3467650703011367e-05
haupt,1.3467650703011367e-05
empörung,1.3467650703011367e-05
verwandten,0.0001616118084361364
geringer,1.3467650703011367e-05
nein,0.0003232236168722728
wiegelte,1.3467650703011367e-05
sichtlich,5.387060281204547e-05
unangenehm,1.3467650703011367e-05
berührt,5.387060281204547e-05
ab,0.0002962883154662501
gerührt,2.6935301406022735e-05
wegen,0.0002828206647632387
annäherung,1.3467650703011367e-05
geräuschvoll,1.3467650703011367e-05
nase,0.00010774120562409094
putzte,5.387060281204547e-05
blicke,0.0001616118084361364
anwesenden,2.6935301406022735e-05
wanderten,1.3467650703011367e-05
mitleidig,1.3467650703011367e-05
beachtete,1.3467650703011367e-05
