term,relative_frequency
immer,0.0018658926159059192
lustig,6.351244414767159e-05
sehen,0.0005630292346063859
respekt,5.149657633594993e-06
zwei,0.0005389974989829426
gezeigt,4.634691870235494e-05
durchaus,3.604760343516495e-05
twins,2.2315183078911635e-05
hielt,0.0004531698717563594
hätte,0.0006059430482196776
nie,0.00039309053269775116
freiwillig,2.2315183078911635e-05
zusätzlich,1.3732420356253315e-05
freizeit,1.201586781172165e-05
saßen,0.00045145331921182775
weasleys,0.0002797980647586613
eltern,0.0004377208988555744
verwundert,4.291381361329161e-05
stirn,0.00014075730865159648
runzeln,1.7165525445316644e-06
ließ,0.0006557230720110957
kam,0.0010247818690854037
gesamte,2.2315183078911635e-05
erbengemeinschaft,1.7165525445316644e-06
versammelt,3.2614498346101625e-05
bemerkte,0.0002643490918578763
rangok,1.7165525445316644e-06
bedeutete,4.1197261068759945e-05
neben,0.0011260584692127718
rechte,1.5448972900784978e-05
seite,0.00046518573956808105
setzen,6.0079339058608255e-05
tat,0.0002214352782445847
gefordert,6.8662101781266576e-06
leben,0.00030039669529304127
quietschte,8.582762722658322e-06
stimme,0.0003982401903313461
hoch,0.00024718356641255964
sah,0.002198903809545062
staunend,6.8662101781266576e-06
schenkte,7.72448645039249e-05
entschuldigenden,1.3732420356253315e-05
sorry,4.80634712468866e-05
weiß,0.0004239884784993211
unterbrach,0.0001304579933844065
unfug,3.4331050890633288e-06
missmutig,1.3732420356253315e-05
gegend,2.5748288167974964e-05
rumgestarrt,1.7165525445316644e-06
wohl,0.000506383000636841
sauer,6.866210178126658e-05
durfte,8.239452213751989e-05
irgendwas,7.72448645039249e-05
gemurmelt,5.149657633594993e-06
würdest,4.80634712468866e-05
ausspannen,1.7165525445316644e-06
schönste,1.5448972900784978e-05
passt,4.291381361329161e-05
gekonnt,2.0598630534379973e-05
schüttelte,0.00023173459351177468
kopf,0.0007793148552173757
freund,0.0002729318545805346
gezeichnet,6.8662101781266576e-06
