term,relative_frequency
säuselte,1.3128528291978469e-05
sah,0.002048050413548641
alte,0.00015754233950374162
verkrampfte,1.3128528291978469e-05
ja,0.0012143888670080084
schon,0.0017460942628331364
doof,6.564264145989234e-06
belauschte,6.564264145989234e-06
verloren,8.533543389786005e-05
warum,0.00042667716948930023
immer,0.0016279375082053301
geschafft,0.00012472101877379545
erhalten,6.564264145989234e-05
verteidigung,0.00014441381121176316
dunklen,0.00019692792437967703
künste,0.00011159249048181698
bestnote,6.564264145989234e-06
abgeschlossen,1.3128528291978469e-05
fächern,3.282132072994617e-05
e,5.2514113167913875e-05
sogar,0.00041354864119732177
astronomie,4.594984902192464e-05
abgelenkt,1.3128528291978469e-05
wegen,0.00021662071681764473
festnehmen,6.564264145989234e-06
stupor,1.9692792437967703e-05
verletzt,4.594984902192464e-05
wurde,0.0014900879611395564
bemerkte,0.00024287777340160167
entfernung,6.564264145989234e-06
blick,0.0011618747538400945
nachdem,0.0004791912826572141
wusste,0.0007155047919128266
ägide,6.564264145989234e-06
ferien,0.00013784954706577392
verbracht,3.9385584875935406e-05
recht,0.00033477747144545095
sollten,0.0003610345280294079
zweimal,2.6257056583956937e-05
woche,0.00017723513194170933
zusammen,0.0006826834711828804
raum,0.00043324143363528947
wünsche,7.220690560588158e-05
treffen,0.00017723513194170933
üben,3.282132072994617e-05
fordert,6.564264145989234e-06
weasley,0.0004923198109491926
mitkommen,3.282132072994617e-05
neugierig,7.220690560588158e-05
verstand,0.0001312852829197847
holte,8.533543389786005e-05
tasche,5.2514113167913875e-05
schatulle,6.564264145989234e-06
öffnete,0.00021662071681764473
gehen,0.0006958119994748588
bewunderte,6.564264145989234e-06
kunstwerk,6.564264145989234e-06
nächsten,0.00048575554680320334
thema,0.00011815675462780622
kamen,0.000308520414861494
ansprach,3.282132072994617e-05
kumpel,2.6257056583956937e-05
kam,0.00111592490481817
eigentlich,0.0003413417355914402
bresche,6.564264145989234e-06
gesprungen,1.3128528291978469e-05
ach,0.00011159249048181698
kleine,0.00033477747144545095
dampfwalze,6.564264145989234e-06
gemeinschaftsraum,0.00019692792437967703
gleich,0.0002822633582775371
rumgezankt,6.564264145989234e-06
aufgeführt,6.564264145989234e-06
habt,8.533543389786005e-05
direktor,5.2514113167913875e-05
wolltet,6.564264145989234e-06
nein,0.0003479059997374294
daran,0.0002822633582775371
verflog,1.9692792437967703e-05
tag,0.0005382696599711172
wesentlich,1.3128528291978469e-05
freundlicher,1.3128528291978469e-05
beginn,6.564264145989234e-06
schule,0.0003019561507155048
schienen,8.533543389786005e-05
informationen,7.877116975187081e-05
gespräch,0.00024287777340160167
gefallen,0.00013784954706577392
schaute,0.0003216489431534725
großen,0.0005054483392411711
stummen,6.564264145989234e-06
beobachter,1.9692792437967703e-05
tür,0.0007614546409347512
haarigen,6.564264145989234e-06
kopf,0.0005776552448470526
langsam,0.00027569909413154784
stimmt,7.220690560588158e-05
damals,0.00011815675462780622
total,4.594984902192464e-05
verrußt,6.564264145989234e-06
rausgeholt,6.564264145989234e-06
schien,0.0005054483392411711
nachricht,0.00012472101877379545
freier,1.3128528291978469e-05
atmen,3.282132072994617e-05
freiwillig,2.6257056583956937e-05
rumging,6.564264145989234e-06
zeigte,0.00016410660364973086
geste,5.2514113167913875e-05
kette,3.282132072994617e-05
moment,0.0005710909807010634
zurück,0.0009189969804384928
rauschte,5.2514113167913875e-05
stürmte,5.907837731390311e-05
erhob,0.00014441381121176316
verließ,0.00017723513194170933
relativ,3.282132072994617e-05
unbemerkt,2.6257056583956937e-05
berichtet,5.907837731390311e-05
päckchen,1.3128528291978469e-05
unbeschriftet,6.564264145989234e-06
miss,0.0002625705658395694
verlauten,6.564264145989234e-06
ließ,0.0007483261126427727
geschenk,3.9385584875935406e-05
sei,0.00025600630169358014
heilerin,2.6257056583956937e-05
hogwarts,0.0010699750557962451
tumbe,6.564264145989234e-06
halbriese,1.3128528291978469e-05
ebenfalls,0.00029539188656951555
anwesend,7.877116975187081e-05
sprüche,2.6257056583956937e-05
anwandte,6.564264145989234e-06
außerdem,0.00010502822633582775
benehmen,1.3128528291978469e-05
unberechenbar,6.564264145989234e-06
komisch,4.594984902192464e-05
stellvertreterin,6.564264145989234e-06
geblieben,9.846396218983852e-05
kalt,4.594984902192464e-05
verklärt,6.564264145989234e-06
gedanken,0.0003610345280294079
getan,0.00020349218852566627
oh,0.0002625705658395694
fällt,1.9692792437967703e-05
paar,0.0004791912826572141
gryffindors,0.00024287777340160167
wollten,0.0002100564526716555
heute,0.00031508467900748325
gang,7.220690560588158e-05
reden,0.00035447026388341866
beobachten,1.9692792437967703e-05
sahen,0.00033477747144545095
fische,6.564264145989234e-06
trockenen,1.3128528291978469e-05
solltest,0.00011815675462780622
aufpassen,3.282132072994617e-05
schönste,1.9692792437967703e-05
name,0.00011159249048181698
fiel,0.0002494420375475909
ungehalten,2.6257056583956937e-05
kleinen,0.00031508467900748325
petzen,6.564264145989234e-06
weitersprechen,6.564264145989234e-06
konnten,0.0002100564526716555
misstrauisch,4.594984902192464e-05
erfreulich,6.564264145989234e-06
sehen,0.0006629906787449127
zauber,0.00021662071681764473
wirkt,2.6257056583956937e-05
verdammt,4.594984902192464e-05
hasse,6.564264145989234e-06
tratscherei,6.564264145989234e-06
fragte,0.0009124327162925036
gefährlich,4.594984902192464e-05
abwägend,6.564264145989234e-06
arme,0.00011815675462780622
verschränkt,1.3128528291978469e-05
zugeben,0.00010502822633582775
abwehrend,1.3128528291978469e-05
wirken,3.9385584875935406e-05
gut,0.0008599186031245898
drauf,5.907837731390311e-05
hoben,1.9692792437967703e-05
augenbrauen,8.533543389786005e-05
skeptisch,5.2514113167913875e-05
professorin,0.00019692792437967703
stirnfalten,6.564264145989234e-06
umwölkten,6.564264145989234e-06
gegenfrage,6.564264145989234e-06
trat,0.0003807273204673756
bisher,3.9385584875935406e-05
schweigend,3.282132072994617e-05
aufmerksam,7.220690560588158e-05
zugehört,1.3128528291978469e-05
zweien,6.564264145989234e-06
bevor,0.0007877116975187081
sagen,0.0007351975843507942
bemerkbar,6.564264145989234e-06
konnte,0.0014769594328475778
fuhr,0.0001903636602336878
schrillem,6.564264145989234e-06
aufgebrachten,6.564264145989234e-06
ton,3.9385584875935406e-05
antworten,9.189969804384928e-05
stellen,5.907837731390311e-05
fragen,0.00025600630169358014
schrillte,6.564264145989234e-06
stimme,0.0006958119994748588
echo,1.3128528291978469e-05
getragen,4.594984902192464e-05
schimpfen,1.9692792437967703e-05
vernichtenden,1.3128528291978469e-05
harten,1.9692792437967703e-05
warf,0.00025600630169358014
haar,9.189969804384928e-05
schwungvoll,1.3128528291978469e-05
nacken,2.6257056583956937e-05
ging,0.0010305894709203098
schimpftirade,1.3128528291978469e-05
schmerzenden,6.564264145989234e-06
po,6.564264145989234e-06
vorbei,0.00020349218852566627
kannte,0.00014441381121176316
furcht,1.3128528291978469e-05
erregten,6.564264145989234e-06
gerade,0.0009977681501903636
unbeugsam,6.564264145989234e-06
loslegen,6.564264145989234e-06
lag,0.00021662071681764473
anmutendes,6.564264145989234e-06
glitzern,1.3128528291978469e-05
augen,0.0009912038860443743
besorgt,0.0001706708677957201
toleranzgrenze,6.564264145989234e-06
wirklich,0.000840225810686622
eher,0.0001706708677957201
gering,6.564264145989234e-06
erkennen,0.0001312852829197847
kurz,0.0007483261126427727
davor,7.220690560588158e-05
explodieren,6.564264145989234e-06
unterbrach,0.00020349218852566627
situation,0.00015754233950374162
wohl,0.0006039123014310096
ähnlich,5.907837731390311e-05
explosiv,6.564264145989234e-06
einschätzte,6.564264145989234e-06
lehrerin,0.00014441381121176316
herrisch,6.564264145989234e-06
oben,0.0001312852829197847
herab,2.6257056583956937e-05
anging,1.9692792437967703e-05
anfahren,6.564264145989234e-06
klar,0.0002297492451096232
lassen,0.0004726270185112249
längst,1.3128528291978469e-05
gefangen,5.2514113167913875e-05
kalte,1.9692792437967703e-05
eisklotz,6.564264145989234e-06
mehr,0.0012209531311539977
durchdrang,6.564264145989234e-06
legte,0.00027569909413154784
gleichmut,6.564264145989234e-06
hand,0.0006695549428909019
vertraulich,6.564264145989234e-06
wandte,0.0003413417355914402
freundlich,8.533543389786005e-05
gewissen,4.594984902192464e-05
arroganz,6.564264145989234e-06
eindeutig,9.189969804384928e-05
gelernt,3.9385584875935406e-05
verdutze,6.564264145989234e-06
gerechnet,5.2514113167913875e-05
abgekanzelt,6.564264145989234e-06
entschuldigen,0.00011159249048181698
sicher,0.0005382696599711172
unterricht,0.0003675987921753971
verpassen,1.3128528291978469e-05
ließen,9.846396218983852e-05
sprachlose,6.564264145989234e-06
hauslehrerin,0.00024287777340160167
stehen,0.00029539188656951555
machte,0.0005973480372850204
verhindert,6.564264145989234e-06
luft,0.00018379939608769856
stimmung,4.594984902192464e-05
schlecht,0.00012472101877379545
hätte,0.0007811474333727189
wahrscheinlich,0.00015754233950374162
größere,2.6257056583956937e-05
geschütze,6.564264145989234e-06
aufgefahren,6.564264145989234e-06
fest,0.00027569909413154784
lippe,2.6257056583956937e-05
gebissen,1.9692792437967703e-05
worte,0.00022318498096363397
finden,0.00018379939608769856
weniger,9.846396218983852e-05
höflich,3.9385584875935406e-05
hervorgebracht,6.564264145989234e-06
ergab,6.564264145989234e-06
gehässigkeit,1.3128528291978469e-05
genoss,5.907837731390311e-05
leidenden,6.564264145989234e-06
anblick,6.564264145989234e-05
weidlich,6.564264145989234e-06
ausschweifenden,6.564264145989234e-06
phantasie,6.564264145989234e-06
danke,0.00020349218852566627
grenzen,1.9692792437967703e-05
gesetzt,7.877116975187081e-05
erwache,6.564264145989234e-06
erneut,0.0001509780753577524
trance,1.3128528291978469e-05
auffiel,1.3128528291978469e-05
halle,0.0007680189050807405
disput,1.3128528291978469e-05
einsetzte,6.564264145989234e-06
biest,1.3128528291978469e-05
lautstrak,6.564264145989234e-06
aneinander,1.3128528291978469e-05
schlussstrich,6.564264145989234e-06
lautstark,1.9692792437967703e-05
leid,0.00012472101877379545
klagte,6.564264145989234e-06
zielstrebig,2.6257056583956937e-05
lieblingsthema,6.564264145989234e-06
problemen,1.3128528291978469e-05
entglitten,6.564264145989234e-06
hingegen,3.282132072994617e-05
warfen,1.9692792437967703e-05
professoren,0.00015754233950374162
einheitlich,6.564264145989234e-06
durchweg,6.564264145989234e-06
glänzende,6.564264145989234e-06
leistungen,3.282132072994617e-05
zeigten,4.594984902192464e-05
erstaunlich,5.2514113167913875e-05
bedachte,1.9692792437967703e-05
grotten,6.564264145989234e-06
wiesel,1.9692792437967703e-05
positive,6.564264145989234e-06
lernentwicklung,6.564264145989234e-06
dramatisch,1.3128528291978469e-05
wissen,0.0005185768675331496
menschen,0.0001312852829197847
besser,0.0003282132072994617
seelenheil,6.564264145989234e-06
gefahr,5.2514113167913875e-05
geriet,1.3128528291978469e-05
albträume,1.3128528291978469e-05
leider,0.00011815675462780622
riss,0.00011159249048181698
teil,0.00017723513194170933
sinnlichen,6.564264145989234e-06
unangebrachten,6.564264145989234e-06
loskeifte,6.564264145989234e-06
geht,0.0003216489431534725
weit,0.00014441381121176316
terrorisiert,6.564264145989234e-06
kinder,0.0001706708677957201
gar,0.00041354864119732177
glücklich,0.00010502822633582775
wirft,3.9385584875935406e-05
verbotenerweise,1.3128528291978469e-05
bänne,6.564264145989234e-06
glaube,0.0002297492451096232
versucht,0.0001903636602336878
brechen,2.6257056583956937e-05
na,0.00014441381121176316
glück,0.00012472101877379545
großes,5.2514113167913875e-05
vertrauen,5.907837731390311e-05
magischen,5.907837731390311e-05
qualitäten,6.564264145989234e-06
biestes,6.564264145989234e-06
absolut,0.00010502822633582775
veränderung,1.9692792437967703e-05
jungs,0.00010502822633582775
verantworten,6.564264145989234e-06
präsentiert,1.9692792437967703e-05
unhöflich,1.9692792437967703e-05
hellblauen,1.3128528291978469e-05
durchbohren,6.564264145989234e-06
blicke,0.00012472101877379545
trafen,0.00011159249048181698
dachte,0.0003479059997374294
mauer,2.6257056583956937e-05
undurchdringlich,6.564264145989234e-06
wacker,6.564264145989234e-06
angriff,7.877116975187081e-05
standhielt,6.564264145989234e-06
verkniff,1.3128528291978469e-05
schwer,0.00015754233950374162
zynisches,1.3128528291978469e-05
schnauben,3.282132072994617e-05
taxierenden,6.564264145989234e-06
brille,9.189969804384928e-05
sowie,0.0001903636602336878
bohrenden,6.564264145989234e-06
augenkontakt,6.564264145989234e-06
versuchte,0.00038729158461336483
vorsichtig,8.533543389786005e-05
bösartigen,6.564264145989234e-06
blicks,6.564264145989234e-06
ansichtig,1.3128528291978469e-05
ebenso,0.0001312852829197847
unsicher,2.6257056583956937e-05
weiß,0.00048575554680320334
mal,0.001148746225548116
gesagt,0.0004594984902192464
beisein,1.3128528291978469e-05
werten,6.564264145989234e-06
magische,6.564264145989234e-05
versprechen,8.533543389786005e-05
abgerungen,6.564264145989234e-06
allein,0.00015754233950374162
aufenthaltsort,1.3128528291978469e-05
bestimmen,6.564264145989234e-06
niemand,0.00017723513194170933
sorgen,0.00018379939608769856
blutschutz,1.3128528291978469e-05
fidelius,1.3128528291978469e-05
viele,0.0002822633582775371
schützende,1.3128528291978469e-05
versteck,1.3128528291978469e-05
liegen,3.9385584875935406e-05
schiefen,6.564264145989234e-06
mund,0.0002625705658395694
dünnen,2.6257056583956937e-05
wütenden,4.594984902192464e-05
strich,8.533543389786005e-05
weasleys,0.00017723513194170933
fertig,0.00020349218852566627
ärgerlich,1.3128528291978469e-05
sage,7.220690560588158e-05
familie,0.00014441381121176316
dursley,6.564264145989234e-06
geeignet,1.3128528291978469e-05
ansah,8.533543389786005e-05
aufzunehmen,1.3128528291978469e-05
umstimmten,6.564264145989234e-06
lernen,9.189969804384928e-05
sprachrohr,6.564264145989234e-06
fantasierte,6.564264145989234e-06
log,6.564264145989234e-06
namen,0.0001903636602336878
dreien,2.6257056583956937e-05
madame,0.00015754233950374162
vogel,1.9692792437967703e-05
mochte,7.877116975187081e-05
lasst,5.907837731390311e-05
beruhte,1.3128528291978469e-05
wirkten,3.282132072994617e-05
konsterniert,6.564264145989234e-06
überrascht,0.00027569909413154784
piekste,6.564264145989234e-06
unauffällig,3.9385584875935406e-05
rücken,0.0001312852829197847
feinsinnige,6.564264145989234e-06
verseuchtes,6.564264145989234e-06
nekromantisches,6.564264145989234e-06
blut,7.220690560588158e-05
riechen,6.564264145989234e-06
kontrolle,7.220690560588158e-05
nagelten,6.564264145989234e-06
hart,4.594984902192464e-05
visier,2.6257056583956937e-05
nahm,0.0005382696599711172
durchaus,5.907837731390311e-05
harsch,1.3128528291978469e-05
gegangen,0.00019692792437967703
schoss,7.220690560588158e-05
übergangslos,6.564264145989234e-06
übertünchte,6.564264145989234e-06
zweifel,3.282132072994617e-05
gegenüber,0.00021662071681764473
genauso,0.00023631350925561244
geschockt,9.846396218983852e-05
kenntnis,5.2514113167913875e-05
blieb,0.0002625705658395694
ruhig,0.00018379939608769856
erwiderte,0.0003216489431534725
sezierenden,6.564264145989234e-06
stoisch,1.3128528291978469e-05
verzogen,2.6257056583956937e-05
gesichter,8.533543389786005e-05
fratzen,6.564264145989234e-06
überhebliches,6.564264145989234e-06
spöttisches,6.564264145989234e-06
grinsen,0.00021662071681764473
darüber,0.00039385584875935406
mühten,6.564264145989234e-06
idioten,1.3128528291978469e-05
erscheinen,3.9385584875935406e-05
hielten,5.907837731390311e-05
bewusst,0.00013784954706577392
hintergrund,3.282132072994617e-05
fast,0.0003413417355914402
beobachteten,3.9385584875935406e-05
grauen,3.282132072994617e-05
lachen,0.00016410660364973086
belustigung,1.3128528291978469e-05
zumindest,0.00015754233950374162
verstecken,3.282132072994617e-05
entwürdigendes,6.564264145989234e-06
schauspielt,6.564264145989234e-06
urkomisch,6.564264145989234e-06
chaotischen,6.564264145989234e-06
theater,1.9692792437967703e-05
reihen,4.594984902192464e-05
überdeutlich,6.564264145989234e-06
intensiv,1.9692792437967703e-05
zeigen,9.846396218983852e-05
ehrgeiz,6.564264145989234e-06
tat,0.0002494420375475909
versagen,1.3128528291978469e-05
abkaufen,6.564264145989234e-06
wichtigste,6.564264145989234e-06
darauf,0.0005251411316791387
achtete,1.9692792437967703e-05
krach,1.3128528291978469e-05
hierzu,6.564264145989234e-06
schriftliche,6.564264145989234e-06
entschuldigung,4.594984902192464e-05
vorgelegt,6.564264145989234e-06
interessiert,9.189969804384928e-05
schließlich,0.00045293422607325717
geschehen,0.00011159249048181698
erst,0.0004923198109491926
ruhe,0.00016410660364973086
verdauen,6.564264145989234e-06
