term,relative_frequency
rache,2.576356773886048e-05
paten,5.152713547772096e-05
genommen,0.00015458140643316286
stell,2.576356773886048e-05
denke,0.00021899032578031406
immer,0.0016488683352870706
befindlichkeiten,1.288178386943024e-05
hob,0.00025763567738860477
skeptisch,2.576356773886048e-05
augenbraue,6.440891934715119e-05
zuckte,0.0001932267580414536
schultern,0.0001674631903025931
sah,0.0030014556415772454
augenwickeln,1.288178386943024e-05
respektvolles,1.288178386943024e-05
kopfneigen,1.288178386943024e-05
schenkte,3.8645351608290714e-05
schien,0.0003864535160829072
gerade,0.0010434244934238493
gegenüber,0.00021899032578031406
verhielt,2.576356773886048e-05
durchaus,5.152713547772096e-05
akzeptabel,1.288178386943024e-05
riesig,2.576356773886048e-05
interessiert,5.152713547772096e-05
wissen,0.0003864535160829072
zeigte,0.0002962810289968955
recht,0.000322044596735756
klar,0.00018034497417202333
armer,1.288178386943024e-05
witwer,1.288178386943024e-05
dastehen,1.288178386943024e-05
denken,9.017248708601166e-05
deatheater,1.288178386943024e-05
hätten,0.00014169962256373262
gewissen,7.729070321658143e-05
dark,3.8645351608290714e-05
mark,1.288178386943024e-05
somit,7.729070321658143e-05
öffentlichkeit,2.576356773886048e-05
seiten,5.152713547772096e-05
guten,0.0001674631903025931
ministeriums,7.729070321658143e-05
steht,0.0001932267580414536
sagte,0.0021641396900642803
viele,0.0002447538935191745
menschen,0.0001674631903025931
schon,0.002061085419108838
erklärte,0.0003091628128663257
eingeständnis,1.288178386943024e-05
wirklich,0.0008759613031212563
fand,0.00015458140643316286
detaillierter,1.288178386943024e-05
erklärt,7.729070321658143e-05
augen,0.0009918973579461283
schwieg,3.8645351608290714e-05
erstmal,0.000322044596735756
gehörte,7.729070321658143e-05
verarbeiten,1.288178386943024e-05
nickte,0.001133596980509861
begann,0.00028339924512746524
zauber,0.00021899032578031406
legte,0.0005410349225160701
zauberstab,0.00041221708382176766
ehering,2.576356773886048e-05
sprach,0.0004766260031689188
bindung,2.576356773886048e-05
luise,1.288178386943024e-05
geb,0.00010305427095544191
black,0.0006827345450798026
luzius,2.576356773886048e-05
amalius,1.288178386943024e-05
eingegangen,1.288178386943024e-05
wurde,0.0014685233611150472
gelösst,1.288178386943024e-05
ring,3.8645351608290714e-05
löste,0.00014169962256373262
strahlte,7.729070321658143e-05
problemnun,1.288178386943024e-05
drehte,0.00020610854191088383
hör,2.576356773886048e-05
mal,0.0013010601708124542
großes,0.00010305427095544191
problem,6.440891934715119e-05
heute,0.00043798065156062813
morgen,0.0006698527612103724
wunsch,5.152713547772096e-05
ehe,0.0005539167063855002
gelöst,3.8645351608290714e-05
zeit,0.0007084981128186632
durchbrach,3.8645351608290714e-05
stille,7.729070321658143e-05
fragte,0.0007600252482963841
engelchen,1.288178386943024e-05
sagtest,1.288178386943024e-05
hättest,5.152713547772096e-05
idee,0.0001674631903025931
herausbringt,1.288178386943024e-05
tante,0.00027051746125803503
öffnete,6.440891934715119e-05
meinte,0.0003735717322134769
ganz,0.0007084981128186632
einfach,0.0008373159515129655
eigentlich,0.00045086243543005834
schließlich,0.000489507787038349
schwester,0.0003349263806051862
wohnt,2.576356773886048e-05
vielleicht,0.0005023895709077793
ahnung,6.440891934715119e-05
hingebracht,2.576356773886048e-05
gibt,0.0001932267580414536
gewissheit,3.8645351608290714e-05
VOLDEMORT,0.0011207151966404307
tatsächlich,0.0002447538935191745
abgeschworen,1.288178386943024e-05
gab,0.0005667984902549305
zumindest,0.00018034497417202333
hinsicht,2.576356773886048e-05
einigermaßen,3.8645351608290714e-05
vertrauenswürdig,1.288178386943024e-05
erscheinen,3.8645351608290714e-05
wäre,0.0007084981128186632
ungnade,1.288178386943024e-05
gefallen,0.00014169962256373262
trotzdem,0.00010305427095544191
verraten,9.017248708601166e-05
gestellt,0.00011593605482487215
gekämpft,3.8645351608290714e-05
kampf,0.00010305427095544191
geflohen,2.576356773886048e-05
freiwillig,5.152713547772096e-05
ausgeliefert,3.8645351608290714e-05
wichtigeres,1.288178386943024e-05
brach,0.00011593605482487215
ab,0.0006698527612103724
fragend,0.00015458140643316286
kleine,0.00036068994834404666
gefährlich,3.8645351608290714e-05
wusste,0.0009274884385989772
weitersprechen,1.288178386943024e-05
seele,2.576356773886048e-05
reden,0.0002318721096497443
seit,0.0001932267580414536
wochen,9.017248708601166e-05
eigenen,0.00018034497417202333
haus,0.0005281531386466398
gefangen,7.729070321658143e-05
immens,1.288178386943024e-05
verleugnete,1.288178386943024e-05
damals,0.00025763567738860477
wald,0.00010305427095544191
kurz,0.0007729070321658144
nachdem,0.00045086243543005834
verschwunden,0.00014169962256373262
schüttelte,0.00028339924512746524
lachend,7.729070321658143e-05
kopf,0.0008888430869906865
blick,0.0008759613031212563
einzigen,5.152713547772096e-05
moment,0.0003864535160829072
lang,0.00011593605482487215
schwach,6.440891934715119e-05
fuhr,0.0001674631903025931
fort,7.729070321658143e-05
hätte,0.0007986705999046748
verleugnet,1.288178386943024e-05
zaubererwelt,2.576356773886048e-05
wahrscheinlichkeit,2.576356773886048e-05
herrschaft,1.288178386943024e-05
dunklen,0.0002447538935191745
lords,7.729070321658143e-05
stehen,0.00036068994834404666
erzählte,0.00011593605482487215
ereignissen,3.8645351608290714e-05
verbotenen,3.8645351608290714e-05
nacht,0.0001932267580414536
letzte,0.00011593605482487215
leben,0.000644089193471512
anfang,6.440891934715119e-05
neuen,0.00021899032578031406
lebens,3.8645351608290714e-05
geworden,0.00014169962256373262
weiteren,0.00015458140643316286
plopp,3.8645351608290714e-05
verschwanden,3.8645351608290714e-05
gingen,0.0001932267580414536
cat,1.288178386943024e-05
hinaus,5.152713547772096e-05
eltern,0.00036068994834404666
sagten,2.576356773886048e-05
ort,3.8645351608290714e-05
entdeckt,7.729070321658143e-05
wasser,0.00015458140643316286
gespielt,6.440891934715119e-05
glück,0.00015458140643316286
tag,0.00042509886769119787
geburtstag,0.00010305427095544191
erste,0.0002318721096497443
hausaufgaben,2.576356773886048e-05
machte,0.0003735717322134769
üben,2.576356773886048e-05
fiel,0.00012881783869430239
erschöpft,2.576356773886048e-05
weiches,1.288178386943024e-05
himmelbett,2.576356773886048e-05
schlief,7.729070321658143e-05
essen,0.0003993352999523374
nächsten,0.0005023895709077793
siebten,1.288178386943024e-05
übernahm,3.8645351608290714e-05
lord,0.0003091628128663257
wann,5.152713547772096e-05
konnte,0.0017132772546342217
persönlich,6.440891934715119e-05
unterricht,5.152713547772096e-05
sohnes,0.0001674631903025931
duellieren,1.288178386943024e-05
brachte,0.00027051746125803503
schwarze,7.729070321658143e-05
magie,0.00012881783869430239
ging,0.0011464787643792912
fast,0.00034780816447461645
schloss,0.00021899032578031406
hügel,3.8645351608290714e-05
