term,relative_frequency
tadellos,5.674402769108551e-05
edel,5.674402769108551e-05
gekleidet,5.674402769108551e-05
standen,0.00034046416614651306
style,5.674402769108551e-05
wisperten,0.00011348805538217103
sahen,0.00028372013845542757
gerade,0.0007376723599841116
inbrünstig,5.674402769108551e-05
quatschte,5.674402769108551e-05
erzählt,0.00028372013845542757
beobachtet,5.674402769108551e-05
näher,0.00011348805538217103
gekommen,0.00017023208307325653
ging,0.0008511604153662827
stückweit,5.674402769108551e-05
davon,0.0006809283322930261
thema,0.00011348805538217103
zwillingen,0.00011348805538217103
momentan,5.674402769108551e-05
verbohrten,5.674402769108551e-05
blick,0.0010213924984395393
drehte,0.00028372013845542757
schwester,0.0006241843046019406
endgültig,0.00017023208307325653
brüsk,0.00011348805538217103
rücken,0.00034046416614651306
zog,0.00028372013845542757
eingeschnappt,5.674402769108551e-05
zurück,0.00028372013845542757
sehen,0.0007376723599841116
durfte,0.00022697611076434205
angebeteten,5.674402769108551e-05
scheuen,5.674402769108551e-05
kleinen,0.00034046416614651306
augen,0.0006809283322930261
schenkte,5.674402769108551e-05
scheu,0.00011348805538217103
kenntnis,0.00011348805538217103
nahm,0.0005674402769108551
errötend,5.674402769108551e-05
abwandte,5.674402769108551e-05
spanend,5.674402769108551e-05
party,0.00011348805538217103
angerichtete,5.674402769108551e-05
freundlich,5.674402769108551e-05
unterrichten,0.00011348805538217103
weihnachten,0.00011348805538217103
schule,0.00028372013845542757
wäre,0.0008511604153662827
mehr,0.0012483686092038813
aufmerksamkeit,0.00011348805538217103
schenken,0.00011348805538217103
führte,0.00022697611076434205
wirklich,0.0013618566645860523
angst,0.00028372013845542757
bekam,0.00017023208307325653
zähne,0.00011348805538217103
abbrechen,5.674402769108551e-05
knirschte,5.674402769108551e-05
durften,0.00011348805538217103
beobachten,5.674402769108551e-05
meisten,0.0003972081938375986
lehrer,5.674402769108551e-05
undefinierbaren,5.674402769108551e-05
ausdruck,0.00017023208307325653
trio,0.00022697611076434205
ruhte,5.674402769108551e-05
intelligent,5.674402769108551e-05
wissen,0.0004539522215286841
gar,0.0007376723599841116
zusagte,5.674402769108551e-05
schloss,0.0003972081938375986
verlassen,0.00028372013845542757
persona,5.674402769108551e-05
non,5.674402769108551e-05
grata,5.674402769108551e-05
wohl,0.0004539522215286841
endlich,0.00017023208307325653
geschafft,0.00022697611076434205
kollegium,5.674402769108551e-05
heißen,5.674402769108551e-05
ebenfalls,0.00034046416614651306
großen,0.00028372013845542757
portion,5.674402769108551e-05
sarkasmus,5.674402769108551e-05
verkündet,5.674402769108551e-05
frühstück,0.0009079044430573682
erhoben,5.674402769108551e-05
zweifelnden,5.674402769108551e-05
misstrauischen,5.674402769108551e-05
blicken,5.674402769108551e-05
steuerten,5.674402769108551e-05
erschreckend,5.674402769108551e-05
wenig,0.0003972081938375986
mitschülern,5.674402769108551e-05
ausgängen,5.674402769108551e-05
kutschen,0.00017023208307325653
steigen,5.674402769108551e-05
offensichtlich,0.00028372013845542757
ließen,0.00022697611076434205
viele,0.00028372013845542757
eltern,0.00022697611076434205
kinder,5.674402769108551e-05
kriegerischen,5.674402769108551e-05
zeit,0.0007944163876751972
hogwarts,0.0007376723599841116
sicherheit,5.674402769108551e-05
reinblütigen,0.00011348805538217103
strömten,5.674402769108551e-05
gewohnt,5.674402769108551e-05
schweigend,5.674402769108551e-05
zug,0.00022697611076434205
saßen,0.0008511604153662827
dachte,0.0005674402769108551
zurückgebliebenen,5.674402769108551e-05
seifenblase,5.674402769108551e-05
lebten,5.674402769108551e-05
ahnung,5.674402769108551e-05
gut,0.0010213924984395393
erzählte,0.0003972081938375986
patils,0.00011348805538217103
sorge,0.00017023208307325653
ahnte,5.674402769108551e-05
vermutete,5.674402769108551e-05
kurz,0.0008511604153662827
ließ,0.0006809283322930261
langen,0.00028372013845542757
schweigens,5.674402769108551e-05
rasselnden,5.674402769108551e-05
atem,5.674402769108551e-05
totenstillen,5.674402769108551e-05
abteil,0.00028372013845542757
hören,0.00028372013845542757
konnte,0.0012483686092038813
sprach,0.00034046416614651306
erster,0.00011348805538217103
stellte,0.00022697611076434205
flott,5.674402769108551e-05
schultern,5.674402769108551e-05
zuckte,5.674402769108551e-05
somit,0.00011348805538217103
teilten,0.00011348805538217103
gruppen,0.00011348805538217103
raum,0.0007944163876751972
änderte,5.674402769108551e-05
jeweiligen,5.674402769108551e-05
bedürfnisse,5.674402769108551e-05
fünferteams,5.674402769108551e-05
recht,0.0007376723599841116
veränderten,5.674402769108551e-05
verschwanden,5.674402769108551e-05
zusammen,0.0015320887476593088
massiven,5.674402769108551e-05
steinwand,5.674402769108551e-05
bösen,5.674402769108551e-05
schwarzmagischen,5.674402769108551e-05
sprüchen,5.674402769108551e-05
schützten,5.674402769108551e-05
denke,0.0007944163876751972
beim,0.0005106962492197696
ersten,0.0003972081938375986
training,0.00011348805538217103
drannehmen,5.674402769108551e-05
erst,0.00034046416614651306
spielerische,5.674402769108551e-05
winkte,5.674402769108551e-05
ecke,5.674402769108551e-05
dicken,5.674402769108551e-05
matten,5.674402769108551e-05
ausstaffiert,5.674402769108551e-05
deren,5.674402769108551e-05
wänden,0.00011348805538217103
hilfsmittel,5.674402769108551e-05
hingen,0.00011348805538217103
verteufelte,5.674402769108551e-05
bo,5.674402769108551e-05
stecken,5.674402769108551e-05
nie,0.00034046416614651306
lieben,5.674402769108551e-05
klar,0.00022697611076434205
aufgeregt,0.00017023208307325653
fast,0.0006241843046019406
aufgekratzt,5.674402769108551e-05
gruppe,0.0005674402769108551
wirkten,0.00028372013845542757
willig,5.674402769108551e-05
erschöpfte,5.674402769108551e-05
nieder,0.00011348805538217103
schien,0.0008511604153662827
froh,0.0003972081938375986
sitzen,0.00011348805538217103
team,0.0004539522215286841
strebte,5.674402769108551e-05
angeführt,0.00011348805538217103
frohgemut,5.674402769108551e-05
eilte,0.00011348805538217103
dabei,0.0006809283322930261
wirkte,0.00017023208307325653
wies,5.674402769108551e-05
weniger,0.0003972081938375986
rede,5.674402769108551e-05
ministerium,0.00017023208307325653
erzählen,0.00034046416614651306
kingswear,0.00011348805538217103
erfuhr,5.674402769108551e-05
flucht,0.00017023208307325653
erlebt,0.00011348805538217103
gesehen,0.00028372013845542757
erkannte,0.00017023208307325653
pech,5.674402769108551e-05
gehabt,0.00017023208307325653
lestranges,5.674402769108551e-05
laufen,5.674402769108551e-05
zogen,0.00017023208307325653
blutig,5.674402769108551e-05
mordend,5.674402769108551e-05
skrupel,0.00011348805538217103
auftrag,5.674402769108551e-05
grausames,5.674402769108551e-05
abend,0.00022697611076434205
schillerndsten,5.674402769108551e-05
buntesten,5.674402769108551e-05
ureigenste,5.674402769108551e-05
schmückte,5.674402769108551e-05
großzügig,5.674402769108551e-05
tisch,0.0006241843046019406
fallen,0.00011348805538217103
zeigte,0.0003972081938375986
erzählung,0.00011348805538217103
große,0.00034046416614651306
lücken,5.674402769108551e-05
finden,0.00022697611076434205
eindrucks,5.674402769108551e-05
erwehren,5.674402769108551e-05
kam,0.0009646484707484537
ließe,5.674402769108551e-05
sekunde,0.00011348805538217103
weder,0.00017023208307325653
schwarzen,0.00011348805538217103
magie,5.674402769108551e-05
gegenüber,0.00028372013845542757
sagte,0.004709754298360098
galt,0.00011348805538217103
creeveybrüder,5.674402769108551e-05
hehres,5.674402769108551e-05
gesetzt,5.674402769108551e-05
zeigten,0.00011348805538217103
erstaunlich,0.00028372013845542757
kämpferisch,5.674402769108551e-05
passend,5.674402769108551e-05
gewählt,0.00011348805538217103
weigerten,5.674402769108551e-05
gehen,0.0007376723599841116
wollten,0.00034046416614651306
letzten,0.00022697611076434205
turn,5.674402769108551e-05
meinten,0.00011348805538217103
morgen,0.0010213924984395393
eh,0.00011348805538217103
sontag,5.674402769108551e-05
dank,0.00022697611076434205
karte,0.00028372013845542757
schon,0.0010213924984395393
schaffen,5.674402769108551e-05
später,0.0006241843046019406
stunde,0.0006809283322930261
unentdeckt,5.674402769108551e-05
schleichen,5.674402769108551e-05
ehrlich,5.674402769108551e-05
entkommen,5.674402769108551e-05
konnten,0.0003972081938375986
sollten,0.0005674402769108551
detaheatern,5.674402769108551e-05
kamen,0.00017023208307325653
bitte,0.0004539522215286841
machten,0.00028372013845542757
erhob,5.674402769108551e-05
erholt,5.674402769108551e-05
zugingen,5.674402769108551e-05
zaghaft,0.00011348805538217103
einschlug,5.674402769108551e-05
gefordert,5.674402769108551e-05
aussah,5.674402769108551e-05
beendete,5.674402769108551e-05
erste,0.00022697611076434205
klatscht,5.674402769108551e-05
auffordernd,0.00011348805538217103
begannen,5.674402769108551e-05
müde,0.00017023208307325653
kaputt,5.674402769108551e-05
anstrengenden,5.674402769108551e-05
stunden,0.00028372013845542757
aufgrund,0.00022697611076434205
nächtlichen,5.674402769108551e-05
sachen,0.00011348805538217103
packen,5.674402769108551e-05
umhänge,5.674402769108551e-05
umzulegen,5.674402769108551e-05
vorne,0.00011348805538217103
trat,0.00017023208307325653
überlegend,5.674402769108551e-05
fest,0.00011348805538217103
habend,5.674402769108551e-05
hätte,0.0007944163876751972
naja,5.674402769108551e-05
überlegen,0.00011348805538217103
schließlich,0.00011348805538217103
überraschend,0.00011348805538217103
regelrecht,5.674402769108551e-05
erschüttert,5.674402769108551e-05
wandte,0.00011348805538217103
leitet,5.674402769108551e-05
haltet,5.674402769108551e-05
vorschlag,0.00017023208307325653
frage,0.0003972081938375986
besonders,0.00028372013845542757
teamchefs,5.674402769108551e-05
schweigen,0.00011348805538217103
breitete,5.674402769108551e-05
brust,0.00011348805538217103
verschränkten,5.674402769108551e-05
armen,0.00022697611076434205
weiß,0.00028372013845542757
finde,0.00011348805538217103
idee,0.00017023208307325653
immer,0.0011916245815127959
padama,5.674402769108551e-05
nickte,0.0003972081938375986
traurig,0.00011348805538217103
bevor,0.0009646484707484537
sagen,0.0007944163876751972
schaltete,5.674402769108551e-05
selbstsicher,5.674402769108551e-05
lachen,0.00011348805538217103
fragte,0.0015888327753503944
spielten,0.00017023208307325653
doppeltes,5.674402769108551e-05
spielich,5.674402769108551e-05
überlegte,5.674402769108551e-05
arme,0.00017023208307325653
verschränkte,5.674402769108551e-05
leise,0.00034046416614651306
ganz,0.0004539522215286841
passte,0.00011348805538217103
slytherins,0.0006241843046019406
böse,0.00011348805538217103
deatheater,0.00017023208307325653
verteidigen,5.674402769108551e-05
denkt,5.674402769108551e-05
astoria,0.00022697611076434205
wären,0.00011348805538217103
wehrlos,5.674402769108551e-05
entscheidung,5.674402769108551e-05
unruhig,5.674402769108551e-05
warteten,0.00028372013845542757
behielt,5.674402769108551e-05
belauschte,5.674402769108551e-05
laut,0.00017023208307325653
versuchen,0.00028372013845542757
gemacht,0.00022697611076434205
hast,0.0005674402769108551
solltest,0.00028372013845542757
organisieren,5.674402769108551e-05
veranlasste,5.674402769108551e-05
fragen,0.00022697611076434205
warum,0.0005674402769108551
gryffindor,0.0008511604153662827
gelandet,5.674402769108551e-05
mut,5.674402769108551e-05
schritt,0.00011348805538217103
getan,0.0003972081938375986
kindheit,5.674402769108551e-05
gelassen,5.674402769108551e-05
sah,0.0016455768030414798
tatsachen,5.674402769108551e-05
nackte,5.674402769108551e-05
hässliche,5.674402769108551e-05
antlitz,5.674402769108551e-05
vorzog,5.674402769108551e-05
eigene,0.00011348805538217103
kleine,0.00017023208307325653
heile,5.674402769108551e-05
scheinwelt,5.674402769108551e-05
flüchten,5.674402769108551e-05
tun,0.0006809283322930261
bisher,0.00011348805538217103
hellblauen,5.674402769108551e-05
durchbohren,5.674402769108551e-05
blicke,0.00034046416614651306
trafen,0.00034046416614651306
mauer,5.674402769108551e-05
undurchdringlich,5.674402769108551e-05
wacker,5.674402769108551e-05
angriff,5.674402769108551e-05
standhielt,5.674402769108551e-05
verkniff,5.674402769108551e-05
schwer,0.00028372013845542757
zynisches,5.674402769108551e-05
schnauben,5.674402769108551e-05
taxierenden,5.674402769108551e-05
brille,0.00022697611076434205
sowie,0.0003972081938375986
bohrenden,5.674402769108551e-05
augenkontakt,5.674402769108551e-05
versuchte,0.00034046416614651306
vorsichtig,5.674402769108551e-05
wurde,0.0010781365261306247
bösartigen,5.674402769108551e-05
blicks,5.674402769108551e-05
ansichtig,5.674402769108551e-05
ebenso,0.00011348805538217103
unsicher,0.00011348805538217103
greg,0.00028372013845542757
geliebten,5.674402769108551e-05
schielte,5.674402769108551e-05
zufriedenen,5.674402769108551e-05
schmunzeln,5.674402769108551e-05
intensiven,5.674402769108551e-05
klebten,5.674402769108551e-05
haar,0.00017023208307325653
weit,0.00011348805538217103
gesicht,0.0007944163876751972
wolle,5.674402769108551e-05
verbergen,5.674402769108551e-05
wen,5.674402769108551e-05
intensiv,5.674402769108551e-05
ansah,0.00022697611076434205
amüsant,5.674402769108551e-05
unterhielten,0.00011348805538217103
anderthalb,5.674402769108551e-05
wochen,0.00022697611076434205
liste,0.00022697611076434205
leider,0.00017023208307325653
erzählten,5.674402769108551e-05
bester,5.674402769108551e-05
laune,5.674402769108551e-05
müsste,5.674402769108551e-05
ausleben,5.674402769108551e-05
konnen,5.674402769108551e-05
jammerte,5.674402769108551e-05
grummelnd,5.674402769108551e-05
gleich,0.00028372013845542757
versammlung,5.674402769108551e-05
sei,0.00022697611076434205
enthielt,0.00017023208307325653
art,0.0003972081938375986
rauschte,5.674402769108551e-05
nachlaufen,5.674402769108551e-05
gesellte,0.00017023208307325653
freitag,0.00011348805538217103
gregory,0.00011348805538217103
ausrichten,0.00011348805538217103
mitmachen,5.674402769108551e-05
dürften,5.674402769108551e-05
listen,0.00011348805538217103
vervollständigen,5.674402769108551e-05
mussten,0.00017023208307325653
wer,0.0004539522215286841
dürfte,5.674402769108551e-05
spielte,0.00011348805538217103
subtil,5.674402769108551e-05
zustimmend,5.674402769108551e-05
krieg,0.00017023208307325653
kämpfen,0.00017023208307325653
dürfen,5.674402769108551e-05
einstimmung,5.674402769108551e-05
bewunderte,0.00011348805538217103
aufzufallen,5.674402769108551e-05
geschmeidig,5.674402769108551e-05
leiter,5.674402769108551e-05
hinein,5.674402769108551e-05
schlüpfen,5.674402769108551e-05
groß,5.674402769108551e-05
bemerkt,0.00017023208307325653
platz,0.0005106962492197696
einnahm,5.674402769108551e-05
angedacht,5.674402769108551e-05
segneten,5.674402769108551e-05
ab,0.0003972081938375986
freuten,5.674402769108551e-05
neuen,0.00028372013845542757
samstag,0.00017023208307325653
erstes,0.00011348805538217103
einstimmig,5.674402769108551e-05
beschlossen,5.674402769108551e-05
vierten,5.674402769108551e-05
teamleiter,0.00017023208307325653
brauchen,5.674402769108551e-05
offiziell,0.00017023208307325653
bl,0.00034046416614651306
wussten,0.00028372013845542757
anfang,0.00011348805538217103
geplant,0.00011348805538217103
einsichtig,5.674402769108551e-05
wegen,0.00034046416614651306
redeten,5.674402769108551e-05
darüber,0.0004539522215286841
betraf,5.674402769108551e-05
syherins,5.674402769108551e-05
häuser,0.00017023208307325653
niemand,0.00022697611076434205
anerkannten,5.674402769108551e-05
stellvertreter,5.674402769108551e-05
eindringlich,5.674402769108551e-05
beschwichtigend,5.674402769108551e-05
führungsgruppe,5.674402769108551e-05
empore,5.674402769108551e-05
besorgt,5.674402769108551e-05
skeptisch,5.674402769108551e-05
blickte,0.00022697611076434205
liebste,5.674402769108551e-05
griff,0.00011348805538217103
daher,0.00011348805538217103
umso,5.674402769108551e-05
gespannt,0.00011348805538217103
lange,0.00017023208307325653
neugierde,5.674402769108551e-05
beherrschen,5.674402769108551e-05
rappelten,5.674402769108551e-05
beiden,0.0008511604153662827
verletzen,5.674402769108551e-05
ausgeknockten,5.674402769108551e-05
beine,5.674402769108551e-05
kleinlaut,5.674402769108551e-05
zurückhaltend,5.674402769108551e-05
peinlich,0.00011348805538217103
berührt,0.00011348805538217103
nachdem,0.0007376723599841116
routiniert,5.674402769108551e-05
geheilt,5.674402769108551e-05
wurden,0.0003972081938375986
aktion,0.00011348805538217103
derart,0.00022697611076434205
leicht,0.00022697611076434205
kinnhaken,5.674402769108551e-05
ausgeschaltet,5.674402769108551e-05
ego,5.674402769108551e-05
