term,relative_frequency
blickte,0.00016013130767229128
eindringlich,2.001641345903641e-05
sah,0.0013811325286735123
bedeutungsvoll,2.001641345903641e-05
ja,0.0011809683940831482
kleine,0.0003602954422626554
handelte,6.004924037710923e-05
genauso,0.0002001641345903641
recht,0.0001801477211313277
trotzdem,0.0002001641345903641
fast,0.0005204267499349467
jahr,0.00048039392301687384
her,0.0004003282691807282
endlich,0.00028022978842650974
vergessen,0.0002201805480494005
außerdem,0.0002201805480494005
black,0.0036429872495446266
tot,0.00030024620188554615
fristete,2.001641345903641e-05
nutzloses,2.001641345903641e-05
dasein,2.001641345903641e-05
leibeigener,2.001641345903641e-05
lords,0.00010008206729518205
schon,0.0016413459036409856
irgendwann,4.003282691807282e-05
fett,2.001641345903641e-05
kriegen,6.004924037710923e-05
eh,6.004924037710923e-05
gestraft,2.001641345903641e-05
wer,0.0003803118557216918
schließlich,0.0005004103364759102
lachte,0.00024019696150843692
höhnisch,2.001641345903641e-05
grummlig,2.001641345903641e-05
verstockt,2.001641345903641e-05
sehen,0.0004203446826397646
zwingen,8.006565383614564e-05
versammelter,2.001641345903641e-05
mannschaft,2.001641345903641e-05
viele,0.00014011489421325487
geständnisse,2.001641345903641e-05
abzugeben,2.001641345903641e-05
wirklich,0.0008206729518204928
herrlich,2.001641345903641e-05
seltene,2.001641345903641e-05
intime,2.001641345903641e-05
vertrauliche,2.001641345903641e-05
geste,6.004924037710923e-05
lieben,4.003282691807282e-05
zaghaften,2.001641345903641e-05
lächeln,0.0001801477211313277
erwiderte,0.00026021337496747333
zeigte,0.00012009848075421846
trio,2.001641345903641e-05
interagierten,2.001641345903641e-05
wohl,0.0004203446826397646
erstaunt,0.00010008206729518205
kenntnis,4.003282691807282e-05
nahmen,6.004924037710923e-05
immer,0.00156128024980484
schwarzen,0.00012009848075421846
ähm,8.006565383614564e-05
jungs,0.00014011489421325487
zufrieden,8.006565383614564e-05
sieg,4.003282691807282e-05
wenngleich,4.003282691807282e-05
frau,0.00012009848075421846
gemocht,2.001641345903641e-05
damals,0.0005204267499349467
gewusst,6.004924037710923e-05
liebte,8.006565383614564e-05
wobei,0.0001801477211313277
gefragt,0.00010008206729518205
zeit,0.0005204267499349467
deatheater,2.001641345903641e-05
gefühlsregung,2.001641345903641e-05
tatsächlich,0.00024019696150843692
fähig,2.001641345903641e-05
wäre,0.0010408534998698933
weiten,2.001641345903641e-05
gewachsen,2.001641345903641e-05
hübsch,4.003282691807282e-05
total,8.006565383614564e-05
dumm,0.00010008206729518205
dennoch,0.00012009848075421846
skrupeln,2.001641345903641e-05
belastet,2.001641345903641e-05
behaftet,2.001641345903641e-05
minimal,2.001641345903641e-05
genervt,8.006565383614564e-05
freude,8.006565383614564e-05
überwogen,2.001641345903641e-05
gegenüber,0.00030024620188554615
zugetragen,2.001641345903641e-05
lord,0.0006805580576072379
schonung,2.001641345903641e-05
leben,0.0007406072979843472
ersucht,2.001641345903641e-05
durchaus,6.004924037710923e-05
befriedung,2.001641345903641e-05
brachte,0.00012009848075421846
besitzen,2.001641345903641e-05
vorher,8.006565383614564e-05
versagt,6.004924037710923e-05
bitte,0.0003803118557216918
großzügig,2.001641345903641e-05
treuesten,2.001641345903641e-05
verlässlichsten,2.001641345903641e-05
diener,6.004924037710923e-05
gehabt,0.00024019696150843692
tun,0.0005004103364759102
hilfe,0.00014011489421325487
aufspüren,6.004924037710923e-05
frage,0.00012009848075421846
zweifle,2.001641345903641e-05
verstand,0.00016013130767229128
loyalität,2.001641345903641e-05
nein,0.0003803118557216918
steh,2.001641345903641e-05
zauber,0.00024019696150843692
trank,0.0002001641345903641
vertraue,2.001641345903641e-05
niemandem,4.003282691807282e-05
leid,0.00012009848075421846
tut,0.00016013130767229128
expecto,4.003282691807282e-05
patronum,2.001641345903641e-05
beigebracht,4.003282691807282e-05
hast,0.0007005744710662743
großer,6.004924037710923e-05
vertrauensbeweis,2.001641345903641e-05
freund,0.000980804259492784
toten,4.003282691807282e-05
eltern,0.0009007386056566384
macht,0.00024019696150843692
vertrauten,2.001641345903641e-05
sieh,4.003282691807282e-05
ratte,0.000980804259492784
kam,0.000980804259492784
sicher,0.00048039392301687384
dafür,0.0003803118557216918
bezahlen,2.001641345903641e-05
egal,0.00016013130767229128
lange,0.0004003282691807282
dauert,4.003282691807282e-05
schwor,2.001641345903641e-05
kleinen,0.0004003282691807282
gar,0.0004003282691807282
uhr,0.00010008206729518205
apparierte,8.006565383614564e-05
winzige,2.001641345903641e-05
dorf,4.003282691807282e-05
familie,0.00034027902880361897
lebten,2.001641345903641e-05
sagtest,2.001641345903641e-05
müssen,0.0005204267499349467
zurück,0.0006405252306891651
portschlüssel,4.003282691807282e-05
mann,0.00048039392301687384
schuppen,6.004924037710923e-05
kommen,0.0006004924037710923
brachst,2.001641345903641e-05
zusammen,0.0006004924037710923
hörte,0.00026021337496747333
gestallt,2.001641345903641e-05
sagte,0.0016813787305590584
töte,2.001641345903641e-05
überflüssigen,2.001641345903641e-05
mehr,0.0014411817690506215
gehört,0.00032026261534458256
schaute,0.00026021337496747333
vorerst,4.003282691807282e-05
hintergrund,8.006565383614564e-05
hielt,0.0003602954422626554
gesehen,0.00048039392301687384
eigentlich,0.0004003282691807282
dachte,0.0006004924037710923
dritten,0.00024019696150843692
trimagischen,4.003282691807282e-05
turnier,4.003282691807282e-05
rausgefunden,2.001641345903641e-05
besten,0.0003803118557216918
freunde,0.0006205088172301287
todesser,0.0007406072979843472
schrecklich,6.004924037710923e-05
vertraut,4.003282691807282e-05
hoffe,0.00010008206729518205
strafe,0.00014011489421325487
bekommen,0.00024019696150843692
VOLDEMORT,0.0031025440861506435
passiert,0.00026021337496747333
atmete,4.003282691807282e-05
grabstein,8.006565383614564e-05
fest,0.00024019696150843692
gemacht,0.0002201805480494005
warf,0.00032026261534458256
kessel,0.00014011489421325487
gerichtet,0.00010008206729518205
tat,0.00028022978842650974
knochen,0.00014011489421325487
vater,0.0010008206729518205
rein,6.004924037710923e-05
hasste,8.006565383614564e-05
muggel,0.0005604595768530195
arm,0.00032026261534458256
abgehackt,4.003282691807282e-05
moment,0.0005204267499349467
brechen,6.004924037710923e-05
nie,0.0006405252306891651
ekelhaftes,2.001641345903641e-05
bisschen,0.00010008206729518205
blut,0.0004003282691807282
genommen,0.00016013130767229128
auferstanden,2.001641345903641e-05
freudloses,2.001641345903641e-05
lachen,0.00030024620188554615
jahre,0.0004003282691807282
askaban,0.0006004924037710923
feige,6.004924037710923e-05
finger,0.00032026261534458256
abschnitt,2.001641345903641e-05
versteckte,2.001641345903641e-05
deswegen,0.00010008206729518205
saß,0.00026021337496747333
glaubten,2.001641345903641e-05
hätte,0.001421165355591585
umgebracht,4.003282691807282e-05
plötzlich,0.0003803118557216918
tauchten,6.004924037710923e-05
beiden,0.0007406072979843472
hauselfen,0.00012009848075421846
DOBBY,0.00012009848075421846
sir,6.004924037710923e-05
konnten,0.00028022978842650974
briefe,2.001641345903641e-05
finden,0.00032026261534458256
kratzte,2.001641345903641e-05
kinn,2.001641345903641e-05
schatz,4.003282691807282e-05
riss,8.006565383614564e-05
augen,0.0008006565383614564
fragte,0.0006605416441482015
mum,8.006565383614564e-05
gewohnt,2.001641345903641e-05
seit,0.00034027902880361897
jahren,0.00026021337496747333
anhänger,0.00016013130767229128
abend,0.00014011489421325487
angriff,0.00014011489421325487
geplant,8.006565383614564e-05
haus,0.0004203446826397646
gezeigt,4.003282691807282e-05
nacht,0.00028022978842650974
drang,6.004924037710923e-05
kampf,0.00010008206729518205
nieder,8.006565383614564e-05
streckte,6.004924037710923e-05
folgte,4.003282691807282e-05
kinder,8.006565383614564e-05
gerade,0.0006405252306891651
umbringen,0.00010008206729518205
trat,0.00014011489421325487
licht,0.00016013130767229128
sprach,0.00028022978842650974
voldeomort,2.001641345903641e-05
todesfluch,8.006565383614564e-05
niederzuschlagen,2.001641345903641e-05
sprang,6.004924037710923e-05
seite,0.0002201805480494005
traf,0.00026021337496747333
fluch,0.0002201805480494005
ging,0.0006805580576072379
linkes,2.001641345903641e-05
auge,8.006565383614564e-05
rechten,0.00012009848075421846
liebe,0.00010008206729518205
hindurch,2.001641345903641e-05
leiten,2.001641345903641e-05
wissen,0.0006004924037710923
befinden,6.004924037710923e-05
begann,0.0004203446826397646
schleimigen,2.001641345903641e-05
opportunistischen,2.001641345903641e-05
tonfall,6.004924037710923e-05
hollow,0.00012009848075421846
versuchte,0.000440361096098801
erst,0.0005404431633939831
antworten,6.004924037710923e-05
irgendwie,0.0002001641345903641
schmerz,8.006565383614564e-05
wappnen,2.001641345903641e-05
folgen,0.00010008206729518205
sobald,0.00016013130767229128
crucio,2.001641345903641e-05
nächsten,0.00032026261534458256
morgen,0.0002001641345903641
wurde,0.0016013130767229128
rauschen,2.001641345903641e-05
dusche,2.001641345903641e-05
geweckt,2.001641345903641e-05
huschte,4.003282691807282e-05
geduckt,2.001641345903641e-05
zimmer,0.0002201805480494005
teilte,2.001641345903641e-05
bereits,0.00026021337496747333
treppe,0.00010008206729518205
hinauf,2.001641345903641e-05
gestürmt,4.003282691807282e-05
weile,6.004924037710923e-05
stelle,6.004924037710923e-05
gestarrt,2.001641345903641e-05
blonde,4.003282691807282e-05
verschwunden,0.00014011489421325487
gesagt,0.00034027902880361897
vielleicht,0.0004203446826397646
mal,0.0011809683940831482
erwähnt,6.004924037710923e-05
verteidigte,4.003282691807282e-05
mut,2.001641345903641e-05
wohnung,8.006565383614564e-05
verlassen,0.00012009848075421846
flur,6.004924037710923e-05
hauses,6.004924037710923e-05
lachenden,2.001641345903641e-05
kindern,2.001641345903641e-05
dämmerung,2.001641345903641e-05
vorüber,4.003282691807282e-05
kurz,0.00028022978842650974
elf,0.00014011489421325487
abends,8.006565383614564e-05
ankam,2.001641345903641e-05
stand,0.0004603775095578374
brannte,2.001641345903641e-05
kannte,0.00024019696150843692
natürlich,0.00032026261534458256
ärmchen,2.001641345903641e-05
entgegen,8.006565383614564e-05
gesicht,0.0005004103364759102
verzog,6.004924037710923e-05
weinerlichen,2.001641345903641e-05
ausdruck,4.003282691807282e-05
beachten,4.003282691807282e-05
verfrachtete,2.001641345903641e-05
keller,2.001641345903641e-05
fesselte,4.003282691807282e-05
sodass,0.00012009848075421846
körperstarre,2.001641345903641e-05
löste,2.001641345903641e-05
weiterhin,0.0001801477211313277
gefangen,0.00014011489421325487
meister,0.0001801477211313277
wusste,0.0008607057787385656
interessierte,2.001641345903641e-05
einzige,0.0001801477211313277
vorsichtig,0.00010008206729518205
hob,0.00014011489421325487
hoch,4.003282691807282e-05
weinenden,2.001641345903641e-05
jungen,0.00034027902880361897
beruhigen,6.004924037710923e-05
kostbare,2.001641345903641e-05
verschwenden,2.001641345903641e-05
legte,0.00014011489421325487
kinderbett,2.001641345903641e-05
gehen,0.0004203446826397646
ließ,0.0007205908845253108
liebevoll,2.001641345903641e-05
eingerichteten,2.001641345903641e-05
kinderzimmer,4.003282691807282e-05
allein,0.00024019696150843692
lassen,0.0005804759903120559
ebenfalls,0.0003803118557216918
smaragdgrünen,2.001641345903641e-05
starrte,0.0001801477211313277
schritte,0.00010008206729518205
letztes,0.00012009848075421846
schwarze,2.001641345903641e-05
haar,0.00016013130767229128
genau,0.0003803118557216918
wild,6.004924037710923e-05
ab,0.000440361096098801
tränen,0.00014011489421325487
verunstalteten,2.001641345903641e-05
bild,0.00016013130767229128
beschützen,8.006565383614564e-05
beschützt,6.004924037710923e-05
sohn,0.0005604595768530195
gelegenheit,0.00014011489421325487
rann,2.001641345903641e-05
rücken,0.0002001641345903641
umklammerte,2.001641345903641e-05
zauberstab,0.0007406072979843472
fingerknochen,2.001641345903641e-05
weiß,0.0007205908845253108
hervor,8.006565383614564e-05
zimmertür,2.001641345903641e-05
aufgestoßen,4.003282691807282e-05
betrat,0.00012009848075421846
starb,4.003282691807282e-05
höher,2.001641345903641e-05
geschrei,2.001641345903641e-05
rührt,2.001641345903641e-05
mylord,0.00012009848075421846
geduld,2.001641345903641e-05
kindergeschrei,2.001641345903641e-05
durchdrang,2.001641345903641e-05
unternehmung,2.001641345903641e-05
erstmals,2.001641345903641e-05
spur,6.004924037710923e-05
gebracht,8.006565383614564e-05
lieber,0.00014011489421325487
gestorben,8.006565383614564e-05
verraten,0.0012610340479192938
leidete,2.001641345903641e-05
gedanken,0.00030024620188554615
wenigstens,6.004924037710923e-05
kämpfen,0.00010008206729518205
nachdem,0.00034027902880361897
verteidigen,4.003282691807282e-05
verbittert,2.001641345903641e-05
daran,0.0005204267499349467
willig,2.001641345903641e-05
ausliefern,2.001641345903641e-05
rätsel,2.001641345903641e-05
weshalb,0.00014011489421325487
leichen,4.003282691807282e-05
schlange,0.00012009848075421846
gefunden,0.00028022978842650974
gleichzeitig,0.00014011489421325487
gründlich,2.001641345903641e-05
zerstört,2.001641345903641e-05
worden,0.00034027902880361897
gelassen,0.0002201805480494005
überhaupt,0.00016013130767229128
sinn,8.006565383614564e-05
ergeben,2.001641345903641e-05
tag,0.00034027902880361897
krankenhaus,4.003282691807282e-05
findet,2.001641345903641e-05
weasley,0.0002001641345903641
anziehend,2.001641345903641e-05
schwul,2.001641345903641e-05
sagen,0.0003602954422626554
verliebt,6.004924037710923e-05
bald,0.00026021337496747333
schlaf,0.00014011489421325487
enterben,2.001641345903641e-05
astoria,6.004924037710923e-05
heiraten,2.001641345903641e-05
glücklich,6.004924037710923e-05
halten,0.0002001641345903641
bescheuerten,2.001641345903641e-05
lässig,2.001641345903641e-05
erhoben,6.004924037710923e-05
schien,0.0003803118557216918
selbstzufrieden,4.003282691807282e-05
flankierten,2.001641345903641e-05
lass,0.0001801477211313277
sofort,0.0005804759903120559
runter,6.004924037710923e-05
setzte,0.00024019696150843692
gemeinschaftsraum,0.00014011489421325487
blicke,6.004924037710923e-05
raumes,4.003282691807282e-05
köpfe,0.00012009848075421846
zusammengesteckt,6.004924037710923e-05
worüber,2.001641345903641e-05
denkst,0.00010008206729518205
abrupt,2.001641345903641e-05
entschlossen,8.006565383614564e-05
dabei,0.0005404431633939831
sachen,0.00012009848075421846
zusammenzupacken,2.001641345903641e-05
ignorierte,4.003282691807282e-05
erzählt,0.00014011489421325487
verrückten,6.004924037710923e-05
baum,2.001641345903641e-05
kommt,0.00014011489421325487
blickten,0.00010008206729518205
ebenso,0.00010008206729518205
finster,4.003282691807282e-05
schwiegen,2.001641345903641e-05
eisern,2.001641345903641e-05
hilflos,2.001641345903641e-05
dreinblickender,2.001641345903641e-05
neben,0.0005004103364759102
begleiteten,2.001641345903641e-05
manchmal,0.00012009848075421846
entwickelte,2.001641345903641e-05
enges,2.001641345903641e-05
band,6.004924037710923e-05
hippogreif,6.004924037710923e-05
stundenlang,2.001641345903641e-05
irgendwelche,4.003282691807282e-05
geschichten,4.003282691807282e-05
verbotenen,6.004924037710923e-05
wald,0.0001801477211313277
mochte,8.006565383614564e-05
