term,relative_frequency
schließlich,0.0003318217011392545
ordnete,2.765180842827121e-05
hut,5.530361685654242e-05
gryffindor,0.00016591085056962725
lehnte,0.00022121446742616967
relativ,5.530361685654242e-05
entspannt,5.530361685654242e-05
slytherin,0.0003318217011392545
wäre,0.0019079747815507135
beaufsichtigen,2.765180842827121e-05
praktischer,2.765180842827121e-05
dachte,0.0006912952107067802
halt,5.530361685654242e-05
ganz,0.0009401614865612211
sohn,2.765180842827121e-05
somit,8.295542528481363e-05
recht,0.0004147771264240681
schlich,2.765180842827121e-05
leichtes,2.765180842827121e-05
zynisches,2.765180842827121e-05
lächeln,0.0003041698927109833
schon,0.001437894038270103
wachsames,2.765180842827121e-05
auge,0.00011060723371308483
passt,2.765180842827121e-05
eröffnete,2.765180842827121e-05
typischen,2.765180842827121e-05
wirrwarr,2.765180842827121e-05
essen,0.00022121446742616967
wandte,0.00022121446742616967
ja,0.0008848578697046787
fang,5.530361685654242e-05
gemacht,0.0003318217011392545
teil,0.00044242893485233934
befürchtet,2.765180842827121e-05
kopf,0.0007465988275633227
ruckte,2.765180842827121e-05
konnte,0.002543966375400951
vorbei,8.295542528481363e-05
direkt,0.00019356265899789847
schauen,0.00011060723371308483
geregelt,2.765180842827121e-05
kriegen,2.765180842827121e-05
behandeln,8.295542528481363e-05
versuchte,0.000663643402278509
immer,0.0017697157394093574
zweimal,5.530361685654242e-05
junge,0.00047008074328061056
schien,0.0010231169118460348
gut,0.0005530361685654242
eingelebt,2.765180842827121e-05
getrost,2.765180842827121e-05
zweiten,0.00011060723371308483
problem,0.00016591085056962725
widmen,2.765180842827121e-05
bestand,0.00011060723371308483
zweifel,8.295542528481363e-05
sprach,0.0003318217011392545
geschockt,8.295542528481363e-05
starrten,2.765180842827121e-05
schnellte,5.530361685654242e-05
blick,0.0008295542528481362
sofort,0.00022121446742616967
brauchte,8.295542528481363e-05
weile,0.00019356265899789847
zauber,0.00044242893485233934
unerwartet,2.765180842827121e-05
stark,0.00011060723371308483
zunächst,5.530361685654242e-05
sturz,2.765180842827121e-05
