term,relative_frequency
tag,0.00025240574223063577
krankenhaus,3.155071777882947e-05
sohn,0.002271651680075722
findet,3.155071777882947e-05
weasley,0.0005994636377977599
mehr,0.0016406373244991323
anziehend,3.155071777882947e-05
weiß,0.0005363622022401009
schwul,3.155071777882947e-05
wohl,0.0005048114844612715
sagen,0.0005363622022401009
verliebt,9.46521533364884e-05
bald,0.0001893043066729768
schlaf,9.46521533364884e-05
bekommen,6.310143555765894e-05
eltern,0.0003786086133459536
enterben,3.155071777882947e-05
wissen,0.0003155071777882947
astoria,0.0004101593311247831
heiraten,3.155071777882947e-05
glücklich,0.00022085502445180627
vergessen,0.0003155071777882947
vater,0.0013882315822684966
halten,0.0001893043066729768
lieben,6.310143555765894e-05
bescheuerten,3.155071777882947e-05
immer,0.0016406373244991323
hoffte,0.00012620287111531788
sehen,0.0005363622022401009
konnte,0.0017983909133932796
sonder,3.155071777882947e-05
schon,0.001609086606720303
bruder,9.46521533364884e-05
betrachten,6.310143555765894e-05
schien,0.00034705789556712416
wurden,0.00012620287111531788
geboren,9.46521533364884e-05
folglich,6.310143555765894e-05
story,0.00012620287111531788
januar,3.155071777882947e-05
bzw,6.310143555765894e-05
februar,6.310143555765894e-05
sowas,9.46521533364884e-05
bemerke,3.155071777882947e-05
spricht,6.310143555765894e-05
öffne,3.155071777882947e-05
tür,0.0005363622022401009
betrete,3.155071777882947e-05
raum,0.0001893043066729768
verwunderung,3.155071777882947e-05
sitzt,6.310143555765894e-05
sessel,3.155071777882947e-05
massiven,3.155071777882947e-05
schreibtisch,3.155071777882947e-05
sieht,0.0004101593311247831
bisschen,0.00022085502445180627
genervt,0.00025240574223063577
miss,9.46521533364884e-05
schön,0.00015775358889414735
verwundert,0.00012620287111531788
bemerkte,0.00028395646000946523
stimme,0.0003155071777882947
trotz,6.310143555765894e-05
situation,0.0001893043066729768
ruhig,0.00025240574223063577
fest,0.0003155071777882947
geht,0.00028395646000946523
gut,0.0011042751222590313
onkel,0.00044171004890361255
griff,0.0001893043066729768
schulter,0.0003155071777882947
besten,0.00034705789556712416
freundes,3.155071777882947e-05
führte,3.155071777882947e-05
zögernden,3.155071777882947e-05
schritten,0.00012620287111531788
setzte,0.0003786086133459536
ebenfalls,0.0004101593311247831
bewegung,9.46521533364884e-05
folgte,0.00025240574223063577
geringen,3.155071777882947e-05
abstand,9.46521533364884e-05
rothaarige,0.00012620287111531788
mädchen,0.00015775358889414735
überraschung,9.46521533364884e-05
verbergen,3.155071777882947e-05
gemeinsam,0.00022085502445180627
büro,0.00015775358889414735
professor,0.0005363622022401009
mcgonegall,3.155071777882947e-05
betraten,6.310143555765894e-05
dicht,6.310143555765894e-05
neben,0.0006625650733554188
mann,0.00034705789556712416
stehen,0.0003155071777882947
betrachtete,0.00012620287111531788
zierliche,3.155071777882947e-05
frau,0.00022085502445180627
tochter,0.00015775358889414735
vielerlei,3.155071777882947e-05
hinsicht,6.310143555765894e-05
ähnelte,6.310143555765894e-05
beobachtete,0.00012620287111531788
verstohlen,3.155071777882947e-05
ansaßen,3.155071777882947e-05
wusste,0.0005994636377977599
wächterin,3.155071777882947e-05
eben,0.00025240574223063577
duell,3.155071777882947e-05
dutzend,3.155071777882947e-05
aufständischen,3.155071777882947e-05
vorgefunden,6.310143555765894e-05
falls,3.155071777882947e-05
glaubte,0.0001893043066729768
freund,0.0006310143555765894
aussage,0.00015775358889414735
beruhigen,6.310143555765894e-05
glaube,0.00015775358889414735
brauchen,6.310143555765894e-05
verabschieden,0.00015775358889414735
verschwand,9.46521533364884e-05
schwere,3.155071777882947e-05
holztür,3.155071777882947e-05
ließ,0.0007887679444707368
übrigen,3.155071777882947e-05
personen,9.46521533364884e-05
unangenehmen,3.155071777882947e-05
ging,0.0006941157911342483
streckte,0.00022085502445180627
dunkelhaarigen,3.155071777882947e-05
hand,0.0017352894778356208
entgegen,0.00022085502445180627
sagte,0.001893043066729768
sekunde,0.0001893043066729768
augen,0.0009780722511437134
gelassen,9.46521533364884e-05
hey,0.00012620287111531788
sieh,3.155071777882947e-05
mal,0.001135825840037861
schaut,3.155071777882947e-05
her,0.00015775358889414735
strafe,3.155071777882947e-05
genug,0.00015775358889414735
solltest,9.46521533364884e-05
quidditchball,3.155071777882947e-05
langen,9.46521533364884e-05
pause,6.310143555765894e-05
drangesetzt,3.155071777882947e-05
komplett,6.310143555765894e-05
überarbeitet,3.155071777882947e-05
wurde,0.000946521533364884
zwischendurch,6.310143555765894e-05
n,9.46521533364884e-05
bahn,3.155071777882947e-05
geworfen,3.155071777882947e-05
insbesondere,3.155071777882947e-05
erfahren,0.00025240574223063577
spoiler,9.46521533364884e-05
and,6.310143555765894e-05
the,6.310143555765894e-05
cursed,3.155071777882947e-05
child,3.155071777882947e-05
stirbt,6.310143555765894e-05
bevor,0.0010411736867013725
dritte,9.46521533364884e-05
jahr,0.0003786086133459536
kommt,0.00028395646000946523
dviel,3.155071777882947e-05
spaß,0.0001893043066729768
beim,0.00044171004890361255
lissawichtelkind,3.155071777882947e-05
pencilsandpaperscharaktere,3.155071777882947e-05
black,9.46521533364884e-05
wobei,0.00025240574223063577
letzteren,3.155071777882947e-05
nebensatz,3.155071777882947e-05
auftreten,3.155071777882947e-05
wichteln,3.155071777882947e-05
dark,3.155071777882947e-05
side,3.155071777882947e-05
nymphettenliebe,3.155071777882947e-05
oo,6.310143555765894e-05
anfang,0.00015775358889414735
mitte,0.00012620287111531788
endefür,3.155071777882947e-05
pencilsandpapersder,3.155071777882947e-05
anfangnarcissa,3.155071777882947e-05
trug,0.0001893043066729768
bücher,9.46521533364884e-05
schutzschild,3.155071777882947e-05
großen,0.000473260766682442
schwester,9.46521533364884e-05
gang,9.46521533364884e-05
entlang,3.155071777882947e-05
frühstück,9.46521533364884e-05
warum,0.00044171004890361255
jemanden,0.00012620287111531788
darüber,0.00022085502445180627
rede,3.155071777882947e-05
außerdem,0.0001893043066729768
steht,0.00022085502445180627
guckt,3.155071777882947e-05
ganz,0.0009780722511437134
schnell,0.0005048114844612715
neuen,6.310143555765894e-05
freundin,0.0003155071777882947
darauf,0.0007256665089130777
ansprichst,3.155071777882947e-05
gedacht,0.00012620287111531788
konnten,6.310143555765894e-05
beide,0.00025240574223063577
durcheinander,9.46521533364884e-05
aussah,0.00015775358889414735
umdrehte,6.310143555765894e-05
eilig,3.155071777882947e-05
signalisierte,3.155071777882947e-05
macht,0.00028395646000946523
sinn,6.310143555765894e-05
machte,0.00044171004890361255
liebend,3.155071777882947e-05
gern,9.46521533364884e-05
gehirn,6.310143555765894e-05
mannes,6.310143555765894e-05
empore,6.310143555765894e-05
entdecken,3.155071777882947e-05
gerade,0.0008834200978072251
steif,6.310143555765894e-05
großvater,3.155071777882947e-05
stieg,3.155071777882947e-05
treppen,3.155071777882947e-05
hinunter,9.46521533364884e-05
sah,0.002082347373402745
wandte,0.0005048114844612715
absichtlich,6.310143555765894e-05
lasst,3.155071777882947e-05
kantine,3.155071777882947e-05
gehen,0.0004101593311247831
merkte,0.00025240574223063577
roben,3.155071777882947e-05
ausgezogen,3.155071777882947e-05
jackettjacke,3.155071777882947e-05
eleganten,3.155071777882947e-05
anzugs,3.155071777882947e-05
hemd,9.46521533364884e-05
aufgenommen,9.46521533364884e-05
ausstreckte,3.155071777882947e-05
fragte,0.001009622968922543
darf,0.00025240574223063577
bedacht,6.310143555765894e-05
übernehmen,3.155071777882947e-05
obwohl,0.0004101593311247831
fühlen,6.310143555765894e-05
andy,0.00022085502445180627
mächtig,3.155071777882947e-05
jedoch,0.0001893043066729768
fertig,0.00015775358889414735
schwankte,3.155071777882947e-05
wäre,0.0006941157911342483
fügte,6.310143555765894e-05
hinzu,6.310143555765894e-05
trat,0.00025240574223063577
umarmte,0.00015775358889414735
gab,0.0005679129200189305
ooooooooooooooooam,3.155071777882947e-05
nachdem,0.0003786086133459536
weasleys,0.0003155071777882947
abend,0.0003155071777882947
gegessen,3.155071777882947e-05
schickte,6.310143555765894e-05
eule,6.310143555765894e-05
dafür,0.00028395646000946523
danken,3.155071777882947e-05
gefängnis,3.155071777882947e-05
geholt,6.310143555765894e-05
bot,0.00015775358889414735
jegliche,3.155071777882947e-05
weise,9.46521533364884e-05
helfen,3.155071777882947e-05
mutter,0.00044171004890361255
warmherzige,3.155071777882947e-05
sicher,0.0005048114844612715
familie,0.0005994636377977599
willkommen,9.46521533364884e-05
geheißen,3.155071777882947e-05
hätte,0.0007887679444707368
wagst,3.155071777882947e-05
namen,0.0001893043066729768
benutzen,3.155071777882947e-05
betrunken,6.310143555765894e-05
holte,0.00012620287111531788
tief,0.00025240574223063577
luft,0.0003155071777882947
fühlte,0.0005048114844612715
wirbelnden,3.155071777882947e-05
anstieg,3.155071777882947e-05
magie,0.00012620287111531788
adrenalin,3.155071777882947e-05
ärger,6.310143555765894e-05
reagierte,6.310143555765894e-05
entfacht,3.155071777882947e-05
worden,0.00025240574223063577
führe,3.155071777882947e-05
improvisierte,3.155071777882947e-05
gästezimmer,3.155071777882947e-05
durchquerte,3.155071777882947e-05
öffnete,0.00015775358889414735
hellwach,6.310143555765894e-05
geschlossen,6.310143555765894e-05
betrat,9.46521533364884e-05
realisiert,3.155071777882947e-05
hereingekommen,3.155071777882947e-05
beinen,9.46521533364884e-05
lag,0.00025240574223063577
rücken,0.00022085502445180627
zugewandt,9.46521533364884e-05
versuchte,0.000473260766682442
kopf,0.0007887679444707368
wegzuschieben,3.155071777882947e-05
gleichen,6.310143555765894e-05
zeit,0.0005679129200189305
starre,6.310143555765894e-05
befreien,6.310143555765894e-05
ROSMERTA,6.310143555765894e-05
heimliche,3.155071777882947e-05
fantasie,3.155071777882947e-05
kurz,0.0007256665089130777
szene,6.310143555765894e-05
lenkte,6.310143555765894e-05
ab,0.0006625650733554188
plötzlich,0.0007256665089130777
länger,0.0001893043066729768
überall,6.310143555765894e-05
hart,3.155071777882947e-05
kam,0.0008203186622495662
beinahe,0.00015775358889414735
boden,0.00034705789556712416
gehend,3.155071777882947e-05
dahinter,3.155071777882947e-05
bewegte,3.155071777882947e-05
heraus,0.0001893043066729768
gedanken,0.0005048114844612715
wanderte,3.155071777882947e-05
zurück,0.0006625650733554188
bild,3.155071777882947e-05
orgasmus,6.310143555765894e-05
seit,0.0003155071777882947
jahren,0.00025240574223063577
erbracht,3.155071777882947e-05
schock,3.155071777882947e-05
gesicht,0.0011673765578166903
gesehen,0.00025240574223063577
erkennen,0.00015775358889414735
gastfreundschaft,3.155071777882947e-05
ausgenutzt,3.155071777882947e-05
trieb,3.155071777882947e-05
schamesröte,3.155071777882947e-05
