term,relative_frequency
wusste,0.001114603205488839
richtigen,4.652992508682061e-05
namen,0.00032993946879745524
dark,7.613987741479736e-05
lords,0.00010363483314791863
dank,9.940483995820767e-05
begegnung,3.383994551768772e-05
zweiten,0.0001417047718553173
jahr,0.00038915937345340875
tagebuch,0.00017765971396786051
VOLDEMORT,0.028857013540208202
marvolo,5.0759918276531576e-05
monats,8.45998637942193e-06
immer,0.0020155917548972746
informieren,8.45998637942193e-06
artikel,3.383994551768772e-05
anstehen,2.1149965948554823e-06
natürlich,0.0004081943428071081
eher,0.00016285473780387212
beginnen,3.59549421125432e-05
zweites,2.1149965948554823e-05
enthüllungsbuch,2.1149965948554823e-06
bestätigte,3.383994551768772e-05
erinnerung,0.00016073974120901666
trog,4.229993189710965e-06
lord,0.0015947074325210336
geburtsnamen,2.1149965948554823e-06
hieß,5.9219904655953505e-05
wenigstens,6.979488763023092e-05
herausbekommen,4.229993189710965e-06
erinnerungen,0.0001903496935369934
vierten,2.5379959138265788e-05
muggelvater,6.344989784566447e-06
familie,0.0003680094075048539
little,2.1149965948554823e-05
hangleton,1.691997275884386e-05
großen,0.00029398452668491206
herrenhaus,7.402488081994188e-05
ansässig,2.1149965948554823e-06
mehr,0.0016010524223056002
informationen,0.00013535978207075087
denen,0.00016919972758843859
arbeiten,5.498991146624254e-05
erste,0.00019880967991641534
liebhaber,1.0574982974277412e-05
wohl,0.0005668190874212692
schweren,2.749495573312127e-05
herzens,8.45998637942193e-06
stoppte,2.3264962543410306e-05
wissen,0.0005520141112572809
neue,0.00013535978207075087
zeit,0.0008375386515627709
hogwarts,0.0007698587605273955
schon,0.001670847309935831
lehrer,0.00016285473780387212
arbeitete,2.749495573312127e-05
jungen,0.0005202891623344487
mann,0.0005435541248778589
misstraute,2.1149965948554823e-06
schüler,0.0002136146560804037
konnte,0.0021953664654599907
stoppen,1.4804976163988376e-05
kampfstil,2.1149965948554823e-06
daran,0.0004272293121608074
schuld,0.0001078648263376296
showeinlage,4.229993189710965e-06
ministerium,0.000298214519874623
geprägt,4.229993189710965e-06
beinen,4.441492849196513e-05
helfen,0.00020515466970098177
warf,0.0002474546015980914
besorgte,4.229993189710965e-06
blicke,9.305985017364122e-05
blieb,0.00027917955052092367
klar,0.00023053462883924756
nahm,0.00047375923724762804
füße,3.806993870739868e-05
gefallene,2.1149965948554823e-06
corpus,2.1149965948554823e-06
delicti,2.1149965948554823e-06
entfernte,3.1724948922832235e-05
medaillon,3.383994551768772e-05
desto,3.383994551768772e-05
ging,0.000780433743501673
besser,0.0002537995913826579
verdammt,6.767989103537543e-05
leute,0.00012266980250161797
