term,relative_frequency
stürmte,0.00014614541468761417
erneut,0.00036536353671903543
diesmal,0.00014614541468761417
versen,7.307270734380708e-05
tür,0.0009499451954694922
hinaus,0.00014614541468761417
vorbei,0.0005845816587504567
richtung,0.0005115089514066496
wohnung,0.00021921812203142126
setzte,0.0005845816587504567
hauslehrer,0.00021921812203142126
ravenclaws,0.00043843624406284253
ernstlich,0.00014614541468761417
thema,0.00014614541468761417
gute,0.00036536353671903543
frage,0.00043843624406284253
schnarrte,7.307270734380708e-05
deutlichem,7.307270734380708e-05
widerwillen,7.307270734380708e-05
kam,0.0013153087321885275
schlicht,7.307270734380708e-05
konnte,0.0013153087321885275
ton,7.307270734380708e-05
neid,7.307270734380708e-05
mehr,0.0011691633175009133
gut,0.0010960906101571063
heraushören,7.307270734380708e-05
verdrehte,0.00014614541468761417
gerade,0.0013883814395323347
genervt,0.00029229082937522833
soooo,7.307270734380708e-05
meinte,0.0007307270734380709
sehende,7.307270734380708e-05
pflanzenfrau,7.307270734380708e-05
entschieden,0.00021921812203142126
vector,7.307270734380708e-05
verächtlich,7.307270734380708e-05
gleichen,7.307270734380708e-05
zeit,0.000803799780781878
wer,0.00029229082937522833
schon,0.0018998903909389843
murrte,7.307270734380708e-05
hoch,0.00036536353671903543
erregt,7.307270734380708e-05
tippte,0.00014614541468761417
zauberstab,0.0005115089514066496
ungeduldig,0.00014614541468761417
wieso,0.00021921812203142126
wagte,7.307270734380708e-05
derart,7.307270734380708e-05
forsch,7.307270734380708e-05
mr,7.307270734380708e-05
sofort,0.0005845816587504567
sprachlos,7.307270734380708e-05
piepsend,7.307270734380708e-05
tja,0.00014614541468761417
mitgift,7.307270734380708e-05
schien,0.0007307270734380709
interessieren,0.00029229082937522833
aufgabe,0.00014614541468761417
wäre,0.0005115089514066496
krieg,0.00014614541468761417
schützen,0.00014614541468761417
beschuldigen,7.307270734380708e-05
wohl,0.0006576543660942638
gesprochen,0.00014614541468761417
tönte,7.307270734380708e-05
klatschte,7.307270734380708e-05
kenn,7.307270734380708e-05
ja,0.0009499451954694922
gar,0.00029229082937522833
ernst,0.00036536353671903543
nett,7.307270734380708e-05
lief,0.00021921812203142126
rot,7.307270734380708e-05
deutlicher,7.307270734380708e-05
hätte,0.0006576543660942638
sagen,0.0005845816587504567
ungerne,7.307270734380708e-05
seite,0.0005115089514066496
ministerium,0.00021921812203142126
letzte,0.00021921812203142126
heuler,7.307270734380708e-05
freitagmorgen,7.307270734380708e-05
erwischte,7.307270734380708e-05
professor,0.010157106320789186
ersten,0.0005845816587504567
stunde,0.0005845816587504567
zweimal,0.00014614541468761417
stieß,7.307270734380708e-05
aufsah,7.307270734380708e-05
zuzischte,7.307270734380708e-05
aufpassen,7.307270734380708e-05
nie,0.00021921812203142126
wirklich,0.00036536353671903543
böse,0.00014614541468761417
deren,0.00036536353671903543
verträumter,7.307270734380708e-05
blick,0.0008768724881256851
fenster,7.307270734380708e-05
freitag,7.307270734380708e-05
kroch,7.307270734380708e-05
voran,7.307270734380708e-05
schwester,7.307270734380708e-05
bloß,0.00014614541468761417
rock,7.307270734380708e-05
her,0.0005845816587504567
tauschten,0.00021921812203142126
vielsagenden,7.307270734380708e-05
weitere,0.00014614541468761417
vorträge,7.307270734380708e-05
wurden,0.0005845816587504567
erspart,7.307270734380708e-05
emsig,7.307270734380708e-05
neuen,0.00036536353671903543
stundenpläne,0.00014614541468761417
augenblick,0.00014614541468761417
ließ,0.00043843624406284253
gegenüberliegenden,7.307270734380708e-05
bank,0.00029229082937522833
nieder,7.307270734380708e-05
warf,0.00021921812203142126
eher,0.00021921812203142126
flüchtigen,7.307270734380708e-05
pergament,0.00021921812203142126
eifrig,7.307270734380708e-05
studierte,7.307270734380708e-05
meldete,7.307270734380708e-05
trabten,7.307270734380708e-05
grunzten,7.307270734380708e-05
eh,7.307270734380708e-05
nächsten,0.0006576543660942638
flur,0.00014614541468761417
brachten,0.00036536353671903543
schweigend,0.00014614541468761417
beim,0.0008768724881256851
klassenzimmer,0.00043843624406284253
zauberkunst,0.0009499451954694922
ließen,0.00014614541468761417
stammplätze,7.307270734380708e-05
schwöre,7.307270734380708e-05
theorie,0.00014614541468761417
schlaf,7.307270734380708e-05
schaute,0.00021921812203142126
ach,0.00014614541468761417
gryffindors,0.00014614541468761417
kamen,0.00036536353671903543
wundern,7.307270734380708e-05
kühl,7.307270734380708e-05
lehnte,0.00014614541468761417
lässig,7.307270734380708e-05
erwidern,7.307270734380708e-05
böser,7.307270734380708e-05
drehte,0.00029229082937522833
somit,7.307270734380708e-05
rücken,0.00014614541468761417
mal,0.0009499451954694922
ehrlich,0.00021921812203142126
geht,0.00014614541468761417
ganz,0.00043843624406284253
genauso,0.00014614541468761417
flüsterte,0.00014614541468761417
na,0.00014614541468761417
macht,0.00014614541468761417
spaß,0.00036536353671903543
davon,0.0005845816587504567
abhalten,7.307270734380708e-05
hingegen,7.307270734380708e-05
einfach,0.0007307270734380709
gerne,0.00043843624406284253
sekunden,7.307270734380708e-05
schaltete,0.00014614541468761417
ab,0.0005845816587504567
betrat,0.00014614541468761417
raum,0.0007307270734380709
platzierte,7.307270734380708e-05
sah,0.0011691633175009133
spaßig,7.307270734380708e-05
warum,0.00021921812203142126
kriegt,7.307270734380708e-05
eigentlich,0.00043843624406284253
immer,0.0014614541468761417
zauber,0.0005845816587504567
reihe,0.00014614541468761417
blickte,0.0005115089514066496
erwartungsvoll,7.307270734380708e-05
runzelte,7.307270734380708e-05
stirn,0.00014614541468761417
wandte,0.00029229082937522833
vergessen,0.00014614541468761417
sagte,0.0035074899525027402
freundlich,0.00014614541468761417
trat,0.00014614541468761417
mächtiges,7.307270734380708e-05
bücherregal,7.307270734380708e-05
befahl,7.307270734380708e-05
hilfe,0.00043843624406284253
zauberstabs,7.307270734380708e-05
alten,0.00021921812203142126
lederhut,7.307270734380708e-05
oberen,7.307270734380708e-05
fächer,0.00014614541468761417
hinunter,7.307270734380708e-05
legte,0.00029229082937522833
vorsichtig,7.307270734380708e-05
tisch,0.000803799780781878
sprechende,7.307270734380708e-05
hut,0.00021921812203142126
stellte,0.00036536353671903543
natürlich,0.0005845816587504567
lächelte,0.00021921812203142126
feierlich,7.307270734380708e-05
glaube,0.00036536353671903543
fall,0.00029229082937522833
fehler,0.00014614541468761417
unterlaufen,7.307270734380708e-05
fing,7.307270734380708e-05
lachen,7.307270734380708e-05
güte,0.00014614541468761417
wischte,7.307270734380708e-05
gedanken,0.00021921812203142126
beiseite,7.307270734380708e-05
sachlich,7.307270734380708e-05
möglich,7.307270734380708e-05
bereits,0.0011691633175009133
wisst,7.307270734380708e-05
müssen,0.00014614541468761417
kurzfristig,7.307270734380708e-05
ersatz,0.00014614541468761417
ms,0.00029229082937522833
finden,0.00029229082937522833
aussage,7.307270734380708e-05
heiler,7.307270734380708e-05
mumba,7.307270734380708e-05
bonham,7.307270734380708e-05
nächster,7.307270734380708e-05
unterrichten,0.00029229082937522833
beginn,7.307270734380708e-05
schuljahres,7.307270734380708e-05
einzigen,0.00014614541468761417
bewerber,7.307270734380708e-05
fach,0.00014614541468761417
stand,0.000803799780781878
unentschlossen,7.307270734380708e-05
mitte,7.307270734380708e-05
kreisförmigen,7.307270734380708e-05
büros,0.00014614541468761417
betrachtete,0.00021921812203142126
nachdenklich,0.00029229082937522833
bildnis,7.307270734380708e-05
möchte,0.00036536353671903543
drängen,7.307270734380708e-05
herumstehst,7.307270734380708e-05
newt,7.307270734380708e-05
scamander,0.00014614541468761417
nehmen,0.00043843624406284253
lassen,0.0008768724881256851
erzählen,0.00014614541468761417
einzelne,7.307270734380708e-05
fantastischen,7.307270734380708e-05
biester,7.307270734380708e-05
entdeckt,7.307270734380708e-05
geleitete,7.307270734380708e-05
studienzimmer,7.307270734380708e-05
halbe,7.307270734380708e-05
etage,7.307270734380708e-05
büro,0.0010960906101571063
lag,0.00014614541468761417
zog,0.00043843624406284253
hinüber,0.00021921812203142126
einverständnis,7.307270734380708e-05
abzuwarten,7.307270734380708e-05
zwei,0.0009499451954694922
schritte,0.00021921812203142126
zurück,0.00029229082937522833
machte,0.00043843624406284253
platz,0.00029229082937522833
ahnung,0.00029229082937522833
PEEVES,7.307270734380708e-05
schulleiter,0.00036536353671903543
form,0.00014614541468761417
beleidigen,7.307270734380708e-05
allerdings,0.0005115089514066496
getraute,7.307270734380708e-05
