term,relative_frequency
zeigte,0.0001946198425741718
zähne,2.8832569270247672e-05
schien,0.00029553383502003863
heute,0.00038203154283078164
nachmittag,0.00010091399244586685
aggressiver,7.208142317561918e-06
stimmung,4.3248853905371505e-05
aussage,5.7665138540495344e-05
lachte,0.00021624426952685755
rollte,5.0456996222933424e-05
augen,0.0014344203211948217
sprach,0.00025949312343222903
überraschte,5.0456996222933424e-05
ansturm,1.4416284635123836e-05
öffentlichen,1.4416284635123836e-05
aufmerksamkeit,0.00017299541562148602
sehe,5.0456996222933424e-05
ähnlich,5.0456996222933424e-05
sogar,0.0003676152581956578
passieren,7.208142317561918e-05
aufkreuzen,7.208142317561918e-06
beileid,1.4416284635123836e-05
auszusprechen,2.1624426952685752e-05
wäre,0.0005694432430873916
gar,0.00025228498111466713
gut,0.0009875154975059828
alte,0.0002739094080673529
ansatz,1.4416284635123836e-05
vermuten,7.208142317561918e-06
fang,2.8832569270247672e-05
erst,0.00042528039673615315
fordert,7.208142317561918e-06
weasley,0.00041086411210102935
mitkommen,1.4416284635123836e-05
entschlüpfte,7.208142317561918e-06
zynisch,7.208142317561918e-06
sah,0.0021264019836807657
belustigt,1.4416284635123836e-05
lippen,0.00028832569270247673
biss,3.604071158780959e-05
desillusioniert,7.208142317561918e-06
fleiß,7.208142317561918e-06
schüler,0.0005550269584522677
sprechen,0.0003171582619727244
vergnügen,1.4416284635123836e-05
unterricht,0.0003171582619727244
entlassen,4.3248853905371505e-05
ließ,0.0009010177896952397
zweimal,3.604071158780959e-05
sagen,0.0006126920969927631
land,2.1624426952685752e-05
gewann,2.1624426952685752e-05
benehmen,1.4416284635123836e-05
immer,0.0016506645907216793
unberechenbar,7.208142317561918e-06
komisch,6.487328085805726e-05
stellvertreterin,1.4416284635123836e-05
schule,0.00028832569270247673
geblieben,7.92895654931811e-05
hörte,0.00041807225441859125
unterhalten,2.8832569270247672e-05
ohren,0.00010091399244586685
geheuchelt,7.208142317561918e-06
besorgt,0.0001585791309863622
fragte,0.0010812213476342877
erholt,1.4416284635123836e-05
geht,0.00046132110832396275
prof,0.00014416284635123837
gefährlich,6.487328085805726e-05
abwägend,7.208142317561918e-06
zurück,0.0007568549433440014
arme,0.00024507683879710523
verschränkt,2.1624426952685752e-05
zugeben,5.7665138540495344e-05
abwehrend,7.208142317561918e-06
wirken,4.3248853905371505e-05
schon,0.0017732030101202318
drauf,8.649770781074301e-05
hoben,1.4416284635123836e-05
augenbrauen,7.208142317561918e-05
skeptisch,2.8832569270247672e-05
bemerkte,0.00020903612720929562
professorin,0.00018020355793904794
stirnfalten,7.208142317561918e-06
umwölkten,7.208142317561918e-06
gegenfrage,7.208142317561918e-06
trat,0.00025949312343222903
bisher,7.92895654931811e-05
schweigend,6.487328085805726e-05
aufmerksam,6.487328085805726e-05
zugehört,2.1624426952685752e-05
zweien,7.208142317561918e-06
bevor,0.0007424386587088776
bemerkbar,7.208142317561918e-06
konnte,0.0015713750252284982
fuhr,0.00017299541562148602
schrillem,7.208142317561918e-06
aufgebrachten,1.4416284635123836e-05
ton,4.3248853905371505e-05
antworten,6.487328085805726e-05
stellen,9.370585012830494e-05
fragen,0.0002811175503849148
schrillte,7.208142317561918e-06
stimme,0.000706397947121068
echo,7.208142317561918e-06
getragen,1.4416284635123836e-05
schimpfen,1.4416284635123836e-05
vernichtenden,2.1624426952685752e-05
harten,4.3248853905371505e-05
blick,0.001665080875356803
warf,0.00025949312343222903
haar,9.370585012830494e-05
schwungvoll,1.4416284635123836e-05
nacken,1.4416284635123836e-05
ging,0.0011172620592220972
schimpftirade,7.208142317561918e-06
schmerzenden,7.208142317561918e-06
po,7.208142317561918e-06
vorbei,0.00021624426952685755
kannte,0.0001585791309863622
furcht,7.208142317561918e-06
erregten,7.208142317561918e-06
gerade,0.0010235562090937923
unbeugsam,7.208142317561918e-06
loslegen,1.4416284635123836e-05
lag,0.0003243664042902863
