term,relative_frequency
fragte,0.002114029468289558
erkannt,6.406149903907751e-05
nein,0.00032030749519538755
gut,0.0009609224855861628
getarnt,6.406149903907751e-05
schlaues,6.406149903907751e-05
mädchen,0.0008968609865470852
schien,0.0004484304932735426
stühlen,6.406149903907751e-05
saß,0.0005124919923126201
schließlich,0.0005124919923126201
liebte,6.406149903907751e-05
gyole,6.406149903907751e-05
bot,6.406149903907751e-05
großmütig,6.406149903907751e-05
keuchende,6.406149903907751e-05
ausrufe,6.406149903907751e-05
begleitet,6.406149903907751e-05
ungläubigen,6.406149903907751e-05
blicken,6.406149903907751e-05
folge,0.00019218449711723255
freue,6.406149903907751e-05
gregory,6.406149903907751e-05
danken,6.406149903907751e-05
kingswear,6.406149903907751e-05
beschützt,6.406149903907751e-05
hast,0.0007046764894298527
kam,0.0006406149903907751
erstaunlich,0.00012812299807815503
schnippisch,6.406149903907751e-05
bl,6.406149903907751e-05
kollegin,6.406149903907751e-05
schnell,0.0005765534913516977
unterhakte,6.406149903907751e-05
stehen,6.406149903907751e-05
brüsk,6.406149903907751e-05
ließ,0.0006406149903907751
mädels,0.00012812299807815503
verdattert,6.406149903907751e-05
hinterher,0.00012812299807815503
sah,0.001729660474055093
wobei,0.00025624599615631005
sieeinige,6.406149903907751e-05
lacher,6.406149903907751e-05
kassierte,6.406149903907751e-05
pav,6.406149903907751e-05
lav,6.406149903907751e-05
amüsierte,6.406149903907751e-05
hübsche,6.406149903907751e-05
chinesin,6.406149903907751e-05
chancen,6.406149903907751e-05
ausrechnete,6.406149903907751e-05
ja,0.0010890454836643177
mal,0.0012812299807815502
echte,6.406149903907751e-05
konkurrentin,6.406149903907751e-05
plus,6.406149903907751e-05
baby,6.406149903907751e-05
dagegen,0.00012812299807815503
gab,0.0004484304932735426
gar,0.00025624599615631005
ankommen,6.406149903907751e-05
vorüber,6.406149903907751e-05
überraschung,0.00019218449711723255
tauchte,6.406149903907751e-05
astoria,0.00019218449711723255
ganz,0.0006406149903907751
plötzlich,0.0003843689942344651
sichtlich,0.00012812299807815503
irritiert,6.406149903907751e-05
schläfen,6.406149903907751e-05
strich,6.406149903907751e-05
derart,6.406149903907751e-05
seiten,6.406149903907751e-05
angegangen,6.406149903907751e-05
wurde,0.0011531069827033953
obgleich,6.406149903907751e-05
jungs,6.406149903907751e-05
entspannt,6.406149903907751e-05
zurückhielten,6.406149903907751e-05
einfach,0.0005124919923126201
schauspiel,6.406149903907751e-05
zickender,6.406149903907751e-05
genossen,0.00019218449711723255
co,6.406149903907751e-05
situation,6.406149903907751e-05
schon,0.0010890454836643177
mehr,0.0008327994875080077
angenehm,6.406149903907751e-05
obwohl,0.0003843689942344651
eingemischt,6.406149903907751e-05
tja,6.406149903907751e-05
kommst,0.00012812299807815503
wohl,0.00032030749519538755
immer,0.0008327994875080077
spät,0.00019218449711723255
schönste,6.406149903907751e-05
schneller,6.406149903907751e-05
s,6.406149903907751e-05
geschafft,0.00012812299807815503
halten,0.00019218449711723255
hattest,0.00019218449711723255
kommt,0.00019218449711723255
zuvor,6.406149903907751e-05
farbwahl,6.406149903907751e-05
gewagt,6.406149903907751e-05
passte,0.00012812299807815503
satten,6.406149903907751e-05
roten,0.00012812299807815503
haar,6.406149903907751e-05
deutete,0.00012812299807815503
krass,6.406149903907751e-05
geschmack,6.406149903907751e-05
twins,6.406149903907751e-05
gespart,6.406149903907751e-05
bestimmt,0.00019218449711723255
geschenkt,6.406149903907751e-05
sicher,0.0005765534913516977
fremd,6.406149903907751e-05
jack,6.406149903907751e-05
paar,0.0006406149903907751
überleg,6.406149903907751e-05
erzählen,0.0003843689942344651
wollt,0.00012812299807815503
kannst,0.00019218449711723255
gerne,0.00019218449711723255
ausrichten,6.406149903907751e-05
nehme,6.406149903907751e-05
freundin,0.0008327994875080077
dazugehören,6.406149903907751e-05
vertrittst,6.406149903907751e-05
schön,0.00025624599615631005
erklärt,6.406149903907751e-05
lange,0.0003843689942344651
bange,6.406149903907751e-05
seite,0.0005124919923126201
linke,6.406149903907751e-05
sitznachbarin,6.406149903907751e-05
recht,0.0003843689942344651
bösartig,6.406149903907751e-05
ansah,6.406149903907751e-05
bevor,0.0008968609865470852
wann,0.00019218449711723255
letzte,0.00032030749519538755
jemand,0.0003843689942344651
sex,0.00019218449711723255
wisperte,0.00019218449711723255
beeindruckt,6.406149903907751e-05
zeigte,0.00025624599615631005
oh,0.00012812299807815503
froh,0.0003843689942344651
wohlbehalten,6.406149903907751e-05
meinte,0.0005124919923126201
zynisch,6.406149903907751e-05
wedelte,6.406149903907751e-05
wahrung,6.406149903907751e-05
interessen,6.406149903907751e-05
aufgrund,0.00012812299807815503
unschöner,6.406149903907751e-05
umstände,6.406149903907751e-05
böses,6.406149903907751e-05
tut,0.00032030749519538755
gute,0.00032030749519538755
durchaus,6.406149903907751e-05
schönes,6.406149903907751e-05
macht,0.00019218449711723255
willen,6.406149903907751e-05
bekommen,0.00012812299807815503
schwer,0.00019218449711723255
umschreiben,6.406149903907751e-05
versuchte,0.00032030749519538755
ausweichend,6.406149903907751e-05
aufrichtig,6.406149903907751e-05
erklären,6.406149903907751e-05
wahrlich,6.406149903907751e-05
sagen,0.0007046764894298527
wahr,0.00012812299807815503
stapfte,6.406149903907751e-05
aggressiv,6.406149903907751e-05
eher,0.00025624599615631005
amüsiert,0.00019218449711723255
wirkte,0.00012812299807815503
erhobener,6.406149903907751e-05
hand,0.0005765534913516977
bedrohlich,6.406149903907751e-05
wirkende,6.406149903907751e-05
inderin,0.00012812299807815503
ruhe,6.406149903907751e-05
fast,0.0004484304932735426
schlimm,6.406149903907751e-05
stieß,6.406149903907751e-05
erschrockene,6.406149903907751e-05
neue,0.00025624599615631005
pracht,6.406149903907751e-05
betroffen,6.406149903907751e-05
feuer,0.00012812299807815503
hätte,0.0010249839846252402
erbarmen,6.406149903907751e-05
sucht,6.406149903907751e-05
wirklich,0.0008327994875080077
gesagt,0.0004484304932735426
platz,0.00025624599615631005
sitzen,0.0003843689942344651
neben,0.0009609224855861628
weasleys,0.00012812299807815503
robert,6.406149903907751e-05
armen,0.00012812299807815503
hielt,0.0006406149903907751
erwartet,0.00012812299807815503
vater,0.00019218449711723255
dädalus,6.406149903907751e-05
ehemaligen,6.406149903907751e-05
jägerinnen,6.406149903907751e-05
gryffindors,0.00012812299807815503
damaliger,6.406149903907751e-05
hüter,6.406149903907751e-05
viele,0.00012812299807815503
mitglieder,6.406149903907751e-05
armee,0.00012812299807815503
mcmillan,6.406149903907751e-05
pavati,0.00012812299807815503
patil,0.00025624599615631005
sogar,0.00012812299807815503
creevy,0.00012812299807815503
kleine,0.00019218449711723255
bruder,6.406149903907751e-05
garten,6.406149903907751e-05
versammelt,6.406149903907751e-05
beglückwünschten,6.406149903907751e-05
runde,0.00012812299807815503
drehte,0.00032030749519538755
begrüßen,6.406149903907751e-05
ravenclaw,0.0008327994875080077
erzählt,0.0005765534913516977
lehnt,6.406149903907751e-05
zurück,0.00025624599615631005
sitz,6.406149903907751e-05
bat,0.0003843689942344651
darum,6.406149903907751e-05
brautjungfern,0.00019218449711723255
bekam,0.0003843689942344651
sofort,0.0007687379884689302
zusagen,6.406149903907751e-05
nächsten,0.0013452914798206279
tag,0.0010890454836643177
stand,0.00025624599615631005
uhr,0.00025624599615631005
tür,0.0005124919923126201
großen,0.00025624599615631005
halle,0.0005124919923126201
generalprobe,6.406149903907751e-05
hochzeit,6.406149903907751e-05
dezember,0.00012812299807815503
hogwarts,0.0007046764894298527
geladen,6.406149903907751e-05
paare,0.00012812299807815503
trauzeugen,0.00012812299807815503
jenny,0.00012812299807815503
danger,6.406149903907751e-05
weasley,0.00019218449711723255
minister,6.406149903907751e-05
madame,6.406149903907751e-05
maxim,6.406149903907751e-05
ringträger,6.406149903907751e-05
braun,6.406149903907751e-05
josefine,0.00012812299807815503
moore,6.406149903907751e-05
creeve,0.00012812299807815503
mia,6.406149903907751e-05
stclair,6.406149903907751e-05
caroll,0.00012812299807815503
mclaine,6.406149903907751e-05
hielten,6.406149903907751e-05
professor,0.0010890454836643177
wache,6.406149903907751e-05
probe,6.406149903907751e-05
gestört,6.406149903907751e-05
erste,0.0003843689942344651
betrat,0.00012812299807815503
brautführer,6.406149903907751e-05
große,0.0005124919923126201
warteten,0.00025624599615631005
voraus,6.406149903907751e-05
gingen,0.0003843689942344651
kissen,6.406149903907751e-05
ringe,6.406149903907751e-05
lagen,0.00012812299807815503
folgte,0.00012812299807815503
trauzeugin,6.406149903907751e-05
fans,6.406149903907751e-05
durften,6.406149903907751e-05
mitreisen,6.406149903907751e-05
ebenso,6.406149903907751e-05
jedoch,0.00019218449711723255
vier,0.00012812299807815503
fanportschlüssel,6.406149903907751e-05
nehmen,0.00025624599615631005
mussten,0.00012812299807815503
