term,relative_frequency
redete,3.358522250209908e-05
legte,0.0007052896725440807
einfach,0.0008060453400503779
per,3.358522250209908e-05
magie,0.00010075566750629723
beine,6.717044500419816e-05
bett,0.001746431570109152
schlechtgelaunt,3.358522250209908e-05
kenntnis,0.00010075566750629723
nahm,0.00040302267002518893
trank,0.0005709487825356843
sofort,0.000873215785054576
direkt,0.00026868178001679264
bissen,3.358522250209908e-05
erhalten,0.00010075566750629723
danach,0.00036943744752308984
magisch,0.00010075566750629723
gereinigt,3.358522250209908e-05
gesehen,0.00030226700251889167
hierhergebracht,3.358522250209908e-05
madame,0.008161209068010076
weitergemacht,3.358522250209908e-05
schlussfolgerte,3.358522250209908e-05
abend,0.0005373635600335853
artikels,3.358522250209908e-05
madam,0.0072879932829555
krankenflügel,0.0026532325776658272
gerufen,6.717044500419816e-05
wurde,0.0010411418975650713
halb,3.358522250209908e-05
katze,3.358522250209908e-05
transformiert,3.358522250209908e-05
vorfand,3.358522250209908e-05
gemeinsam,0.00023509655751469352
catreen,3.358522250209908e-05
feld,6.717044500419816e-05
hochkam,3.358522250209908e-05
zusammengebrochen,3.358522250209908e-05
zusammengezuckt,3.358522250209908e-05
zusammen,0.0007052896725440807
geistesgegenwärtig,3.358522250209908e-05
runtergeeilt,3.358522250209908e-05
kontrahenten,3.358522250209908e-05
paar,0.000436607892527288
halbherzige,3.358522250209908e-05
beleidigungen,3.358522250209908e-05
hinmurmelten,3.358522250209908e-05
möglichst,6.717044500419816e-05
schnell,0.00033585222502099076
weite,6.717044500419816e-05
belustigung,3.358522250209908e-05
anlässen,3.358522250209908e-05
zügen,3.358522250209908e-05
allzu,6.717044500419816e-05
deutlich,0.00010075566750629723
zeigte,0.00020151133501259446
trieb,3.358522250209908e-05
blutdruck,6.717044500419816e-05
höhe,3.358522250209908e-05
vielleicht,0.0005373635600335853
gelegenheit,6.717044500419816e-05
vorbei,0.00036943744752308984
schauen,0.00013434089000839632
rutschte,3.358522250209908e-05
sessel,0.00016792611251049538
vorn,3.358522250209908e-05
kante,3.358522250209908e-05
solltest,0.00040302267002518893
gehen,0.0015785054575986567
riet,3.358522250209908e-05
hand,0.0009739714525608732
stirn,0.00036943744752308984
legen,0.00023509655751469352
glitt,3.358522250209908e-05
hindurch,3.358522250209908e-05
erhob,0.00016792611251049538
matt,3.358522250209908e-05
beschloss,0.00013434089000839632
aufzusuchen,6.717044500419816e-05
erst,0.00047019311502938705
erreicht,3.358522250209908e-05
brach,0.00010075566750629723
schluchzen,0.00010075566750629723
tränen,0.00023509655751469352
betrachtete,0.00020151133501259446
szenerie,3.358522250209908e-05
argwöhnisch,3.358522250209908e-05
wusste,0.0007388748950461797
stimmte,0.00020151133501259446
gryffindor,0.00020151133501259446
beruhigungstrank,0.00010075566750629723
schlaftrank,6.717044500419816e-05
gegeben,0.00013434089000839632
tief,0.00016792611251049538
fest,0.00030226700251889167
eingeschlafen,3.358522250209908e-05
müsste,6.717044500419816e-05
eben,6.717044500419816e-05
mehr,0.0015113350125944584
lernen,6.717044500419816e-05
eigenständiger,3.358522250209908e-05
studieren,3.358522250209908e-05
brauche,0.00010075566750629723
praxisabschnitte,3.358522250209908e-05
stelle,0.00023509655751469352
suchen,6.717044500419816e-05
zwischendurch,0.00010075566750629723
arme,0.00036943744752308984
ja,0.0015449202350965574
toll,0.00013434089000839632
freute,6.717044500419816e-05
ehrlich,0.00023509655751469352
bestimmt,0.00033585222502099076
tränke,0.00036943744752308984
kümmern,0.00033585222502099076
abgegeben,3.358522250209908e-05
labor,0.00010075566750629723
zurückgezogen,3.358522250209908e-05
bürotür,6.717044500419816e-05
entfuhr,3.358522250209908e-05
lauter,3.358522250209908e-05
fluch,0.00023509655751469352
gedämpft,3.358522250209908e-05
ohren,0.00013434089000839632
drang,6.717044500419816e-05
zwei,0.00033585222502099076
wochen,0.00020151133501259446
später,0.0007052896725440807
erneut,0.00033585222502099076
ließ,0.0009739714525608732
fuß,3.358522250209908e-05
untersuchen,0.00016792611251049538
besonders,0.00013434089000839632
starke,0.00013434089000839632
bindung,3.358522250209908e-05
hogwarts,0.0005709487825356843
verspürte,3.358522250209908e-05
unmöglich,6.717044500419816e-05
machte,0.0007724601175482787
fortzugehen,3.358522250209908e-05
ausbildung,6.717044500419816e-05
begonnen,0.00010075566750629723
gegangen,0.00023509655751469352
versichert,6.717044500419816e-05
unternehmen,6.717044500419816e-05
geheimnissen,3.358522250209908e-05
spur,0.00013434089000839632
kommen,0.0006381192275398825
blieb,0.00026868178001679264
merkwürdig,6.717044500419816e-05
unruhig,3.358522250209908e-05
zaubertrankkunst,3.358522250209908e-05
ging,0.0014105793450881613
kopf,0.0005037783375314861
antworten,6.717044500419816e-05
suche,3.358522250209908e-05
niemand,0.00020151133501259446
aufhalten,3.358522250209908e-05
verhindern,6.717044500419816e-05
leg,0.00010075566750629723
gute,0.00030226700251889167
nacht,0.0005373635600335853
murmelte,0.00026868178001679264
irritiert,6.717044500419816e-05
getrunken,3.358522250209908e-05
konnte,0.001343408900083963
dennoch,0.00016792611251049538
schockte,3.358522250209908e-05
nachricht,6.717044500419816e-05
nächsten,0.0006045340050377833
tages,6.717044500419816e-05
versteinerung,6.717044500419816e-05
mal,0.0009068010075566751
betroffen,3.358522250209908e-05
wirklich,0.0007052896725440807
änderung,3.358522250209908e-05
schüler,0.00040302267002518893
sechs,0.00016792611251049538
uhr,0.00023509655751469352
gemeinschaftsräumen,3.358522250209908e-05
mussten,6.717044500419816e-05
bloß,0.00010075566750629723
begleitung,0.00013434089000839632
lehrers,3.358522250209908e-05
unterricht,0.00040302267002518893
durften,6.717044500419816e-05
änderte,3.358522250209908e-05
alltag,3.358522250209908e-05
vergingen,6.717044500419816e-05
ende,0.00020151133501259446
zweiten,0.00010075566750629723
schuljahres,3.358522250209908e-05
abschiedsfeier,3.358522250209908e-05
vollen,3.358522250209908e-05
gedeckten,3.358522250209908e-05
tischen,3.358522250209908e-05
saßen,0.00023509655751469352
großen,0.00030226700251889167
soweit,0.00016792611251049538
zweites,3.358522250209908e-05
schuljahr,0.00010075566750629723
genug,0.00036943744752308984
allemal,3.358522250209908e-05
mysterien,3.358522250209908e-05
brille,6.717044500419816e-05
nie,0.00033585222502099076
aufgeklärt,3.358522250209908e-05
beherrschte,6.717044500419816e-05
meinte,0.0011418975650713686
bald,0.00030226700251889167
gestalt,3.358522250209908e-05
tieres,6.717044500419816e-05
ans,6.717044500419816e-05
licht,0.00020151133501259446
treten,3.358522250209908e-05
erstes,6.717044500419816e-05
übung,3.358522250209908e-05
kontrolle,0.00010075566750629723
verwandeln,3.358522250209908e-05
nächste,0.00010075566750629723
weiteren,0.00016792611251049538
gedanken,0.00030226700251889167
darum,0.00023509655751469352
schon,0.0020486985726280438
zeitpunkt,6.717044500419816e-05
gekommen,0.00020151133501259446
halle,0.00036943744752308984
bannern,3.358522250209908e-05
geschmückt,3.358522250209908e-05
jahr,0.00010075566750629723
gab,0.0006381192275398825
grund,0.00013434089000839632
ganzen,0.00010075566750629723
vorfälle,3.358522250209908e-05
bitte,0.000873215785054576
ruhe,0.0005373635600335853
stand,0.0007724601175482787
