term,relative_frequency
höchstwahrscheinlich,7.869058860560277e-05
stimmt,0.00023607176581680832
sogar,0.00039345294302801383
beiden,0.0013377400062952471
erzählt,0.00015738117721120554
deutet,7.869058860560277e-05
darauf,0.0007869058860560277
beschrieben,0.00015738117721120554
geschwärmt,7.869058860560277e-05
gerne,0.0008655964746616305
slugclub,0.00023607176581680832
mal,0.0016525023607176581
ehrlich,0.00015738117721120554
wer,0.00023607176581680832
normal,7.869058860560277e-05
schüler,0.0015738117721120553
abgelehnt,7.869058860560277e-05
verschnupft,7.869058860560277e-05
kundgetan,7.869058860560277e-05
wandte,0.0007869058860560277
verschlagen,7.869058860560277e-05
listig,7.869058860560277e-05
bezeichnenden,7.869058860560277e-05
ausdruck,0.00015738117721120554
zügen,7.869058860560277e-05
ziemlich,0.0005508341202392193
betrunkenen,7.869058860560277e-05
gesicht,0.0005508341202392193
bedenklich,7.869058860560277e-05
gerötet,7.869058860560277e-05
professor,0.007160843563109852
mum,7.869058860560277e-05
schülerin,0.0003147623544224111
ja,0.0018885741265344666
bild,7.869058860560277e-05
überraschend,7.869058860560277e-05
wirkte,0.00023607176581680832
gegenüber,0.00039345294302801383
weiterhin,7.869058860560277e-05
abgeneigt,7.869058860560277e-05
rolle,0.00015738117721120554
spion,7.869058860560277e-05
wurde,0.001022977651872836
häufig,0.00015738117721120554
genug,0.00039345294302801383
ruhestand,7.869058860560277e-05
horrace,7.869058860560277e-05
vertreten,0.00015738117721120554
kaum,0.00023607176581680832
beachtete,0.0003147623544224111
übernahm,7.869058860560277e-05
selten,7.869058860560277e-05
unterricht,0.0006295247088448222
erwiderte,0.0005508341202392193
loyal,7.869058860560277e-05
froh,0.00023607176581680832
älterer,7.869058860560277e-05
lehrer,0.0003147623544224111
klasse,0.000708215297450425
hoffe,0.00023607176581680832
ferien,7.869058860560277e-05
gut,0.00141643059490085
überstanden,7.869058860560277e-05
überrascht,0.00039345294302801383
brief,0.0003147623544224111
hinhielt,7.869058860560277e-05
muggelstämmige,7.869058860560277e-05
rar,7.869058860560277e-05
auswahl,7.869058860560277e-05
schülern,0.0005508341202392193
nannte,0.00015738117721120554
meisten,0.00023607176581680832
aufgrund,0.0003147623544224111
fähigkeiten,0.00023607176581680832
verbindungen,7.869058860560277e-05
angetan,7.869058860560277e-05
natürlich,0.00039345294302801383
verstehen,0.00023607176581680832
konnte,0.0013377400062952471
wusste,0.00039345294302801383
vielleicht,0.0006295247088448222
gar,0.0006295247088448222
herkunft,0.00015738117721120554
verwirrt,0.0003147623544224111
nahm,0.000708215297450425
lächelte,0.0011016682404784387
warm,0.00015738117721120554
brauchen,7.869058860560277e-05
mehr,0.0007869058860560277
schwiegen,7.869058860560277e-05
weile,0.00015738117721120554
einladung,0.0005508341202392193
einfiel,7.869058860560277e-05
abend,0.0009442870632672333
kleidete,7.869058860560277e-05
besondere,7.869058860560277e-05
art,0.00015738117721120554
feier,0.0003147623544224111
ophelia,7.869058860560277e-05
offensichtlich,0.0003147623544224111
menschenmögliche,7.869058860560277e-05
tat,0.0003147623544224111
fernzuhalten,7.869058860560277e-05
fragte,0.0008655964746616305
feuerwerk,7.869058860560277e-05
vorbei,0.00023607176581680832
trat,0.00023607176581680832
ah,0.00015738117721120554
ausnahmetalente,7.869058860560277e-05
sagte,0.003777148253068933
platzte,7.869058860560277e-05
fast,0.00047214353163361664
interessiert,7.869058860560277e-05
schüttelte,0.00015738117721120554
kevin,0.00015738117721120554
meyer,0.00015738117721120554
hand,0.0006295247088448222
gästen,0.00015738117721120554
geeilt,7.869058860560277e-05
rande,7.869058860560277e-05
mitbekommen,0.00015738117721120554
beharrte,7.869058860560277e-05
links,7.869058860560277e-05
kurz,0.0003147623544224111
büro,0.00039345294302801383
stehen,0.0003147623544224111
guten,0.00023607176581680832
beide,0.0007869058860560277
bekamen,0.00023607176581680832
gelegenheit,7.869058860560277e-05
zaubern,7.869058860560277e-05
beschäftigen,7.869058860560277e-05
immer,0.00141643059490085
schonmal,7.869058860560277e-05
lernen,7.869058860560277e-05
wollten,7.869058860560277e-05
durften,0.00015738117721120554
zaubertränke,0.0012590494176896443
brauen,0.00047214353163361664
laut,0.00039345294302801383
verwahren,7.869058860560277e-05
konnten,0.0003147623544224111
moment,0.00039345294302801383
zag,7.869058860560277e-05
noten,0.00015738117721120554
erhielten,0.00015738117721120554
freude,0.00015738117721120554
steigern,7.869058860560277e-05
enttäuschung,0.00015738117721120554
verringern,7.869058860560277e-05
vergnügt,7.869058860560277e-05
einzige,0.00015738117721120554
stimmung,7.869058860560277e-05
durchweg,7.869058860560277e-05
trübte,7.869058860560277e-05
momente,0.00015738117721120554
denen,0.00039345294302801383
sah,0.0012590494176896443
ging,0.0009442870632672333
nächster,7.869058860560277e-05
schuljahresabschlussfeier,7.869058860560277e-05
sicher,0.000708215297450425
treffen,0.001022977651872836
angekündigt,7.869058860560277e-05
externen,7.869058860560277e-05
gäste,7.869058860560277e-05
kommen,0.0003147623544224111
wäre,0.000708215297450425
vermutlich,0.0003147623544224111
grund,0.00023607176581680832
absage,7.869058860560277e-05
nochmal,0.00047214353163361664
überlegen,7.869058860560277e-05
bedachte,7.869058860560277e-05
ergebnisse,7.869058860560277e-05
stets,0.00023607176581680832
großem,7.869058860560277e-05
lob,7.869058860560277e-05
bevorzugte,7.869058860560277e-05
deren,0.00015738117721120554
mixturen,7.869058860560277e-05
wohl,0.000708215297450425
ungefähr,0.00023607176581680832
gleich,0.00015738117721120554
gelangen,7.869058860560277e-05
hübscher,7.869058860560277e-05
freundlicher,7.869058860560277e-05
mürrische,7.869058860560277e-05
junge,0.0003147623544224111
stechenden,7.869058860560277e-05
blick,0.001022977651872836
hätte,0.001022977651872836
traum,0.00015738117721120554
einfallen,7.869058860560277e-05
lassen,0.0005508341202392193
bester,7.869058860560277e-05
eben,0.00015738117721120554
zweitbester,7.869058860560277e-05
nächte,7.869058860560277e-05
nutzte,0.00015738117721120554
heimlich,7.869058860560277e-05
üben,7.869058860560277e-05
tränke,0.0003147623544224111
schon,0.002124645892351275
bevor,0.0011016682404784387
vorkamen,7.869058860560277e-05
rezepte,7.869058860560277e-05
verfeinern,7.869058860560277e-05
penibel,7.869058860560277e-05
buch,0.0003147623544224111
notieren,7.869058860560277e-05
engen,7.869058860560277e-05
handschrift,7.869058860560277e-05
außenstehenden,7.869058860560277e-05
schwer,0.00023607176581680832
entziffern,7.869058860560277e-05
gefallen,7.869058860560277e-05
trank,0.0011016682404784387
gesehen,0.00023607176581680832
beginn,7.869058860560277e-05
semesters,7.869058860560277e-05
zubereitet,7.869058860560277e-05
zeigen,7.869058860560277e-05
erinnerte,0.00023607176581680832
daran,0.00047214353163361664
schillernde,7.869058860560277e-05
substanz,7.869058860560277e-05
alten,0.0003147623544224111
büchern,0.00023607176581680832
warmem,7.869058860560277e-05
haferschleim,7.869058860560277e-05
haar,0.00023607176581680832
geduftet,7.869058860560277e-05
eigenen,0.0003147623544224111
fantasie,7.869058860560277e-05
paar,0.00047214353163361664
tropfen,7.869058860560277e-05
tee,7.869058860560277e-05
schlug,7.869058860560277e-05
überraschen,7.869058860560277e-05
beeindrucken,0.00015738117721120554
sieht,0.00023607176581680832
augen,0.00039345294302801383
voller,0.00023607176581680832
liebe,0.00023607176581680832
mann,0.00023607176581680832
ruhen,7.869058860560277e-05
berichtete,7.869058860560277e-05
zuerst,7.869058860560277e-05
davon,0.00047214353163361664
erinnerung,7.869058860560277e-05
gezeigt,0.00015738117721120554
scham,7.869058860560277e-05
gefälscht,7.869058860560277e-05
idee,0.00023607176581680832
gebracht,0.00023607176581680832
hilfe,0.0003147623544224111
geschichte,0.00015738117721120554
wahrheit,7.869058860560277e-05
sluggy,0.00015738117721120554
ganz,0.0007869058860560277
begeistert,0.00023607176581680832
besuchen,0.00015738117721120554
kam,0.0007869058860560277
erzählte,0.0003147623544224111
gefehlt,7.869058860560277e-05
weder,0.00015738117721120554
haus,0.0003147623544224111
begeisterter,7.869058860560277e-05
zogen,0.00015738117721120554
erinnerungen,7.869058860560277e-05
tränkestunden,7.869058860560277e-05
geschenk,7.869058860560277e-05
geklappt,7.869058860560277e-05
nickte,0.0003147623544224111
genaueren,7.869058860560277e-05
erläuterung,7.869058860560277e-05
befreit,7.869058860560277e-05
restlichen,0.00015738117721120554
rumtreiber,0.00015738117721120554
halle,0.00039345294302801383
ältere,7.869058860560277e-05
black,0.00023607176581680832
stürmischen,7.869058860560277e-05
grauen,7.869058860560277e-05
besaß,7.869058860560277e-05
ähnliche,7.869058860560277e-05
nase,0.00015738117721120554
unterhielt,0.00015738117721120554
erkannte,0.00023607176581680832
blacks,0.00015738117721120554
gesten,7.869058860560277e-05
teilten,7.869058860560277e-05
ankunft,0.00015738117721120554
begann,0.000708215297450425
zeit,0.00047214353163361664
bedarf,7.869058860560277e-05
möglichkeiten,7.869058860560277e-05
endete,7.869058860560277e-05
vortrag,7.869058860560277e-05
zaubertränkelehrer,7.869058860560277e-05
gab,0.001022977651872836
anweisungen,7.869058860560277e-05
aufpäppeltrank,7.869058860560277e-05
arbeiten,0.00047214353163361664
hör,0.00023607176581680832
zutaten,0.0003147623544224111
ordnen,7.869058860560277e-05
fühlte,0.00015738117721120554
zeiten,7.869058860560277e-05
sitzen,0.00015738117721120554
vorbeikam,7.869058860560277e-05
probe,0.00015738117721120554
alterungstranks,7.869058860560277e-05
einzusammeln,7.869058860560277e-05
schien,0.0007869058860560277
nichtsdestotrotz,7.869058860560277e-05
weniger,0.00023607176581680832
zufrieden,0.0003147623544224111
schöne,7.869058860560277e-05
arbeit,7.869058860560277e-05
projekt,0.00023607176581680832
leihen,7.869058860560277e-05
brauchst,0.00015738117721120554
schwor,7.869058860560277e-05
tätschelte,7.869058860560277e-05
freundin,0.00015738117721120554
mitleidig,7.869058860560277e-05
schulter,0.00023607176581680832
schreiben,0.00015738117721120554
geben,0.0003147623544224111
suche,7.869058860560277e-05
inspiration,7.869058860560277e-05
blätterte,7.869058860560277e-05
seite,0.00039345294302801383
davor,7.869058860560277e-05
las,0.0003147623544224111
zwei,0.0011016682404784387
letzten,0.00039345294302801383
einträge,7.869058860560277e-05
april,0.00015738117721120554
notizbuch,7.869058860560277e-05
wissen,0.0003147623544224111
butterbier,0.00023607176581680832
rand,7.869058860560277e-05
dekorierten,7.869058860560277e-05
anschloss,7.869058860560277e-05
früher,0.00023607176581680832
kammern,0.00015738117721120554
bekannt,0.00015738117721120554
gelegentlichen,7.869058860560277e-05
abendessen,0.00015738117721120554
förmlicheren,7.869058860560277e-05
partys,0.0003147623544224111
heute,0.00039345294302801383
teil,0.00015738117721120554
gesagt,0.0003147623544224111
mochte,0.0003147623544224111
außerdem,0.00015738117721120554
fragen,0.0006295247088448222
könntest,0.00015738117721120554
diejenige,7.869058860560277e-05
haarbürste,7.869058860560277e-05
verwendet,7.869058860560277e-05
dankbar,0.00015738117721120554
bürsten,7.869058860560277e-05
krumm,7.869058860560277e-05
geworden,0.00015738117721120554
passt,7.869058860560277e-05
thema,7.869058860560277e-05
rede,0.00023607176581680832
sang,0.00015738117721120554
versprechen,7.869058860560277e-05
einlösen,7.869058860560277e-05
erschien,7.869058860560277e-05
aussah,0.00015738117721120554
namen,0.00023607176581680832
zuordnen,7.869058860560277e-05
fuhr,0.00039345294302801383
jedoch,0.0005508341202392193
fort,0.0003147623544224111
dorothea,0.00015738117721120554
grey,0.00015738117721120554
erstarrte,7.869058860560277e-05
schreck,7.869058860560277e-05
zauber,0.00015738117721120554
verlassen,0.00015738117721120554
hübsche,7.869058860560277e-05
schwarze,7.869058860560277e-05
frau,7.869058860560277e-05
glitzernden,0.00015738117721120554
goldenen,7.869058860560277e-05
umhängen,7.869058860560277e-05
krähte,7.869058860560277e-05
neuste,7.869058860560277e-05
single,7.869058860560277e-05
hauptsächlich,7.869058860560277e-05
aufmerksamen,7.869058860560277e-05
publikum,7.869058860560277e-05
bestes,7.869058860560277e-05
enttäuschungen,7.869058860560277e-05
abends,0.00023607176581680832
abzutun,7.869058860560277e-05
menge,0.00015738117721120554
bewegte,7.869058860560277e-05
schließlich,0.0003147623544224111
ziel,7.869058860560277e-05
erreichte,0.00015738117721120554
entfernte,7.869058860560277e-05
ecke,0.00023607176581680832
gerade,0.0016525023607176581
